일자,시가,고가,저가,종가,전일대비,등락률,거래량,개인,외국인,기관
2026/09/07,13505,13645,13485,13630,400,+3.02,5169501,0,0,0
2026/09/04,13120,13330,13120,13230,220,+1.69,5756756,-632,+279,+353
2026/09/03,13175,13195,12860,13010,50,-0.38,5114702,-192,+42,+153
2026/09/02,13105,13225,13060,13060,300,-2.25,4387187,+246,-461,+1005
2026/09/01,13240,13425,13200,13360,65,+0.49,4328931,-451,+1596,-1145
2026/08/31,12995,13295,12945,13295,35,+0.26,5918852,-629,-850,+1454
2026/08/28,13365,13495,13255,13260,215,-1.60,3599445,+210,-110,-233
2026/08/27,13620,13665,13420,13475,125,+0.94,5446676,-668,-319,+983
2026/08/26,13260,13505,13250,13350,35,+0.26,6119727,-571,+1131,-512
2026/08/25,13030,13315,12895,13315,10,+0.08,7502970,+287,+173,-1072
2026/08/24,13630,13655,13265,13305,410,-2.99,7784021,-7422,-1506,+8653
2026/08/21,13360,13760,13360,13715,205,+1.52,9055955,+560,+157,-666
2026/08/20,13120,13550,13005,13510,730,+5.71,9634873,-2133,-463,+2467
2026/08/19,12875,12975,12730,12780,545,-4.09,6438684,+1036,+616,-1664
2026/08/18,13640,13850,13260,13325,65,-0.49,9138230,-923,+370,-138
2026/08/14,13490,13490,13255,13390,220,+1.67,6017315,-1720,-31,+1754
2026/08/13,13140,13327,13125,13170,320,+2.49,7133583,-632,+387,+371
2026/08/12,12585,13005,12540,12850,360,+2.88,7543455,-1449,+160,+1298
2026/08/11,12235,12585,12210,12490,145,+1.17,5949785,-561,-1217,+1780
2026/08/10,12485,12590,12270,12345,40,-0.32,5499019,+519,-120,-140
2026/08/07,12580,12705,12300,12385,90,-0.72,6200773,+20,+239,-260
2026/08/06,12825,12920,12470,12475,565,-4.33,7953033,-520,+1090,-524
2026/08/05,13205,13205,12980,13040,255,+1.99,7467370,-557,-823,+1377
2026/08/04,12925,12935,12420,12785,30,+0.24,10042897,+5545,-173,-5247
2026/08/03,12995,13040,12715,12755,805,-5.94,9260093,+1269,+1156,-2429
2026/07/31,12800,13620,12700,13560,1890,+16.20,18767856,-7261,-4408,+11680
2026/07/30,11860,12245,11555,11670,230,-1.93,17022176,-1956,+920,+1028
2026/07/29,12445,12695,11315,11925,435,-3.52,26494994,-2542,-2430,+5081
2026/07/28,12770,12855,12350,12360,970,-7.28,13063351,-1281,+1673,-440
2026/07/27,13355,13355,12995,13330,160,+1.21,9753261,-321,-1141,+1457
2026/07/24,13550,13590,13100,13170,545,-3.97,9114491,+529,-360,-158
2026/07/23,13620,13765,13455,13715,355,+2.66,7963571,-155,-662,+818
2026/07/22,13850,13900,13360,13360,50,-0.37,10123156,-935,+254,+683
2026/07/21,13075,13525,12980,13410,350,+2.68,10549309,+397,-1422,+1027
2026/07/20,12950,13455,12950,13060,290,-2.17,13634426,-2073,+351,+1719
2026/07/16,13530,13582,13275,13350,705,-5.02,10766968,-743,+2193,-1464
2026/07/15,14130,14270,13950,14055,510,+3.77,14856027,+1133,-295,-879
2026/07/14,13265,13650,12900,13545,230,+1.73,25007708,-2389,-1647,+4103
2026/07/13,14140,14270,13280,13315,950,-6.66,18213139,+731,-1363,+638
2026/07/10,14500,14555,14175,14265,90,+0.63,11639082,-981,-1623,+2759
2026/07/09,14330,14450,13860,14175,225,+1.61,15530739,-1311,+1396,-90
2026/07/08,14080,14660,13940,13950,405,-2.82,22238196,-431,-2021,+2456
2026/07/07,14655,14790,14100,14355,530,-3.56,17009986,-1986,+1933,+55
2026/07/06,15070,15195,14625,14885,50,-0.33,14444973,+3506,-3093,-420
2026/07/03,14345,14985,13985,14935,635,+4.44,23248394,-2249,-1640,+3681
2026/07/02,14505,14850,14215,14300,875,-5.77,19555667,+4825,+4940,-9786
2026/07/01,15560,15670,15020,15175,385,-2.47,13814619,+1087,-932,-127
2026/06/30,15335,15740,15180,15560,155,+1.01,13653398,+4440,+4698,-9145
2026/06/29,15495,15545,15140,15405,195,-1.25,15078431,+1343,+548,-1905
2026/06/26,16020,16070,15310,15600,590,-3.64,22496919,+2671,-1988,-734
2026/06/25,16005,16270,15825,16190,695,+4.49,17128145,-3584,+1877,+1669
2026/06/24,15230,15610,14955,15495,240,+1.57,25603494,+4465,+232,-4384
2026/06/23,16025,16075,15025,15255,825,-5.13,24660976,+2401,-844,-1758
2026/06/22,15650,16180,15650,16080,200,+1.26,17290387,+2030,-1513,-804
2026/06/19,15965,16230,15615,15880,45,+0.28,23874189,+4808,+5417,-9453
2026/06/18,15365,15835,15365,15835,485,+3.16,18573033,+5918,-1088,-4902
2026/06/17,14875,15350,14875,15350,265,+1.76,11229513,+4082,-3071,-1072
2026/06/16,15055,15125,14805,15085,190,+1.28,12797728,-1504,+2290,-567
2026/06/15,14940,14960,14815,14895,395,+2.72,11752595,+401,-2104,+1524
2026/06/12,14775,14900,14445,14500,320,+2.26,14969652,-1583,+3759,-2095
2026/06/11,13790,14295,13725,14180,125,+0.89,14760719,+944,-737,-221
2026/06/10,14250,14420,13890,14055,505,-3.47,13475086,+1211,+1168,-2433
2026/06/09,14165,14590,13910,14560,840,+6.12,14670280,+844,-996,-59
2026/06/08,13300,14200,13295,13720,655,-4.56,18501205,-2731,+388,+2473
2026/06/05,14470,14715,14345,14375,590,-3.94,20861694,-382,+848,+35
2026/06/04,14905,15190,14905,14965,240,-1.58,15820850,+4375,+570,-5128
2026/06/02,15165,15390,14830,15205,105,+0.70,24585086,+14522,-1516,-13288
2026/06/01,14615,15150,14615,15100,485,+3.32,19007588,+586,+38,+283
2026/05/29,14620,14680,14480,14615,225,+1.56,16843499,+9460,+349,-9856
