일자,시가,고가,저가,종가,전일대비,등락률,거래량,개인,외국인,기관
2026/09/07,16715,16905,16715,16870,180,-1.06,52700,0,0,0
2026/09/04,16965,17200,16965,17050,125,+0.74,37621,+47,+12,+10
2026/09/03,16990,17340,16635,16925,150,-0.88,60440,+73,-16,-46
2026/09/02,17350,17435,17075,17075,1075,-5.92,71589,-277,+3,+192
2026/09/01,18345,18800,17770,18150,430,+2.43,62835,+189,-76,+169
2026/08/31,18130,18130,17620,17720,545,-2.98,59692,-52,+18,+16
2026/08/28,18095,18950,18095,18265,970,+5.61,161740,+614,+122,-225
2026/08/27,17760,17765,16805,17295,875,+5.33,187149,+42,+12,-504
2026/08/26,16735,16735,16290,16420,380,-2.26,42828,+67,-4,-143
2026/08/25,16825,16825,16515,16800,25,-0.15,29728,-169,+13,+133
2026/08/24,16880,17030,16805,16825,120,+0.72,64937,+7,-11,-196
2026/08/21,17340,17415,16680,16705,735,-4.21,78931,-43,-13,+47
2026/08/20,17205,17720,17200,17440,285,-1.61,60432,-63,+10,+154
2026/08/19,17955,18070,16450,17725,230,-1.28,56276,-53,+32,-80
2026/08/18,18200,18200,17810,17955,1125,-5.90,97491,-60,-243,+293
2026/08/14,18820,19275,18815,19080,730,+3.98,73051,+236,+3,-245
2026/08/13,18435,18435,18130,18350,85,-0.46,64248,-50,-102,+155
2026/08/12,18520,18700,18250,18435,60,-0.32,53689,-84,-238,+333
2026/08/11,18100,19640,18100,18495,595,+3.32,90552,-111,-8,+105
2026/08/10,18055,18535,17610,17900,240,+1.36,67675,+119,+23,-13
2026/08/07,17680,18207,17500,17660,20,-0.11,41708,+46,-94,+108
2026/08/06,17850,17985,17615,17680,245,-1.37,51572,+82,-156,+28
2026/08/05,17540,18000,17395,17925,795,+4.64,99490,+106,+242,-446
2026/08/04,16790,17535,16790,17130,685,+4.17,38011,-60,-6,+128
2026/08/03,16565,16980,16445,16445,215,+1.32,49429,+191,-20,-174
2026/07/31,16700,16700,16000,16230,75,+0.46,96645,+58,-245,+286
2026/07/30,16000,16465,16000,16155,170,-1.04,44728,+60,-7,-54
2026/07/29,16680,16690,16220,16325,360,-2.16,65125,-127,-17,+331
2026/07/28,17080,17080,16610,16685,375,-2.20,81957,+1,-1,-290
