일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,183.6400,5.7900,-3.06,7601798,188.2200,189.3300,181.8400
2026/08/28,189.4300,5.0300,+2.73,4831671,184.6700,191.4900,184.6700
2026/08/27,184.4000,3.6700,-1.95,4793691,187.8600,188.7194,184.0500
2026/08/26,188.0700,2.4300,-1.28,3372772,190.3000,192.4300,187.9000
2026/08/25,190.5000,0.2900,+0.15,4504981,190.1300,191.3595,189.0300
2026/08/24,190.2100,2.9100,+1.55,5598787,189.0000,193.4529,188.5300
2026/08/21,187.3000,2.3000,+1.24,4246257,187.1400,188.5950,184.3100
2026/08/20,185.0000,1.3900,-0.75,5596821,183.4500,186.8000,183.2520
2026/08/19,186.3900,3.1400,+1.71,4868017,185.0000,189.2000,183.5800
2026/08/18,183.2500,3.9600,+2.21,4346637,180.4900,186.1000,180.0800
2026/08/17,179.2900,4.7700,-2.59,3942358,184.0600,184.1400,178.8400
2026/08/14,184.0600,1.0700,-0.58,3766173,185.0000,186.9700,183.6600
2026/08/13,185.1300,5.0350,+2.80,5139906,180.9000,185.3300,179.6000
2026/08/12,180.0950,4.8850,-2.64,5987416,181.3980,184.1100,179.2600
2026/08/11,184.9800,0.2800,+0.15,8025660,179.4850,187.1200,178.4500
2026/08/10,184.7000,6.6300,+3.72,9985945,178.6900,185.9900,177.4300
2026/08/07,178.0700,26.4300,+17.43,15914961,164.7000,178.4800,163.4500
2026/08/06,151.6400,0.8500,-0.56,6041107,152.1400,153.7900,148.7500
2026/08/05,152.4900,2.5700,+1.71,4079580,153.9130,155.2500,150.8600
2026/08/04,149.9200,0.7200,-0.48,3580645,149.7500,151.1900,148.6500
2026/08/03,150.6400,0.8800,-0.58,3597522,153.3400,154.5600,150.0200
2026/07/31,151.5200,0.5600,-0.37,2461545,150.8400,152.6400,149.6100
2026/07/30,152.0800,0.9300,-0.61,3056066,151.5000,152.2100,149.5800
2026/07/29,153.0100,0.1000,-0.07,3852540,152.0100,156.5000,151.5000
2026/07/28,153.1100,6.2500,+4.26,6846162,148.8300,153.1900,148.0900
2026/07/27,146.8600,5.7600,+4.08,2902656,143.5000,147.0300,143.0000
2026/07/24,141.1000,3.5300,+2.57,2414881,138.2400,142.7000,138.1600
2026/07/23,137.5700,2.4800,-1.77,3482681,137.5800,138.2500,135.7200
2026/07/22,140.0500,4.0500,-2.81,2635648,144.1000,144.4700,139.6900
2026/07/21,144.1000,0.8400,-0.58,2343571,144.7800,145.6200,143.0100
2026/07/20,144.9400,1.0400,-0.71,3031186,146.8000,146.8000,144.3300
2026/07/17,145.9800,1.8200,-1.23,5483534,146.7900,147.8400,145.1100
2026/07/16,147.8000,0.5800,-0.39,3113339,149.7050,150.8800,147.1200
2026/07/15,148.3800,1.8400,+1.26,3728680,147.1800,150.7500,147.0900
2026/07/14,146.5400,0.2100,+0.14,3085361,145.1700,147.5100,144.1700
2026/07/13,146.3300,2.2900,-1.54,4396813,148.8900,149.9600,143.7900
2026/07/10,148.6200,1.7300,+1.18,2635916,147.0200,149.3000,147.0200
2026/07/09,146.8900,3.9400,+2.76,3467876,141.2600,147.2700,141.2500
2026/07/08,142.9500,5.8500,-3.93,2969101,147.1500,147.1750,141.2400
2026/07/07,148.8000,1.1500,+0.78,2283724,149.4500,150.0200,148.0750
2026/07/06,147.6500,1.2800,-0.86,2574734,149.1200,149.8000,147.2300
2026/07/02,148.9300,1.6200,+1.10,3496652,146.5000,150.0700,146.5000
2026/07/01,147.3100,4.2100,+2.94,3301215,145.0000,148.7450,143.9200
2026/06/30,143.1000,4.0700,-2.77,3232019,147.2900,147.8100,142.3700
2026/06/29,147.1700,1.6100,+1.11,5071708,146.1500,150.1900,145.7075
2026/06/26,145.5600,3.6800,+2.59,6088978,142.3500,147.5800,141.7500
2026/06/25,141.8800,2.5200,-1.75,3033293,144.5000,145.3416,141.4500
2026/06/24,144.4000,5.5500,+4.00,4050600,139.0600,147.2700,138.7500
2026/06/23,138.8500,0.3400,-0.24,3428889,139.3100,141.2250,138.5600
2026/06/22,139.1900,3.2200,-2.26,4255749,140.9800,142.5700,137.9100
2026/06/18,142.4100,1.8700,+1.33,7413230,141.3900,143.6200,140.1400
2026/06/17,140.5400,0.6600,-0.47,3437959,140.6900,143.8000,139.5000
2026/06/16,141.2000,2.2400,+1.61,3672481,139.6400,141.5400,138.7100
2026/06/15,138.9600,6.6800,+5.05,4695230,134.4200,140.1600,134.3039
