일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,293.1000,1.5800,+0.54,5215387,287.6500,294.1300,286.2600
2026/08/28,291.5200,2.3700,+0.82,3650841,288.2150,294.0865,286.5200
2026/08/27,289.1500,15.6800,+5.73,6525257,279.1600,291.1750,278.3700
2026/08/26,273.4700,0.4500,-0.16,3635877,265.1900,274.6000,265.0350
2026/08/25,273.9200,2.3500,-0.85,3140195,270.7550,275.9100,269.2800
2026/08/24,276.2700,0.9700,+0.35,3598911,275.0000,279.0000,273.2450
2026/08/21,275.3000,3.0800,+1.13,4346427,272.3700,277.0995,269.9150
2026/08/20,272.2200,0.2500,-0.09,2631358,272.7250,274.2500,269.6600
2026/08/19,272.4700,9.3300,+3.55,5541782,262.1900,275.7999,261.6700
2026/08/18,263.1400,9.1000,+3.58,4774075,259.8300,267.3900,258.1900
2026/08/17,254.0400,9.9800,-3.78,3871095,259.9000,261.6500,251.2001
2026/08/14,264.0200,6.4700,-2.39,2876275,273.2200,273.4000,261.6700
2026/08/13,270.4900,11.7400,+4.54,5201571,261.6050,271.8800,255.8500
2026/08/12,258.7500,4.9600,-1.88,4191713,258.4500,263.2600,255.1000
2026/08/11,263.7100,9.2500,-3.39,4675172,270.4800,272.2250,262.6800
2026/08/10,272.9600,7.7500,+2.92,4052624,263.0550,273.1300,262.1400
2026/08/07,265.2100,4.9700,+1.91,4752642,262.8200,270.1600,261.2900
2026/08/06,260.2400,0.9200,+0.35,4700554,252.2250,260.6400,250.8400
2026/08/05,259.3200,1.8300,+0.71,4285520,260.0700,261.0050,255.5550
2026/08/04,257.4900,6.1500,+2.45,4202988,248.6700,258.5400,245.4600
2026/08/03,251.3400,0.9300,+0.37,4293791,258.2450,262.1500,251.1700
2026/07/31,250.4100,2.5100,+1.01,5589512,244.7300,250.7100,241.2300
2026/07/30,247.9000,15.5300,-5.90,6876993,251.5000,255.3000,242.4200
2026/07/29,263.4300,14.2500,+5.72,9881783,249.9900,266.2800,248.5400
2026/07/28,249.1800,11.4300,+4.81,8098747,242.8500,254.0600,241.6946
2026/07/27,237.7500,12.6400,+5.62,5543598,230.3900,242.0500,229.7900
2026/07/24,225.1100,12.9400,+6.10,4719923,216.4950,226.9300,216.1500
2026/07/23,212.1700,6.1900,-2.83,4363216,222.1800,222.7500,210.8750
2026/07/22,218.3600,8.8000,-3.87,4361285,229.6600,229.6600,218.0000
2026/07/21,227.1600,7.5800,-3.23,5060612,222.8500,231.5000,222.3000
