일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,362.6500,0.6100,+0.17,2285536,369.9550,372.2700,360.5750
2026/09/16,362.0400,0.6900,+0.19,3063647,365.7800,367.4900,358.6620
2026/09/15,361.3500,0.3300,+0.09,2401711,362.4800,366.8700,359.4516
2026/09/14,361.0200,17.7600,-4.69,4731568,363.9600,366.2550,359.3325
2026/09/11,378.7800,17.5300,+4.85,2886520,365.3350,380.3600,365.3350
2026/09/10,361.2500,3.8200,-1.05,2972342,356.9500,363.3600,356.1220
2026/09/09,365.0700,1.8700,+0.51,2359283,359.3700,366.9699,359.3700
2026/09/08,363.2000,0.9500,+0.26,3139621,364.8900,366.3620,360.3900
2026/09/04,362.2500,5.7500,+1.61,3560584,359.8350,364.9900,358.9900
2026/09/03,356.5000,0.7900,+0.22,3779304,350.4200,357.2699,348.0000
2026/09/02,355.7100,1.1900,+0.34,3338913,355.6350,360.7700,352.0300
2026/09/01,354.5200,6.5200,-1.81,3571975,356.3300,356.4400,348.6600
2026/08/31,361.0400,0.3589,+0.10,2763248,363.7717,365.6061,360.8306
2026/08/28,360.6811,12.7013,-3.40,3360672,373.0036,373.0036,358.4479
2026/08/27,373.3824,2.7117,+0.73,3906909,373.3625,375.7352,366.9121
2026/08/26,370.6707,1.8543,-0.50,2187285,373.7313,376.3434,369.6139
2026/08/25,372.5250,2.4824,+0.67,3751632,375.0972,376.3334,366.1744
2026/08/24,370.0426,1.9141,-0.51,4769727,371.5879,371.8670,361.2494
2026/08/21,371.9567,2.8413,+0.77,5473834,373.5818,377.4899,370.3317
2026/08/20,369.1154,3.0108,-0.81,3509216,375.7701,383.7807,368.5172
2026/08/19,372.1262,3.3598,-0.89,6327494,377.4002,382.2354,368.6069
2026/08/18,375.4860,13.6085,-3.50,5796674,380.2026,384.7278,369.1054
2026/08/17,389.0945,0.8873,+0.23,3132309,390.3457,395.7462,388.5636
2026/08/14,388.2072,8.1950,+2.16,2122406,380.8197,388.2670,378.9654
2026/08/13,380.0122,3.2501,-0.85,2873175,386.2632,388.5163,379.3542
2026/08/12,383.2623,0.8674,-0.23,2772804,395.0165,395.0564,382.4448
2026/08/11,384.1297,1.3709,+0.36,2368055,388.7954,392.9627,383.5409
2026/08/10,382.7588,5.9868,-1.54,2809216,391.6467,392.8431,382.6641
2026/08/07,388.7456,12.5817,+3.34,2846417,385.5553,391.0037,383.8306
2026/08/06,376.1639,0.3789,-0.10,3592660,374.1102,383.2324,371.8670
2026/08/05,376.5428,2.5921,-0.68,2861997,378.3373,382.9632,373.5020
2026/08/04,379.1349,18.3541,+5.09,5098186,371.2589,381.3182,367.7894
2026/08/03,360.7808,5.5132,-1.51,3754525,361.8974,364.6191,352.0374
2026/07/31,366.2940,0.7378,+0.20,3526013,373.0235,375.5877,361.7578
2026/07/30,365.5562,13.2596,+3.76,6387445,363.7418,367.3009,360.1128
2026/07/29,352.2966,12.4222,-3.41,5492672,360.6113,367.8193,351.6586
2026/07/28,364.7188,6.0416,-1.63,5068245,365.3269,372.1492,362.0469
2026/07/27,370.7604,0.0299,+0.01,5209849,371.6427,375.6555,360.5714
2026/07/24,370.7305,8.3146,-2.19,4093336,373.4970,378.4270,365.7257
2026/07/23,379.0451,6.5102,-1.69,3915981,375.0074,381.8017,372.2558
2026/07/22,385.5553,3.9081,+1.02,3185796,375.6804,386.4426,374.8579
2026/07/21,381.6472,10.3185,+2.78,4237415,386.7317,386.8215,376.5428
2026/07/20,371.3287,2.8911,-0.77,2951668,380.9434,380.9434,370.9000
2026/07/17,374.2198,5.1543,-1.36,3686020,368.3776,378.6264,365.6061
2026/07/16,379.3741,10.3984,-2.67,4108748,378.8557,384.8973,376.5029
2026/07/15,389.7725,1.7845,-0.46,3109653,396.1381,399.4729,382.1158
2026/07/14,391.5570,6.7195,+1.75,3149103,397.0702,399.2536,390.8093
2026/07/13,384.8375,9.6107,-2.44,3494089,388.6459,389.4036,381.7818
2026/07/10,394.4482,2.0039,+0.51,2332995,386.3230,397.1251,384.7577
2026/07/09,392.4443,8.2150,+2.14,3115700,394.3984,398.1370,387.1504
2026/07/08,384.2293,6.3506,+1.68,2617418,373.1132,388.5960,373.1132
2026/07/07,377.8787,9.7702,-2.52,4828480,375.1869,380.5007,369.9628
2026/07/06,387.6489,11.6345,+3.09,4460880,386.7267,394.7274,384.7827
