일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,218.6400,1.6700,-0.76,1275623,218.7600,220.5300,216.4000
2026/09/16,220.3100,6.1900,-2.73,1889512,222.5600,225.6200,219.1900
2026/09/15,226.5000,2.4300,-1.06,3386037,223.7220,232.6400,222.5400
2026/09/14,228.9300,16.5300,+7.78,2785114,219.4900,230.4266,218.9200
2026/09/11,212.4000,0.7900,+0.37,1612629,210.5000,213.8200,209.0400
2026/09/10,211.6100,4.9900,+2.42,2246840,207.0000,213.8900,206.4200
2026/09/09,206.6200,5.5900,-2.63,2323713,212.0200,212.0300,206.3300
2026/09/08,212.2100,5.6900,-2.61,2975967,214.6300,214.7800,208.0850
2026/09/04,217.9000,19.6200,-8.26,3962401,232.0800,232.1350,216.2039
2026/09/03,237.5200,4.2100,-1.74,2378472,246.0100,250.4150,235.8750
2026/09/02,241.7300,5.9600,-2.41,1530154,246.7000,248.2700,241.0500
2026/09/01,247.6900,10.8400,-4.19,1814555,253.4800,256.3700,247.3450
2026/08/31,258.5300,2.1300,-0.82,1823712,257.7100,262.7500,257.4000
2026/08/28,260.6600,9.9200,-3.67,3438539,261.1600,267.0000,253.1600
2026/08/27,270.5800,15.8100,+6.21,3963239,261.4700,271.7200,260.2900
2026/08/26,254.7700,3.5600,+1.42,1738890,245.2700,256.6100,245.0800
2026/08/25,251.2100,3.2100,-1.26,1790264,251.4200,253.8750,248.9000
2026/08/24,254.4200,0.5950,+0.23,1408157,253.5800,257.0800,252.3200
2026/08/21,253.8250,2.8050,+1.12,1795364,251.0200,255.7800,246.5100
2026/08/20,251.0200,0.2700,-0.11,1482604,252.4700,255.8600,250.1900
2026/08/19,251.2900,4.5000,+1.82,1558327,243.8900,257.6300,243.8900
2026/08/18,246.7900,5.1500,+2.13,1645739,245.3100,252.3000,245.0000
2026/08/17,241.6400,10.0200,-3.98,1542213,248.2000,249.9800,241.3300
2026/08/14,251.6600,6.3000,-2.44,1395456,260.0000,260.7400,251.2900
2026/08/13,257.9600,8.4500,+3.39,2261420,250.0000,259.3550,242.8600
2026/08/12,249.5100,2.0800,-0.83,1415064,245.7100,250.6200,245.4600
2026/08/11,251.5900,4.4800,-1.75,1938073,251.5100,254.8600,249.8900
2026/08/10,256.0700,6.9900,+2.81,1679802,246.5150,257.2900,246.5150
2026/08/07,249.0800,6.6100,+2.73,1821188,245.0000,252.8850,245.0000
2026/08/06,242.4700,2.4400,+1.02,1359907,237.3600,243.0000,235.2600
2026/08/05,240.0300,2.8200,+1.19,1486114,238.4300,240.6400,235.4250
2026/08/04,237.2100,2.5000,+1.07,2114265,231.1900,237.7200,229.7000
2026/08/03,234.7100,0.5100,+0.22,1920226,239.6000,243.9400,233.8400
2026/07/31,234.2000,0.7700,-0.33,1949440,230.4400,235.0700,227.9900
2026/07/30,234.9700,10.2800,-4.19,2687988,238.0900,238.6900,231.7550
2026/07/29,245.2500,7.8700,+3.32,2432088,242.1700,249.1400,238.3200
2026/07/28,237.3800,11.4700,+5.08,3885839,231.4900,243.2500,229.4000
2026/07/27,225.9100,16.1600,+7.70,2599549,213.5100,227.6700,212.1900
2026/07/24,209.7500,4.4900,+2.19,2888592,208.7500,214.4500,204.4800
2026/07/23,205.2600,1.7600,+0.86,1838621,205.5500,207.0750,202.3700
2026/07/22,203.5000,7.6500,-3.62,1794314,211.9500,212.2900,202.1500
2026/07/21,211.1500,6.6500,-3.05,2093935,214.5100,217.6299,210.8800
2026/07/20,217.8000,0.5500,-0.25,1909591,215.0700,219.1400,211.9950
2026/07/17,218.3500,1.2900,+0.59,3303559,217.0500,221.8100,214.7000
2026/07/16,217.0600,8.0800,+3.87,2513766,212.2200,218.5200,208.3200
2026/07/15,208.9800,3.0600,+1.49,2020258,207.9100,212.6200,207.2900
2026/07/14,205.9200,6.3000,-2.97,1594790,201.9600,209.9300,201.9600
2026/07/13,212.2200,3.7700,+1.81,1330701,210.3200,213.7800,209.8100
2026/07/10,208.4500,0.1300,-0.06,1233146,212.0000,212.7997,207.1900
2026/07/09,208.5800,2.5400,+1.23,2025058,200.4700,208.9100,198.0100
2026/07/08,206.0400,6.3400,-2.99,2050910,211.1000,211.9098,205.9900
2026/07/07,212.3800,4.8400,+2.33,2381000,215.9900,215.9900,210.6950
2026/07/06,207.5400,0.0600,+0.03,1670836,204.6600,208.8100,202.2500
2026/07/02,207.4800,7.7200,+3.86,2931045,200.9700,209.9200,200.7100
2026/07/01,199.7600,5.3400,+2.75,2360259,200.0000,204.7000,198.4900
2026/06/30,194.4200,0.8200,-0.42,2282748,193.2450,195.0000,192.2550
2026/06/29,195.2400,1.0200,-0.52,2588492,202.4600,202.4600,194.8900
2026/06/26,196.2600,6.5300,+3.44,7756107,191.6500,197.8700,191.5500
2026/06/25,189.7300,2.8800,-1.50,2460249,189.0700,194.3125,189.0000
2026/06/24,192.6100,3.8300,+2.03,2651784,188.9800,195.7600,188.0000
2026/06/23,188.7800,1.0600,+0.56,3327038,193.2700,193.7650,187.2350
2026/06/22,187.7200,6.1000,-3.15,4670244,190.0000,195.9400,185.5000
2026/06/18,193.8200,0.7500,+0.39,9213532,194.5500,197.8900,190.8600
2026/06/17,193.0700,8.3100,-4.13,3141622,196.5800,203.8000,192.3000
2026/06/16,201.3800,2.7800,+1.40,2928152,197.8150,203.9500,197.8150
2026/06/15,198.6000,0.1700,+0.09,3306875,199.9200,202.8700,195.9600
2026/06/12,198.4300,7.1400,-3.47,5631866,206.6000,208.7400,194.4700
2026/06/11,205.5700,15.7100,-7.10,4272208,219.2600,221.3399,204.8000
2026/06/10,221.2800,2.8000,-1.25,1741004,220.5000,225.1100,218.0000
2026/06/09,224.0800,0.9600,-0.43,1867797,223.4700,227.7900,220.6900
2026/06/08,225.0400,4.9200,-2.14,2090968,228.0100,229.9900,224.2300
2026/06/05,229.9600,3.6800,-1.58,2684857,235.0800,236.5000,229.2400
2026/06/04,233.6400,4.0400,+1.76,1923778,236.4800,237.8600,231.5900
2026/06/03,229.6000,7.0600,-2.98,2413865,235.0100,235.2493,228.2600
2026/06/02,236.6600,11.5000,-4.63,2354396,241.6200,243.1550,235.7000
2026/06/01,248.1600,16.8500,+7.28,3590453,237.0050,250.4900,237.0050
2026/05/29,231.3100,9.6400,-4.00,7643168,225.5600,233.8400,217.0000
2026/05/28,240.9500,3.9500,+1.67,4143295,236.3200,244.3400,233.5000
2026/05/27,237.0000,1.2300,-0.52,1644628,235.0000,243.3100,235.0000
2026/05/26,238.2300,2.7600,-1.15,2098624,238.0800,240.7200,234.3700
2026/05/22,240.9900,0.8000,+0.33,2455569,240.5100,247.0000,238.4600
2026/05/21,240.1900,3.4400,-1.41,1992732,241.9900,242.2150,234.6400
2026/05/20,243.6300,0.5300,-0.22,1711535,239.7500,243.8700,233.1950
2026/05/19,244.1600,0.6700,+0.28,1980209,249.0300,251.1600,243.0100
2026/05/18,243.4900,6.8700,+2.90,1807722,236.1000,243.6900,234.6500
2026/05/15,236.6200,2.7600,+1.18,1528632,234.8800,238.3100,234.2050
2026/05/14,233.8600,2.8300,+1.22,1748035,229.8800,235.9200,227.4800
2026/05/13,231.0300,3.8400,-1.63,1742205,229.4000,231.6500,225.2750
2026/05/12,234.8700,1.2000,-0.51,1491486,238.0300,240.1250,233.8300
2026/05/11,236.0700,8.4300,-3.45,1926690,241.8300,244.9700,234.2800
2026/05/08,244.5000,6.5400,-2.61,1747871,247.6500,247.6500,241.9300
2026/05/07,251.0400,7.9600,+3.27,2026633,246.5600,255.1350,246.5600
