일자,시가,고가,저가,종가,전일대비,등락률,거래량,개인,외국인,기관
2026/09/07,24595,24640,24330,24615,735,+3.08,251798,0,0,0
2026/09/04,23505,23970,23505,23880,755,+3.26,91214,-568,-26,+643
2026/09/03,23095,23250,23085,23125,30,+0.13,58239,+224,+34,-277
2026/09/02,23645,23645,23055,23095,580,-2.45,71182,-229,-56,+389
2026/09/01,23500,23710,23500,23675,125,-0.53,50029,-137,+47,+23
2026/08/31,24100,24100,23500,23800,655,-2.68,55445,-127,+7,+112
2026/08/28,25095,25095,24395,24455,655,-2.61,42488,+312,-2,-334
2026/08/27,25200,25410,24870,25110,620,+2.53,68297,+112,-16,-194
2026/08/26,24440,24680,23910,24490,25,-0.10,80412,+371,-41,-309
2026/08/25,24300,24515,23840,24515,230,+0.95,81672,-166,+59,+27
2026/08/24,25065,25265,24245,24285,780,-3.11,88379,-106,-34,+200
2026/08/21,25365,25365,24905,25065,365,-1.44,84694,-30,+4,-25
2026/08/20,25675,25675,25185,25430,30,-0.12,158843,-86,+4,+76
2026/08/19,26700,26995,25360,25460,2050,-7.45,208014,+797,+14,-885
2026/08/18,28050,28225,27460,27510,460,+1.70,161167,+703,-6,-637
2026/08/14,26995,27415,26895,27050,70,+0.26,66116,+127,-51,-5
2026/08/13,26760,27180,26760,26980,840,+3.21,104093,+524,-27,-411
2026/08/12,25700,26200,25700,26140,640,+2.51,97879,-24,+22,-53
2026/08/11,26070,26070,25385,25500,635,-2.43,89244,+128,-12,+9
2026/08/10,25935,26250,25805,26135,205,+0.79,102482,+510,+62,-195
2026/08/07,26225,26240,25650,25930,60,-0.23,71068,+15,-15,-470
2026/08/06,26790,26790,25685,25990,870,-3.24,90424,+309,+17,-216
2026/08/05,27180,27180,26610,26860,540,+2.05,103533,+646,-64,-713
2026/08/04,26490,26490,25665,26320,575,+2.23,112271,+325,+45,-349
2026/08/03,26170,26170,25450,25745,280,+1.10,124682,+368,-31,-163
2026/07/31,25410,25705,25055,25465,2355,+10.19,147823,+529,-105,-422
2026/07/30,23420,23775,23010,23110,1240,-5.09,221166,-1505,-35,+1509
2026/07/29,25625,25870,23485,24350,1520,-5.88,381786,-917,+172,+697
2026/07/28,26575,27375,25827,25870,2230,-7.94,143590,-748,+215,+630
2026/07/27,28190,28190,27520,28100,480,-1.68,82984,-33,+54,-137
2026/07/24,29200,29265,28385,28580,645,-2.21,88864,-237,-4,+272
2026/07/23,29485,29640,29185,29225,5,+0.02,91140,+633,-36,-787
2026/07/22,29600,30000,29195,29220,885,+3.12,107524,+516,+25,-30
2026/07/21,27615,28390,27305,28335,935,+3.41,251456,-171,-60,+774
2026/07/20,28855,28855,26905,27400,1940,-6.61,218569,-513,+452,-145
2026/07/16,30285,30285,29235,29340,1345,-4.38,179562,+7,+167,+76
2026/07/15,30940,30940,30390,30685,495,+1.64,203858,-448,-128,+405
2026/07/14,29770,30190,29365,30190,220,-0.72,391794,-503,+894,-23
2026/07/13,31685,31950,30405,30410,1480,-4.64,337810,+11,+2135,-1120
2026/07/10,32880,32880,31890,31890,460,+1.46,192559,-1352,+139,+2061
2026/07/09,31010,31450,31010,31430,930,+3.05,274330,-763,-287,+816
2026/07/08,31095,31480,30305,30500,2000,-6.15,453221,+585,+2055,-2690
2026/07/07,33895,33895,32325,32500,650,-1.96,214695,-850,+88,+1500
