일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,298.0400,8.5700,+2.96,2356510,292.4600,299.0500,290.3800
2026/08/28,289.4700,14.6200,-4.81,2639978,297.1700,301.0400,287.0101
2026/08/27,304.0900,13.7900,+4.75,2749172,297.1600,310.1400,296.8000
2026/08/26,290.3000,7.6500,+2.71,1933742,282.6200,290.6300,280.0000
2026/08/25,282.6500,5.1200,+1.84,1807679,285.9400,289.6000,279.7900
2026/08/24,277.5300,7.4400,-2.61,3693289,271.6900,279.8334,266.3100
2026/08/21,284.9700,5.5500,-1.91,3009143,293.8000,296.8800,277.3000
2026/08/20,290.5200,1.5000,+0.52,2597957,289.9900,293.0000,281.7192
2026/08/19,289.0200,14.4200,-4.75,4228027,304.0300,308.3800,278.1750
2026/08/18,303.4400,16.7300,-5.23,5111178,304.0000,311.9500,293.0154
2026/08/17,320.1700,1.4400,-0.45,5695669,344.9500,353.9999,319.2700
2026/08/14,321.6100,1.1700,-0.36,2523610,322.7900,326.3000,311.6001
2026/08/13,322.7800,3.9800,+1.25,3343115,313.0500,332.8800,310.0000
2026/08/12,318.8000,6.8100,+2.18,4453708,334.4900,337.0500,318.2000
2026/08/11,311.9900,5.2400,-1.65,2707110,324.3200,324.3200,306.5000
2026/08/10,317.2300,16.9400,-5.07,3364839,337.7900,343.0000,316.7800
2026/08/07,334.1700,2.6700,+0.81,3547296,340.0200,350.8800,329.0001
2026/08/06,331.5000,13.0700,+4.10,4943992,313.0900,344.8800,308.0000
2026/08/05,318.4300,43.2400,-11.96,9286136,348.3650,356.0000,315.1100
2026/08/04,361.6700,40.6200,+12.65,10056950,346.0200,367.8500,340.0200
2026/08/03,321.0500,9.8200,+3.16,4136268,297.5000,330.4800,285.6800
2026/07/31,311.2300,11.5400,+3.85,5329350,328.3200,342.0000,305.0000
2026/07/30,299.6900,49.9500,+20.00,6352726,282.1750,300.1000,273.0100
2026/07/29,249.7400,10.4900,-4.03,5367840,260.2400,273.8000,244.6100
2026/07/28,260.2300,22.2900,-7.89,4760904,266.9900,268.6500,251.1701
2026/07/27,282.5200,9.0600,-3.11,4117470,295.0000,299.2300,267.7400
2026/07/24,291.5800,35.3900,-10.82,4275639,317.3100,319.5100,290.1000
2026/07/23,326.9700,3.9250,-1.19,2810653,327.0000,342.3000,318.7000
2026/07/22,330.8950,11.1050,+3.47,3104649,308.2800,338.8600,307.0000
2026/07/21,319.7900,10.7000,+3.46,3886957,326.5550,331.2300,313.8500
2026/07/20,309.0900,5.4700,+1.80,2945469,309.3900,322.6750,307.4000
2026/07/17,303.6200,16.1200,-5.04,7235791,304.1750,314.7500,289.6000
2026/07/16,319.7400,30.8800,-8.81,4689860,337.0250,338.9450,313.6300
2026/07/15,350.6200,11.1600,-3.08,3380797,371.5700,371.5700,336.0100
2026/07/14,361.7800,0.2700,-0.07,3280874,392.0300,392.1999,360.7000
2026/07/13,362.0500,50.9200,-12.33,6286097,403.5100,403.5100,350.0950
2026/07/10,412.9700,4.4800,-1.07,2161516,409.3800,421.4199,401.6200
2026/07/09,417.4500,24.2900,+6.18,3792731,417.8600,436.4700,412.2700
2026/07/08,393.1600,10.2700,+2.68,3473466,380.6900,400.6600,374.5200
2026/07/07,382.8900,49.8500,-11.52,7181666,403.1550,417.4600,366.6600
2026/07/06,432.7400,26.3200,+6.48,4124548,417.3200,453.7999,411.0000
2026/07/02,406.4200,24.4400,-5.67,7258768,433.0350,465.9300,390.0100
2026/07/01,430.8600,52.1600,-10.80,5834835,468.0000,468.0650,428.8250
2026/06/30,483.0200,27.0600,+5.93,6066576,458.1300,499.4762,457.1900
2026/06/29,455.9600,64.2200,+16.39,6331430,403.0800,456.7600,381.4750
2026/06/26,391.7400,6.2600,-1.57,6564846,382.4500,396.2650,372.5000
2026/06/25,398.0000,1.9200,-0.48,4961856,422.6000,429.9100,386.6500
2026/06/24,399.9200,2.9000,+0.73,4063528,401.7200,421.7000,385.1200
2026/06/23,397.0200,42.6400,-9.70,6478319,399.4300,419.6180,392.8900
2026/06/22,439.6600,22.5900,+5.42,5584028,425.6100,440.9900,412.2650
2026/06/18,417.0700,42.3900,+11.31,22605898,384.7300,421.2000,384.7300
2026/06/17,374.6800,12.9700,+3.59,5121957,377.8200,393.7900,370.0100
2026/06/16,361.7100,27.4900,-7.06,5938643,383.6400,397.6600,360.8900
2026/06/15,389.2000,22.0500,+6.01,5332824,382.5000,398.1300,364.4100
