일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,471.6900,6.1100,+1.31,12484262,466.2200,475.8099,463.6800
2026/08/28,465.5800,11.0900,-2.33,15373949,472.5200,478.7500,465.2900
2026/08/27,476.6700,4.2600,-0.89,16441821,481.5000,483.0000,469.6300
2026/08/26,480.9300,1.7500,+0.37,14348127,475.0700,491.1200,474.5800
2026/08/25,479.1800,22.4350,+4.91,19001388,474.2000,481.5000,469.0700
2026/08/24,456.7450,16.5050,-3.49,16602165,468.5400,468.5400,451.0000
2026/08/21,473.2500,3.7950,+0.81,14343885,476.4950,477.3600,462.1110
2026/08/20,469.4550,3.0350,+0.65,15178892,465.6700,475.5299,460.2700
2026/08/19,466.4200,17.9700,-3.71,19208418,486.0800,487.0050,462.5500
2026/08/18,484.3900,21.6100,-4.27,23721548,487.5600,491.8100,474.9750
2026/08/17,506.0000,8.3900,-1.63,20057628,514.1600,517.3493,504.5200
2026/08/14,514.3900,31.3800,+6.50,25570295,487.6000,514.6700,483.2000
2026/08/13,483.0100,0.0800,+0.02,18764893,483.0000,497.9900,481.0000
2026/08/12,482.9300,8.6100,+1.82,18628269,488.3200,491.6899,480.8800
2026/08/11,474.3200,4.7600,+1.01,18052466,474.7500,475.9900,463.2100
2026/08/10,469.5600,13.8000,-2.86,19656615,477.0900,483.3600,469.2900
2026/08/07,483.3600,5.9200,-1.21,26618791,497.9400,498.9900,476.0600
2026/08/06,489.2800,7.2300,+1.50,24675347,471.7500,496.7200,469.5000
2026/08/05,482.0500,36.5300,-7.04,49615835,484.4950,502.0000,478.2000
2026/08/04,518.5800,33.9400,+7.00,48463564,504.0000,530.1300,502.2000
2026/08/03,484.6400,8.4900,+1.78,24422256,461.7900,490.9464,455.3000
2026/07/31,476.1500,9.2400,-1.90,26615744,510.2750,515.6200,475.7600
2026/07/30,485.3900,55.8300,+13.00,36936565,460.0000,498.2000,457.6800
2026/07/29,429.5600,25.0600,-5.51,32304898,452.6750,457.2200,424.0316
2026/07/28,454.6200,40.3300,-8.15,36315461,467.0000,472.7500,442.2700
2026/07/27,494.9500,27.0000,-5.17,31800253,527.5050,528.0000,476.9300
2026/07/24,521.9500,17.7400,-3.29,27200730,546.9200,549.0000,518.0000
2026/07/23,539.6900,12.6400,-2.29,27155083,544.7400,556.4900,525.0000
2026/07/22,552.3300,7.9000,+1.45,24776665,526.8750,561.4700,526.6000
2026/07/21,544.4300,40.8600,+8.11,29045125,526.0000,548.1399,522.6001
2026/07/20,503.5700,7.8100,+1.58,23440720,516.9950,522.4400,502.3600
2026/07/17,495.7600,5.1800,-1.03,32115875,476.8800,505.8795,460.2100
2026/07/16,500.9400,28.2000,-5.33,27093696,509.3300,518.7400,491.8000
2026/07/15,529.1400,18.9900,-3.46,27826203,556.0200,558.8900,509.5700
2026/07/14,548.1300,13.7400,+2.57,21201370,567.2200,574.2000,546.7700
2026/07/13,534.3900,23.5000,-4.21,22957350,537.5000,551.8700,526.9200
2026/07/10,557.8900,11.1700,+2.04,20704530,544.0050,560.2500,540.0500
2026/07/09,546.7200,29.3150,+5.67,26900808,537.2650,559.5000,535.2000
2026/07/08,517.4050,1.2950,+0.25,23768536,504.8050,522.9800,498.1500
2026/07/07,516.1100,35.9400,-6.51,29166801,515.9100,524.9700,503.1100
2026/07/06,552.0500,34.2300,+6.61,30684180,535.3500,572.5000,527.0000
2026/07/02,517.8200,23.0600,-4.26,28228930,538.1600,547.6500,506.0000
2026/07/01,540.8800,40.0300,-6.89,28326776,557.5300,564.0900,538.7400
2026/06/30,580.9100,41.4200,+7.68,34488503,545.5700,584.7300,545.5650
2026/06/29,539.4900,17.9100,+3.43,26671016,522.8400,542.1900,495.3500
2026/06/26,521.5800,10.9900,-2.06,52705137,519.7950,525.1100,502.6100
2026/06/25,532.5700,12.8300,+2.47,27115339,543.9300,550.8800,507.0000
2026/06/24,519.7400,0.1100,-0.02,26548270,520.8200,524.9600,503.5000
2026/06/23,519.8500,31.7800,-5.76,30196780,509.0800,528.4890,506.8100
2026/06/22,551.6300,14.2600,+2.65,25983245,545.5000,562.9899,535.7101
2026/06/18,537.3700,24.8900,+4.86,43805645,531.5800,539.6900,526.3150
2026/06/17,512.4800,5.1900,+1.02,27085340,529.6550,532.5000,507.3008
2026/06/16,507.2900,39.9700,-7.30,28411694,546.8900,548.9500,507.2500
2026/06/15,547.2600,35.6900,+6.98,33482425,535.7500,558.3700,530.5000
2026/06/12,511.5700,23.1200,+4.73,31618462,499.6850,521.7100,494.0000
2026/06/11,488.4500,36.0500,+7.97,30463082,461.6000,490.4600,458.0200
2026/06/10,452.4000,23.1050,-4.86,27777399,467.9700,477.4499,448.3300
2026/06/09,475.5050,14.8250,-3.02,37799812,502.7500,505.0000,437.2300
2026/06/08,490.3300,23.9500,+5.14,25158813,485.0000,494.9700,477.7100
2026/06/05,466.3800,56.8200,-10.86,46900606,499.5250,505.6200,463.9500
2026/06/04,523.2000,19.3200,-3.56,29109999,514.7500,532.1900,499.8701
2026/06/03,542.5200,20.9800,+4.02,29411149,533.7500,546.4400,524.3001
2026/06/02,521.5400,11.4100,+2.24,24293209,506.3000,522.4900,501.2200
2026/06/01,510.1300,5.9700,-1.16,33309248,500.1600,517.5000,486.8000
2026/05/29,516.1000,1.9900,-0.38,30803236,520.8000,522.0000,503.4300
2026/05/28,518.0900,22.5500,+4.55,31438519,499.0000,527.1999,493.5200
2026/05/27,495.5400,8.3500,-1.66,27589331,508.0000,510.2100,486.6603
2026/05/26,503.8900,36.3800,+7.78,38473784,484.7400,506.9600,480.2300
2026/05/22,467.5100,17.9200,+3.99,34758602,469.8400,481.4100,461.7100
