일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,260.2800,6.1500,-2.31,46112555,263.8250,264.3600,257.1200
2026/08/28,266.4300,10.1700,+3.97,49547427,258.3200,267.5600,257.7800
2026/08/27,256.2600,4.0200,-1.54,35927807,259.2300,259.6600,255.0200
2026/08/26,260.2800,0.7800,-0.30,21528373,261.2750,262.0500,258.2400
2026/08/25,261.0600,1.0100,-0.39,25550214,262.5100,263.8900,259.8300
2026/08/24,262.0700,3.4400,+1.33,28070483,259.6000,263.3200,259.0500
2026/08/21,258.6300,1.4800,-0.57,35722956,260.7400,261.0900,257.0350
2026/08/20,260.1100,5.7300,-2.16,28374098,263.1600,263.8400,259.5200
2026/08/19,265.8400,6.3900,+2.46,35762439,260.8450,266.4000,258.5800
2026/08/18,259.4500,1.8600,-0.71,33171263,260.6300,262.1800,257.7300
2026/08/17,261.3100,1.3400,-0.51,43896516,265.4400,265.7500,258.3390
2026/08/14,262.6500,2.4800,-0.94,27251660,264.8750,265.8100,262.4200
2026/08/13,265.1300,2.1500,-0.80,32170151,267.2350,269.5800,264.7050
2026/08/12,267.2800,4.9900,-1.83,29941093,273.1800,273.4600,267.1000
2026/08/11,272.2700,5.8200,-2.09,31895708,278.6900,278.8400,271.3600
2026/08/10,278.0900,3.6100,+1.32,35731907,274.0100,280.1400,273.6001
2026/08/07,274.4800,2.2200,+0.82,33861436,272.8700,278.3100,272.7500
2026/08/06,272.2600,0.3900,-0.14,30672901,272.7650,275.4800,271.0610
2026/08/05,272.6500,4.7700,-1.72,45119804,281.5900,282.7900,270.7300
2026/08/04,277.4200,6.6000,-2.32,69748055,276.0600,281.0700,275.8200
2026/08/03,284.0200,12.4400,+4.58,90830221,278.2900,287.2000,278.0000
2026/07/31,271.5800,36.0800,+15.32,129054771,265.0000,273.2300,262.0100
2026/07/30,235.5000,8.8500,+3.90,101839774,233.3500,239.8236,231.0600
2026/07/29,226.6500,4.2100,-1.82,44957524,229.3150,232.8200,226.1600
2026/07/28,230.8600,0.5300,-0.23,44521597,232.8500,233.1100,228.1000
2026/07/27,231.3900,0.7200,-0.31,34999495,235.6650,235.8900,230.9900
2026/07/24,232.1100,1.5500,-0.66,35017357,234.3800,234.9500,231.3400
2026/07/23,233.6600,11.1900,-4.57,47465337,236.2600,238.3499,232.0516
2026/07/22,244.8500,2.7000,-1.09,34112732,248.2650,248.4500,242.4500
2026/07/21,247.5500,2.4400,-0.98,27732064,249.1050,249.3400,246.4200
2026/07/20,249.9900,2.7600,+1.12,32406481,248.7600,252.8900,248.0000
2026/07/17,247.2300,2.6600,-1.06,43572361,244.4600,250.2400,243.5900
2026/07/16,249.8900,5.0700,-1.99,45343709,255.1200,258.0825,248.0000
2026/07/15,254.9600,7.4700,+3.02,45240622,249.7500,256.4800,249.7500
2026/07/14,247.4900,0.1800,+0.07,30108054,245.5500,248.5600,243.8000
