일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,197.1300,1.7500,+0.90,5028142,195.5000,197.9900,193.9100
2026/08/28,195.3800,5.7100,-2.84,3064688,200.0000,200.1000,194.6100
2026/08/27,201.0900,1.1600,-0.57,4699005,205.9000,206.1300,199.2150
2026/08/26,202.2500,11.3100,+5.92,7664556,190.9050,203.3600,190.9050
2026/08/25,190.9400,2.7900,+1.48,4387863,192.3400,193.1500,188.0600
2026/08/24,188.1500,0.5000,-0.27,5308866,186.0000,190.2500,186.0000
2026/08/21,188.6500,4.9000,+2.67,8125215,183.7700,190.4400,183.5900
2026/08/20,183.7500,2.7000,-1.45,4207289,185.3100,187.2800,182.8300
2026/08/19,186.4500,6.7300,-3.48,5740458,195.0400,195.5000,184.5100
2026/08/18,193.1800,8.6200,-4.27,8886944,196.0000,197.9900,189.6700
2026/08/17,201.8000,2.9800,+1.50,5683904,201.1600,202.2650,198.3400
2026/08/14,198.8200,4.8000,-2.36,4707405,205.2700,205.2700,198.2450
2026/08/13,203.6200,6.8800,-3.27,7907821,209.7900,210.1100,203.5500
2026/08/12,210.5000,12.6500,+6.39,10008621,205.4700,211.4500,203.7600
2026/08/11,197.8500,6.3300,+3.31,6277324,194.5650,198.9200,190.4800
2026/08/10,191.5200,2.8500,+1.51,5434077,192.4900,195.7000,187.0300
2026/08/07,188.6700,3.6500,-1.90,7208543,198.0000,198.0000,187.5000
2026/08/06,192.3200,4.9900,-2.53,7774567,192.4100,197.1100,189.4300
2026/08/05,197.3100,6.8000,+3.57,20226951,210.1900,214.8900,191.0100
2026/08/04,190.5100,5.6200,+3.04,14097399,187.7000,194.3499,187.0106
2026/08/03,184.8900,4.5400,+2.52,8335737,174.4200,186.5700,173.4500
2026/07/31,180.3500,9.3300,+5.46,8472344,177.6000,183.5200,175.7000
2026/07/30,171.0200,13.0500,+8.26,7289657,164.5600,171.5100,164.4848
2026/07/29,157.9700,11.7400,-6.92,8189460,168.4500,169.3300,156.8400
2026/07/28,169.7100,1.0500,-0.61,8571276,165.5700,169.9700,159.2700
2026/07/27,170.7600,3.2300,-1.86,6025139,175.2100,176.7300,165.9000
2026/07/24,173.9900,2.6200,-1.48,4721549,174.0000,177.5125,170.9093
2026/07/23,176.6100,1.7400,+1.00,4338769,172.7700,179.4800,172.7700
2026/07/22,174.8700,0.2900,+0.17,3342931,171.1350,176.4100,170.0000
2026/07/21,174.5800,5.2300,+3.09,6357828,174.4400,177.8800,172.1000
2026/07/20,169.3500,0.7400,+0.44,6025940,168.9400,172.6000,168.3200
2026/07/17,168.6100,0.0500,+0.03,7560355,163.1050,171.4300,157.1300
2026/07/16,168.5600,3.3600,-1.95,8412251,169.2100,170.2810,163.6800
2026/07/15,171.9200,10.6500,-5.83,8095902,184.0000,186.2100,166.5000
2026/07/14,182.5700,1.4200,+0.78,7566281,183.9000,185.6000,175.6900
2026/07/13,181.1500,5.8100,-3.11,9149528,186.2650,189.5600,180.5000
2026/07/10,186.9600,2.2700,+1.23,5592511,185.2970,187.6200,182.5000
2026/07/09,184.6900,3.6400,+2.01,9932028,187.0000,189.8170,179.8000
2026/07/08,181.0500,14.5900,+8.76,11912768,166.1800,181.2700,165.9900
2026/07/07,166.4600,6.8200,-3.94,8969200,169.1000,169.2300,162.5900
2026/07/06,173.2800,13.2900,+8.31,8509275,162.8650,177.2000,161.3600
2026/07/02,159.9900,6.6300,-3.98,9766524,166.3600,167.7350,156.6500
2026/07/01,166.6200,3.2600,-1.92,9098193,165.5550,170.5000,159.2000
2026/06/30,169.8800,5.7800,+3.52,10281794,164.1100,172.5490,162.7000
2026/06/29,164.1000,6.5000,+4.12,8535700,158.8600,165.6600,155.2200
