일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,158.9700,1.2300,+0.78,5527690,156.4100,159.6950,155.9300
2026/08/28,157.7400,3.6400,-2.26,4228612,161.2500,161.4900,157.6300
2026/08/27,161.3800,0.0400,+0.02,5133106,163.3000,163.3000,160.3700
2026/08/26,161.3400,2.5600,+1.61,5931104,159.0700,162.6200,158.9600
2026/08/25,158.7800,3.2300,+2.08,5415803,159.6600,159.6800,157.2700
2026/08/24,155.5500,1.4600,-0.93,5264431,155.0000,156.3018,151.5000
2026/08/21,157.0100,3.9000,+2.55,6282207,156.5000,158.4100,153.8100
2026/08/20,153.1100,2.9300,-1.88,5418724,155.7500,156.6999,152.8200
2026/08/19,156.0400,3.5300,-2.21,6039790,162.0000,163.2500,155.5600
2026/08/18,159.5700,11.3000,-6.61,7537300,165.2000,166.3800,158.1000
2026/08/17,170.8700,3.7600,+2.25,6303534,167.9500,172.0600,166.4500
2026/08/14,167.1100,1.3600,+0.82,4482316,165.6500,167.8899,165.2500
2026/08/13,165.7500,4.2100,-2.48,4193120,169.8200,170.4000,165.2700
2026/08/12,169.9600,2.7300,+1.63,5223165,172.1400,172.8200,168.1800
2026/08/11,167.2300,0.4700,-0.28,3953134,170.4100,172.2600,167.1600
2026/08/10,167.7000,1.4800,-0.87,5584139,171.4300,171.7100,167.6300
2026/08/07,169.1800,1.4300,-0.84,6062086,171.6500,172.4100,166.8800
2026/08/06,170.6100,1.6300,-0.95,5360854,169.7400,176.3300,168.6700
2026/08/05,172.2400,0.9100,+0.53,6144231,172.3050,174.8400,170.6000
2026/08/04,171.3300,7.9900,+4.89,8173687,170.4700,172.9000,165.5900
2026/08/03,163.3400,2.6400,+1.64,7161854,157.7300,164.1600,155.3601
2026/07/31,160.7000,0.8800,+0.55,9279901,164.8300,167.2302,159.8500
2026/07/30,159.8200,9.5100,+6.33,10766631,159.7100,161.2100,154.7200
2026/07/29,150.3100,6.4600,+4.49,12188350,152.3000,159.2800,149.4200
2026/07/28,143.8500,5.4300,-3.64,10115507,145.4400,146.0000,139.6700
2026/07/27,149.2800,3.3900,-2.22,5567451,155.5000,155.5000,146.7500
2026/07/24,152.6700,4.7600,-3.02,5606016,156.3000,158.8600,151.2900
2026/07/23,157.4300,0.0800,-0.05,6317767,156.5000,160.0300,156.1200
2026/07/22,157.5100,0.3000,-0.19,6048121,153.9900,158.5300,153.6200
2026/07/21,157.8100,7.3000,+4.85,6487187,155.0500,158.0800,152.8650
2026/07/20,150.5100,0.6900,-0.46,4762464,152.0000,154.7800,150.2100
2026/07/17,151.2000,1.9400,-1.27,6699331,149.7600,153.5100,146.0400
2026/07/16,153.1400,3.9000,-2.48,5486449,154.4200,157.0000,152.4650
2026/07/15,157.0400,1.3300,-0.84,7404358,160.3700,160.6700,154.1400
2026/07/14,158.3700,2.3800,+1.53,5207935,158.0900,159.9800,155.2985
2026/07/13,155.9900,3.0700,-1.93,5502504,158.3400,160.3800,154.9600
2026/07/10,159.0600,3.1800,-1.96,5949171,161.5600,162.4529,157.1400
2026/07/09,162.2400,4.0200,+2.54,6124171,163.5000,164.8900,161.3300
2026/07/08,158.2200,0.3900,-0.25,6263001,154.8000,158.5500,153.1500
2026/07/07,158.6100,8.2000,-4.92,5460327,161.8300,163.3250,156.2400
2026/07/06,166.8100,2.2200,+1.35,7625118,168.0000,169.3700,164.6900
2026/07/02,164.5900,7.6300,-4.43,8304643,170.0100,173.0000,161.3600
2026/07/01,172.2200,4.1000,-2.33,8011461,174.1400,174.1400,167.5300
2026/06/30,176.3200,9.9000,+5.95,14418730,167.1700,178.5200,167.1500
2026/06/29,166.4200,2.7000,+1.65,6196597,164.2600,166.9000,159.7310
2026/06/26,163.7200,1.4300,-0.87,11861093,162.4700,165.9398,160.6600
2026/06/25,165.1500,2.3700,+1.46,8485621,166.1500,168.7200,163.8000
2026/06/24,162.7800,4.0800,+2.57,8665481,157.3400,166.3300,156.2100
2026/06/23,158.7000,7.0100,-4.23,10010550,159.7100,162.2650,158.5000
2026/06/22,165.9600,2.0000,+1.22,8584849,166.3600,168.7500,164.0500
2026/06/18,163.9600,2.8500,+1.77,12819436,165.3200,166.3500,162.6700
2026/06/17,161.1100,2.3000,+1.45,8712905,161.0300,164.1800,159.8657
2026/06/16,158.8100,0.2200,+0.14,8222953,158.5900,162.1000,157.0650
2026/06/15,158.5900,4.7900,+3.11,9036445,156.5500,159.3550,154.8100
2026/06/12,153.8000,1.3400,+0.88,9393031,153.7700,155.2900,151.7750
2026/06/11,152.4600,3.2400,+2.17,11909613,150.4400,153.2900,147.7000
2026/06/10,149.2200,4.8500,-3.15,12069550,153.0000,159.8000,149.0600
2026/06/09,154.0700,10.4700,+7.29,15432093,147.4600,154.9200,145.2200
2026/06/08,143.6000,4.7900,+3.45,7506504,144.0250,145.9500,141.8550
2026/06/05,138.8100,7.9600,-5.42,7168148,143.2500,144.9691,138.2000
2026/06/04,146.7700,0.8500,-0.58,5619368,145.2700,147.8400,141.8200
2026/06/03,147.6200,0.7800,-0.53,8580235,148.6000,151.9200,146.0100
2026/06/02,148.4000,2.0600,+1.41,11441799,146.6600,149.5350,141.5000
2026/06/01,146.3400,2.4200,-1.63,8717950,146.9450,148.6500,144.2000
2026/05/29,148.7600,1.0800,+0.73,13698753,148.9400,151.6150,146.0001
2026/05/28,147.6800,7.4400,+5.31,13795327,141.0200,148.3400,139.8860
2026/05/27,140.2400,0.6800,+0.49,10074779,139.7100,141.9900,138.1700
2026/05/26,139.5600,7.5000,+5.68,16593708,136.8800,143.7500,136.2000
2026/05/22,132.0600,7.2000,+5.77,17734910,127.1200,132.5900,127.1200
2026/05/21,124.8600,1.8100,+1.47,8587146,122.2800,125.1700,121.4100
2026/05/20,123.0500,3.8500,+3.23,9564076,119.9700,123.1000,119.6000
2026/05/19,119.2000,2.5200,-2.07,10761949,119.7200,120.3200,118.0100
2026/05/18,121.7200,3.2800,-2.62,9889272,125.4100,125.7400,120.1550
2026/05/15,125.0000,4.1900,-3.24,10352463,128.3850,128.7000,124.7226
2026/05/14,129.1900,4.5500,+3.65,10849032,124.9300,129.4400,123.5500
2026/05/13,124.6400,3.2300,-2.53,11311069,129.9500,129.9800,123.5500
2026/05/12,127.8700,5.4000,+4.41,15959372,123.9400,128.1700,123.5950
2026/05/11,122.4700,5.5600,-4.34,24755921,127.9700,128.4100,121.4300
2026/05/08,128.0300,8.5900,-6.29,18190972,137.5800,137.8000,127.6300
2026/05/07,136.6200,1.8500,-1.34,9002706,139.1100,139.1100,134.3900
2026/05/06,138.4700,1.7800,+1.30,10534376,138.0000,140.8800,137.0200
2026/05/05,136.6900,4.3400,-3.08,11698792,143.4500,144.1200,135.9200
2026/05/04,141.0300,1.2700,-0.89,7194163,143.4500,143.9500,140.1900
2026/05/01,142.3000,4.9700,-3.37,5773915,146.4800,146.6700,142.2800
2026/04/30,147.2700,1.1100,-0.75,9313957,151.9400,152.8400,143.6100
2026/04/29,148.3800,4.6600,+3.24,14324324,154.0000,154.9180,146.5500
2026/04/28,143.7200,4.9200,-3.31,9871588,144.0000,147.4100,142.2590
2026/04/27,148.6400,1.0700,-0.71,6348017,149.2500,150.0000,144.4500
2026/04/24,149.7100,0.4700,-0.31,4662230,151.3600,151.7300,148.5100
2026/04/23,150.1800,2.0500,+1.38,6733587,149.0700,152.0000,148.6100
2026/04/22,148.1300,3.8000,-2.50,9364520,148.1300,151.2500,145.4100
2026/04/21,151.9300,0.8800,-0.58,7371664,153.9900,155.4569,151.2700
2026/04/20,152.8100,1.7500,+1.16,6102724,153.0000,154.2450,152.0000
2026/04/17,151.0600,2.1000,+1.41,6784995,149.7800,152.4100,149.7600
2026/04/16,148.9600,1.9800,+1.35,6460081,147.0000,149.0700,145.3900
2026/04/15,146.9800,1.7400,-1.17,7313586,148.0000,148.7200,144.5000
2026/04/14,148.7200,3.4500,+2.37,8364376,147.8600,149.2100,145.7200
2026/04/13,145.2700,4.5200,+3.21,7634984,140.0000,145.3500,139.9200
2026/04/10,140.7500,3.0700,+2.23,9737525,138.8100,143.7000,138.4200
2026/04/09,137.6800,2.3600,+1.74,6807619,136.6900,138.1700,134.1500
2026/04/08,135.3200,6.9400,+5.41,7055686,136.0000,136.6000,131.8200
2026/04/07,128.3800,1.8900,+1.49,4462120,125.2000,128.4000,124.6800
2026/04/06,126.4900,1.5100,-1.18,4605632,128.0000,128.4750,126.1000
2026/04/02,128.0000,0.3000,+0.23,5587580,123.1800,129.1900,123.0000
2026/04/01,127.7000,1.3500,+1.07,7359939,127.1700,129.7300,127.1600
2026/03/31,126.3500,7.2000,+6.04,10075718,122.2800,126.5100,121.0000
2026/03/30,119.1500,4.4700,-3.62,8171710,125.4000,126.3700,118.2400
2026/03/27,123.6200,0.4900,+0.40,7805964,122.5000,126.0150,121.3320
2026/03/26,123.1300,5.6000,-4.35,9646193,125.2500,127.2300,122.6000
2026/03/25,128.7300,0.7700,+0.60,11719803,129.8600,131.7100,126.7600
2026/03/24,127.9600,2.7100,-2.07,9732338,128.6000,133.0881,127.7500
2026/03/23,130.6700,4.1800,+3.30,7714892,129.1200,133.4099,128.5800
2026/03/20,126.7400,3.9100,-2.99,14276130,130.1400,130.8300,124.6800
2026/03/19,130.6500,2.8400,+2.22,7153787,125.8300,131.9900,125.4000
2026/03/18,127.8100,7.3100,-5.41,12619038,135.2900,136.6200,126.4700
2026/03/17,135.1200,1.6800,-1.23,13196412,139.8900,144.2500,134.2400
2026/03/16,136.8000,2.8800,+2.15,10492836,137.0000,140.5800,135.6500
2026/03/13,133.9200,2.4500,+1.86,7246888,131.9300,136.8500,131.9200
2026/03/12,131.4700,3.0700,-2.28,8937406,132.3100,132.4900,128.5400
2026/03/11,134.5400,2.2000,-1.61,6628944,136.4400,136.7900,132.6950
2026/03/10,136.7400,0.6800,+0.50,7156268,136.3800,139.3600,135.5100
2026/03/09,136.0600,4.1900,+3.18,8755130,129.5700,136.7300,128.6103
2026/03/06,131.8700,4.3700,-3.21,7975628,133.1700,135.4000,130.5710
2026/03/05,136.2400,3.4900,+2.63,13923080,136.0000,140.3800,133.8700
2026/03/04,132.7500,3.1700,+2.45,11544581,132.1200,133.4750,129.1170
2026/03/03,129.5800,5.5800,-4.13,15242068,130.0000,131.9225,127.6000
2026/03/02,135.1600,10.9000,-7.46,14746816,141.4950,142.1400,134.7700
2026/02/27,146.0600,2.4100,-1.62,9827484,145.4800,147.5100,143.5400
2026/02/26,148.4700,4.1700,-2.73,7755864,153.2500,153.6500,143.8300
2026/02/25,152.6400,1.1400,+0.75,5653475,151.4500,154.0500,148.8100
2026/02/24,151.5000,3.6800,+2.49,8000387,148.5800,151.7100,145.5000
2026/02/23,147.8200,3.2200,-2.13,6070412,150.1200,151.7550,147.2000
2026/02/20,151.0400,0.1600,-0.11,7467401,149.6900,153.6300,149.6900
2026/02/19,151.2000,3.4700,+2.35,5230807,147.0000,151.3800,146.3100
2026/02/18,147.7300,0.8400,-0.57,7485197,150.0000,151.3700,147.0800
2026/02/17,148.5700,1.8500,+1.26,6844790,144.7500,149.3100,143.0301
2026/02/13,146.7200,2.9900,+2.08,9378769,143.6500,148.8200,141.0200
2026/02/12,143.7300,0.3100,-0.22,11352634,147.3000,148.8700,143.6900
2026/02/11,144.0400,0.1000,-0.07,8910844,147.7700,147.7700,138.7950
2026/02/10,144.1400,0.0600,-0.04,10687644,146.0500,147.3799,143.1400
2026/02/09,144.2000,7.9700,+5.85,9321240,137.1700,145.2650,136.6100
2026/02/06,136.2300,8.6000,+6.74,11531466,132.1600,138.3050,132.1300
2026/02/05,127.6300,2.3700,-1.82,19602571,129.5000,130.6800,126.2100
2026/02/04,130.0000,17.0600,-11.60,21254219,146.8100,147.0100,129.3900
2026/02/03,147.0600,2.1300,+1.47,10358522,146.8500,149.2400,140.9800
2026/02/02,144.9300,0.8500,+0.59,9951127,144.0000,148.5100,144.0000
2026/01/30,144.0800,5.5000,-3.68,12333741,147.9500,149.6600,143.7500
2026/01/29,149.5800,3.6200,+2.48,16929362,148.2600,151.4138,145.7500
2026/01/28,145.9600,20.2900,-12.20,37790623,141.0000,153.4100,140.0000
2026/01/27,166.2500,10.6900,+6.87,18312515,157.8800,167.0400,157.4500
2026/01/26,155.5600,4.5700,+3.03,10563887,150.6500,156.6900,150.0200
2026/01/23,150.9900,1.5100,-0.99,7333749,151.2500,151.8000,147.9000
2026/01/22,152.5000,2.1000,-1.36,7799565,156.0000,157.5400,148.8700
2026/01/21,154.6000,2.2700,+1.49,8664662,153.0750,155.8400,150.4800
2026/01/20,152.3300,2.0600,-1.33,10669237,150.6000,154.3900,149.5251
2026/01/16,154.3900,0.1700,+0.11,9602052,155.0000,155.0000,151.6201
2026/01/15,154.2200,7.4700,+5.09,10078932,150.1600,156.2800,149.5000
2026/01/14,146.7500,2.2200,-1.49,9420524,148.1700,148.6911,144.3800
2026/01/13,148.9700,3.8600,+2.66,8061506,146.1900,149.1100,144.0900
2026/01/12,145.1100,4.9500,+3.53,10134280,141.6600,147.2500,141.5000
2026/01/09,140.1600,3.9100,+2.87,5192056,136.2600,140.4900,135.9150
2026/01/08,136.2500,2.6600,-1.91,6971054,137.7600,138.2650,134.1000
2026/01/07,138.9100,2.4700,-1.75,8295244,139.6700,140.3255,137.9600
2026/01/06,141.3800,1.5000,+1.07,12854590,137.6600,141.4100,130.6201
2026/01/05,139.8800,0.1700,+0.12,10179257,141.0500,143.3000,139.0001
2026/01/02,139.7100,4.5700,+3.38,7178604,137.1200,139.9400,136.6900
2025/12/31,135.1400,1.0600,-0.78,3303215,136.6400,137.1450,135.0300
2025/12/30,136.2000,0.7000,-0.51,3551799,137.2700,137.8500,135.9400
2025/12/29,136.9000,0.5300,-0.39,4377086,136.2000,137.5900,135.8245
2025/12/26,137.4300,0.5100,-0.37,2668167,137.9400,138.3200,136.8400
2025/12/24,137.9400,0.8200,+0.60,2162371,137.1800,138.1500,136.6450
2025/12/23,137.1200,1.9800,+1.47,4806955,133.6600,137.2500,133.2800
2025/12/22,135.1400,0.1500,-0.11,5348979,137.0000,137.2100,133.2850
2025/12/19,135.2900,5.6800,+4.38,17537484,130.0700,136.8400,129.9300
2025/12/18,129.6100,3.1000,+2.45,8009240,129.2100,130.5100,127.8900
2025/12/17,126.5100,2.6200,-2.03,12047340,129.4600,129.9100,125.3800
2025/12/16,129.1300,0.5200,-0.40,7901671,129.0600,130.4200,127.8100
2025/12/15,129.9000,0.6600,+0.51,8042448,130.1500,131.2800,129.4100
2025/12/12,129.2400,9.8500,-7.08,13261008,138.1100,138.2100,128.2800
2025/12/11,139.0900,0.4100,+0.30,7247953,137.8000,139.1500,134.1600
2025/12/10,138.6800,0.1000,+0.07,6758767,138.5500,139.4270,136.3600
2025/12/09,138.5800,1.4800,-1.06,5597638,139.6600,140.9300,137.8000
2025/12/08,140.0600,0.7000,+0.50,3882755,140.0000,142.2700,139.6400
2025/12/05,139.3600,0.1000,-0.07,7437491,139.9600,139.9600,137.0100
2025/12/04,139.4600,0.8100,+0.58,8194869,137.9900,140.3297,137.6800
2025/12/03,138.6500,2.8400,-2.01,10115391,140.9300,141.0550,137.3100
2025/12/02,141.4900,2.2700,+1.63,8723278,142.0000,143.4800,140.9000
2025/12/01,139.2200,1.6800,-1.19,7337911,139.6400,140.0900,137.3000
2025/11/28,140.9000,2.1800,+1.57,3195094,139.4900,140.9600,138.3000
2025/11/26,138.7200,0.9100,+0.66,6443412,138.9200,139.4400,137.7600
2025/11/25,137.8100,0.0700,-0.05,7102867,137.5100,138.3400,133.9350
2025/11/24,137.8800,6.2800,+4.77,13568383,132.6700,138.3100,132.5300
2025/11/21,131.6000,1.2400,+0.95,8207291,130.3600,132.1900,127.1900
2025/11/20,130.3600,6.3000,-4.61,10313304,140.6900,140.6900,130.2100
2025/11/19,136.6600,4.2200,+3.19,8981254,132.2000,136.7600,131.6900
2025/11/18,132.4400,0.1100,+0.08,8100291,132.3200,133.1900,129.7600
2025/11/17,132.3300,1.4100,-1.05,6000918,132.5900,135.4200,131.2500
2025/11/14,133.7400,1.5100,-1.12,9797554,130.3350,136.6950,130.1500
2025/11/13,135.2500,6.6700,-4.70,10097681,141.1800,141.3500,134.8300
2025/11/12,141.9200,1.5500,-1.08,6538561,143.9800,144.0500,140.7500
2025/11/11,143.4700,0.3800,-0.26,6977276,142.5000,143.9000,140.6800
2025/11/10,143.8500,4.7600,+3.42,7783110,141.2500,144.3700,140.7600
2025/11/07,139.0900,0.9800,+0.71,8749472,136.7600,139.2100,134.5100
2025/11/06,138.1100,0.7600,-0.55,7647442,139.4100,139.9900,135.6700
2025/11/05,138.8700,2.1700,+1.59,8079306,136.6800,141.0500,136.5000
2025/11/04,136.7000,4.8500,-3.43,10704561,136.6300,138.5800,135.8600
2025/11/03,141.5500,2.2100,+1.59,9568735,140.3100,142.5000,139.9865
2025/10/31,139.3400,0.2300,+0.17,6447789,140.5800,141.6899,138.3300
