일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,312.3600,5.4000,-1.70,5066420,315.2450,317.8900,306.2500
2026/08/28,317.7600,5.1300,+1.64,6631133,316.2500,335.4499,315.9200
2026/08/27,312.6300,4.5200,+1.47,4045685,312.0000,315.8800,306.5000
2026/08/26,308.1100,2.4300,-0.78,3578584,309.2700,316.7999,306.8800
2026/08/25,310.5400,11.9500,+4.00,4001503,299.8650,310.8800,299.8650
2026/08/24,298.5900,7.1800,-2.35,4579513,304.5000,307.0000,297.5000
2026/08/21,305.7700,3.0000,-0.97,5485692,304.0500,307.3900,298.0000
2026/08/20,308.7700,2.0200,-0.65,4462506,311.3750,319.4200,307.6600
2026/08/19,310.7900,3.5300,+1.15,4430319,306.5000,315.3350,304.2000
2026/08/18,307.2600,4.7200,-1.51,5148647,308.8200,314.7500,307.0500
2026/08/17,311.9800,3.4600,-1.10,5974878,318.3700,326.1950,307.7000
2026/08/14,315.4400,2.7700,+0.89,5277770,313.2150,324.3699,313.0000
2026/08/13,312.6700,8.9100,+2.93,7521945,305.9800,317.6000,305.7848
2026/08/12,303.7600,14.9200,-4.68,9322328,319.2500,319.6500,303.1700
2026/08/11,318.6800,20.3200,-5.99,8030057,329.6000,329.9352,318.1200
2026/08/10,339.0000,7.8000,-2.25,6272851,347.0000,350.2800,338.7100
2026/08/07,346.8000,11.1300,+3.32,7736957,337.5400,350.9300,336.6700
2026/08/06,335.6700,82.1300,-19.66,15235885,338.4500,352.0000,332.1918
2026/08/05,417.8000,1.9000,-0.45,10804986,432.5100,437.7900,416.0900
2026/08/04,419.7000,13.5400,+3.33,7149634,418.3300,426.9000,405.3300
2026/08/03,406.1600,10.2600,+2.59,4591772,410.7000,414.2800,399.0500
2026/07/31,395.9000,7.9700,-1.97,15452191,397.9000,398.1600,377.7100
2026/07/30,403.8700,4.4100,+1.10,7548346,393.0200,406.3799,390.0505
2026/07/29,399.4600,18.7600,-4.49,5606586,413.5350,420.8500,397.1500
2026/07/28,418.2200,5.4900,+1.33,5578585,414.4800,420.9450,395.1501
2026/07/27,412.7300,20.7500,+5.29,5147746,404.7520,417.5799,401.4500
2026/07/24,391.9800,6.8800,-1.72,4855103,397.1000,400.9000,386.9700
2026/07/23,398.8600,13.6200,-3.30,5364054,414.2600,414.8900,396.5000
2026/07/22,412.4800,16.2100,-3.78,7820935,424.5550,424.6400,407.0700
2026/07/21,428.6900,4.0900,+0.96,4862587,419.0900,434.6000,418.0000
2026/07/20,424.6000,0.0600,+0.01,5120587,429.7400,437.9300,422.5450
2026/07/17,424.5400,9.9400,-2.29,5627900,421.4300,431.3900,413.6300
2026/07/16,434.4800,18.2500,-4.03,5166202,452.3000,453.8300,432.4001
2026/07/15,452.7300,3.7500,+0.84,4631333,448.9000,462.6900,444.1600
2026/07/14,448.9800,6.1300,+1.38,6664245,433.5000,459.5700,431.1000
2026/07/13,442.8500,64.1300,-12.65,10345871,497.0000,500.4300,433.7100
2026/07/10,506.9800,13.4500,-2.58,3493315,526.6000,534.0300,504.1900
2026/07/09,520.4300,1.7500,-0.34,4706848,504.9500,529.8800,500.5000
2026/07/08,522.1800,5.8000,-1.10,4826939,524.7000,527.1999,507.0000
2026/07/07,527.9800,15.8100,-2.91,4995063,540.7800,548.4400,518.1000
2026/07/06,543.7900,16.7300,+3.17,5798762,514.8500,545.3500,513.4036
2026/07/02,527.0600,37.5500,-6.65,6002571,550.2350,576.4599,524.8200
2026/07/01,564.6100,49.3800,+9.58,5920087,532.9400,574.7500,521.9300
2026/06/30,515.2300,16.4700,+3.30,5594085,494.4200,519.4600,492.8400
2026/06/29,498.7600,21.6800,+4.54,5300334,490.3400,506.4910,483.0000
2026/06/26,477.0800,31.1500,+6.99,3426532,446.2900,483.3200,440.4000
2026/06/25,445.9300,19.0300,-4.09,4130351,450.9700,451.8100,418.4600
2026/06/24,464.9600,2.0600,-0.44,5414900,459.2000,474.5100,456.8301
2026/06/23,467.0200,2.3700,-0.50,5083662,462.9600,474.2300,458.1600
2026/06/22,469.3900,0.3200,-0.07,8358855,457.3400,482.0805,447.3500
2026/06/18,469.7100,9.7800,-2.04,9549103,481.3100,483.9000,460.2000
2026/06/17,479.4900,35.7100,-6.93,5470325,514.0500,518.6500,478.5950
2026/06/16,515.2000,5.6600,-1.09,6734294,522.5000,523.7480,494.6900
2026/06/15,520.8600,24.0900,+4.85,7521039,509.5000,530.5499,507.0100
2026/06/12,496.7700,18.2000,+3.80,4338272,479.0200,499.8000,472.0500
2026/06/11,478.5700,14.4100,-2.92,5938823,486.1650,495.0000,472.0000
2026/06/10,492.9800,27.8600,-5.35,4842573,505.9900,517.1200,492.6300
2026/06/09,520.8400,42.8500,-7.60,4461647,558.1600,567.6600,502.8100
2026/06/08,563.6900,6.4900,+1.16,3896079,558.5900,573.7000,557.4200
2026/06/05,557.2000,1.6700,-0.30,5547042,577.9150,595.0000,548.7800
2026/06/04,558.8700,11.9600,-2.10,4960392,572.4000,587.0000,554.2300
2026/06/03,570.8300,34.8000,-5.75,3456189,594.8000,599.6418,565.0400
2026/06/02,605.6300,8.0700,-1.31,2717841,613.8600,617.0000,591.0000
2026/06/01,613.7000,0.6100,+0.10,4303827,615.2000,622.0000,584.8600
2026/05/29,613.0900,13.2000,+2.20,6252209,601.4700,616.6700,580.5200
2026/05/28,599.8900,32.0600,+5.65,5842434,562.1600,606.3899,560.4875
2026/05/27,567.8300,53.5900,+10.42,8276834,520.9100,581.0000,514.1200
2026/05/26,514.2400,32.5600,+6.76,6756218,516.0700,538.8199,497.0001
2026/05/22,481.6800,4.2100,-0.87,3830317,485.0000,494.4400,475.7900
2026/05/21,485.8900,3.6100,+0.75,3203677,480.0000,498.2600,473.0850
2026/05/20,482.2800,5.3800,+1.13,2936077,474.4100,483.2473,461.0000
2026/05/19,476.9000,15.4800,-3.14,3302302,501.5400,503.7800,473.1800
2026/05/18,492.3800,8.6200,-1.72,4471607,496.4900,515.3900,484.7900
2026/05/15,501.0000,15.8400,+3.26,5352669,479.9900,504.9800,476.5000
2026/05/14,485.1600,31.6300,+6.97,5963586,452.5600,487.7700,450.3202
2026/05/13,453.5300,37.1600,-7.57,5615831,487.3900,487.3900,450.3000
2026/05/12,490.6900,12.2700,+2.56,4690554,480.3800,492.7299,477.4300
2026/05/11,478.4200,9.8700,+2.11,4568485,456.0700,479.2800,447.0850
2026/05/08,468.5500,30.3200,-6.08,7766914,494.0700,495.0000,447.4750
2026/05/07,498.8700,30.0400,+6.41,12597314,454.8750,512.6899,443.0000
2026/05/06,468.8300,9.2800,-1.94,7943732,479.0000,479.3100,452.5154
2026/05/05,478.1100,3.1100,+0.65,3259932,480.1700,483.2900,469.6200
2026/05/04,475.0000,15.0000,+3.26,3804258,466.9490,483.5500,462.0000
2026/05/01,460.0000,13.6500,+3.06,2484205,459.0550,469.7300,450.4800
2026/04/30,446.3500,2.9200,+0.66,2247755,445.1600,449.3000,433.5900
2026/04/29,443.4300,5.6000,-1.25,2337593,448.7200,448.7200,430.2500
2026/04/28,449.0300,11.2600,-2.45,2785561,455.0000,462.9999,441.5000
2026/04/27,460.2900,12.0000,+2.68,3522887,443.1450,461.7000,442.0000
2026/04/24,448.2900,5.8800,-1.29,4365575,455.0000,457.4667,431.4200
2026/04/23,454.1700,29.5400,-6.11,3531347,470.7100,471.1900,442.3893
2026/04/22,483.7100,10.5300,+2.23,3430394,481.7500,484.4900,468.5000
2026/04/21,473.1800,17.7800,-3.62,3854013,489.5000,491.9900,470.5010
2026/04/20,490.9600,13.7600,+2.88,3795781,470.5100,491.4000,465.5500
2026/04/17,477.2000,11.1100,+2.38,4014881,478.5000,486.4600,472.2400
2026/04/16,466.0900,1.4600,+0.31,4517399,484.0000,487.5900,461.5600
2026/04/15,464.6300,31.1200,+7.18,4915433,438.9500,465.9100,433.6700
2026/04/14,433.5100,16.0600,+3.85,3204076,428.5450,436.0400,424.9400
2026/04/13,417.4500,26.0700,+6.66,5499788,395.6600,422.4650,394.3040
2026/04/10,391.3800,12.2400,+3.23,4848160,376.0000,391.9400,364.6400
