일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,244.1500,5.1000,+2.13,2181253,238.8050,246.4400,238.0946
2026/08/28,239.0500,16.1600,-6.33,3884571,251.1000,251.6900,238.6600
2026/08/27,255.2100,4.1500,+1.65,4879951,255.4600,267.6900,249.4654
2026/08/26,251.0600,9.5000,+3.93,4092213,240.2900,253.0000,238.5000
2026/08/25,241.5600,2.7800,+1.16,3495375,244.8100,247.9900,240.3400
2026/08/24,238.7800,4.5400,-1.87,3315550,236.3400,240.2500,233.2900
2026/08/21,243.3200,7.4000,-2.95,3693794,253.4600,255.9300,242.5000
2026/08/20,250.7200,1.3800,+0.55,2812437,246.4000,251.2300,242.2800
2026/08/19,249.3400,3.9800,-1.57,4330473,257.0000,268.0000,241.5000
2026/08/18,253.3200,18.1100,-6.67,6370318,257.0000,258.5000,247.6000
2026/08/17,271.4300,8.0100,-2.87,3713760,285.0000,287.1500,271.2800
2026/08/14,279.4400,0.7900,+0.28,2102020,278.2300,281.6699,274.4550
2026/08/13,278.6500,6.7800,+2.49,4798359,266.9900,290.2100,266.2410
2026/08/12,271.8700,2.9400,+1.09,3368878,279.9600,280.1600,266.5915
2026/08/11,268.9300,1.0800,+0.40,3176902,273.1000,273.3897,265.3700
2026/08/10,267.8500,14.7200,-5.21,3182772,281.2600,282.8000,267.3100
2026/08/07,282.5700,4.1100,-1.43,3831181,298.9650,299.2850,275.0000
2026/08/06,286.6800,12.1000,+4.41,4375134,267.0300,295.5700,266.8800
2026/08/05,274.5800,5.9800,-2.13,4439264,274.5600,281.5900,268.6200
2026/08/04,280.5600,41.5000,+17.36,9892211,253.4000,283.2690,251.1000
2026/08/03,239.0600,0.6300,-0.26,6049205,230.0100,241.9000,219.3900
2026/07/31,239.6900,1.8500,-0.77,7229197,258.9500,261.9050,239.2600
2026/07/30,241.5400,16.6500,+7.40,12805879,258.0000,268.4800,232.6700
2026/07/29,224.8900,19.8500,-8.11,9419109,241.5000,243.2450,222.5600
2026/07/28,244.7400,21.5900,-8.11,5851970,252.9900,253.6100,240.3800
2026/07/27,266.3300,6.3200,+2.43,5047225,263.4800,268.2000,251.6100
2026/07/24,260.0100,23.0300,-8.14,4884783,282.7700,288.9899,258.4300
2026/07/23,283.0400,0.3600,-0.13,3603172,275.4700,284.0000,274.7700
2026/07/22,283.4000,6.3300,-2.18,2601680,280.4800,288.4400,279.5010
2026/07/21,289.7300,20.1200,+7.46,5135828,285.4700,294.0000,274.5000
2026/07/20,269.6100,2.4200,+0.91,3374011,272.0000,277.4000,268.0600
2026/07/17,267.1900,5.1800,+1.98,8239046,249.8650,272.8800,243.1200
2026/07/16,262.0100,15.0000,-5.41,9788000,268.5400,268.6600,252.6100
2026/07/15,277.0100,4.1600,-1.48,5708949,281.0900,288.4999,265.2000
2026/07/14,281.1700,17.8200,-5.96,8484344,310.0350,310.5000,276.2600
2026/07/13,298.9900,24.4000,-7.55,5301095,311.4300,311.4300,293.5000
2026/07/10,323.3900,4.4800,-1.37,2770934,322.7000,328.2806,317.8800
2026/07/09,327.8700,27.6300,+9.20,7096457,318.3150,339.4400,311.1500
2026/07/08,300.2400,0.1900,-0.06,6128683,297.5350,311.3650,290.4500
2026/07/07,300.4300,21.8100,-6.77,7269594,305.9300,314.9000,293.9900
2026/07/06,322.2400,6.9600,+2.21,5297276,324.2700,338.2441,321.5000
2026/07/02,315.2800,22.1900,-6.58,7575956,337.2400,358.4900,309.7400
2026/07/01,337.4700,17.1000,-4.82,5064650,341.2450,346.6700,332.0000
2026/06/30,354.5700,10.9900,+3.20,6267926,349.7700,361.9499,342.0715
