일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,1701.2300,5.0700,+0.30,1213242,1708.6800,1716.9000,1679.3300
2026/08/28,1696.1600,38.8500,-2.24,1259364,1734.7500,1740.0000,1692.8800
2026/08/27,1735.0100,10.6300,-0.61,1028219,1746.5300,1751.7800,1719.1100
2026/08/26,1745.6400,1.4800,+0.08,879335,1746.3300,1761.7100,1732.3501
2026/08/25,1744.1600,4.0300,+0.23,809383,1759.1500,1769.9900,1735.8700
2026/08/24,1740.1300,23.6300,-1.34,1203901,1761.5600,1761.9800,1727.5700
2026/08/21,1763.7600,13.4500,+0.77,973145,1763.5050,1771.0000,1741.0000
2026/08/20,1750.3100,1.4200,-0.08,825422,1743.7600,1775.8200,1741.0200
2026/08/19,1751.7300,51.2500,-2.84,1463614,1797.7200,1804.2800,1748.8500
2026/08/18,1802.9800,80.1400,-4.26,1509254,1809.0000,1820.4099,1775.7000
2026/08/17,1883.1200,39.0400,+2.12,1285404,1871.6800,1896.3500,1860.1200
2026/08/14,1844.0800,3.8200,-0.21,928987,1839.1900,1853.3150,1820.4100
2026/08/13,1847.9000,37.8300,+2.09,1237949,1819.0650,1873.6850,1813.3000
2026/08/12,1810.0700,10.6900,+0.59,1388753,1832.6300,1845.0000,1807.3800
2026/08/11,1799.3800,65.9000,+3.80,1479736,1793.9300,1819.5900,1778.3200
2026/08/10,1733.4800,7.5100,-0.43,1107046,1793.0100,1794.4700,1732.8100
2026/08/07,1740.9900,36.6200,+2.15,1064936,1759.7100,1761.3100,1720.1100
2026/08/06,1704.3700,26.1500,+1.56,1072473,1695.3900,1735.5300,1672.1100
2026/08/05,1678.2200,33.6700,-1.97,1221009,1700.4200,1729.0600,1671.7500
2026/08/04,1711.8900,69.3700,+4.22,1526748,1700.0400,1717.5600,1686.0100
2026/08/03,1642.5200,13.5200,+0.83,1437354,1609.6900,1655.1975,1582.0000
2026/07/31,1629.0000,22.4400,-1.36,1601445,1683.3800,1692.1500,1624.7100
2026/07/30,1651.4400,100.7500,+6.50,2174737,1645.0700,1676.7800,1626.4400
2026/07/29,1550.6900,32.2600,-2.04,2545724,1569.3900,1621.4600,1530.6400
2026/07/28,1582.9500,70.1593,-4.24,3010051,1580.5000,1599.8800,1553.5800
2026/07/27,1655.2600,101.8300,-5.80,3330930,1739.1900,1746.7000,1613.3400
2026/07/24,1757.0900,45.9100,-2.55,1314987,1789.8800,1797.8700,1739.8800
2026/07/23,1803.0000,1.1400,+0.06,1106723,1782.1200,1823.5750,1780.2375
2026/07/22,1801.8600,0.3500,+0.02,1007366,1767.6500,1817.2000,1767.0400
2026/07/21,1801.5100,62.4900,+3.59,1681073,1801.2000,1823.8800,1785.5400
2026/07/20,1739.0200,8.5600,-0.49,1639049,1778.6900,1798.3400,1728.6000
2026/07/17,1747.5800,37.2900,-2.09,2209396,1733.7800,1790.9100,1703.4000
2026/07/16,1784.8700,30.4000,-1.67,2581408,1796.9100,1853.4500,1779.1200
2026/07/15,1815.2700,39.6300,+2.23,4189308,1825.0600,1830.0000,1735.6500
2026/07/14,1775.6400,49.6000,+2.87,2529139,1787.4450,1798.2700,1749.8600
2026/07/13,1726.0400,71.2800,-3.97,1419848,1773.5400,1775.7900,1718.0801
2026/07/10,1797.3200,6.9300,-0.38,1218431,1783.8800,1815.1800,1766.6600
2026/07/09,1804.2500,35.6000,+2.01,1547375,1835.4600,1858.7300,1796.7600
2026/07/08,1768.6500,21.3700,+1.22,1424503,1733.6800,1780.6600,1729.3800
2026/07/07,1747.2800,77.7900,-4.26,1863937,1737.1250,1761.0400,1717.3100
2026/07/06,1825.0700,55.7500,+3.15,1944969,1830.0000,1868.6000,1813.3300
2026/07/02,1769.3200,73.7200,-4.00,2700984,1843.9800,1858.3950,1748.0200
2026/07/01,1843.0400,146.4000,-7.36,2584671,1916.2800,1943.0000,1832.6300
