일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,148.8000,0.8600,+0.58,860925,145.7100,149.4000,145.3500
2026/08/28,147.9400,4.3400,-2.85,1188067,152.1600,152.5050,146.3000
2026/08/27,152.2800,5.4000,+3.68,1342087,147.5600,153.9000,144.5500
2026/08/26,146.8800,0.5400,-0.37,1010251,146.5000,150.6100,146.4100
2026/08/25,147.4200,0.7800,-0.53,1227247,151.0500,151.7850,147.2500
2026/08/24,148.2000,12.0200,-7.50,1237582,159.6100,159.6100,148.1400
2026/08/21,160.2200,0.4300,+0.27,1172408,161.5050,164.2700,159.7900
2026/08/20,159.7900,12.9500,-7.50,1630154,170.1100,170.1200,155.8100
2026/08/19,172.7400,1.4000,-0.80,1002781,172.6700,174.7099,167.3800
2026/08/18,174.1400,6.9900,-3.86,773205,175.5300,182.6472,173.6300
2026/08/17,181.1300,11.6800,-6.06,1081207,191.9800,191.9899,180.6600
2026/08/14,192.8100,3.3800,+1.78,1550800,201.5100,207.8300,188.1400
2026/08/13,189.4300,4.3800,-2.26,911911,190.0020,194.2999,185.6801
2026/08/12,193.8100,2.2100,-1.13,1039707,196.8200,196.8200,191.1800
2026/08/11,196.0200,6.8700,+3.63,984393,188.6000,196.3200,185.0000
2026/08/10,189.1500,2.4200,+1.30,1452771,186.3900,190.9550,180.5000
2026/08/07,186.7300,15.6100,+9.12,1916183,172.7000,187.5000,168.7400
2026/08/06,171.1200,3.0600,+1.82,1040864,166.1100,174.7900,165.0000
2026/08/05,168.0600,0.9600,-0.57,1007652,173.9900,176.2092,166.6451
2026/08/04,169.0200,9.8400,+6.18,1845257,160.3550,170.3000,160.0801
2026/08/03,159.1800,9.8100,+6.57,968580,151.2200,159.3300,150.2500
2026/07/31,149.3700,2.8000,+1.91,943345,148.7700,150.7500,142.8017
2026/07/30,146.5700,4.4500,+3.13,953578,144.0700,147.3300,140.4274
2026/07/29,142.1200,14.2300,-9.10,1299085,154.4700,155.3000,141.6800
2026/07/28,156.3500,2.1100,+1.37,1043311,151.8100,156.4753,147.1800
2026/07/27,154.2400,4.7300,+3.16,973646,149.8200,156.5400,148.2500
2026/07/24,149.5100,9.2200,-5.81,1115440,159.6500,159.9000,149.3300
