일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,371.9200,3.1300,+0.85,21992236,369.5200,372.8400,366.3000
2026/08/28,368.7900,2.7500,-0.74,16596066,373.6000,376.5900,365.3513
2026/08/27,371.5400,15.9500,+4.49,21329954,361.7900,371.7200,360.6100
2026/08/26,355.5900,1.1500,-0.32,19196259,357.1200,359.4699,350.0600
2026/08/25,356.7400,2.0200,-0.56,18014884,361.1000,362.9900,355.3100
2026/08/24,358.7600,9.6900,-2.63,18717229,364.9650,366.1700,358.7100
2026/08/21,368.4500,4.4200,+1.21,19037140,370.6900,375.1300,365.0500
2026/08/20,364.0300,1.5500,+0.43,19729827,364.3900,367.1200,362.2501
2026/08/19,362.4800,17.5200,-4.61,35091374,372.4000,373.9100,357.6101
2026/08/18,380.0000,12.4300,-3.17,22878198,384.3150,385.7821,377.0100
2026/08/17,392.4300,0.5600,-0.14,20042639,397.2600,399.3600,391.3100
2026/08/14,392.9900,24.8300,-5.94,29513597,411.9600,412.5000,388.5000
2026/08/13,417.8200,1.7700,+0.43,13180478,415.8050,424.9200,411.4100
2026/08/12,416.0500,0.0300,-0.01,15859206,426.2550,426.5000,414.6100
2026/08/11,416.0800,6.3200,-1.50,12882657,426.0700,426.7600,413.2300
2026/08/10,422.4000,5.3600,-1.25,13854127,426.9900,432.7300,420.1600
2026/08/07,427.7600,7.1950,+1.71,14698252,428.4000,430.8400,421.6100
2026/08/06,420.5650,2.2850,+0.55,13907544,420.5450,428.0300,410.7600
2026/08/05,418.2800,0.1200,+0.03,16880445,421.7000,427.0000,416.8900
2026/08/04,418.1600,25.9300,+6.61,29564242,402.9700,422.0650,400.6800
2026/08/03,392.2300,2.9500,+0.76,17315081,384.4050,392.6050,374.6100
2026/07/31,389.2800,1.4400,+0.37,20391003,394.8300,399.9200,379.7100
2026/07/30,387.8400,17.5200,+4.73,23639844,380.3500,388.6800,377.5400
2026/07/29,370.3200,10.5900,-2.78,21374407,380.6350,386.1200,369.5101
2026/07/28,380.9100,2.3100,-0.60,20328406,374.3600,385.8000,371.5200
2026/07/27,383.2200,1.3000,+0.34,18502121,389.8150,389.9000,373.5000
2026/07/24,381.9200,10.5500,-2.69,15149396,387.6800,389.2700,378.7500
2026/07/23,392.4700,4.3400,-1.09,16348682,392.1900,397.6100,386.8200
2026/07/22,396.8100,10.3100,+2.67,16966188,380.2000,398.5850,380.0000
2026/07/21,386.5000,8.3400,+2.21,17291139,390.2100,390.5834,379.2200
2026/07/20,378.1600,7.3350,+1.98,14420450,378.7600,383.5900,375.9600
2026/07/17,370.8250,3.6250,-0.97,23272208,366.0450,377.3500,357.8000
2026/07/16,374.4500,19.8300,-5.03,23407244,384.5350,386.7400,371.9000
2026/07/15,394.2800,5.1700,+1.33,16324127,396.0900,399.0000,386.7400
2026/07/14,389.1100,5.0600,+1.32,20118722,395.7200,397.3300,384.6404
2026/07/13,384.0500,15.9200,-3.98,21294509,393.4750,395.7450,383.4200
2026/07/10,399.9700,1.1400,-0.28,14595928,398.5000,402.4400,395.7000
2026/07/09,401.1100,12.4200,+3.20,28073957,402.1900,407.5200,387.9300
2026/07/08,388.6900,17.9100,+4.83,31624070,377.5200,395.0900,376.8900
2026/07/07,370.7800,3.1200,-0.83,24116688,366.5550,372.9599,362.0100
2026/07/06,373.9000,13.4500,+3.73,24543998,373.6100,383.1600,371.1800
2026/07/02,360.4500,8.8900,-2.41,26788850,365.7250,374.0000,356.4300
2026/07/01,369.3400,8.4100,-2.23,23712608,371.8700,373.7500,368.0300
2026/06/30,377.7500,5.3000,+1.42,28517368,374.7900,379.6200,370.6400
2026/06/29,372.4500,7.4300,+2.04,24285239,373.6150,376.2099,360.4600
2026/06/26,365.0200,13.8900,-3.67,34839253,370.4500,373.6900,363.8300
2026/06/25,378.9100,3.1600,-0.83,23412031,386.5750,388.7990,372.7000
2026/06/24,382.0700,1.9200,+0.51,29938732,386.6200,388.7400,376.9600
2026/06/23,380.1500,11.9800,-3.06,33122248,377.8650,391.0200,376.6637
2026/06/22,392.1300,18.5700,-4.52,26403669,413.6600,414.6400,391.9100
2026/06/18,411.3500,18.4500,+4.70,45076052,409.5800,412.7000,405.3800
2026/06/17,392.9000,16.1900,+4.30,40005503,388.7050,400.6500,382.6500
2026/06/16,376.7100,17.2300,-4.37,31573669,390.2100,391.7900,376.4600
2026/06/15,393.9400,11.8700,+3.11,32394178,395.5100,396.2000,388.6000
2026/06/12,382.0700,3.5000,-0.91,27630074,383.7200,384.9799,377.0000
2026/06/11,385.5700,13.4700,+3.62,35187584,372.8200,389.5000,370.5500
2026/06/10,372.1000,20.0600,-5.12,38193450,381.4950,385.8100,371.1650
2026/06/09,392.1600,4.4400,-1.12,37026896,401.6100,407.8700,370.3300
2026/06/08,396.6000,10.8700,+2.82,37098978,402.6200,402.8380,391.3500
