일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,207.0000,3.7700,-1.79,10115688,208.8800,210.0000,202.8800
2026/08/28,210.7700,7.0600,-3.24,11407797,215.7050,222.4000,209.1200
2026/08/27,217.8300,0.3800,-0.17,11692616,227.1000,227.9900,214.7500
2026/08/26,218.2100,0.7600,+0.35,11985232,213.9400,227.3400,212.3000
2026/08/25,217.4500,13.4300,+6.58,14898299,213.5450,218.5300,208.3000
2026/08/24,204.0200,2.5700,+1.28,15248126,191.9800,209.9200,185.9300
2026/08/21,201.4500,1.0300,-0.51,9368799,206.2200,207.8799,195.6800
2026/08/20,202.4800,4.1500,-2.01,9456530,203.5000,206.8500,197.3300
2026/08/19,206.6300,2.3800,-1.14,10332002,212.5500,212.5600,200.0900
2026/08/18,209.0100,23.1500,-9.97,15418806,220.7650,222.7000,205.5000
2026/08/17,232.1600,2.2200,+0.97,10638851,241.1750,244.4400,229.1000
2026/08/14,229.9400,6.2800,-2.66,12235493,233.6600,248.5700,227.6700
2026/08/13,236.2200,0.9400,-0.40,11380173,235.9400,253.3100,233.4400
2026/08/12,237.1600,25.9500,+12.29,15885728,236.7100,249.9900,231.1800
2026/08/11,211.2100,0.5800,+0.28,8714491,214.5000,219.7000,210.1600
2026/08/10,210.6300,8.7100,-3.97,9013477,221.0000,221.0400,210.0200
2026/08/07,219.3400,9.6200,-4.20,15103366,240.1750,240.1750,212.2004
2026/08/06,228.9600,5.3700,-2.29,11843223,223.0000,249.4500,221.2100
2026/08/05,234.3300,6.2200,+2.73,13321734,223.7900,241.8900,222.5900
2026/08/04,228.1100,9.7900,+4.48,18854889,225.3750,237.4500,219.2100
2026/08/03,218.3200,12.5100,+6.08,18450906,197.8250,224.6400,191.0000
2026/07/31,205.8100,1.3100,-0.63,21963452,230.7750,235.4900,205.4300
2026/07/30,207.1200,43.3700,+26.49,35304290,186.2500,215.7400,184.8800
2026/07/29,163.7500,3.0900,-1.85,44264920,183.5000,185.6600,157.3339
2026/07/28,166.8400,21.3400,-11.34,29397006,175.3000,176.8452,157.6500
2026/07/27,188.1800,3.2900,+1.78,15658375,190.5100,197.5000,176.5700
2026/07/24,184.8900,32.4100,-14.91,16017647,214.1900,214.1900,183.2201
2026/07/23,217.3000,0.9200,-0.42,9430512,215.0200,229.6700,213.7508
2026/07/22,218.2200,8.0400,-3.55,9325587,217.5700,229.8600,216.5150
2026/07/21,226.2600,29.2000,+14.82,14946855,211.0700,229.9000,207.5980
