일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,509.2000,10.6000,-2.04,2916378,518.9500,520.0000,508.7800
2026/09/16,519.8000,3.0400,+0.59,5258519,516.3600,523.7400,515.3000
2026/09/15,516.7600,1.8100,+0.35,3764808,515.0000,516.8699,512.4100
2026/09/14,514.9500,4.5800,+0.90,3966549,512.8000,516.4500,510.5000
2026/09/11,510.3700,3.3700,+0.66,3588355,508.8500,510.6300,506.0000
2026/09/10,507.0000,0.2800,+0.06,3809946,508.7400,510.5800,504.7400
2026/09/09,506.7200,0.8900,+0.18,3362539,504.1000,509.5100,501.2060
2026/09/08,505.8300,0.2000,-0.04,4400877,503.0000,507.3000,500.7000
2026/09/04,506.0300,2.1000,-0.41,3281683,505.3100,507.5000,504.2950
2026/09/03,508.1300,2.8900,+0.57,3850190,506.6000,508.9500,505.2100
2026/09/02,505.2400,2.9100,+0.58,3303514,503.4600,508.9250,502.6000
2026/09/01,502.3300,1.7000,-0.34,4846742,506.0000,506.7500,501.2700
2026/08/31,504.0300,0.9700,-0.19,5130992,504.0600,505.3000,502.2000
2026/08/28,505.0000,1.3000,+0.26,4852922,504.9000,506.5800,502.9400
2026/08/27,503.7000,1.2100,-0.24,6308048,500.5000,505.4000,499.2200
2026/08/26,504.9100,0.5900,+0.12,3008698,505.9300,506.7000,503.6500
2026/08/25,504.3200,0.0000,0,3039801,503.9500,504.7499,501.1600
2026/08/24,504.3200,8.5000,+1.71,3200574,498.1300,504.4600,498.1100
2026/08/21,495.8200,1.0400,-0.21,4645766,498.5000,501.0000,495.6800
2026/08/20,496.8600,2.7600,-0.55,3288712,499.6450,500.4400,496.4800
2026/08/19,499.6200,3.3400,-0.66,3562320,503.4100,507.0700,499.4100
2026/08/18,502.9600,4.7300,+0.95,3380695,501.0400,504.5000,499.6032
2026/08/17,498.2300,5.8000,-1.15,4789757,504.4500,505.3100,498.0700
2026/08/14,504.0300,2.9000,-0.57,3969451,507.2350,509.1700,503.7700
2026/08/13,506.9300,3.0700,-0.60,4713434,511.2900,512.0100,505.5600
2026/08/12,510.0000,6.3800,-1.24,4599054,513.9800,514.3800,507.9600
2026/08/11,516.3800,13.0400,-2.46,4718562,528.7600,530.3000,515.6500
2026/08/10,529.4200,7.6200,+1.46,6094786,524.6000,537.7400,523.0000
2026/08/07,521.8000,2.8100,-0.54,3645147,520.2600,521.9900,517.4300
2026/08/06,524.6100,5.7600,+1.11,4352776,524.1050,525.4400,517.2135
2026/08/05,518.8500,1.6300,+0.32,3749422,519.0000,519.7677,512.2000
2026/08/04,517.2200,4.0800,+0.80,4771273,512.0700,517.7700,508.8100
2026/08/03,513.1400,1.6000,+0.31,4248982,514.9300,520.6650,510.8250
2026/07/31,511.5400,1.8600,+0.36,3939816,508.9900,513.0300,506.7000
2026/07/30,509.6800,0.5200,+0.10,4061797,505.9800,509.9100,501.2700
2026/07/29,509.1600,3.2100,-0.63,5061272,511.4400,513.3570,507.2000
2026/07/28,512.3700,15.1900,+3.06,6369905,500.3300,513.4400,499.5000
2026/07/27,497.1800,2.2500,+0.45,3484117,497.2500,498.7700,493.9700
2026/07/24,494.9300,4.0800,+0.83,3932974,491.4300,497.2899,490.2500
2026/07/23,490.8500,1.4600,+0.30,2883047,488.4000,491.0000,486.0600
2026/07/22,489.3900,0.2600,-0.05,3179315,490.5000,492.3150,487.8100
2026/07/21,489.6500,1.6000,-0.33,4473051,489.0000,491.2000,487.3800
2026/07/20,491.2500,0.3400,+0.07,3426637,490.4900,492.2500,488.9100
2026/07/17,490.9100,2.2100,-0.45,5591345,495.5100,502.9900,490.4800
2026/07/16,493.1200,4.7700,+0.98,4194963,489.9250,493.1500,486.1700
2026/07/15,488.3500,2.7400,-0.56,5134458,490.1000,492.7500,487.5700
2026/07/14,491.0900,5.7600,-1.16,4110210,493.9550,497.0800,491.0000
2026/07/13,496.8500,3.1400,+0.64,3228898,495.8500,501.5000,493.8100
2026/07/10,493.7100,1.7400,-0.35,2736909,496.1500,497.3000,490.7000
2026/07/09,495.4500,0.6600,+0.13,3393274,494.6100,497.8500,493.2000
2026/07/08,494.7900,9.2100,-1.83,4429571,504.5600,504.9069,494.3400
2026/07/07,504.0000,2.5800,-0.51,3761404,508.9700,512.5800,503.7501
2026/07/06,506.5800,1.2000,-0.24,4126111,506.5000,508.0000,504.1025
2026/07/02,507.7800,8.0400,+1.61,4389647,502.2000,507.9300,500.3300
2026/07/01,499.7400,0.6500,-0.13,4101298,501.8250,503.8300,499.0800
2026/06/30,500.3900,4.3900,+0.89,5910518,496.5000,500.5800,494.7900
2026/06/29,496.0000,2.6600,-0.53,5200695,497.7900,500.0200,495.0000
2026/06/26,498.6600,10.8500,+2.22,7250773,490.2400,498.6600,489.2801
2026/06/25,487.8100,7.0000,-1.41,7061606,493.0800,495.9964,486.5000
2026/06/24,494.8100,2.0000,+0.41,4707805,492.9900,498.5000,491.5036
2026/06/23,492.8100,4.1200,+0.84,4428054,490.9200,494.3399,490.0000
2026/06/22,488.6900,0.7700,-0.16,6076337,488.7500,492.4775,487.3600
2026/06/18,489.4600,1.8200,-0.37,8882313,492.7500,493.5700,485.7700
2026/06/17,491.2800,3.6700,-0.74,5411956,493.2400,494.7681,487.9000
2026/06/16,494.9500,0.5700,-0.12,4345886,497.0000,499.7900,492.4300
2026/06/15,495.5200,6.2700,+1.28,6253628,487.5600,497.1100,487.5600
2026/06/12,489.2500,3.4600,+0.71,4591336,486.6700,489.9900,484.5100
2026/06/11,485.7900,2.1100,+0.44,5664301,482.8800,486.4700,481.0600
2026/06/10,483.6800,4.0900,-0.84,5062666,488.1300,490.3000,483.1100
2026/06/09,487.7700,0.7700,+0.16,4912157,486.4400,490.7900,484.6000
2026/06/08,487.0000,1.1300,-0.23,5188380,486.1300,490.7599,484.9199
2026/06/05,488.1300,9.5000,+1.98,8475844,480.9900,491.0000,479.3500
2026/06/04,478.6300,3.2600,+0.69,5275955,481.5950,482.9400,474.6500
2026/06/03,475.3700,3.8600,+0.82,6586257,470.8850,480.5900,470.4100
2026/06/02,471.5100,1.2200,+0.26,4704690,470.0000,473.8800,468.2082
2026/06/01,470.2900,4.1900,-0.88,6203561,473.0500,473.3900,467.9600
2026/05/29,474.4800,2.9400,-0.62,7909855,476.9100,477.2900,472.2700
2026/05/28,477.4200,2.5000,-0.52,4127459,479.3600,481.8100,477.0000
2026/05/27,479.9200,3.7000,-0.77,4152532,482.6650,486.2500,479.0200
2026/05/26,483.6200,2.7600,-0.57,4357449,485.5000,487.7800,483.2100
2026/05/22,486.3800,6.4000,+1.33,4342154,479.6500,487.1893,479.4900
2026/05/21,479.9800,0.9200,-0.19,3294027,479.9900,480.5000,475.5000
2026/05/20,480.9000,0.4400,+0.09,4647470,482.0000,482.7200,477.6200
2026/05/19,480.4600,7.9200,-1.62,5599874,487.0000,488.1300,480.1100
2026/05/18,488.3800,5.6800,+1.18,5030660,481.1300,489.3600,481.0000
2026/05/15,482.7000,1.3600,-0.28,4680296,486.7000,488.3000,481.7600
2026/05/14,484.0600,1.4600,-0.30,3375100,487.1000,487.1000,481.5001
2026/05/13,485.5200,0.5600,+0.12,4432514,482.4700,487.1399,480.8064
2026/05/12,484.9600,5.4100,+1.13,5622326,481.6800,489.4188,478.9001
2026/05/11,479.5500,3.6100,+0.76,4290690,476.4000,480.4000,475.9000
2026/05/08,475.9400,0.8600,+0.18,5225574,474.8500,478.8800,474.4800
2026/05/07,475.0800,5.2500,+1.12,5899549,469.2550,477.1900,468.9700
2026/05/06,469.8300,4.3100,+0.93,5698885,466.0100,470.6300,465.6400
2026/05/05,465.5200,3.0000,-0.64,5372678,468.5300,469.6620,464.3400
2026/05/04,468.5200,4.4900,-0.95,6895370,473.0300,479.8700,465.7900
2026/05/01,473.0100,0.5900,-0.12,4818347,475.0750,479.1000,473.0000
2026/04/30,473.6000,1.7800,-0.37,5109301,473.4600,477.5500,470.8900
2026/04/29,475.3800,2.7800,-0.58,3175618,476.4500,477.9700,474.5100
2026/04/28,478.1600,5.3500,+1.13,4902375,476.7900,479.7700,475.6650
2026/04/27,472.8100,3.4900,+0.74,4888048,469.8000,475.5000,469.3500
2026/04/24,469.3200,1.2300,-0.26,3857045,468.8000,470.2800,466.5800
2026/04/23,470.5500,5.1500,+1.11,4749080,466.7200,473.0000,466.7200
2026/04/22,465.4000,3.1000,-0.66,5720487,468.8600,470.9900,464.6200
2026/04/21,468.5000,3.5800,-0.76,5919020,472.5400,474.1900,468.0600
2026/04/20,472.0800,2.5000,-0.53,5147027,474.3800,476.0400,471.3701
2026/04/17,474.5800,0.5400,-0.11,6492875,475.4900,479.6900,474.1500
2026/04/16,475.1200,1.0300,+0.22,4533965,474.0150,476.2599,464.0100
2026/04/15,474.0900,3.4500,-0.72,6993925,478.0000,478.7700,473.7400
2026/04/14,477.5400,2.6500,-0.55,4864005,479.8100,480.4900,476.0000
2026/04/13,480.1900,0.2900,+0.06,3612449,478.9000,481.1050,477.4000
2026/04/10,479.9000,5.3000,-1.09,3758912,484.0200,484.8600,478.9200
