일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,92.8000,1.9000,+2.09,1124135,92.6200,93.1000,91.6000
2026/09/16,90.9000,0.3100,-0.34,2117568,92.5500,92.9299,89.7400
2026/09/15,91.2100,2.0500,-2.20,2265610,93.7500,94.4000,91.0100
2026/09/14,93.2600,3.4200,-3.54,3467234,93.1000,94.4300,91.9700
2026/09/11,96.6800,0.7400,-0.76,2137932,98.0500,98.2700,96.3700
2026/09/10,97.4200,2.9900,-2.98,2130575,98.3300,99.6000,97.2600
2026/09/09,100.4100,1.5600,-1.53,1706311,101.7700,102.3000,99.3400
2026/09/08,101.9700,1.2300,+1.22,2217616,102.4950,104.1200,101.5040
2026/09/04,100.7400,0.1200,+0.12,1557488,99.5400,101.5400,99.5200
2026/09/03,100.6200,4.2400,+4.40,3228929,98.9900,101.5300,98.6900
2026/09/02,96.3800,0.1200,+0.12,2526572,96.0000,98.3700,95.1300
2026/09/01,96.2600,2.5000,-2.53,2211270,96.0000,97.4200,94.6900
2026/08/31,98.7600,1.2500,-1.25,3130768,99.6000,99.9000,97.5300
2026/08/28,100.0100,6.3200,-5.94,4191833,105.7400,106.4650,99.5301
2026/08/27,106.3300,1.0300,-0.96,2321850,108.1300,108.9650,105.1400
2026/08/26,107.3600,0.4000,+0.37,3879773,107.0600,111.5400,106.9100
2026/08/25,106.9600,4.6900,+4.59,3725494,103.5000,107.7700,102.7500
2026/08/24,102.2700,0.2400,-0.23,2202076,102.2700,103.7300,100.2900
2026/08/21,102.5100,6.9200,+7.24,3941705,97.7800,102.8200,97.4700
2026/08/20,95.5900,2.3900,-2.44,2106471,97.0000,97.3500,94.1000
2026/08/19,97.9800,1.9500,+2.03,1928709,97.8000,98.7700,96.6600
2026/08/18,96.0300,2.5500,-2.59,2585760,96.4200,97.2500,93.9100
2026/08/17,98.5800,0.8400,+0.86,2518045,97.8700,100.6500,97.0100
2026/08/14,97.7400,0.0100,-0.01,2170859,97.4000,99.7400,97.4000
2026/08/13,97.7500,1.2800,-1.29,2396061,98.5000,99.9500,97.5000
2026/08/12,99.0300,0.3000,+0.30,2591454,99.6000,100.1400,97.7100
2026/08/11,98.7300,1.4200,+1.46,1901235,98.2100,99.5800,97.7500
2026/08/10,97.3100,0.0800,-0.08,1993348,98.3300,99.0800,96.7550
2026/08/07,97.3900,3.7700,+4.03,3220143,96.1700,97.8900,94.8000
2026/08/06,93.6200,0.6500,-0.69,2441456,93.6100,96.4000,92.7000
2026/08/05,94.2700,1.1800,+1.27,3532816,94.4900,95.9000,93.8000
2026/08/04,93.0900,3.3700,+3.76,3996801,91.0600,94.8200,91.0000
2026/08/03,89.7200,3.3400,+3.87,2908861,85.5950,89.9100,85.0200
2026/07/31,86.3800,1.8500,-2.10,5599296,90.6300,91.4100,83.9300
2026/07/30,88.2300,3.6600,+4.33,4177495,86.7900,88.3800,86.1500
2026/07/29,84.5700,2.3900,-2.75,3146839,86.6000,86.9500,83.5000
2026/07/28,86.9600,2.3900,-2.67,3306600,87.2400,87.7700,84.5200
2026/07/27,89.3500,1.4900,+1.70,3087621,90.5500,91.7500,87.7500
