일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,383.5200,5.0800,+1.34,1830938,378.4400,383.5200,370.7700
2026/08/28,378.4400,21.4100,-5.35,1318585,400.4200,400.5000,376.6400
2026/08/27,399.8500,4.1800,-1.03,1208678,411.5300,418.7200,395.5000
2026/08/26,404.0300,16.3700,+4.22,1194540,387.2300,406.4400,387.2300
2026/08/25,387.6600,15.7100,+4.22,1191438,386.3300,388.7300,378.9350
2026/08/24,371.9500,23.8400,-6.02,1779493,386.2600,386.2600,362.4800
2026/08/21,395.7900,3.3100,+0.84,1235391,396.0000,403.7200,382.7450
2026/08/20,392.4800,6.9900,-1.75,1453149,400.3500,404.3494,389.1000
2026/08/19,399.4700,6.0700,-1.50,1771859,415.5000,415.5000,392.6700
2026/08/18,405.5400,39.6400,-8.90,3052261,421.5850,427.7400,391.7700
2026/08/17,445.1800,16.4100,+3.83,2494716,438.3800,458.0000,427.4450
2026/08/14,428.7700,14.0200,-3.17,2518982,441.6100,446.1500,422.4900
2026/08/13,442.7900,10.7400,+2.49,2912856,430.3200,462.6900,427.0000
2026/08/12,432.0500,44.5200,+11.49,3989294,414.5050,446.3600,409.2400
2026/08/11,387.5300,0.1700,-0.04,1534885,388.8400,394.9899,384.1900
2026/08/10,387.7000,24.6900,-5.99,2021744,420.0000,420.0000,387.2800
2026/08/07,412.3900,8.6300,+2.14,1887192,411.0400,420.0000,396.8900
2026/08/06,403.7600,5.0700,-1.24,1354110,396.0500,419.4900,390.5623
2026/08/05,408.8300,2.3000,-0.56,1773949,408.5600,424.5800,399.0700
2026/08/04,411.1300,20.3700,+5.21,2069060,419.0800,427.0029,405.0100
2026/08/03,390.7600,13.7100,+3.64,1243704,365.0000,391.8700,355.0000
2026/07/31,377.0500,4.9800,+1.34,1948363,393.9800,401.0000,374.3800
2026/07/30,372.0700,41.7000,+12.62,2464340,359.2700,373.0900,355.0000
2026/07/29,330.3700,20.1400,-5.75,2634856,349.6400,350.8000,323.2900
2026/07/28,350.5100,26.7600,-7.09,4180798,354.9000,357.4700,328.8000
2026/07/27,377.2700,13.6900,-3.50,1513129,388.1900,388.1900,360.0000
