일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,329.9400,6.1100,+1.89,1116657,337.7500,353.9600,329.5200
2026/09/16,323.8300,7.0200,+2.22,1708712,320.2000,329.9600,318.0000
2026/09/15,316.8100,0.7300,+0.23,1582505,317.6900,324.8900,313.6000
2026/09/14,316.0800,30.4700,-8.79,2384548,323.1500,325.2100,313.0000
2026/09/11,346.5500,21.3300,+6.56,2558130,329.0500,353.0000,324.1000
2026/09/10,325.2200,8.3800,-2.51,1302093,324.9200,335.9000,322.0700
2026/09/09,333.6000,3.6300,+1.10,2872463,333.5000,346.7200,331.6400
2026/09/08,329.9700,17.6200,+5.64,2984235,318.3650,336.5750,317.3100
2026/09/04,312.3500,2.5100,+0.81,2168762,316.3000,318.4100,308.3000
2026/09/03,309.8400,32.0700,+11.55,3897482,282.6400,314.0900,280.7000
2026/09/02,277.7700,14.8200,-5.07,3252639,291.2400,291.7500,273.8000
2026/09/01,292.5900,6.8100,-2.27,1438652,293.8800,296.9800,287.5000
2026/08/31,299.4000,0.7000,+0.23,1272249,299.7100,302.0800,296.4201
2026/08/28,298.7000,18.6800,-5.89,1851392,315.0000,316.0000,298.5300
2026/08/27,317.3800,10.0600,+3.27,1899407,316.5550,325.8200,313.6044
2026/08/26,307.3200,0.4600,+0.15,1523292,305.2050,313.1100,303.1936
2026/08/25,306.8600,12.2900,+4.17,1752126,303.8300,307.3400,298.4550
2026/08/24,294.5700,1.9800,-0.67,1652714,298.6300,299.0000,284.5500
2026/08/21,296.5500,5.4500,-1.80,1681227,304.6000,305.9999,292.6400
2026/08/20,302.0000,0.6400,+0.21,1565494,301.0000,304.1600,294.5600
2026/08/19,301.3600,9.2300,-2.97,2695270,311.9900,314.2600,292.5000
2026/08/18,310.5900,29.8100,-8.76,3315417,330.3700,331.1250,308.5200
2026/08/17,340.4000,5.3500,+1.60,2164005,337.5800,346.2399,335.6300
2026/08/14,335.0500,12.5800,-3.62,2443356,349.6300,353.3050,333.4300
2026/08/13,347.6300,8.1700,+2.41,3511362,336.7450,365.5200,335.0100
2026/08/12,339.4600,29.0800,+9.37,3418982,320.0800,339.7413,318.6300
2026/08/11,310.3800,4.2100,-1.34,2243738,319.0000,319.0800,309.5000
2026/08/10,314.5900,3.2400,-1.02,2298384,320.0000,329.3700,314.4700
2026/08/07,317.8300,3.3000,+1.05,3329338,315.0000,319.4800,305.7501
2026/08/06,314.5300,48.2300,-13.30,8762867,311.0000,325.7550,307.0000
2026/08/05,362.7600,8.3900,-2.26,1813541,369.9700,378.9900,361.6200
2026/08/04,371.1500,29.2400,+8.55,3078079,355.2100,374.5900,344.3500
2026/08/03,341.9100,10.4700,+3.16,2383574,321.4800,345.4400,312.5900
2026/07/31,331.4400,21.1500,-6.00,3420438,364.5250,374.5000,330.1300
2026/07/30,352.5900,24.1600,+7.36,3645256,346.9500,357.9700,344.2500
2026/07/29,328.4300,21.7700,-6.22,4209336,350.9900,351.5000,317.6101
2026/07/28,350.2000,31.9600,+10.04,7884039,328.0000,350.9100,317.1200
2026/07/27,318.2400,12.9600,+4.25,4979568,306.8200,323.5500,289.2600
2026/07/24,305.2800,29.4700,-8.80,2394596,332.2000,332.2000,303.7187
2026/07/23,334.7500,0.7500,-0.22,2268587,334.2700,349.3100,331.6400
2026/07/22,335.5000,4.0900,-1.20,1345515,331.1400,341.6600,331.1400
2026/07/21,339.5900,32.2500,+10.49,3143794,317.0500,342.1300,312.4600
2026/07/20,307.3400,6.0000,+1.99,1616625,306.0400,316.9000,304.5000
2026/07/17,301.3400,2.5200,-0.83,2117686,293.0000,308.8300,282.2100
2026/07/16,303.8600,30.9100,-9.23,2916289,328.4600,329.3600,300.8000
2026/07/15,334.7700,10.2600,-2.97,1865960,349.7000,350.9000,322.5000
2026/07/14,345.0300,0.1500,-0.04,1256103,353.7400,353.8200,342.0000
2026/07/13,345.1800,14.6700,-4.08,1339474,350.3000,364.0100,339.1400
2026/07/10,359.8500,5.0700,+1.43,1169707,353.9800,361.6372,347.3700
2026/07/09,354.7800,5.9600,-1.65,1488427,373.7300,378.0000,353.8150
2026/07/08,360.7400,15.6800,+4.54,1325073,340.0000,361.1500,340.0000
2026/07/07,345.0600,5.1400,-1.47,1689797,339.9000,349.6200,330.1750
2026/07/06,350.2000,13.9900,+4.16,1506659,340.0000,359.7700,339.1700
2026/07/02,336.2100,25.4100,-7.03,2135007,354.0000,362.5300,328.5000
2026/07/01,361.6200,3.1800,-0.87,1312845,348.0100,362.7800,336.6800
2026/06/30,364.8000,21.5500,+6.28,1770239,345.3400,365.6700,343.1800
2026/06/29,343.2500,5.7200,+1.69,1925469,339.7750,344.3600,322.2500
2026/06/26,337.5300,23.8700,-6.60,1432414,351.3900,353.0800,336.5400
