일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,277.9500,1.2500,-0.45,5063098,280.2500,281.9900,275.1200
2026/08/28,279.2000,16.1900,-5.48,5240166,289.4400,291.2700,278.0450
2026/08/27,295.3900,1.0200,+0.35,4907584,303.6750,307.4900,291.0200
2026/08/26,294.3700,6.2300,+2.16,5468246,286.2300,294.8600,283.5000
2026/08/25,288.1400,12.6500,+4.59,4738904,287.1500,291.7100,281.3200
2026/08/24,275.4900,14.0300,-4.85,6919688,275.3000,279.9500,262.6200
2026/08/21,289.5200,0.5100,-0.18,6009677,296.9800,303.9900,283.4050
2026/08/20,290.0300,2.5600,+0.89,4979453,291.5500,291.5500,277.8701
2026/08/19,287.4700,18.9600,-6.19,7421653,309.1100,312.0000,284.7500
2026/08/18,306.4300,44.7900,-12.75,9644552,324.6050,329.4400,305.5000
2026/08/17,351.2200,25.3900,+7.79,8609613,333.5200,362.3200,330.2400
2026/08/14,325.8300,1.4000,-0.43,8757845,328.5800,346.1700,317.2050
2026/08/13,327.2300,28.4100,-7.99,13072466,344.8800,361.9900,325.2700
2026/08/12,355.6400,27.0700,+8.24,12452829,358.1400,362.0600,338.7300
2026/08/11,328.5700,3.4200,+1.05,6507136,323.8600,332.0000,315.4001
2026/08/10,325.1500,53.9800,-14.24,9845633,383.1850,386.5000,325.0000
2026/08/07,379.1300,44.9100,+13.44,11257150,360.0200,391.3650,353.1500
2026/08/06,334.2200,6.0000,+1.83,6036981,314.7100,354.4700,309.1900
2026/08/05,328.2200,4.4900,+1.39,5780890,319.4000,347.6600,319.4000
2026/08/04,323.7300,35.5900,+12.35,8958041,325.8700,336.3600,316.1000
2026/08/03,288.1400,25.2500,+9.60,5547899,254.8600,293.0400,248.4687
2026/07/31,262.8900,13.8300,+5.55,5475221,275.9000,281.9900,257.1250
2026/07/30,249.0600,27.0100,+12.16,6356983,243.3950,250.5900,239.3000
2026/07/29,222.0500,21.2800,-8.75,6900607,243.9250,245.0000,220.6800
2026/07/28,243.3300,27.9800,-10.31,8375024,257.2800,257.3300,228.2301
2026/07/27,271.3100,11.0800,-3.92,4645258,282.1200,283.2000,256.1600
2026/07/24,282.3900,30.8300,-9.84,3765771,306.0000,308.0000,280.9100
2026/07/23,313.2200,1.0300,+0.33,2853342,308.7400,327.7800,306.8500
2026/07/22,312.1900,5.0300,-1.59,2769745,306.6800,319.7600,305.8500
2026/07/21,317.2200,31.8200,+11.15,4531771,307.2600,319.9500,301.8667
2026/07/20,285.4000,7.8000,+2.81,3606819,288.6500,298.8700,284.2000
2026/07/17,277.6000,0.6400,+0.23,5956441,264.8400,285.3429,255.1401
2026/07/16,276.9600,22.4200,-7.49,4962640,286.0900,289.9300,273.8700
2026/07/15,299.3800,11.3900,-3.67,5188070,315.1200,316.1300,281.0600
2026/07/14,310.7700,3.3800,+1.10,3093675,320.5000,322.0100,307.1001
2026/07/13,307.3900,17.1100,-5.27,3218889,314.0000,322.8400,306.1000
2026/07/10,324.5000,2.7400,-0.84,4030230,321.4000,330.1500,315.1900
2026/07/09,327.2400,10.1900,+3.21,4158636,335.1400,340.7250,326.2700
2026/07/08,317.0500,2.9200,+0.93,3873659,312.1500,328.5400,304.7700
2026/07/07,314.1300,21.5700,-6.43,5474968,320.9200,329.9975,304.0650
2026/07/06,335.7000,2.3400,+0.70,3258274,333.1900,352.1999,331.0000
2026/07/02,333.3600,35.2900,-9.57,6975893,358.0750,371.7500,325.6550
2026/07/01,368.6500,25.8200,-6.55,4316236,370.1100,386.7400,360.0100
2026/06/30,394.4700,3.2500,+0.83,4428302,388.4250,399.4500,381.6005
2026/06/29,391.2200,10.6600,+2.80,7860010,379.0850,391.4700,341.6800
2026/06/26,380.5600,26.6900,-6.55,7103928,392.8000,393.3900,368.2000
2026/06/25,407.2500,14.7500,+3.76,4544342,415.1750,419.0000,376.3400
2026/06/24,392.5000,11.2800,+2.96,4641243,385.1000,396.9999,365.0100
2026/06/23,381.2200,44.2600,-10.40,5954792,388.6900,399.1400,379.5200
2026/06/22,425.4800,35.9100,+9.22,9178128,395.0400,439.6800,380.0100
2026/06/18,389.5700,10.7200,+2.83,7520641,394.0000,402.7800,376.6450
2026/06/17,378.8500,3.9600,-1.03,5707603,387.0200,393.0000,376.5500
2026/06/16,382.8100,31.0300,-7.50,5594365,423.7400,424.0000,381.8500
2026/06/15,413.8400,28.8100,+7.48,5158736,403.3500,420.5700,394.0000
2026/06/12,385.0300,21.4500,+5.90,5386637,374.2700,394.5000,354.1901
2026/06/11,363.5800,8.8100,+2.48,6489545,354.8450,371.0900,345.3000
2026/06/10,354.7700,1.1700,-0.33,5666777,353.4900,373.3550,345.5300
2026/06/09,355.9400,45.9900,-11.44,8180298,407.0750,410.7000,335.4800
2026/06/08,401.9300,24.9400,+6.62,5558387,396.0000,415.0000,375.0900
2026/06/05,376.9900,44.9100,-10.64,6418722,405.2700,417.7550,375.0900
2026/06/04,421.9000,4.4700,+1.07,6032673,398.7000,432.5050,380.2000
2026/06/03,417.4300,9.4600,-2.22,5393639,435.9800,440.0000,409.1765
2026/06/02,426.8900,63.9900,+17.63,9123986,381.8600,433.6899,377.5800
2026/06/01,362.9000,1.4300,+0.40,6065895,350.9300,366.0000,346.6300
2026/05/29,361.4700,15.4800,-4.11,11082553,375.6500,378.2700,343.5100
2026/05/28,376.9500,3.2300,-0.85,3702801,387.8200,393.5200,369.3600
2026/05/27,380.1800,1.1700,-0.31,3997572,383.9250,387.2799,359.2200
2026/05/26,381.3500,3.7800,+1.00,4090067,383.3250,387.6200,369.1000
2026/05/22,377.5700,0.4300,-0.11,3988348,382.0000,385.0000,368.5200
2026/05/21,378.0000,19.5000,+5.44,4366222,361.0000,382.4800,357.7500
2026/05/20,358.5000,4.8700,+1.38,5065944,362.9700,365.8600,345.0200
2026/05/19,353.6300,9.2000,-2.54,5779009,354.4200,365.9400,336.7000
2026/05/18,362.8300,19.6200,-5.13,6342061,382.0000,384.0000,352.8532
