일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,257.5800,1.5800,+0.62,22476416,254.3900,262.2800,254.3900
2026/08/28,256.0000,3.9500,+1.57,34362722,250.4700,263.5300,249.0000
2026/08/27,252.0500,46.4300,+22.58,55517471,230.0500,254.4800,230.0500
2026/08/26,205.6200,0.0700,-0.03,14888872,199.9400,206.4400,198.9500
2026/08/25,205.6900,3.3700,-1.61,10089513,205.8500,210.3100,204.7600
2026/08/24,209.0600,0.1100,-0.05,9586822,208.4200,213.1700,207.3900
2026/08/21,209.1700,3.7400,+1.82,9685429,205.5800,211.0700,204.7261
2026/08/20,205.4300,0.6600,-0.32,11482298,205.2200,207.8795,203.0000
2026/08/19,206.0900,9.9500,+5.07,17843612,194.2100,207.9500,194.2100
2026/08/18,196.1400,5.1700,+2.71,14152940,194.0900,199.4100,193.2300
2026/08/17,190.9700,5.2400,-2.67,14378800,193.8300,194.9400,189.9100
2026/08/14,196.2100,5.1600,-2.56,8664790,202.7500,204.4000,195.3200
2026/08/13,201.3700,8.0500,+4.16,15058682,196.8350,202.9900,191.3900
2026/08/12,193.3200,4.1500,-2.10,12787896,192.0000,196.5000,191.7800
2026/08/11,197.4700,0.0400,-0.02,11171642,196.9400,199.3900,195.5001
2026/08/10,197.5100,4.7700,+2.47,9706611,190.1700,198.1840,190.0000
2026/08/07,192.7400,5.9700,+3.20,11392789,191.0900,194.7000,190.6000
2026/08/06,186.7700,6.2100,-3.22,13297636,183.4400,187.0200,183.0000
2026/08/05,192.9800,1.9900,+1.04,9605450,193.2800,194.9400,190.4250
2026/08/04,190.9900,5.0400,+2.71,9326930,183.0900,191.2850,183.0000
2026/08/03,185.9500,1.9300,+1.05,12908027,188.9900,193.7000,185.9000
2026/07/31,184.0200,3.3100,+1.83,9691524,177.6950,184.4500,177.0253
2026/07/30,180.7100,7.6700,-4.07,12189410,180.9900,182.5078,175.9000
2026/07/29,188.3800,6.8800,+3.79,18139477,182.0100,190.1800,182.0100
2026/07/28,181.5000,7.9000,+4.55,17204648,176.9050,184.5400,176.9050
2026/07/27,173.6000,9.9400,+6.07,17317431,168.0000,176.9488,167.1400
2026/07/24,163.6600,6.7300,+4.29,10899068,160.3800,164.4500,159.5500
2026/07/23,156.9300,6.0700,-3.72,12774982,165.0500,165.8800,155.1450
2026/07/22,163.0000,7.0600,-4.15,12194506,169.4700,169.5700,162.2100
2026/07/21,170.0600,3.7300,-2.15,12831764,167.0600,172.4250,166.9300
2026/07/20,173.7900,3.0200,+1.77,13426526,167.8600,175.3900,166.4950
