일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/04,214.8971,0.0729,-0.03,5662,215.9777,216.0000,214.0000
2026/09/03,214.9700,11.5500,+5.68,12070102,208.3550,215.1000,203.7600
2026/09/02,203.4200,11.6500,-5.42,12385988,214.2200,214.8500,200.6000
2026/09/01,215.0700,15.9300,-6.90,13740655,228.0000,231.2986,212.6500
2026/08/31,231.0000,12.6000,+5.77,17823542,221.8350,233.8800,221.0000
2026/08/28,218.4000,9.5600,-4.19,14728309,228.2300,228.6900,210.5300
2026/08/27,227.9600,38.7800,+20.50,23443204,208.2500,229.0800,206.1000
2026/08/26,189.1800,3.8000,+2.05,13619878,182.7500,191.3200,181.2400
2026/08/25,185.3800,5.3000,-2.78,8346507,191.6200,194.5000,182.3500
2026/08/24,190.6800,1.2700,-0.66,7250971,189.5200,195.4000,188.4300
2026/08/21,191.9500,1.6100,+0.85,8201027,190.9400,192.8500,187.0100
2026/08/20,190.3400,11.2900,-5.60,8902380,197.2850,200.7410,189.9300
2026/08/19,201.6300,11.2900,-5.30,10751416,213.3800,213.9800,197.2500
2026/08/18,212.9200,0.9800,-0.46,6887302,213.0000,216.0550,209.0700
2026/08/17,213.9000,3.0500,-1.41,6411995,216.5300,219.1800,213.0100
2026/08/14,216.9500,8.5800,-3.80,6750292,226.6400,227.5000,216.4650
2026/08/13,225.5300,3.7500,+1.69,5822685,224.9800,226.6850,220.2300
2026/08/12,221.7800,0.1200,-0.05,6919387,219.9300,224.9500,217.8900
2026/08/11,221.9000,3.2600,-1.45,6343090,224.0000,225.5200,219.2400
2026/08/10,225.1600,10.7400,+5.01,8178475,215.3080,226.9000,214.5500
2026/08/07,214.4200,7.0300,+3.39,5881958,213.8250,216.5750,208.2000
2026/08/06,207.3900,2.4700,-1.18,6911327,203.0000,207.6300,201.7500
2026/08/05,209.8600,1.3600,-0.64,7324890,213.5500,219.3500,209.5600
2026/08/04,211.2200,8.6800,+4.29,8354467,205.8000,212.6400,203.5000
2026/08/03,202.5400,11.6800,+6.12,10302612,194.0400,203.1700,192.6000
2026/07/31,190.8600,5.6400,+3.05,7887418,187.2200,191.6450,184.1600
2026/07/30,185.2200,5.8400,+3.26,8958840,180.5800,185.4600,177.7468
2026/07/29,179.3800,2.4200,-1.33,7152528,182.6250,186.3900,176.4600
2026/07/28,181.8000,1.6900,+0.94,8475300,181.3300,184.6650,174.1400
2026/07/27,180.1100,3.1700,-1.73,6585916,187.9050,188.5000,179.5000
2026/07/24,183.2800,0.1400,-0.08,5779248,185.0000,185.8350,181.8300
2026/07/23,183.4200,5.0000,-2.65,6592314,189.5100,190.2079,181.7766
2026/07/22,188.4200,2.7300,-1.43,9080631,192.5600,193.4900,185.0500
2026/07/21,191.1500,7.3400,-3.70,9880264,199.8100,200.0000,189.6800
2026/07/20,198.4900,4.5900,-2.26,7379316,203.0800,208.2500,197.8200
2026/07/17,203.0800,0.6800,-0.33,9102630,200.4000,209.5000,199.5200
2026/07/16,203.7600,3.0100,-1.46,8026802,207.1700,207.6900,200.0700
2026/07/15,206.7700,3.9600,-1.88,12002816,212.3800,217.5000,205.1000
2026/07/14,210.7300,22.8200,+12.14,12139544,190.9950,211.0000,189.4600
2026/07/13,187.9100,0.7300,+0.39,6475288,186.8600,189.2500,181.0000
2026/07/10,187.1800,11.2200,-5.66,9269808,196.6000,198.0000,186.4800
2026/07/09,198.4000,7.2800,+3.81,6283527,188.3050,198.7500,187.0000
2026/07/08,191.1200,3.5000,-1.80,7980608,193.5100,195.6600,185.3000
2026/07/07,194.6200,4.7600,-2.39,9551201,200.6900,201.3700,192.2200
2026/07/06,199.3800,5.4000,+2.78,10190017,189.5100,209.5000,188.5500
2026/07/02,193.9800,0.7950,+0.41,10432159,191.2550,199.5300,190.6100
2026/07/01,772.7400,9.6000,+1.26,2685059,775.0000,786.0000,765.0000
2026/06/30,763.1400,20.2300,+2.72,3687971,736.5000,765.3000,732.0003
2026/06/29,742.9100,41.8200,+5.96,4939823,709.5000,755.9800,704.1201
2026/06/26,701.0900,22.4400,+3.31,3332263,686.2000,704.8400,673.6100
2026/06/25,678.6500,5.6300,+0.84,3008909,680.3800,692.7400,670.0010
2026/06/24,673.0200,7.9000,-1.16,1754526,680.4900,687.1463,669.0000
2026/06/23,680.9200,5.4800,+0.81,2372012,669.0100,690.8999,662.0000
2026/06/22,675.4400,9.4200,-1.38,3435821,685.0700,712.1800,673.1950
2026/06/18,684.8600,1.9000,+0.28,5379367,686.7500,695.9100,660.9200
2026/06/17,682.9600,3.4700,+0.51,2098276,680.0000,690.9300,670.9000
2026/06/16,679.4900,13.4200,-1.94,2143954,693.0980,700.8700,665.9600
2026/06/15,692.9100,10.1100,+1.48,2546025,692.6700,697.4950,668.8600
2026/06/12,682.8000,8.7300,-1.26,2311891,690.6600,702.1700,678.0000
2026/06/11,691.5300,43.7900,+6.76,3534000,645.2800,696.4300,641.0000
2026/06/10,647.7400,2.8100,+0.44,2527369,639.0300,662.1300,635.9500
2026/06/09,644.9300,13.8600,-2.10,3740613,658.7900,664.8700,617.7400
2026/06/08,658.7900,12.2300,-1.82,3337378,673.5050,684.0000,652.0100
2026/06/05,671.0200,48.0700,-6.68,5238819,696.7400,706.2200,670.1000
2026/06/04,719.0900,28.5200,-3.81,7449786,674.0700,720.9600,671.1100
2026/06/03,747.6100,21.3400,-2.78,5246589,765.6750,766.9999,742.1200
2026/06/02,768.9500,13.2200,-1.69,4185300,764.8500,778.8200,745.3800
2026/06/01,782.1700,51.1700,+7.00,4590344,735.8100,785.6600,734.0000
2026/05/29,731.0000,60.0000,+8.94,4820454,677.4350,731.4900,674.9400
2026/05/28,671.0000,25.6400,+3.97,2375246,649.3300,677.5000,641.5200
2026/05/27,645.3600,26.1900,-3.90,3276362,641.0100,660.6599,633.0900
2026/05/26,671.5500,8.0900,+1.22,2088129,665.0000,677.4999,648.0000
2026/05/22,663.4600,15.2300,+2.35,2781663,650.5000,674.8400,649.6000
2026/05/21,648.2300,1.8800,-0.29,2646075,650.5200,659.5500,642.0500
2026/05/20,650.1100,33.2300,+5.39,4383313,614.3000,651.0000,614.0638
2026/05/19,616.8800,1.9500,-0.32,4465043,619.9800,634.2400,613.2900
2026/05/18,618.8300,24.7500,+4.17,4699836,589.4950,621.0500,587.3700
2026/05/15,594.0800,14.1300,+2.44,3859375,573.1700,598.2500,560.6900
2026/05/14,579.9500,17.3800,+3.09,2815889,559.7050,583.7800,555.0000
2026/05/13,562.5700,16.3900,+3.00,2800856,540.8400,568.3700,538.3683
2026/05/12,546.1800,3.9200,+0.72,3545373,542.0000,552.4300,533.0000
2026/05/11,542.2600,14.4900,+2.75,2793317,523.7800,542.6700,522.0000
2026/05/08,527.7700,22.0500,+4.36,4041153,499.1750,528.9150,492.3300
2026/05/07,505.7200,37.6500,+8.04,5114477,486.0900,506.7900,486.0900
2026/05/06,468.0700,8.4600,-1.78,2198864,468.4000,475.2960,457.4600
2026/05/05,476.5300,7.2900,+1.55,2225010,474.3900,480.6600,466.0000
2026/05/04,469.2400,13.6000,+2.98,2183621,456.9000,471.8100,455.4001
2026/05/01,455.6400,9.8900,+2.22,1521998,454.6900,457.9700,445.5650
2026/04/30,445.7500,6.6300,-1.47,2442739,447.0100,450.0112,432.5500
2026/04/29,452.3800,2.6100,-0.57,1914787,450.3200,453.1600,443.2400
2026/04/28,454.9900,0.3800,+0.08,1872929,457.6250,463.6899,450.3200
2026/04/27,454.6100,6.4800,+1.45,2297053,453.5500,457.9800,442.6200
2026/04/24,448.1300,2.7400,+0.62,2271728,447.9350,451.0450,435.5600
2026/04/23,445.3900,21.2900,-4.56,3225472,453.6100,454.0000,436.5100
2026/04/22,466.6800,17.0700,+3.80,2892351,455.3300,467.9500,452.6300
2026/04/21,449.6100,16.4600,+3.80,3671059,439.7500,459.1500,436.5000
2026/04/20,433.1500,9.2000,+2.17,2885092,422.5400,433.8100,417.0200
2026/04/17,423.9500,5.7500,+1.37,2906302,428.9600,431.8399,420.3600
2026/04/16,418.2000,7.0400,+1.71,2991061,421.8500,425.7700,411.0900
2026/04/15,411.1600,12.6700,+3.18,3108144,407.0000,411.9800,402.0500
2026/04/14,398.4900,3.7500,-0.93,3187036,404.6500,411.4400,393.4000
2026/04/13,402.2400,23.2200,+6.13,4166463,380.1000,403.0600,378.2500
2026/04/10,379.0200,15.6600,-3.97,8938953,396.1020,398.0500,364.4700
2026/04/09,394.6800,31.8300,-7.46,5420541,425.9800,427.0200,390.8100
2026/04/08,426.5100,3.2800,+0.77,4727169,439.9900,449.9000,423.3500
2026/04/07,423.2300,24.6200,+6.18,4626826,397.8650,423.7300,395.5790
2026/04/06,398.6100,0.5100,-0.13,1595726,405.0000,405.0000,392.7302
2026/04/02,399.1200,5.8100,+1.48,1990086,391.1800,400.8000,386.7500
2026/04/01,393.3100,2.9000,+0.74,2118929,396.7500,396.9400,386.3701
2026/03/31,390.4100,10.3500,+2.72,2976601,381.9000,392.8800,379.0000
2026/03/30,380.0600,10.4800,+2.84,4381651,379.5700,390.4868,376.3900
2026/03/27,369.5800,23.0400,-5.87,6032000,370.8500,374.4600,361.8067
2026/03/26,392.6200,6.7600,+1.75,2458717,383.1700,395.5000,381.1900
2026/03/25,385.8600,7.1300,-1.81,3128658,398.9800,400.3200,383.5000
2026/03/24,392.9900,20.3200,-4.92,3636343,410.4050,410.8600,390.6000
2026/03/23,413.3100,4.3100,+1.05,3603293,411.0600,417.4300,407.0000
2026/03/20,409.0000,19.1800,-4.48,9111497,423.6750,424.3100,403.6100
2026/03/19,428.1800,7.6300,-1.75,2359821,439.0000,440.7100,423.3800
2026/03/18,435.8100,2.6100,+0.60,2799130,428.7700,442.4300,427.9900
2026/03/17,433.2000,9.3600,+2.21,2931479,424.0900,439.0100,419.6000
2026/03/16,423.8400,17.9400,-4.06,3666368,442.9900,443.5200,423.7700
2026/03/13,441.7800,0.2400,+0.05,2227117,443.9900,450.6400,434.5800
2026/03/12,441.5400,0.4900,-0.11,2359955,441.0000,450.0300,438.3300
2026/03/11,442.0300,5.7000,+1.31,2911221,442.5100,452.0000,436.2150
2026/03/10,436.3300,2.2000,+0.51,3316809,445.0000,447.9500,428.5500
2026/03/09,434.1300,5.1400,+1.20,3850353,425.5750,438.2800,425.5200
2026/03/06,428.9900,2.8300,+0.66,4604169,425.9600,433.7100,420.2300
2026/03/05,426.1600,18.4800,+4.53,5952572,407.3000,429.6899,407.0000
2026/03/04,407.6800,16.2600,+4.15,8352528,386.1850,408.4100,380.1100
2026/03/03,391.4200,6.5600,+1.70,7713168,369.5000,394.9200,367.9900
2026/03/02,384.8600,12.8800,+3.46,3771510,375.9000,387.1499,373.0860
2026/02/27,371.9800,9.1200,-2.39,5125782,369.0600,373.5000,359.2900
2026/02/26,381.1000,17.7900,+4.90,6199823,367.2480,385.0900,364.6600
2026/02/25,363.3100,13.0600,+3.73,5697882,349.5700,365.9799,346.5000
2026/02/24,350.2500,0.0800,-0.02,7138708,349.1000,360.9000,345.0500
2026/02/23,350.3300,38.2700,-9.85,15076250,384.9600,385.1100,342.7200
2026/02/20,388.6000,33.5400,-7.95,8360791,419.2800,431.8800,387.1100
2026/02/19,422.1400,6.3800,+1.53,2000407,417.6200,424.0000,409.9700
2026/02/18,415.7600,1.4750,+0.36,2752702,409.7500,421.7600,402.0000
2026/02/17,414.2850,15.3550,-3.57,4428133,423.5920,425.8821,400.0201
2026/02/13,429.6400,18.1000,+4.40,3536681,416.9100,432.8500,412.5800
2026/02/12,411.5400,4.2700,-1.03,3502527,418.9000,420.6700,402.2884
2026/02/11,415.8100,2.4200,+0.59,2470908,413.7000,416.5899,404.4000
2026/02/10,413.3900,5.3500,+1.31,3121374,401.2100,418.8800,400.7800
2026/02/09,408.0400,12.5400,+3.17,2825946,396.1850,410.7500,386.2544
2026/02/06,395.5000,18.3400,+4.86,4942990,384.9400,396.9900,378.3700
2026/02/05,377.1600,38.2000,-9.20,6053233,414.7900,416.2900,374.5200
2026/02/04,415.3600,6.3700,-1.51,4733012,411.9400,421.9800,401.5500
2026/02/03,421.7300,17.1200,-3.90,3834887,435.9200,436.7087,415.0500
2026/02/02,438.8500,2.5550,-0.58,2073674,440.0000,447.2400,434.7442
2026/01/30,441.4050,3.2150,-0.72,2595383,440.5000,448.7400,438.2500
2026/01/29,444.6200,24.5700,-5.24,5230334,460.7400,461.5500,431.3900
2026/01/28,469.1900,7.4700,-1.57,2382480,479.4600,487.0000,468.9100
2026/01/27,476.6600,8.3300,+1.78,2834532,478.4750,487.2000,473.4001
2026/01/26,468.3300,15.8400,+3.50,1957061,453.9900,469.9600,452.4900
2026/01/23,452.4900,1.2800,-0.28,1770799,454.6900,458.8600,449.4220
2026/01/22,453.7700,7.8900,+1.77,1514706,454.4500,454.4699,446.2800
2026/01/21,445.8800,3.1500,+0.71,2686835,445.0000,456.1200,439.1700
2026/01/20,442.7300,11.1500,-2.46,3231479,443.0260,450.2650,440.2310
2026/01/16,453.8800,1.1200,-0.25,3437922,456.7500,459.7000,443.6145
2026/01/15,455.0000,5.7000,-1.24,2835028,463.9600,472.3100,450.0000
2026/01/14,460.7000,7.3200,-1.56,3754935,465.8000,476.9999,451.7600
2026/01/13,468.0200,1.0300,+0.22,2693312,467.0000,476.5500,460.9400
2026/01/12,466.9900,3.6200,-0.77,1938862,460.2500,468.6100,459.6500
2026/01/09,470.6100,6.7400,+1.45,2397478,472.1900,475.9800,466.2500
2026/01/08,463.8700,15.0400,-3.14,2455457,478.2000,479.9900,460.6301
2026/01/07,478.9100,20.5900,+4.49,3967136,462.9700,486.5500,462.2840
2026/01/06,458.3200,1.7700,+0.39,2340146,457.7750,460.4600,451.2900
2026/01/05,456.5500,2.9700,+0.65,2615712,458.6300,466.4900,455.0046
2026/01/02,453.5800,15.1800,-3.24,3324981,474.0000,474.0000,449.4550
2025/12/31,468.7600,6.8700,-1.44,1661043,475.9800,476.0600,468.4000
2025/12/30,475.6300,0.2800,-0.06,1168100,476.0000,478.1200,472.2368
2025/12/29,475.9100,5.2800,-1.10,1314644,478.2950,483.2900,474.6335
2025/12/26,481.1900,4.0800,+0.86,1150652,477.0000,482.1549,475.1500
2025/12/24,477.1100,1.7300,-0.36,745101,476.8300,478.0000,470.6740
2025/12/23,478.8400,4.3000,-0.89,2053013,482.4900,483.5900,473.5000
2025/12/22,483.1400,1.8600,+0.39,2303290,479.7800,485.8700,474.8500
2025/12/19,481.2800,4.0200,+0.84,4662671,480.0000,489.2050,478.6300
2025/12/18,477.2600,7.2400,+1.54,1835071,479.7000,482.0400,473.9100
2025/12/17,470.0200,18.5100,-3.79,2317302,489.4100,490.4400,469.8350
2025/12/16,488.5300,1.0600,+0.22,1758737,486.4840,491.4400,482.0000
2025/12/15,487.4700,17.3100,-3.43,2184930,509.0100,509.0100,487.4300
2025/12/12,504.7800,12.8700,-2.49,2677671,516.4100,517.4358,498.7600
2025/12/11,517.6500,1.8900,-0.36,2001456,516.6700,528.1900,512.5100
2025/12/10,519.5400,1.5600,+0.30,2359253,516.0000,521.6100,504.5400
2025/12/09,517.9800,2.7900,+0.54,2035836,512.2300,529.8962,511.7295
2025/12/08,515.1900,3.1600,+0.62,1660540,513.0000,520.3000,508.9000
2025/12/05,512.0300,1.0900,-0.21,2629448,516.1400,526.8900,508.3200
2025/12/04,513.1200,11.0500,-2.11,2477255,523.9100,525.2700,510.2600
2025/12/03,524.1700,7.6200,+1.48,5578755,497.9900,525.0000,486.3000
2025/12/02,516.5500,12.4200,+2.46,5055263,513.4700,520.9999,507.0000
2025/12/01,504.1300,5.0300,-0.99,2058590,503.2150,506.7400,495.0100
2025/11/28,509.1600,7.6200,+1.52,1018908,505.3700,510.6900,501.9400
2025/11/26,501.5400,10.8000,-2.11,2213823,513.0000,514.9999,497.0000
