일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,79.8800,3.4700,-4.16,56446526,81.4500,82.4300,78.2700
2026/09/16,83.3500,2.4300,+3.00,18787564,83.7500,85.2580,81.1571
2026/09/15,80.9200,2.0600,-2.48,15675246,82.6200,83.8600,80.5200
2026/09/14,82.9800,6.0100,-6.75,26522624,82.6500,85.9300,82.0800
2026/09/11,88.9900,0.1300,-0.15,17682408,91.0800,91.9899,88.6200
2026/09/10,89.1200,5.8200,-6.13,27867134,89.9100,92.1900,88.7300
2026/09/09,94.9400,4.8900,-4.90,22038762,100.0350,100.5813,94.6100
2026/09/08,99.8300,10.4700,+11.72,51191160,92.9500,104.5900,92.8800
2026/09/04,89.3600,4.8000,+5.68,20796936,85.7250,89.6300,84.9000
2026/09/03,84.5600,3.6300,+4.49,18798408,80.1200,84.8500,79.0300
2026/09/02,80.9300,0.9200,-1.12,15574712,80.0900,82.5300,79.5800
2026/09/01,81.8500,3.0400,-3.58,15848667,82.3400,82.8100,80.3700
2026/08/31,84.8900,0.6600,+0.78,13237867,82.6300,85.2300,82.4000
2026/08/28,84.2300,2.5700,-2.96,17332101,85.1700,87.8999,83.1700
2026/08/27,86.8000,1.2100,-1.37,19872213,90.7500,91.8100,86.5100
2026/08/26,88.0100,0.0300,-0.03,14056766,86.8900,89.9107,86.7500
2026/08/25,88.0400,1.7900,+2.08,14224344,88.2700,90.2500,87.5000
2026/08/24,86.2500,1.6000,-1.82,19581392,85.1600,87.2000,83.2300
2026/08/21,87.8500,1.9100,-2.13,22187528,90.3950,91.5200,87.4100
2026/08/20,89.7600,1.1100,-1.22,17649037,90.3050,93.7700,88.7800
2026/08/19,90.8700,2.3000,-2.47,26700939,94.2300,94.3804,88.8505
2026/08/18,93.1700,12.8300,-12.10,38029242,101.4000,102.3800,93.1500
2026/08/17,106.0000,0.7400,+0.70,32398468,107.0100,109.9000,101.2200
2026/08/14,105.2600,1.0300,-0.97,33337939,106.2450,110.3000,102.5000
2026/08/13,106.2900,1.4400,-1.34,50680191,107.1400,117.4900,105.8400
2026/08/12,107.7300,17.4100,+19.28,87308421,108.7000,111.8300,105.4400
2026/08/11,90.3200,2.1300,+2.42,46381443,90.9400,93.5955,87.4600
2026/08/10,88.1900,2.4800,-2.74,20894776,92.3500,93.9800,88.1700
2026/08/07,90.6700,5.3400,+6.26,18664082,89.2300,91.0300,85.5835
2026/08/06,85.3300,4.5600,-5.07,16601422,86.3500,89.2300,85.0000
2026/08/05,89.8900,2.0100,-2.19,20798116,92.2900,94.1499,89.7700
2026/08/04,91.9000,6.1400,+7.16,33601344,86.4250,94.3000,86.2600
2026/08/03,85.7600,13.9900,+19.49,44558876,70.5550,86.2000,69.8900
2026/07/31,71.7700,2.1300,-2.88,26415860,77.0350,78.5000,69.9700
2026/07/30,73.9000,13.0800,+21.51,44148894,68.3000,75.8700,67.5500
2026/07/29,60.8200,6.4800,-9.63,37130113,66.6700,66.8900,60.5500
2026/07/28,67.3000,3.4900,-4.93,29855937,68.9700,69.1800,64.6330
2026/07/27,70.7900,1.0900,-1.52,17999210,73.8000,74.9100,69.6900
2026/07/24,71.8800,9.2200,-11.37,25487842,79.5000,79.5693,71.6700
2026/07/23,81.1000,1.5400,-1.86,18173671,81.0000,85.1900,80.5500
2026/07/22,82.6400,3.0600,+3.85,23467284,79.8900,85.3700,79.5800
2026/07/21,79.5800,6.5200,+8.92,24906994,75.0015,80.4500,74.5000
2026/07/20,73.0600,0.1500,-0.20,22799456,75.7650,79.3050,73.0100
2026/07/17,73.2100,0.3000,+0.41,35882634,70.7100,74.5000,68.5100
2026/07/16,72.9100,4.2100,-5.46,25032956,75.5700,75.6200,72.0800
2026/07/15,77.1200,2.8200,-3.53,24132280,78.7350,80.6400,74.8101
2026/07/14,79.9400,3.3700,-4.05,25969037,84.6600,85.9100,78.4000
2026/07/13,83.3100,5.5700,-6.27,18630081,86.9700,88.8800,82.7200
2026/07/10,88.8800,0.8200,-0.91,12714040,89.8900,91.3100,87.9300
2026/07/09,89.7000,0.3000,-0.33,24829323,93.3300,95.1359,89.3720
2026/07/08,90.0000,6.4700,+7.75,23876910,82.9800,90.1500,82.8200
2026/07/07,83.5300,2.9300,-3.39,23450281,83.7400,85.3100,79.4560
2026/07/06,86.4600,4.7150,+5.77,21929552,83.0150,87.5400,82.5046
2026/07/02,81.7450,3.9400,-4.60,32788112,86.2700,88.1700,80.5600
2026/07/01,85.6850,13.8550,-13.92,60851881,88.8650,90.2600,85.0100
2026/06/30,99.5400,4.0300,+4.22,18789324,95.1800,99.7900,93.8800
2026/06/29,95.5100,1.0700,-1.11,21976918,98.3800,98.4700,89.5500
2026/06/26,96.5800,2.1800,-2.21,47706035,95.1800,98.0900,93.5000
2026/06/25,98.7600,2.1200,-2.10,21772083,105.2800,106.5400,98.4200
2026/06/24,100.8800,4.8400,-4.58,22104304,103.5750,104.5400,98.2530
2026/06/23,105.7200,5.5700,-5.00,25319687,102.9250,112.0100,101.9600
2026/06/22,111.2900,6.6600,-5.65,29892801,119.0850,119.1900,106.6104
2026/06/18,117.9500,2.7400,+2.38,65546307,118.8500,119.8900,114.1250
2026/06/17,115.2100,1.8200,-1.56,26674228,117.0700,121.9999,114.9000
2026/06/16,117.0300,10.3200,+9.67,42823854,108.3000,119.4500,107.6200
2026/06/15,106.7100,6.1600,+6.13,22004011,104.0000,108.8000,103.8000
2026/06/12,100.5500,4.8100,+5.02,36338090,99.1200,105.5500,97.2200
2026/06/11,95.7400,0.1300,+0.14,22683488,92.6350,96.5100,91.0200
2026/06/10,95.6100,2.8400,-2.88,17855641,95.3900,100.5100,95.1000
2026/06/09,98.4500,3.9200,-3.83,26865595,103.9900,105.3850,93.6000
2026/06/08,102.3700,1.9800,+1.97,23379818,102.0300,104.3000,98.4000
2026/06/05,100.3900,7.6400,-7.07,32460769,104.6350,104.8000,95.5401
2026/06/04,108.0300,2.9000,-2.61,26751963,107.4900,110.4500,105.0300
2026/06/03,110.9300,8.3400,-6.99,26460067,119.9150,121.9600,110.5500
2026/06/02,119.2700,5.5500,-4.45,34813977,129.9600,132.1500,118.8200
2026/06/01,124.8200,15.2900,+13.96,58297282,114.7750,127.8485,114.7150
2026/05/29,109.5300,2.6700,+2.50,28158221,108.0200,110.2500,102.3000
2026/05/28,106.8600,2.5900,+2.48,23405961,107.9500,110.3300,103.6300
2026/05/27,104.2700,1.6200,-1.53,24155028,105.1100,105.5500,99.6000
2026/05/26,105.8900,0.4000,+0.38,21456077,108.2400,109.2000,105.0000
2026/05/22,105.4900,2.0900,-1.94,20001619,109.3200,109.8500,104.8802
2026/05/21,107.5800,6.3000,+6.22,31898627,106.5600,108.4400,103.1610
2026/05/20,101.2800,1.4700,+1.47,21656792,101.5000,102.7500,98.1000
2026/05/19,99.8100,3.9600,-3.82,29845564,98.5300,101.3100,94.8200
