일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,232.3600,4.3800,-1.85,3363382,235.8000,238.3100,231.2148
2026/08/28,236.7400,4.8500,+2.09,3000082,233.3700,238.8283,232.7100
2026/08/27,231.8900,5.0400,-2.13,3441867,235.9400,235.9400,229.6800
2026/08/26,236.9300,3.4300,+1.47,5008868,233.0950,238.5200,232.0000
2026/08/25,233.5000,4.4400,+1.94,4103457,229.2800,234.6300,227.0000
2026/08/24,229.0600,5.5700,+2.49,3883048,222.0300,230.0700,219.9800
2026/08/21,223.4900,1.1300,+0.51,3761461,223.4700,225.9480,219.1600
2026/08/20,222.3600,2.1400,+0.97,5871348,219.0100,224.0400,216.0100
2026/08/19,220.2200,3.8700,+1.79,4596465,216.7000,222.3900,215.8500
2026/08/18,216.3500,3.6300,+1.71,6405759,212.8900,222.8100,212.6600
2026/08/17,212.7200,4.3000,-1.98,4447964,214.6900,218.9400,212.0200
2026/08/14,217.0200,0.7600,+0.35,2626309,215.3800,219.5300,213.2500
2026/08/13,216.2600,3.7700,+1.77,3199238,213.6700,218.3800,210.1500
2026/08/12,212.4900,0.4900,+0.23,3105239,212.8800,215.2200,210.1100
2026/08/11,212.0000,2.1400,+1.02,4298473,209.7100,216.3500,206.2500
2026/08/10,209.8600,6.4000,-2.96,6821986,212.5000,215.9900,207.5400
2026/08/07,216.2600,3.0000,+1.41,6257282,212.2500,222.3900,209.6201
2026/08/06,213.2600,5.9900,+2.89,8599875,214.6700,218.0300,207.1750
2026/08/05,207.2700,4.9000,+2.42,5053705,204.2050,208.1900,203.1000
2026/08/04,202.3700,1.8700,+0.93,3841997,201.6300,204.5000,199.2800
2026/08/03,200.5000,4.3400,+2.21,3456307,200.4500,203.8800,197.9250
2026/07/31,196.1600,1.3700,-0.69,3112739,197.5700,198.4700,193.5400
2026/07/30,197.5300,4.0000,+2.07,3435008,189.9520,197.8400,188.8200
2026/07/29,193.5300,1.9900,-1.02,3879392,195.2000,199.8900,192.8200
2026/07/28,195.5200,11.1500,+6.05,3724113,185.5500,195.7850,185.5500
2026/07/27,184.3700,11.4600,+6.63,3640342,177.5000,185.5500,177.2900
2026/07/24,172.9100,3.1400,+1.85,3687339,171.0000,175.5500,169.6700
