일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,237.7000,0.7200,+0.30,4242521,233.9650,239.7000,232.3000
2026/08/28,236.9800,5.9500,-2.45,2520135,240.2200,247.8750,235.7250
2026/08/27,242.9300,15.2600,+6.70,4552911,237.0000,251.9900,236.0000
2026/08/26,227.6700,4.6800,+2.10,4046701,220.4600,234.9500,219.0000
2026/08/25,222.9900,2.7800,-1.23,3095075,226.8900,229.0800,221.3100
2026/08/24,225.7700,9.8500,-4.18,2776805,234.4100,234.5300,225.6700
2026/08/21,235.6200,3.0700,+1.32,2805502,235.1500,236.3100,228.7600
2026/08/20,232.5500,0.9700,-0.42,3174615,233.2700,236.5600,227.1100
2026/08/19,233.5200,12.4800,-5.07,4445454,246.6600,246.6600,232.1600
2026/08/18,246.0000,1.3200,-0.53,3637303,248.7900,253.4450,243.0000
2026/08/17,247.3200,8.1400,-3.19,3777071,250.6200,254.3300,244.4800
2026/08/14,255.4600,3.2200,+1.28,4423260,252.3900,257.9600,248.3900
2026/08/13,252.2400,11.3300,+4.70,3610273,241.2700,253.5500,240.8200
2026/08/12,240.9100,5.8700,-2.38,6306406,240.1900,255.4799,239.3400
2026/08/11,246.7800,14.0000,-5.37,4389335,256.6300,258.2450,246.3300
2026/08/10,260.7800,26.8500,+11.48,8667503,231.2000,262.9900,229.7600
2026/08/07,233.9300,4.6400,+2.02,8541350,234.8100,248.3500,233.2000
2026/08/06,229.2900,53.8800,-19.03,15031082,227.4500,243.0000,225.2600
2026/08/05,283.1700,4.9800,-1.73,5658057,291.4300,292.7200,283.0000
2026/08/04,288.1500,14.5500,+5.32,4826512,272.0300,289.9000,271.6000
2026/08/03,273.6000,5.6300,+2.10,5081977,272.1900,278.6800,267.5000
2026/07/31,267.9700,0.5900,-0.22,5273364,271.5000,278.7584,263.7800
2026/07/30,268.5600,4.3600,+1.65,4427151,263.8050,270.3300,262.6100
2026/07/29,264.2000,13.3200,+5.31,6621247,252.8800,273.7299,252.5000
2026/07/28,250.8800,0.9800,-0.39,4053431,255.1700,255.5400,237.6700
2026/07/27,251.8600,5.0000,+2.03,3209719,254.4850,257.8600,249.0000
2026/07/24,246.8600,2.4700,+1.01,2628029,248.4400,248.4400,241.1800
2026/07/23,244.3900,1.3800,-0.56,2447269,246.5700,248.9700,241.9600
2026/07/22,245.7700,9.0200,-3.54,3873601,251.7700,252.2600,243.6200
