일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,460.7900,4.5500,+1.00,7700402,459.8500,474.4900,456.0100
2026/08/28,456.2400,16.0200,-3.39,3954914,467.5800,474.7400,452.8993
2026/08/27,472.2600,8.4400,+1.82,4651803,466.6800,472.5000,459.1300
2026/08/26,463.8200,12.3200,+2.73,4459561,449.5800,469.4000,449.5800
2026/08/25,451.5000,18.3100,+4.23,3903735,442.8900,457.9900,441.7000
2026/08/24,433.1900,8.8900,-2.01,4342278,438.2100,451.5700,424.0000
2026/08/21,442.0800,7.3000,+1.68,3687744,439.3500,444.4300,429.4500
2026/08/20,434.7800,2.7700,-0.63,3633002,439.2400,443.7300,432.0000
2026/08/19,437.5500,31.1000,-6.64,7087901,467.9600,471.7500,427.5400
2026/08/18,468.6500,11.1600,-2.33,5530195,466.9800,489.9800,458.5000
2026/08/17,479.8100,11.0000,-2.24,5273667,496.6500,496.8599,469.0500
2026/08/14,490.8100,3.7000,-0.75,3992851,496.0000,500.7608,488.6500
2026/08/13,494.5100,10.0100,+2.07,8063969,499.6800,514.0000,487.1201
2026/08/12,484.5000,43.5300,+9.87,6243946,459.2750,484.7400,455.0000
2026/08/11,440.9700,16.9100,-3.69,4796064,449.1300,452.4594,431.0100
2026/08/10,457.8800,4.1100,+0.91,4986581,458.5800,474.9900,451.5000
2026/08/07,453.7700,16.1200,+3.68,5208419,444.9500,455.8799,416.3000
2026/08/06,437.6500,25.0500,-5.41,6094432,450.5500,455.8699,426.0000
2026/08/05,462.7000,4.5700,-0.98,6984245,466.5950,485.7000,459.1900
2026/08/04,467.2700,38.2500,+8.92,7583199,449.2800,476.9000,443.8300
2026/08/03,429.0200,23.6500,+5.83,4838276,397.6800,432.3600,390.1100
2026/07/31,405.3700,0.5600,+0.14,4853862,419.0000,431.4297,400.2522
2026/07/30,404.8100,35.1700,+9.51,6193743,384.8900,413.0000,383.0000
2026/07/29,369.6400,22.4600,-5.73,6349077,388.5000,394.9600,364.1700
2026/07/28,392.1000,34.8100,-8.15,9448664,401.2600,403.9994,358.8801
2026/07/27,426.9100,10.5900,-2.42,4960389,435.4900,447.8800,411.8700
2026/07/24,437.5000,1.8400,-0.42,4604132,438.9400,451.4800,432.2606
2026/07/23,439.3400,2.4600,-0.56,5118495,438.0000,454.7700,434.1000
2026/07/22,441.8000,37.6500,+9.32,7215047,414.3400,451.3600,413.7700
2026/07/21,404.1500,22.9000,+6.01,5277304,394.5000,407.9800,393.9400
2026/07/20,381.8800,14.4600,-3.65,4725822,400.2900,403.1950,381.0500
2026/07/17,396.3400,4.9600,+1.27,7290834,376.8500,407.1500,368.1450
2026/07/16,391.3800,21.3000,-5.16,6441782,404.4900,413.8300,391.1600
2026/07/15,412.6800,44.8600,-9.80,12957623,459.4450,461.2043,391.1201
2026/07/14,457.5400,30.4300,+7.12,7198292,441.9000,463.4800,441.5100
2026/07/13,427.1100,7.8600,-1.81,4661691,432.4450,436.7000,418.5300
2026/07/10,434.9700,15.2500,-3.39,5146813,449.1100,452.8000,433.2400
2026/07/09,450.2200,18.2500,+4.22,7927965,443.8300,460.5000,434.1500
2026/07/08,431.9700,14.6900,+3.52,9774345,422.8800,449.4500,414.0000
2026/07/07,417.2800,5.4800,+1.33,7050107,397.7500,426.5600,395.8200
2026/07/06,411.8000,17.4800,+4.43,7260436,395.1900,429.7400,393.2500
2026/07/02,394.3200,30.9300,-7.27,6618448,416.0800,422.5450,386.0100
2026/07/01,425.2500,6.2100,-1.44,6027599,418.0000,438.5200,410.7610
2026/06/30,431.4600,16.8500,+4.06,6903796,410.6400,433.5000,409.0000
2026/06/29,414.6100,15.1200,+3.78,8818454,393.8200,416.4399,378.6600
2026/06/26,399.4900,9.9600,-2.43,10832990,396.2500,401.3100,385.1300
2026/06/25,409.4500,24.6100,-5.67,11179169,414.5400,417.3200,391.0500
2026/06/24,434.0600,6.2800,+1.47,6317230,421.7650,440.3800,418.3400
2026/06/23,427.7800,9.0700,+2.17,6643874,395.0000,434.9900,391.0000
2026/06/22,418.7100,9.2100,+2.25,7336879,415.1900,444.0000,414.4837
2026/06/18,409.5000,9.8200,-2.34,15360635,429.8800,436.0000,407.8800
2026/06/17,419.3200,15.2400,+3.77,8754030,412.0000,431.7600,395.5000
2026/06/16,404.0800,4.9900,-1.22,6326463,413.1400,421.8200,402.2500
2026/06/15,409.0700,13.5000,+3.41,7036583,411.4000,415.9100,394.1000
2026/06/12,395.5700,4.1200,+1.05,6059055,385.0000,408.3750,381.1100
2026/06/11,391.4500,21.6200,+5.85,7869755,368.6800,394.3100,366.9600
2026/06/10,369.8300,11.9500,-3.13,9281213,376.9200,398.9899,369.6600
2026/06/09,381.7800,18.9900,-4.74,10471829,402.9200,407.7399,357.0700
2026/06/08,400.7700,6.3800,+1.62,8569719,398.5800,406.4999,385.6100
2026/06/05,394.3900,27.6600,-6.55,10990345,405.7700,412.9000,386.2750
2026/06/04,422.0500,0.9700,+0.23,12297420,401.8700,430.5000,399.0000
2026/06/03,421.0800,14.2300,-3.27,14231062,433.7900,436.0000,407.0000
2026/06/02,435.3100,30.6500,-6.58,16018502,466.1100,469.1900,433.4300
2026/06/01,465.9600,45.0500,+10.70,20849202,426.1500,469.4700,426.1500
2026/05/29,420.9100,103.8600,+32.76,41832954,418.0000,429.1510,402.2700
2026/05/28,317.0500,11.7300,+3.84,26611335,317.0300,327.7300,311.5200
2026/05/27,305.3200,0.2400,+0.08,8262376,307.4750,312.1399,298.5700
2026/05/26,305.0800,9.8900,+3.35,10305678,300.2500,308.6401,298.9700
2026/05/22,295.1900,42.3900,+16.77,15291495,268.1000,298.3200,265.2100
2026/05/21,252.8000,9.8700,+4.06,5075014,242.9600,254.3800,240.2700
2026/05/20,242.9300,7.6700,+3.26,4332860,239.4700,246.9300,237.1900
2026/05/19,235.2600,2.7700,-1.16,4082709,234.2500,239.7500,227.2700
2026/05/18,238.0300,3.9600,-1.64,5132555,244.6000,244.9500,232.2001
2026/05/15,241.9900,5.9000,-2.38,4833109,240.4100,246.8600,236.7900
2026/05/14,247.8900,4.0200,+1.65,6241866,248.8500,260.5400,240.8110
2026/05/13,243.8700,4.9300,+2.06,5008542,244.6000,247.0000,236.8000
2026/05/12,238.9400,8.1000,-3.28,7150812,242.5100,242.5100,228.5000
2026/05/11,247.0400,13.4200,-5.15,11517041,253.5950,255.4500,242.0000
2026/05/08,260.4600,30.1900,+13.11,12168099,233.5900,263.9900,233.5900
2026/05/07,230.2700,8.5300,-3.57,4848341,235.2600,237.7500,228.0000
2026/05/06,238.8000,22.4800,+10.39,9187209,220.8000,239.4500,219.6000
2026/05/05,216.3200,4.6800,+2.21,4360824,215.0200,217.4000,210.9387
2026/05/04,211.6400,1.4700,+0.70,3842381,210.8500,214.9800,205.7000
2026/05/01,210.1700,1.2200,+0.58,3010589,208.5300,212.7700,206.4400
2026/04/30,208.9500,3.2900,+1.60,5635830,208.5000,209.1500,200.8400
2026/04/29,205.6600,0.2700,-0.13,3635688,206.0600,207.9250,203.2514
2026/04/28,205.9300,10.0400,-4.65,4437704,209.9700,210.5100,201.5550
2026/04/27,215.9700,0.1200,-0.06,5820969,217.7800,221.5000,212.7600
2026/04/24,216.0900,3.9500,+1.86,4621365,213.9900,219.0000,209.5001
2026/04/23,212.1400,2.5100,-1.17,4421454,214.4900,219.2600,210.6800
2026/04/22,214.6500,2.2900,+1.08,5482147,215.0100,217.3900,209.5000
2026/04/21,212.3600,8.7500,+4.30,9078170,205.8500,214.3299,205.3500
2026/04/20,204.2400,7.6900,+3.91,7155812,196.5500,205.7799,196.5400
2026/04/17,196.5500,3.4600,+1.79,6311200,192.8300,197.3387,191.7500
2026/04/16,193.0900,15.8100,+8.92,11474725,179.5700,193.8000,178.5000
2026/04/15,177.2800,7.2300,-3.92,7793327,182.9400,182.9900,177.0000
2026/04/14,184.5100,5.2800,-2.78,6256367,185.5500,186.7900,180.1013
2026/04/13,189.7900,11.9900,+6.74,10506654,179.0000,191.3650,177.5000
2026/04/10,177.8000,3.6600,-2.02,4279738,183.2250,184.0000,177.0400
2026/04/09,181.4600,4.0100,-2.16,4500859,186.9700,187.7999,179.6850
2026/04/08,185.4700,7.7800,+4.38,7212000,185.7600,189.7499,182.6700
2026/04/07,177.6900,4.5100,+2.60,5753013,172.2350,178.8400,172.2200
2026/04/06,173.1800,1.1900,-0.68,3925402,175.8300,176.5000,172.7900
2026/04/02,174.3700,4.9900,+2.95,5217126,166.9900,174.3700,166.4950
2026/04/01,169.3800,5.2500,+3.20,7311128,166.9800,171.3300,164.7600
2026/03/31,164.1300,0.5300,-0.32,13713718,164.2900,167.9900,155.3700
