일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,70.6400,0.2400,+0.34,2413960,69.1600,71.3600,68.2694
2026/09/16,70.4000,1.4500,-2.02,2405076,70.6000,71.8400,70.1400
2026/09/15,71.8500,2.0900,+3.00,4978924,68.9400,74.0650,68.9400
2026/09/14,69.7600,4.1100,+6.26,3003462,67.0000,69.8600,66.4500
2026/09/11,65.6500,0.1500,-0.23,2193150,65.6300,66.9899,65.4900
2026/09/10,65.8000,1.3500,+2.09,2744759,64.6000,65.8400,63.8200
2026/09/09,64.4500,0.6300,-0.97,3109967,64.6400,65.4500,63.6330
2026/09/08,65.0800,3.3300,-4.87,4133919,67.0500,67.0500,64.2250
2026/09/04,68.4100,2.4400,+3.70,7999781,68.5200,70.4000,64.1600
2026/09/03,65.9700,0.5800,+0.89,5688334,67.0600,68.4600,65.5300
2026/09/02,65.3900,0.7500,+1.16,2727808,64.8500,65.8100,64.1800
2026/09/01,64.6400,1.6300,-2.46,3014141,65.1700,66.7750,64.3600
2026/08/31,66.2700,2.2700,+3.55,3878246,63.6000,66.3300,63.6000
2026/08/28,64.0000,0.2000,+0.31,3772276,64.0200,65.6400,63.9700
2026/08/27,63.8000,4.4700,+7.53,3782970,61.1500,64.0400,60.5900
2026/08/26,59.3300,1.2100,-2.00,4110626,58.9100,60.2800,58.7300
2026/08/25,60.5400,2.0200,-3.23,3512250,61.7400,62.5600,60.2200
2026/08/24,62.5600,0.5600,+0.90,1907442,61.6400,62.9900,61.3100
2026/08/21,62.0000,0.2800,-0.45,1789294,61.8000,62.6500,60.7900
2026/08/20,62.2800,0.1700,+0.27,1838052,62.0000,62.8700,61.3300
2026/08/19,62.1100,2.1000,+3.50,2248437,59.9200,62.6600,59.9200
2026/08/18,60.0100,0.1900,+0.32,2974458,60.3300,61.8200,59.8650
2026/08/17,59.8200,2.2200,-3.58,2116504,61.0700,61.6000,59.6000
2026/08/14,62.0400,2.0500,-3.20,3961560,64.9500,65.2500,60.4450
2026/08/13,64.0900,5.9900,+10.31,5440402,58.3700,64.2000,57.8550
2026/08/12,58.1000,1.2400,-2.09,1883252,58.4200,59.1600,57.5000
2026/08/11,59.3400,0.3000,-0.50,1765071,59.1300,60.4650,58.6802
2026/08/10,59.6400,0.6200,-1.03,3263482,59.1600,60.5900,59.0500
2026/08/07,60.2600,3.3600,+5.91,3443842,57.9800,60.3850,57.8900
2026/08/06,56.9000,0.5900,-1.03,2061626,56.0200,57.1700,55.3250
2026/08/05,57.4900,0.0500,-0.09,2085020,58.4800,58.5100,56.8237
2026/08/04,57.5400,2.4100,+4.37,2740412,54.3900,57.5500,54.2600
2026/08/03,55.1300,0.3000,+0.55,3015501,56.4300,57.0000,55.0700
2026/07/31,54.8300,0.5400,+0.99,2994236,53.0600,55.3500,52.6900
2026/07/30,54.2900,3.8800,-6.67,4662194,56.1300,56.7900,52.8750
2026/07/29,58.1700,2.2000,+3.93,4478683,56.0800,59.1300,55.6800
2026/07/28,55.9700,3.0600,+5.78,3666938,53.5900,56.2000,53.5900
2026/07/27,52.9100,2.4700,+4.90,3107225,51.7500,54.3000,51.2201
2026/07/24,50.4400,3.4000,+7.23,2540880,48.0400,50.5150,48.0400
2026/07/23,47.0400,0.8500,-1.77,2411167,48.4000,48.8000,46.5700
2026/07/22,47.8900,2.8500,-5.62,2949093,50.5100,50.5700,47.2900
2026/07/21,50.7400,1.5600,-2.98,2654611,50.9800,52.4500,50.5600
2026/07/20,52.3000,0.4400,-0.83,2937677,52.2500,53.4300,51.2500
2026/07/17,52.7400,0.6400,-1.20,3236976,52.8900,54.5000,52.1600
2026/07/16,53.3800,2.2200,+4.34,4160240,51.9800,54.0100,51.1850
2026/07/15,51.1600,1.7800,+3.60,3543798,50.0000,51.6600,49.8100
2026/07/14,49.3800,0.4900,-0.98,2382582,47.3400,50.1200,47.1560
2026/07/13,49.8700,0.6900,+1.40,2707489,49.6900,50.6500,49.1400
2026/07/10,49.1800,0.4200,+0.86,3139926,49.5800,49.7000,48.2200
2026/07/09,48.7600,1.5400,+3.26,3010118,46.2300,48.9500,45.5001
2026/07/08,47.2200,0.0100,-0.02,2838578,46.6800,47.4500,45.7000
2026/07/07,47.2300,0.3300,+0.70,3366521,47.9700,48.9850,46.9700
2026/07/06,46.9000,1.1300,+2.47,3471390,45.2000,46.9800,44.7700
2026/07/02,45.7700,0.2500,-0.54,2484379,45.7000,46.5900,45.5300
2026/07/01,46.0200,1.6000,+3.60,3493039,45.6500,46.4000,44.9450
2026/06/30,44.4200,0.6200,-1.38,3411351,44.8700,45.1100,43.8500
2026/06/29,45.0400,0.1700,-0.38,3575616,45.9300,46.3800,44.9000
2026/06/26,45.2100,2.7500,+6.48,8406072,42.9000,45.3300,42.9000
2026/06/25,42.4600,1.7800,-4.02,4103353,43.6600,44.2200,42.2700
2026/06/24,44.2400,1.5700,+3.68,5004383,42.8700,44.7800,42.6000
2026/06/23,42.6700,0.0400,-0.09,3968709,43.3900,44.0200,42.6200
2026/06/22,42.7100,0.7600,-1.75,5124761,42.8000,44.2066,42.2500
2026/06/18,43.4700,0.8900,+2.09,9475165,42.0400,43.9100,41.3675
2026/06/17,42.5800,1.8500,-4.16,4954197,43.8300,45.0900,42.3500
2026/06/16,44.4300,0.2350,+0.53,3780274,44.1700,45.2900,43.9050
2026/06/15,44.1950,0.8350,-1.85,5503391,45.4500,46.5000,43.4000
2026/06/12,45.0300,0.4800,+1.08,4260304,44.4100,45.1200,43.4800
2026/06/11,44.5500,0.5800,-1.29,4109084,44.4000,45.3300,43.8700
2026/06/10,45.1300,0.0600,+0.13,3626456,44.0800,46.2400,44.0000
2026/06/09,45.0700,1.0900,-2.36,5771021,45.7000,46.4300,43.7600
2026/06/08,46.1600,1.1000,-2.33,4878611,47.0100,47.9604,45.7450
2026/06/05,47.2600,3.6800,-7.22,8714010,49.1750,50.7800,46.7300
2026/06/04,50.9400,1.4600,-2.79,7123169,53.9400,54.2300,50.8100
2026/06/03,52.4000,2.7000,-4.90,3274557,54.1200,54.2900,51.8600
2026/06/02,55.1000,1.9200,-3.37,4887642,55.0400,55.9100,53.6650
2026/06/01,57.0200,4.5000,+8.57,4910011,54.4000,57.2900,53.1200
2026/05/29,52.5200,2.9400,+5.93,5536704,50.1500,53.3600,49.8383
2026/05/28,49.5800,1.1500,+2.37,2485121,49.1100,50.4300,48.3101
2026/05/27,48.4300,0.8900,-1.80,2144807,48.6000,50.1250,48.1600
2026/05/26,49.3200,0.2100,-0.42,2418491,48.7900,49.9150,48.0300
2026/05/22,49.5300,0.5600,+1.14,2276995,49.5000,50.1950,48.8600
2026/05/21,48.9700,0.7600,-1.53,2196134,48.9750,49.2100,47.6900
2026/05/20,49.7300,0.3100,+0.63,2425752,48.5100,49.8900,47.6300
2026/05/19,49.4200,0.4000,+0.82,3807336,51.1330,51.4200,48.8300
2026/05/18,49.0200,1.3100,+2.75,3182062,47.8900,49.5800,47.5600
2026/05/15,47.7100,2.2100,+4.86,4111628,45.9900,48.2900,45.4700
2026/05/14,45.5000,0.4300,+0.95,2950030,45.2100,46.2600,44.6000
2026/05/13,45.0700,0.1100,-0.24,3850001,44.5600,45.3700,44.0600
2026/05/12,45.1800,0.3100,-0.68,2916732,45.8800,46.3800,44.9300
2026/05/11,45.4900,2.4100,-5.03,4051879,47.3100,48.3850,45.2650
2026/05/08,47.9000,0.2900,-0.60,2475961,47.2200,47.9000,45.4000
2026/05/07,48.1900,1.6600,+3.57,4380851,47.6500,49.2000,47.6500
2026/05/06,46.5300,1.8500,-3.82,2510335,47.7700,47.7700,46.2200
2026/05/05,48.3800,0.0700,-0.14,1961081,48.3100,48.8300,47.2050
2026/05/04,48.4500,0.4900,+1.02,3183008,48.1200,49.6600,47.7700
2026/05/01,47.9600,1.9700,+4.28,3514235,47.6000,48.6700,46.5000
2026/04/30,45.9900,0.9300,-1.98,2382121,46.2400,46.5900,45.2500
2026/04/29,46.9200,1.1400,+2.49,2734788,45.7100,47.0800,45.1400
2026/04/28,45.7800,0.1200,+0.26,2368148,46.4100,47.6500,45.7600
2026/04/27,45.6600,0.5600,-1.21,1900798,46.1900,46.9700,45.6000
2026/04/24,46.2200,1.2000,+2.67,2403392,45.2400,46.2600,44.8950
2026/04/23,45.0200,2.5000,-5.26,4602627,45.6300,46.3300,43.6100
2026/04/22,47.5200,0.0800,-0.17,2275120,47.9500,48.5600,46.9600
2026/04/21,47.6000,0.1100,-0.23,2487228,47.9400,49.2700,47.3600
2026/04/20,47.7100,1.9700,+4.31,2905349,45.7400,47.7300,45.7000
2026/04/17,45.7400,0.3200,-0.69,2530942,47.5000,47.5500,45.4000
2026/04/16,46.0600,0.7800,-1.67,3438835,47.8500,48.2800,45.9000
2026/04/15,46.8400,2.2100,+4.95,3790833,45.7680,46.9000,44.9750
2026/04/14,44.6300,0.7900,-1.74,3430379,45.8500,46.4000,44.3300
