일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,87.9300,0.5900,+0.68,2232211,87.5400,88.2600,87.1700
2026/09/16,87.3400,0.8900,+1.03,3617180,86.0500,88.7900,86.0500
2026/09/15,86.4500,1.7700,+2.09,5961138,84.0400,87.3600,83.2550
2026/09/14,84.6800,1.6500,+1.99,2540890,83.9200,84.9800,83.7600
2026/09/11,83.0300,1.4800,-1.75,2547398,84.6500,85.8150,82.8300
2026/09/10,84.5100,0.6300,+0.75,3540992,83.2700,84.8150,82.2900
2026/09/09,83.8800,0.6500,-0.77,4177529,83.9300,85.1600,82.7950
2026/09/08,84.5300,3.3700,-3.83,8224259,86.5900,86.7500,84.2400
2026/09/04,87.9000,1.8100,-2.02,2361537,88.7800,89.0000,87.6500
2026/09/03,89.7100,0.0200,+0.02,1677938,89.7300,91.0000,89.0500
2026/09/02,89.6900,0.4500,-0.50,1918398,90.0300,91.9000,89.5425
2026/09/01,90.1400,0.9200,-1.01,2151646,90.8300,92.3350,89.9100
2026/08/31,91.0600,0.2400,+0.26,2999449,90.0000,91.1800,89.0900
2026/08/28,90.8200,1.5300,+1.71,2546957,89.8050,90.8400,88.8250
2026/08/27,89.2900,0.3300,+0.37,3026636,88.3700,90.4300,87.6000
2026/08/26,88.9600,0.2000,-0.22,3822845,88.1700,89.7600,87.5100
2026/08/25,89.1600,1.9000,-2.09,4105930,90.7310,91.1400,88.7800
2026/08/24,91.0600,1.2800,-1.39,4451431,92.3000,92.5900,91.0300
2026/08/21,92.3400,2.1200,+2.35,3481760,89.6050,92.5600,89.1964
2026/08/20,90.2200,0.3400,+0.38,5164593,89.4200,91.3850,89.2750
2026/08/19,89.8800,0.2800,+0.31,8668160,90.3000,91.9150,89.2350
2026/08/18,89.6000,0.8400,+0.95,3363035,89.4900,91.4999,88.9800
2026/08/17,88.7600,0.9900,-1.10,4048868,89.3400,89.9000,88.1450
2026/08/14,89.7500,1.7300,-1.89,3858932,91.9600,91.9600,89.4200
2026/08/13,91.4800,0.6800,+0.75,4686457,90.8200,91.6200,90.1500
2026/08/12,90.8000,1.2700,+1.42,5402528,89.0400,91.0400,88.2650
2026/08/11,89.5300,1.8800,+2.14,5971702,87.5900,89.5550,87.0550
2026/08/10,87.6500,2.9000,+3.42,7832725,84.8100,88.1750,84.5250
2026/08/07,84.7500,1.7300,+2.08,4626280,82.4900,85.0550,82.0900
2026/08/06,83.0200,0.3600,+0.44,3871530,82.9100,83.6900,82.4699
2026/08/05,82.6600,4.2800,-4.92,6010497,86.4700,86.4700,82.3000
2026/08/04,86.9400,0.3700,-0.42,6123983,87.1400,87.8500,86.2100
2026/08/03,87.3100,3.8600,+4.63,9191480,85.2500,87.6300,83.5000
2026/07/31,83.4500,8.9100,+11.95,11982034,79.8800,84.7000,79.5000
2026/07/30,74.5400,0.6000,-0.80,5653473,73.9300,74.8700,73.2400
2026/07/29,75.1400,0.2900,+0.39,6270154,74.4200,76.0850,73.4450
2026/07/28,74.8500,1.4800,+2.02,4120276,74.5650,76.0900,74.0900
2026/07/27,73.3700,1.8300,+2.56,5003902,72.0000,74.5900,72.0000
2026/07/24,71.5400,1.0600,+1.50,2844471,71.0500,71.8500,69.7900
