일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,152.4400,2.7400,-1.77,2285395,153.7700,154.4900,152.1300
2026/08/28,155.1800,2.5300,-1.60,1533875,158.2700,158.6400,154.4200
2026/08/27,157.7100,0.5800,-0.37,1711199,158.6000,158.9750,156.5501
2026/08/26,158.2900,3.3300,+2.15,2066557,155.5800,158.7000,155.5000
2026/08/25,154.9600,2.6100,-1.66,3111986,159.8000,159.8200,154.6000
2026/08/24,157.5700,0.3100,+0.20,1721990,157.3700,158.2000,156.2050
2026/08/21,157.2600,2.5400,+1.64,2081719,156.4500,157.4800,155.0750
2026/08/20,154.7200,2.8800,-1.83,1821598,155.7700,157.2500,154.0800
2026/08/19,157.6000,0.1800,-0.11,1554680,159.1100,159.6999,157.1800
2026/08/18,157.7800,4.2700,-2.63,2120399,161.0900,161.5000,157.7300
2026/08/17,162.0500,1.1200,-0.69,2054134,162.9900,164.3500,161.5500
2026/08/14,163.1700,0.4850,-0.30,2144513,164.2600,164.8000,162.3000
2026/08/13,164.2100,0.4100,+0.25,2695375,164.2600,164.3700,159.8450
2026/08/12,163.8000,0.5800,-0.35,2457129,165.9200,166.3500,162.8200
2026/08/11,164.3800,5.6700,+3.57,2531131,159.0000,164.4200,159.0000
2026/08/10,158.7100,0.4500,+0.28,3570515,158.4300,159.8099,157.3500
2026/08/07,158.2600,1.3500,+0.86,2826819,157.9700,159.3400,156.9100
2026/08/06,156.9100,5.5600,-3.42,3831316,164.3200,164.8500,156.0000
2026/08/05,162.4700,3.6300,+2.29,5251245,157.2700,164.8700,155.5000
2026/08/04,158.8400,3.9900,+2.58,5333622,156.0000,159.4750,152.2800
2026/08/03,154.8500,5.0300,+3.36,3431852,150.6200,154.9800,150.0350
2026/07/31,149.8200,1.1800,+0.79,3725482,149.7300,151.0000,147.9500
2026/07/30,148.6400,2.9100,+2.00,2911060,149.2900,149.6100,146.7500
2026/07/29,145.7300,6.0800,-4.01,3601438,150.7800,150.7800,145.1000
2026/07/28,151.8100,2.5100,+1.68,2740202,149.0000,152.0900,147.6197
2026/07/27,149.3000,1.3600,+0.92,2835222,148.6000,150.7900,146.9200
2026/07/24,147.9400,3.0400,+2.10,3744174,144.9000,149.1750,144.3300
2026/07/23,144.9000,5.2700,+3.77,4274823,138.7000,145.8350,138.6000
2026/07/22,139.6300,0.3700,+0.27,1696377,139.1200,140.9200,139.0300
2026/07/21,139.2600,2.6800,+1.96,1612546,138.6200,140.3400,136.0600
2026/07/20,136.5800,2.9600,-2.12,2251184,139.4600,140.0000,135.2500
2026/07/17,139.5400,0.4600,+0.33,3253924,138.3000,142.3700,137.5200
2026/07/16,139.0800,2.8300,+2.08,2499349,133.9100,139.3100,133.5500
2026/07/15,136.2500,0.1600,+0.12,2249942,136.9500,137.1100,134.6000
2026/07/14,136.0900,0.7100,+0.52,1831767,137.2900,138.0500,134.5400
2026/07/13,135.3800,3.5000,-2.52,1741991,138.0000,139.2800,134.9505
2026/07/10,138.8800,1.0800,+0.78,1563376,139.0400,140.3850,138.2150
2026/07/09,137.8000,1.3200,+0.97,2341393,138.1100,139.5000,136.7330
2026/07/08,136.4800,1.4300,-1.04,2838235,136.2400,137.0550,134.2000
2026/07/07,137.9100,3.6500,-2.58,2159521,140.0900,140.8600,136.9750
2026/07/06,141.5600,2.5100,+1.81,1896215,139.0400,141.7400,138.5800
2026/07/02,139.0500,0.4700,-0.34,2654966,140.5800,142.0030,137.2700
2026/07/01,139.5200,3.6300,-2.54,2160566,142.3300,142.7300,139.4700
2026/06/30,143.1500,0.3300,+0.23,2804776,142.8600,144.1700,141.9100
2026/06/29,142.8200,0.6700,-0.47,2329240,142.9900,144.0500,141.6001
2026/06/26,143.4900,1.8500,-1.27,5831790,143.6000,144.8400,141.7900
2026/06/25,145.3400,3.9000,+2.76,3135221,143.0000,147.3399,141.9550
2026/06/24,141.4400,1.7000,-1.19,3726812,143.2500,144.7700,140.9000
2026/06/23,143.1400,7.0700,-4.71,2925617,146.8400,146.9250,143.0900
2026/06/22,150.2100,0.4500,-0.30,2806367,150.7200,152.0000,149.3700
2026/06/18,150.6600,1.6600,+1.11,4090266,152.2800,152.8800,150.0800
2026/06/17,149.0000,0.1900,+0.13,2962312,149.8100,152.7600,148.6650
2026/06/16,148.8100,2.2900,+1.56,4229706,147.1100,151.5800,146.4950
2026/06/15,146.5200,3.4500,+2.41,2517883,146.2600,149.5700,145.2300
2026/06/12,143.0700,0.9800,+0.69,2213425,143.8800,144.6600,141.3800
2026/06/11,142.0900,4.9800,+3.63,2057586,138.8900,142.5999,136.4201
2026/06/10,137.1100,5.3100,-3.73,2952170,142.4000,144.2250,136.6300
2026/06/09,142.4200,3.3500,+2.41,2890461,140.3200,142.9400,138.0100
2026/06/08,139.0700,0.9500,+0.69,1599021,138.8500,140.0000,137.8600
2026/06/05,138.1200,3.9400,-2.77,2232670,140.9300,141.1600,137.2900
2026/06/04,142.0600,1.1800,+0.84,1838733,141.8100,142.7750,140.7200
2026/06/03,140.8800,1.1500,-0.81,2242067,140.3700,143.1200,140.0400
2026/06/02,142.0300,0.3800,+0.27,2260066,142.0400,143.4900,140.0600
2026/06/01,141.6500,2.1700,-1.51,2037612,140.6600,142.6000,140.1100
2026/05/29,143.8200,2.0300,+1.43,3868328,142.2500,145.5650,141.3850
2026/05/28,141.7900,2.0700,+1.48,2758153,139.0100,142.6099,137.9400
2026/05/27,139.7200,1.2500,-0.89,2388286,141.8100,142.3800,139.3950
2026/05/26,140.9700,4.5500,+3.34,2689706,137.7500,141.1700,136.8100
2026/05/22,136.4200,1.5200,+1.13,2950724,136.1100,137.4950,134.5550
2026/05/21,134.9000,2.0400,+1.54,3638122,131.5400,135.1300,130.8400
2026/05/20,132.8600,2.2100,+1.69,3295400,131.3600,133.9700,129.4301
2026/05/19,130.6500,1.5700,-1.19,4044374,130.0800,133.0100,128.1300
2026/05/18,132.2200,0.8300,-0.62,2107247,132.6800,133.2600,130.9475
2026/05/15,133.0500,4.2750,-3.11,3173434,135.4200,135.4200,131.1700
2026/05/14,137.8800,0.1200,+0.09,2088689,137.7900,138.9800,136.9354
2026/05/13,137.7600,0.4800,+0.35,2964883,136.7100,138.4600,135.1000
2026/05/12,137.2800,2.1500,-1.54,3433304,138.8600,138.9900,134.5000
2026/05/11,139.4300,1.8800,-1.33,2487558,141.3000,141.5000,139.0900
2026/05/08,141.3100,0.2200,+0.16,2534485,142.5700,142.9000,139.4950
