일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,403.6900,0.9100,+0.23,2166899,403.0000,406.9800,399.7500
2026/08/28,402.7800,13.2600,-3.19,1824615,417.5000,419.0300,402.3100
2026/08/27,416.0400,3.4000,-0.81,1622827,427.6200,427.9600,415.2101
2026/08/26,419.4400,10.2400,+2.50,1794247,411.9700,420.9300,409.7750
2026/08/25,409.2000,0.5300,+0.13,1521611,418.3300,419.9900,407.4701
2026/08/24,408.6700,10.5300,-2.51,1574117,415.2300,417.9899,406.9500
2026/08/21,419.2000,3.9100,+0.94,1749824,419.5000,423.5100,416.2100
2026/08/20,415.2900,9.3800,-2.21,1684447,422.0500,425.4209,415.1500
2026/08/19,424.6700,6.6600,-1.54,1748998,435.1200,436.9500,417.2200
2026/08/18,431.3300,24.0700,-5.29,2120722,444.1900,444.8900,428.9000
2026/08/17,455.4000,3.8900,+0.86,1605434,458.9600,458.9600,449.0000
2026/08/14,451.5100,1.8200,-0.40,1401312,453.7600,456.6700,449.0100
2026/08/13,453.3300,6.6300,-1.44,1565133,459.3100,459.3806,452.5000
2026/08/12,459.9600,0.6700,+0.15,1662993,476.0200,478.0000,459.0300
2026/08/11,459.2900,14.3300,+3.22,1840582,446.9700,463.7500,446.5000
2026/08/10,444.9600,3.7200,-0.83,1394801,453.9000,453.9300,444.0700
2026/08/07,448.6800,1.5900,+0.36,1721861,451.7700,455.8200,444.5500
2026/08/06,448.1900,0.9100,+0.20,1754039,444.9500,457.7800,442.0000
2026/08/05,447.2800,2.5100,+0.56,2178472,445.2000,453.4999,443.6701
2026/08/04,444.7700,6.5400,+1.49,3028284,451.2900,451.9550,434.3000
2026/08/03,438.2300,23.0300,+5.55,3635382,413.9400,438.7600,410.1500
2026/07/31,415.2000,28.3100,+7.32,4550702,420.0000,420.0000,394.4100
2026/07/30,386.8900,25.0100,+6.91,3899080,381.5000,389.3850,378.5800
2026/07/29,361.8800,24.3800,-6.31,4515051,382.2000,386.5200,358.1250
2026/07/28,386.2600,12.3800,-3.11,2964370,383.2700,388.5700,375.7500
2026/07/27,398.6400,5.4300,-1.34,2139774,404.0000,407.6600,387.5000
2026/07/24,404.0700,11.0600,-2.66,1564439,409.8300,414.9200,400.8700
2026/07/23,415.1300,8.2200,+2.02,1828075,402.6900,417.4250,402.6900
2026/07/22,406.9100,3.9600,+0.98,1771201,398.0500,412.4800,397.8600
2026/07/21,402.9500,1.5400,+0.38,1883946,410.3800,412.2100,401.9000
2026/07/20,401.4100,1.4200,+0.36,1651149,408.2100,413.4600,399.2700
2026/07/17,399.9900,3.7200,+0.94,2650009,385.4600,404.7100,382.0000
2026/07/16,396.2700,16.5900,-4.02,3239122,401.7900,406.6200,390.8650
2026/07/15,412.8600,2.6600,-0.64,1946210,419.0000,419.0000,401.4600
2026/07/14,415.5200,12.6700,+3.15,1918563,411.4000,417.0000,407.5000
2026/07/13,402.8500,4.4300,-1.09,1682851,403.1100,407.2300,397.1000
2026/07/10,407.2800,1.4500,+0.36,1404402,403.0200,411.6727,401.8400
2026/07/09,405.8300,6.2700,+1.57,1706242,411.5500,414.8559,403.6500
2026/07/08,399.5600,3.8800,+0.98,1754426,391.6200,401.6099,390.7000
2026/07/07,395.6800,17.7400,-4.29,2329997,404.0500,406.0000,388.0974
2026/07/06,413.4200,14.9000,+3.74,1765053,405.5900,420.2450,404.4000
2026/07/02,398.5200,13.7900,-3.34,2602225,408.7700,414.7400,392.3000
2026/07/01,412.3100,13.8100,-3.24,2379952,419.9900,423.4500,404.7400
2026/06/30,426.1200,17.8600,+4.37,2537641,411.0000,427.9300,409.9300
2026/06/29,408.2600,5.5800,+1.39,2201351,404.0600,411.7400,401.3250
2026/06/26,402.6800,17.1900,-4.09,5273196,410.5500,413.1439,398.1200
2026/06/25,419.8700,15.2800,+3.78,1896781,414.9100,426.0000,413.9700
2026/06/24,404.5900,0.6900,-0.17,2396958,405.0100,412.7300,400.5100
2026/06/23,405.2800,30.5000,-7.00,2459026,421.5500,421.5500,405.2800
2026/06/22,435.7800,14.0100,+3.32,2571549,426.9800,436.7400,422.6100
2026/06/18,421.7700,12.1300,+2.96,3715592,420.8400,425.9200,414.7300
2026/06/17,409.6400,1.9300,+0.47,2242451,414.1400,419.1700,408.0000
2026/06/16,407.7100,0.6500,+0.16,1788703,409.2800,415.6200,407.2300
2026/06/15,407.0600,15.6700,+4.00,2337011,403.0800,412.0400,402.9500
2026/06/12,391.3900,2.2500,-0.57,2175309,396.5500,399.1300,388.3360
2026/06/11,393.6400,18.1800,+4.84,2639789,382.0000,396.1800,378.0600
2026/06/10,375.4600,26.2600,-6.54,3555517,395.5500,399.8300,375.0400
2026/06/09,401.7200,1.4200,-0.35,2335806,407.0000,413.2500,386.6201
2026/06/08,403.1400,7.2000,+1.82,2100866,400.1300,406.5100,398.1000
2026/06/05,395.9400,22.6700,-5.42,2538045,408.5500,410.6100,393.1700
2026/06/04,418.6100,2.6000,-0.62,1859800,416.7400,421.5700,408.7626
2026/06/03,421.2100,3.5900,+0.86,2181778,420.0000,426.5850,414.6550
2026/06/02,417.6200,17.5400,+4.38,2074532,405.6100,419.6800,404.7501
2026/06/01,400.0800,0.5200,-0.13,2339328,396.0800,404.2300,393.5950
2026/05/29,400.6000,1.3400,-0.33,3322002,402.3900,404.2800,397.5000
2026/05/28,401.9400,4.4300,-1.09,2319613,403.2000,406.4800,389.0000
