일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/28,165.5300,7.2500,-4.20,5095577,172.5800,173.0000,162.6800
2026/08/27,172.7800,15.2400,+9.67,6907240,160.2400,173.8899,159.8750
2026/08/26,157.5400,3.8800,+2.53,2995030,151.5000,158.4400,149.5000
2026/08/25,153.6600,1.6700,+1.10,3460119,152.8600,154.3300,151.6700
2026/08/24,151.9900,1.5200,-0.99,3422743,152.4250,153.8525,150.4000
2026/08/21,153.5100,2.7200,+1.80,4054822,151.9000,154.1100,148.2500
2026/08/20,150.7900,2.0600,-1.35,5158066,152.0000,154.4400,150.1600
2026/08/19,152.8500,5.1600,-3.27,3812266,157.9700,158.5600,151.6600
2026/08/18,158.0100,2.1600,+1.39,4055130,156.0000,159.9699,155.7000
2026/08/17,155.8500,4.1600,-2.60,3834560,160.0500,160.4300,155.5700
2026/08/14,160.0100,5.4300,-3.28,2861525,165.7500,165.7500,159.1041
2026/08/13,165.4400,4.6000,+2.86,4262282,162.6400,165.7500,160.1400
2026/08/12,160.8400,1.0500,-0.65,3850859,161.4800,165.1100,160.0000
2026/08/11,161.8900,2.3200,-1.41,4156358,163.2400,163.9200,160.7375
2026/08/10,164.2100,4.5700,+2.86,5726210,159.9000,167.1899,159.6400
2026/08/07,159.6400,0.4700,-0.29,4826784,165.0150,165.5000,158.5550
2026/08/06,160.1100,4.0200,-2.45,4996309,160.0700,162.7300,158.2700
2026/08/05,164.1300,4.1600,-2.47,4578515,170.3500,172.0900,163.9400
2026/08/04,168.2900,5.0800,+3.11,6437420,164.1100,169.1050,162.7700
2026/08/03,163.2100,1.2600,+0.78,5916854,163.3050,164.5000,159.3200
2026/07/31,161.9500,7.7000,+4.99,6085470,154.0100,162.5700,153.6100
2026/07/30,154.2500,1.0300,+0.67,11021787,164.0000,169.2600,152.2300
2026/07/29,153.2200,3.2400,+2.16,12380406,148.2700,154.9900,143.7700
2026/07/28,149.9800,2.4000,-1.58,6019937,152.6000,153.2400,146.1170
2026/07/27,152.3800,0.0100,+0.01,4796956,157.1300,157.1300,151.6750
2026/07/24,152.3700,0.8300,+0.55,2817161,152.6960,154.3200,151.4800
2026/07/23,151.5400,3.5100,-2.26,4590455,155.2900,156.4850,150.9200
2026/07/22,155.0500,3.0500,-1.93,4570398,158.5700,159.0000,154.5100
2026/07/21,158.1000,2.2600,-1.41,5548733,163.3800,163.5000,156.0200
