일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,336.0000,6.5800,-1.92,4477224,338.8300,339.7500,333.7200
2026/08/28,342.5800,0.1500,-0.04,2537469,345.0850,345.6299,341.2700
2026/08/27,342.7300,11.6600,-3.29,5096588,352.7900,353.4950,339.6000
2026/08/26,354.3900,4.8500,+1.39,3038648,351.7800,356.3900,350.0000
2026/08/25,349.5400,7.7000,+2.25,3135495,345.9450,350.0000,344.2200
2026/08/24,341.8400,6.5300,-1.87,2665591,346.5900,348.4900,340.5400
2026/08/21,348.3700,3.7300,+1.08,3549169,347.5400,351.8600,346.4100
2026/08/20,344.6400,11.5900,-3.25,6056101,353.0900,354.5000,343.5600
2026/08/19,356.2300,18.8600,-5.03,4923412,373.5200,374.5550,355.9800
2026/08/18,375.0900,5.6600,+1.53,4927917,366.8900,375.5800,365.0000
2026/08/17,369.4300,1.0500,+0.29,5515355,367.8700,372.3588,366.7613
2026/08/14,368.3800,7.7400,+2.15,2966205,362.5000,368.6900,361.5100
2026/08/13,360.6400,4.6900,-1.28,2738417,367.0000,367.0800,359.5500
2026/08/12,365.3300,2.7300,-0.74,2180808,369.7900,370.2000,363.2373
2026/08/11,368.0600,1.3600,+0.37,2286220,367.7400,372.5574,366.4725
2026/08/10,366.7000,3.3800,-0.91,3092284,371.5200,372.2600,364.8400
2026/08/07,370.0800,4.4700,-1.19,2527688,376.3900,377.8100,368.4400
2026/08/06,374.5500,6.6700,-1.75,3552935,383.9700,388.8400,372.7900
2026/08/05,381.2200,3.9400,+1.04,3160844,379.3400,384.5100,378.7375
2026/08/04,377.2800,8.3500,+2.26,4183138,374.5200,378.8500,368.6000
2026/08/03,368.9300,8.8600,+2.46,3371942,363.7900,369.9500,360.9650
2026/07/31,360.0700,5.0300,+1.42,3151327,356.2400,362.4200,353.7800
2026/07/30,355.0400,4.4100,+1.26,3187847,354.7500,356.6200,347.6600
2026/07/29,350.6300,12.9600,-3.56,3726564,362.7000,362.7000,348.8352
2026/07/28,363.5900,1.9800,+0.55,3626840,364.5800,366.7700,358.1900
2026/07/27,361.6100,7.8800,+2.23,3840186,359.8600,365.5000,356.0600
2026/07/24,353.7300,4.7300,+1.36,2958914,350.2400,359.9900,350.2000
2026/07/23,349.0000,7.8100,+2.29,3823554,340.0000,349.7200,338.6000
2026/07/22,341.1900,0.4900,+0.14,4200133,340.7100,345.1950,340.3650
2026/07/21,340.7000,0.6000,-0.18,3938607,345.0000,346.2500,340.0100
2026/07/20,341.3000,7.5300,-2.16,3887093,353.7950,357.0950,339.8900
2026/07/17,348.8300,3.1000,+0.90,5596251,346.9900,357.0600,343.0200
2026/07/16,345.7300,14.6200,-4.06,6883636,353.2150,354.2700,336.5300
2026/07/15,360.3500,6.6200,+1.87,5429324,355.6000,360.6300,353.3500
2026/07/14,353.7300,0.3100,+0.09,4416152,355.0100,359.2000,352.5700
2026/07/13,353.4200,5.8500,-1.63,2668923,356.1700,358.7000,352.0300
2026/07/10,359.2700,0.2300,+0.06,2335067,356.8100,360.6900,353.7500
2026/07/09,359.0400,3.0100,+0.85,3045485,361.5900,362.2600,357.8700
2026/07/08,356.0300,10.9500,-2.98,4214899,360.1200,363.0100,354.2500
2026/07/07,366.9800,11.7000,-3.09,4263065,377.4000,377.9000,363.6300
2026/07/06,378.6800,1.6300,+0.43,4065424,377.1700,380.2900,373.8350
2026/07/02,377.5200,2.5800,+0.69,3275341,379.7900,382.9700,374.3700
2026/07/01,374.9400,1.2100,+0.32,3951404,375.0300,376.6899,371.3800
2026/06/30,373.7300,0.0200,+0.01,4887485,374.6100,376.8200,368.7400
2026/06/29,373.7100,4.7100,+1.28,6071493,367.8200,376.0000,367.4700
2026/06/26,369.0000,2.3600,-0.64,8361163,368.4000,371.4400,363.8200
2026/06/25,371.3600,5.4800,+1.50,7592286,367.6450,379.6700,366.5100
2026/06/24,365.8800,9.4100,+2.64,6453721,356.8400,369.2500,355.6571
2026/06/23,356.4700,1.3500,+0.38,4735236,349.2800,359.9200,347.7684
2026/06/22,355.1200,2.5200,-0.70,5426729,357.6400,361.2800,354.5400
2026/06/18,357.6400,0.6100,+0.17,7763392,362.8500,364.7000,357.1000
2026/06/17,357.0300,5.3000,+1.51,5029381,352.1050,362.3300,350.0000
2026/06/16,351.7300,9.4700,+2.77,5210321,344.0400,352.8800,344.0400
2026/06/15,342.2600,6.9600,+2.08,5252659,343.4500,348.9000,341.9600
2026/06/12,335.3000,2.5400,+0.76,4377475,334.5600,336.8600,328.4700
2026/06/11,332.7600,14.0500,+4.41,4451191,320.5600,332.9200,319.7600
2026/06/10,318.7100,11.7300,-3.55,3777766,329.4900,330.5700,318.2500
2026/06/09,330.4400,8.4000,+2.61,4825257,324.6500,331.3100,320.0200
2026/06/08,322.0400,5.9600,-1.82,3152139,329.5700,332.0150,321.0400
2026/06/05,328.0000,0.3500,+0.11,3951484,326.9000,332.4850,322.5300
2026/06/04,327.6500,13.0100,+4.13,4243356,316.6700,329.4600,316.2500
2026/06/03,314.6400,3.0800,-0.97,4127049,313.4400,319.5500,311.0000
2026/06/02,317.7200,6.8800,-2.12,4827568,323.0000,325.0300,316.6600
2026/06/01,324.6000,0.8400,+0.26,4633490,321.4800,326.4000,314.9200
2026/05/29,323.7600,2.9400,+0.92,9347285,319.3300,325.9200,316.5800
2026/05/28,320.8200,3.6100,+1.14,5025514,316.7700,322.3200,314.2900
2026/05/27,317.2100,2.7200,+0.86,4789710,314.3000,320.4800,311.9500
2026/05/26,314.4900,11.6500,+3.85,5088367,306.3500,314.9800,306.3450
2026/05/22,302.8400,1.0800,+0.36,3504050,303.2500,306.3000,300.2500
2026/05/21,301.7600,1.5900,+0.53,4928288,298.5000,302.8800,294.7500
2026/05/20,300.1700,14.8900,+5.22,6098415,289.0000,300.4500,286.1800
2026/05/19,285.2800,0.7100,-0.25,5239411,284.7900,287.4200,282.6200
2026/05/18,285.9900,4.4600,+1.58,4696219,283.3900,287.2400,282.0400
2026/05/15,281.5300,10.0100,-3.43,5022486,287.4900,288.3100,281.3100
2026/05/14,291.5400,3.1700,-1.08,4686235,295.0300,297.8500,289.0800
2026/05/13,294.7100,2.7400,-0.92,4219931,295.9700,298.4000,291.3100
2026/05/12,297.4500,3.3200,-1.10,4393309,299.7200,300.9100,293.3000
2026/05/11,300.7700,3.6200,+1.22,4561956,296.0300,303.0700,292.8500
2026/05/08,297.1500,5.4800,-1.81,3952214,304.4500,305.4100,296.8300
2026/05/07,302.6300,3.2000,-1.05,5477769,308.0100,310.0000,301.8600
2026/05/06,305.8300,19.1500,+6.68,9168303,300.4300,308.3700,299.8600
2026/05/05,286.6800,6.1600,+2.20,6401124,282.4800,290.6600,281.6100
2026/05/04,280.5200,5.9900,-2.09,6133142,286.4000,289.8400,279.4100
2026/05/01,286.5100,3.4200,-1.18,3782915,289.0500,291.7600,286.2400
2026/04/30,289.9300,6.3600,+2.24,7603441,285.0100,291.5700,284.8300
