일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,901.5000,10.4300,-1.14,3574715,884.9000,904.0000,882.0000
2026/08/28,911.9300,41.9000,-4.39,1893629,948.5900,948.5900,911.3300
2026/08/27,953.8300,0.7400,+0.08,1584923,979.0000,979.0000,941.2700
2026/08/26,953.0900,26.3600,+2.84,2275979,924.8750,959.8700,922.0000
2026/08/25,926.7300,15.3700,-1.63,2026146,960.0100,972.0000,923.5400
2026/08/24,942.1000,14.7500,-1.54,1895869,949.0000,949.0000,925.7400
2026/08/21,956.8500,9.1600,-0.95,1722833,974.7300,976.8675,951.7400
2026/08/20,966.0100,21.4500,-2.17,2658138,977.0000,986.0000,942.3570
2026/08/19,987.4600,17.0700,-1.70,2056099,1002.2700,1003.0000,963.7600
2026/08/18,1004.5300,74.4700,-6.90,2821506,1046.8950,1049.9000,986.1700
2026/08/17,1079.0000,15.7500,+1.48,2091098,1072.6700,1099.6600,1065.4046
2026/08/14,1063.2500,13.8300,+1.32,1490972,1042.1000,1070.4700,1038.9850
2026/08/13,1049.4200,9.5200,+0.92,1709054,1043.5000,1065.3800,1021.0200
2026/08/12,1039.9000,28.0200,+2.77,1497856,1047.0050,1053.0000,1026.6300
2026/08/11,1011.8800,21.0300,+2.12,1631886,1001.0000,1033.3400,1001.0000
2026/08/10,990.8500,0.5300,+0.05,1587469,1003.9300,1004.9600,984.4300
2026/08/07,990.3200,9.9800,-1.00,2477391,1013.2000,1013.2000,963.5400
2026/08/06,1000.3000,17.6600,-1.73,1763748,1009.0100,1037.0000,997.1200
2026/08/05,1017.9600,0.5700,-0.06,1704173,1019.0000,1038.1466,1009.3000
2026/08/04,1018.5300,11.7700,+1.17,2187728,1046.0000,1046.9250,1000.0110
2026/08/03,1006.7600,16.4700,+1.66,2011361,975.0200,1012.7400,958.5650
2026/07/31,990.2900,8.3100,+0.85,2357606,1040.9900,1042.8500,979.1400
2026/07/30,981.9800,81.7000,+9.07,3140951,959.0000,986.0000,950.0000
2026/07/29,900.2800,43.1000,-4.57,3697294,943.9900,953.9900,897.6800
2026/07/28,943.3800,53.1900,-5.34,3904119,948.8300,956.8998,913.5100
2026/07/27,996.5700,18.1800,-1.79,3584624,1015.2100,1015.2200,941.8700
2026/07/24,1014.7500,16.4400,-1.59,2489359,1022.7950,1037.9100,997.0400
2026/07/23,1031.1900,46.1600,+4.69,3560064,981.3100,1041.7900,978.0100
2026/07/22,985.0300,93.7800,-8.69,4903803,1021.0100,1038.9850,985.0300
2026/07/21,1078.8100,0.3700,-0.03,3536472,1114.9900,1140.9900,1068.9700
2026/07/20,1079.1800,21.3400,+2.02,2542124,1081.0000,1104.0000,1050.9500
2026/07/17,1057.8400,21.6200,+2.09,3284982,995.0000,1069.1100,982.0000
2026/07/16,1036.2200,19.0600,-1.81,2829453,1034.9900,1049.8900,1013.3301
2026/07/15,1055.2800,10.7300,-1.01,2693369,1070.9100,1078.8207,1000.2500
2026/07/14,1066.0100,23.4100,+2.25,1771494,1071.0700,1082.0000,1057.4700
2026/07/13,1042.6000,48.9700,-4.49,2258470,1070.0000,1089.2100,1038.8900
2026/07/10,1091.5700,16.3100,+1.52,1738766,1077.0000,1102.7900,1053.9950
2026/07/09,1075.2600,4.2700,+0.40,2327780,1110.0000,1115.0750,1065.3100
2026/07/08,1070.9900,6.0900,-0.57,2804235,1075.0000,1109.2000,1050.9600
2026/07/07,1077.0800,74.9600,-6.51,4223696,1096.8400,1099.2556,1028.0000
2026/07/06,1152.0400,38.9300,+3.50,2882933,1140.5200,1195.9400,1138.4900
2026/07/02,1113.1100,21.2400,-1.87,2363020,1138.9350,1143.3700,1087.0800
2026/07/01,1134.3500,40.5100,-3.45,2359598,1146.4000,1161.6900,1116.5900
2026/06/30,1174.8600,72.3500,+6.56,3096186,1117.0000,1178.2000,1103.3500
2026/06/29,1102.5100,57.3400,+5.49,3180542,1055.6500,1111.7300,1047.0000
2026/06/26,1045.1700,40.3000,-3.71,3654217,1049.2750,1084.4012,1042.0001
2026/06/25,1085.4700,27.8200,+2.63,2753680,1089.0400,1109.9800,1055.0000
2026/06/24,1057.6500,22.6700,+2.19,2948121,1046.1600,1070.9990,1023.0800
2026/06/23,1034.9800,92.6100,-8.21,3919238,1055.1500,1073.0000,1034.0001
2026/06/22,1127.5900,17.8600,+1.61,3916281,1130.0400,1142.0000,1112.4300
2026/06/18,1109.7300,60.8700,+5.80,4344726,1091.0300,1117.9600,1087.2800
2026/06/17,1048.8600,66.5100,+6.77,3996017,997.4000,1065.3800,992.0000
2026/06/16,982.3500,3.7800,+0.39,2761128,991.8500,1009.3000,980.7300
2026/06/15,979.0700,38.4100,+4.08,3428155,970.0000,987.2200,957.3600
2026/06/12,940.6600,33.8700,+3.74,2787669,907.5000,943.6800,907.5000
2026/06/11,906.7900,39.7000,+4.58,4261229,888.0700,920.5200,884.7350
2026/06/10,867.0900,53.0600,-5.77,5302759,897.5100,908.0500,856.0100
2026/06/09,920.1500,13.7000,-1.47,3842711,927.9900,947.8400,878.0000
2026/06/08,933.8500,0.2400,+0.03,1842225,947.9100,952.7900,931.8600
2026/06/05,933.6100,29.7200,-3.09,3053471,947.2900,953.0000,921.4550
2026/06/04,963.3300,3.9700,+0.41,2180354,940.0000,968.7500,923.0000
2026/06/03,959.3600,10.3100,-1.06,2079469,976.9900,992.0000,956.5900
2026/06/02,969.6700,19.1300,+2.01,2248232,962.7800,977.0000,944.1500
2026/06/01,950.5400,17.7800,-1.84,2679348,959.9700,970.6400,939.0000
2026/05/29,968.3200,27.6800,-2.78,5284873,996.0100,1003.7700,952.0100
2026/05/28,996.0000,35.8900,-3.48,3013964,1025.4000,1032.7456,990.4600
2026/05/27,1031.8900,38.5800,-3.60,2270044,1047.2800,1052.5500,1017.3300
2026/05/26,1070.4700,31.7300,+3.05,1879653,1045.7800,1094.9999,1045.0000
2026/05/22,1038.7400,5.0800,-0.49,1475834,1060.3900,1061.4000,1034.2000
2026/05/21,1043.8200,19.3000,+1.88,1633665,1018.0000,1046.8799,1014.7178
2026/05/20,1024.5200,12.7200,+1.26,2564634,1024.0300,1041.9900,1004.5000
2026/05/19,1011.8000,0.4500,-0.04,2246667,994.3000,1024.8400,984.1500
2026/05/18,1012.2500,36.9800,-3.52,3116472,1049.0000,1049.3300,980.1401
2026/05/15,1049.2300,41.3000,-3.79,2445834,1066.0000,1066.0000,1038.5000
2026/05/14,1090.5300,27.9600,+2.63,1690623,1061.4600,1090.7000,1049.0000
2026/05/13,1062.5700,9.4100,-0.88,1588376,1084.6500,1085.0000,1047.3000
2026/05/12,1071.9800,1.1000,-0.10,2102760,1054.0000,1076.6799,1033.2850
2026/05/11,1073.0800,32.9300,+3.17,2509952,1041.7800,1086.2300,1031.1500
2026/05/08,1040.1500,5.4800,-0.52,1828693,1067.3400,1069.2950,1034.4300
2026/05/07,1045.6300,73.3300,-6.55,2588259,1114.9200,1115.8300,1040.4200
2026/05/06,1118.9600,23.7500,+2.17,2282777,1114.0000,1125.4300,1069.2700
2026/05/05,1095.2100,21.2600,+1.98,2075628,1093.5000,1109.9500,1088.0000
2026/05/04,1073.9500,11.0000,+1.03,1923213,1072.2700,1098.9000,1066.3800
2026/05/01,1062.9500,20.5100,-1.89,1890378,1088.8300,1093.6800,1062.0000
2026/04/30,1083.4600,20.3500,+1.91,3533224,1079.2300,1093.9999,1066.6100
2026/04/29,1063.1100,25.8200,-2.37,3721142,1091.7900,1107.5000,1047.5000
2026/04/28,1088.9300,31.3000,-2.79,4205987,1090.0000,1091.8300,1050.4901
2026/04/27,1120.2300,28.9600,-2.52,3845840,1135.2350,1140.0000,1084.9500
2026/04/24,1149.1900,0.3400,-0.03,3633758,1161.0200,1167.0000,1125.0200
2026/04/23,1149.5300,21.9700,+1.95,3073204,1147.8900,1181.9500,1133.4900
2026/04/22,1127.5600,136.2600,+13.75,4184734,1076.1600,1142.0000,1074.2200
2026/04/21,991.3000,1.1200,+0.11,2111121,994.0000,1016.0000,984.0900
2026/04/20,990.1800,12.5700,-1.25,1804871,1006.2300,1009.8899,990.1800
2026/04/17,1002.7500,24.4300,+2.50,2328796,988.6500,1009.4900,977.2100
2026/04/16,978.3200,7.6000,-0.77,1402664,982.6400,989.0000,969.5200
2026/04/15,985.9200,1.5800,-0.16,2306947,985.1000,1003.9900,973.6800
2026/04/14,987.5000,3.6200,-0.37,2028253,1000.0000,1006.2950,979.0000
2026/04/13,991.1200,0.2000,-0.02,1636176,998.0000,1007.3800,987.1600
2026/04/10,991.3200,23.3000,+2.41,2164566,973.1100,999.4300,970.0101
2026/04/09,968.0200,31.9500,+3.41,2061251,943.5600,979.4300,940.7600
2026/04/08,936.0700,25.3200,+2.78,2336882,950.0000,962.7197,930.5500
2026/04/07,910.7500,13.3900,+1.49,1399055,894.1900,910.9399,879.2000
2026/04/06,897.3600,1.2100,-0.13,1386258,901.8300,911.4999,887.0001
2026/04/02,898.5700,3.7900,+0.42,1944149,869.0000,913.0000,865.9500
2026/04/01,894.7800,21.8800,+2.51,2467657,888.4900,912.6200,887.4900
2026/03/31,872.9000,55.5500,+6.80,3469215,827.1300,873.3200,824.0100
2026/03/30,817.3500,35.8100,-4.20,2830824,860.6400,862.7099,807.0000
2026/03/27,853.1600,19.9600,-2.29,2494731,867.5550,878.3900,846.0000
2026/03/26,873.1200,50.5700,-5.47,3000650,915.0000,917.2636,871.0100
2026/03/25,923.6900,14.2800,+1.57,2864889,927.0000,948.3800,920.9000
2026/03/24,909.4100,26.7700,+3.03,2782041,864.1300,913.5800,860.0100
2026/03/23,882.6400,31.5700,+3.71,3353891,865.6850,920.6300,860.0000
2026/03/20,851.0700,26.3200,-3.00,4438066,877.7700,891.9900,844.2500
2026/03/19,877.3900,18.9200,+2.20,2509526,841.5000,878.1800,829.9500
2026/03/18,858.4700,14.4200,+1.71,2193134,844.5250,880.2100,844.5250
2026/03/17,844.0500,17.1800,+2.08,2259252,827.3700,844.2700,817.5200
2026/03/16,827.3700,22.3500,+2.78,2361357,817.5000,837.0000,811.1200
2026/03/13,805.0200,27.0900,-3.26,2271146,832.9900,845.2900,802.7600
2026/03/12,832.1100,15.5400,-1.83,2142896,844.1300,845.2500,819.1000
2026/03/11,847.6500,8.4500,+1.01,1706690,836.0300,852.7499,832.2500
2026/03/10,839.2000,9.1000,+1.10,2393625,835.9600,852.9199,832.1000
2026/03/09,830.1000,40.8700,+5.18,2878026,782.5300,830.4900,777.0000
2026/03/06,789.2300,25.7800,-3.16,2678645,792.9700,816.1400,782.3700
2026/03/05,815.0100,26.2600,-3.12,3209153,830.0100,844.2500,791.0949
2026/03/04,841.2700,0.7300,-0.09,1817473,850.6000,868.6100,838.0900
2026/03/03,842.0000,39.1800,-4.45,3558097,864.4400,864.4400,811.5600
2026/03/02,881.1800,7.5800,+0.87,2421431,865.0000,893.5600,854.0000
2026/02/27,873.6000,2.8600,-0.33,2456197,867.7000,876.3550,853.3400
2026/02/26,876.4600,0.4500,+0.05,2796742,877.3700,879.5500,830.7000
2026/02/25,876.0100,3.7200,-0.42,2293148,887.9600,894.9299,873.6100
2026/02/24,879.7300,48.0300,+5.77,2305259,830.9500,879.8900,824.9000
2026/02/23,831.7000,1.3600,+0.16,1438182,823.0000,833.1000,812.7400
2026/02/20,830.3400,4.2700,-0.51,1712678,829.8500,842.5000,822.0001
2026/02/19,834.6100,17.0600,+2.09,1655631,816.6750,837.3999,810.5400
2026/02/18,817.5500,1.6000,-0.20,1808911,820.0000,832.8999,811.0000
2026/02/17,819.1500,17.0200,+2.12,2221624,794.2400,828.5300,790.6202
2026/02/13,802.1300,14.4300,-1.77,2020873,815.0000,823.1000,795.1100
2026/02/12,816.5600,7.1100,-0.86,2677687,827.0000,845.9999,811.6000
2026/02/11,823.6700,32.8800,+4.16,2820998,822.9300,834.0000,802.7000
2026/02/10,790.7900,10.7500,-1.34,2458281,803.8550,809.3700,787.0001
2026/02/09,801.5400,22.1900,+2.85,3105772,776.2100,814.8599,771.0100
2026/02/06,779.3500,41.8200,+5.67,3283908,758.0700,779.5600,753.0000
2026/02/05,737.5300,8.6900,-1.16,3608563,717.2300,758.3400,714.2512
2026/02/04,746.2200,34.0300,-4.36,5057996,794.0000,795.5000,708.7500
2026/02/03,780.2500,25.2800,+3.35,3856158,775.0000,791.9500,754.1100
2026/02/02,754.9700,28.6000,+3.94,4074379,739.6800,762.3600,733.0000
2026/01/30,726.3700,8.9800,+1.25,3865733,716.4950,752.0150,715.9600
2026/01/29,717.3900,5.8000,+0.82,3490954,717.0000,722.7200,681.7000
2026/01/28,711.5900,18.8900,+2.73,5776324,691.4000,723.0000,674.0100
2026/01/27,692.7000,26.7100,+4.01,4714661,673.4250,696.4000,673.4250
2026/01/26,665.9900,8.2100,+1.25,2662114,656.0000,687.6800,656.0000
2026/01/23,657.7800,3.8900,-0.59,2009616,662.1800,666.1300,649.0000
2026/01/22,661.6700,6.2200,-0.93,2858754,671.9100,679.3300,645.2600
2026/01/21,667.8900,16.9700,-2.48,4022742,686.2300,690.0500,652.5900
2026/01/20,684.8600,3.3100,+0.49,3901877,668.1200,701.0000,664.5450
2026/01/16,681.5500,39.3200,+6.12,4986755,665.0600,692.5000,663.0000
2026/01/15,642.2300,1.9500,-0.30,2394934,654.1700,666.2800,639.4300
2026/01/14,644.1800,7.9100,-1.21,2396203,647.9200,654.0000,637.2000
2026/01/13,652.0900,12.3200,+1.93,2090153,641.0000,659.1700,640.3994
2026/01/12,639.7700,17.2700,+2.77,2828854,619.8700,644.7500,617.1100
2026/01/09,622.5000,5.9000,-0.94,3105778,632.3200,632.3200,621.1100
2026/01/08,628.4000,33.9200,-5.12,4310075,661.1200,661.1200,619.7500
2026/01/07,662.3200,24.0100,-3.50,2601080,686.0000,686.9900,661.3000
2026/01/06,686.3300,5.4700,+0.80,2490832,681.1100,687.0450,658.8000
2026/01/05,680.8600,1.8100,+0.27,2446599,690.6200,698.7400,669.5000
2026/01/02,679.5500,25.9800,+3.98,2741768,661.1900,679.7700,658.4000
2025/12/31,653.5700,6.0700,-0.92,1259928,656.8000,666.6600,652.7500
2025/12/30,659.6400,3.8200,-0.58,1206972,665.6500,668.4400,659.3500
2025/12/29,663.4600,0.0000,0,2186083,659.6000,671.0000,651.6901
2025/12/26,663.4600,3.8600,-0.58,1155311,667.4600,668.2000,660.4899
2025/12/24,667.3200,5.8700,+0.89,1110890,660.6300,673.5000,658.2700
2025/12/23,661.4500,0.3600,-0.05,1997567,664.8200,664.8200,654.0000
2025/12/22,661.8100,3.5300,+0.54,2694275,671.1100,671.4000,656.8000
