일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,86.6200,2.3300,+2.76,4268703,86.1900,87.8600,86.1500
2026/09/16,84.2900,1.0800,-1.27,6428913,85.0500,85.3500,83.4700
2026/09/15,85.3700,1.7900,-2.05,6300089,87.0500,87.6500,84.9000
2026/09/14,87.1600,1.5400,+1.80,5558164,85.8400,87.3900,85.4800
2026/09/11,85.6200,0.5000,-0.58,7370109,87.2500,87.7700,85.3100
2026/09/10,86.1200,2.3600,+2.82,6142806,83.8000,86.1800,82.8582
2026/09/09,83.7600,2.0300,-2.37,7780490,85.2200,86.3000,83.7600
2026/09/08,85.7900,1.9700,-2.24,6239759,87.3800,87.8500,85.3100
2026/09/04,87.7600,0.7200,+0.83,5440717,86.4100,87.7600,85.6850
2026/09/03,87.0400,2.3452,+2.77,5226961,85.5481,87.1997,84.9451
2026/09/02,84.6948,0.7585,-0.89,5900072,85.4633,86.4612,83.7767
2026/09/01,85.4533,0.6886,-0.80,5371520,86.1419,87.0101,85.0441
2026/08/31,86.1419,0.0499,+0.06,8277309,86.1019,87.0101,85.8275
2026/08/28,86.0920,0.0899,+0.10,7363756,87.4492,88.0878,85.4633
2026/08/27,86.0021,0.1497,-0.17,7609640,85.7028,86.9103,85.7028
2026/08/26,86.1518,0.5189,+0.61,5409459,85.8026,86.3814,84.7402
2026/08/25,85.6329,1.1676,-1.35,4863514,86.8304,86.9202,85.4633
2026/08/24,86.8005,0.9480,-1.08,4757269,87.7585,88.0878,85.5331
2026/08/21,87.7485,1.7763,+2.07,5284960,85.6130,88.1776,85.6130
2026/08/20,85.9722,1.1875,+1.40,4928693,84.0262,86.2616,83.5572
2026/08/19,84.7847,1.2475,+1.49,4740112,84.3057,85.9173,83.9434
2026/08/18,83.5372,0.6587,-0.78,3732984,84.6849,84.6849,83.4175
2026/08/17,84.1959,2.3950,-2.77,4744603,86.0720,86.3115,84.1659
2026/08/14,86.5909,0.3792,+0.44,3501057,86.6408,87.0001,85.9722
2026/08/13,86.2117,0.3692,-0.43,3549177,86.6708,87.1697,86.0471
2026/08/12,86.5809,2.5847,-2.90,4842245,88.9361,88.9361,86.5410
2026/08/11,89.1656,1.3871,+1.58,4802024,87.9481,89.5548,87.6986
2026/08/10,87.7785,0.3792,+0.43,3453814,87.2396,88.6267,86.2017
2026/08/07,87.3993,0.6387,+0.74,4032364,86.7107,87.6986,86.1528
2026/08/06,86.7606,2.2154,-2.49,5442515,88.9760,89.1157,86.3215
2026/08/05,88.9760,0.8482,+0.96,6874431,88.2774,89.7943,88.0729
2026/08/04,88.1278,0.6287,+0.72,5340775,87.2296,88.4072,85.8525
2026/08/03,87.4991,1.1775,-1.33,4823357,89.3253,90.1136,87.1049
2026/07/31,88.6766,0.4590,+0.52,6691806,88.6666,88.9261,86.8604
2026/07/30,88.2176,0.9979,-1.12,6241979,89.5548,89.5847,86.4263
2026/07/29,89.2155,0.8981,-1.00,7998840,90.5128,91.6604,88.9211
2026/07/28,90.1136,3.2532,+3.75,13410009,87.4242,90.9619,87.0300
2026/07/27,86.8604,4.3909,+5.32,9892110,84.8246,86.9003,83.9214
2026/07/24,82.4695,1.9660,+2.44,5617330,80.3738,83.5871,80.2640
2026/07/23,80.5035,1.4570,-1.78,9532582,81.1921,81.5753,78.8370
2026/07/22,81.9605,2.6046,+3.28,13086553,80.3339,84.1560,79.8748
2026/07/21,79.3559,3.7123,+4.91,11944480,75.9330,79.9347,74.6456
2026/07/20,75.6436,0.2694,-0.35,8827369,76.8311,77.0307,75.2045
2026/07/17,75.9130,1.6466,-2.12,5840159,76.9808,77.7792,75.8332
2026/07/16,77.5596,0.0798,+0.10,5407986,77.3401,77.8091,76.4569
2026/07/15,77.4798,0.7684,+1.00,6306291,77.0806,77.9987,76.6315
2026/07/14,76.7114,0.1497,+0.20,4973141,76.6215,77.1754,75.7982
2026/07/13,76.5617,1.1276,-1.45,3260411,77.8889,78.3380,76.2723
2026/07/10,77.6893,1.1975,+1.57,4793433,76.7313,78.5076,76.7163
2026/07/09,76.4918,0.4091,+0.54,4211016,76.2124,76.7413,75.2943
2026/07/08,76.0827,0.2096,+0.28,5284684,75.0598,76.1525,74.4261
2026/07/07,75.8731,1.8162,-2.34,7841945,77.5596,77.5596,75.4857
2026/07/06,77.6893,1.8461,+2.43,9034381,76.3721,77.9089,75.9587
2026/07/02,75.8432,0.4791,+0.64,6031871,76.7263,77.0407,74.0668
2026/07/01,75.3641,1.5568,-2.02,7677812,76.8311,77.3550,75.0448
2026/06/30,76.9209,0.2595,-0.34,7861527,77.1006,77.1006,75.7434
2026/06/29,77.1804,0.7584,-0.97,7125703,78.0885,78.2981,76.8960
2026/06/26,77.9388,0.4291,-0.55,12618084,78.2282,79.3359,77.6444
2026/06/25,78.3679,0.4192,-0.53,8468602,78.9368,80.2640,78.2282
2026/06/24,78.7871,0.0000,0,9378348,78.9667,80.4027,78.7771
2026/06/23,78.7871,1.4769,-1.84,7877021,79.0266,80.0445,78.4378
2026/06/22,80.2640,1.1376,+1.44,10868041,80.6283,83.1431,79.9048
2026/06/18,79.1264,0.2894,-0.36,18939937,80.4387,80.7829,78.7771
2026/06/17,79.4158,2.9239,-3.55,11429632,82.3297,83.0033,78.9916
2026/06/16,82.3397,1.5568,-1.86,7910529,84.4753,85.2337,82.0504
2026/06/15,83.8965,2.5647,+3.15,7909673,82.4695,84.7797,82.4695
2026/06/12,81.3318,0.6487,+0.80,4964214,81.5514,81.9555,80.3339
2026/06/11,80.6831,1.4470,+1.83,6033203,79.8748,80.9227,78.9218
2026/06/10,79.2361,4.3510,-5.21,11389662,83.3377,83.6196,78.8370
2026/06/09,83.5871,0.0100,-0.01,9005620,84.3755,84.9244,81.4900
2026/06/08,83.5971,1.6566,+2.02,8953807,81.5015,83.9963,81.3418
2026/06/05,81.9405,0.9281,-1.12,7386830,81.8008,82.9284,81.2320
2026/06/04,82.8686,1.5136,+1.86,6888366,81.7135,83.2869,81.2953
2026/06/03,81.3550,0.0299,-0.04,9760727,80.3692,83.7648,80.0008
2026/06/02,81.3849,0.9460,-1.15,10595500,82.5400,83.8495,80.6820
2026/06/01,82.3309,0.5576,-0.67,7542439,83.0777,83.0877,80.1103
2026/05/29,82.8885,1.1054,-1.32,15619397,84.4420,84.6511,80.8771
2026/05/28,83.9939,0.2291,+0.27,7691272,83.2470,84.8303,83.0280
2026/05/27,83.7648,4.3117,+5.43,10415299,80.3095,84.1631,80.3095
2026/05/26,79.4531,0.9958,+1.27,5043569,78.9652,79.8315,78.3329
2026/05/22,78.4573,1.5733,+2.05,6473529,77.6707,79.5129,77.3570
2026/05/21,76.8840,1.0655,+1.41,6389589,75.0617,77.0433,74.6833
2026/05/20,75.8185,3.4952,+4.83,8103298,73.0801,75.8384,72.8860
2026/05/19,72.3233,0.4681,-0.64,7025236,71.9350,72.5723,70.1276
2026/05/18,72.7914,1.7525,-2.35,5675690,74.5041,74.6634,72.7814
2026/05/15,74.5439,2.8778,-3.72,8513466,76.2766,76.8342,74.4842
2026/05/14,77.4217,1.9318,+2.56,8069046,75.5596,78.9353,75.5596
2026/05/13,75.4899,0.6274,-0.82,8135998,75.8982,77.3321,75.1314
2026/05/12,76.1173,1.1452,+1.53,5294977,75.0816,76.5654,74.6435
2026/05/11,74.9721,3.4952,-4.45,6393856,78.4673,78.6664,74.7906
2026/05/08,78.4673,0.3884,+0.50,2962809,78.7959,78.9951,77.7395
2026/05/07,78.0789,0.2888,-0.37,6763608,78.4872,79.0349,77.8399
2026/05/06,78.3677,2.5392,+3.35,5457830,77.8698,79.1145,77.4964
2026/05/05,75.8285,0.4481,+0.59,5137464,75.9480,76.8292,75.6990
2026/05/04,75.3804,0.0697,-0.09,7798298,75.5895,76.6848,74.8930
2026/05/01,75.4501,1.1153,-1.46,7192223,76.7944,77.1728,75.2011
2026/04/30,76.5654,0.2689,+0.35,11067329,76.7944,77.7453,76.1870
2026/04/29,76.2965,2.3202,-2.95,9289393,77.8698,77.9794,75.0567
2026/04/28,78.6167,0.9859,+1.27,15105434,77.6856,79.0648,74.4653
