일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/28,344.0700,3.4200,+1.00,25383727,340.7050,349.1400,340.2700
2026/08/27,340.6500,1.3500,-0.39,23391389,339.6700,341.6900,338.5200
2026/08/26,342.0000,4.9600,-1.43,20420257,346.6200,346.8800,340.1800
2026/08/25,346.9600,1.1000,-0.32,20649680,349.6400,350.1600,345.6000
2026/08/24,348.0600,3.2400,+0.94,26338229,343.6150,351.6000,342.4900
2026/08/21,344.8200,4.1500,+1.22,20849776,342.5750,346.2000,340.4000
2026/08/20,340.6700,4.0500,-1.17,18570357,343.0600,343.9000,338.5651
2026/08/19,344.7200,0.5200,+0.15,19733808,342.4550,346.7300,340.6600
2026/08/18,344.2000,0.2000,+0.06,19248828,342.4050,344.8699,340.1900
2026/08/17,344.0000,1.9000,-0.55,18291309,346.2650,347.2500,341.9300
2026/08/14,345.9000,0.4600,-0.13,17808598,346.8000,350.4500,344.5000
2026/08/13,346.3600,2.8200,+0.82,17866072,345.7700,347.9300,343.7600
2026/08/12,343.5400,0.2600,-0.08,25011987,346.3100,346.4800,340.8800
2026/08/11,343.8000,13.7200,-3.84,29081802,355.8900,356.8100,343.3900
2026/08/10,357.5200,3.2200,+0.91,18991368,355.1750,357.6100,352.7100
2026/08/07,354.3000,3.4500,-0.96,19859905,356.7200,358.9000,353.7800
2026/08/06,357.7500,4.6800,-1.29,25235895,360.7700,364.1259,356.8800
2026/08/05,362.4300,15.2200,-4.03,46926339,383.3400,384.4800,356.7700
2026/08/04,377.6500,4.1400,+1.11,35705703,368.2200,380.5200,367.5000
2026/08/03,373.5100,17.3800,+4.88,38669652,365.4450,376.6932,363.3500
2026/07/31,356.1300,22.4700,+6.73,46498023,340.8300,358.5800,340.0000
2026/07/30,333.6600,3.0500,-0.91,30168000,334.1950,336.5100,330.3400
2026/07/29,336.7100,3.0000,+0.90,27501632,334.6650,342.5000,331.6200
2026/07/28,333.7100,7.1500,+2.19,29511940,327.9000,335.8800,324.4400
2026/07/27,326.5600,6.8200,+2.13,28471593,325.0400,330.4200,324.4500
2026/07/24,319.7400,2.0500,+0.65,31806553,318.4200,324.1800,317.3200
2026/07/23,317.6900,24.4000,-7.13,69419700,321.1300,324.4900,314.9000
2026/07/22,342.0900,5.0600,-1.46,39334140,348.1550,349.9400,341.7300
2026/07/21,347.1500,4.8400,-1.38,23369833,351.3200,351.3200,347.0000
2026/07/20,351.9900,5.2200,+1.51,24736644,350.8800,359.6800,350.5200
2026/07/17,346.7700,7.6900,-2.17,29959283,346.0000,348.5200,341.3600
2026/07/16,354.4600,16.4600,-4.44,41158466,373.0600,375.2700,352.3001
2026/07/15,370.9200,11.4100,+3.17,28284564,357.9700,373.6500,357.7600
2026/07/14,359.5100,7.0000,+1.99,18259355,351.1950,360.1600,351.0900
2026/07/13,352.5100,4.6700,-1.31,15901732,356.1900,358.1300,351.7500
2026/07/10,357.1800,1.7100,-0.48,18146146,357.5250,357.8200,352.7500
2026/07/09,358.8900,3.0300,-0.84,24729093,354.3100,359.6500,351.0800
2026/07/08,361.9200,5.1100,-1.39,22094769,364.7600,367.8400,358.0200
2026/07/07,367.0300,0.5700,+0.16,24045581,369.0700,373.1600,365.5000
2026/07/06,366.4600,6.5500,+1.82,26915808,361.5500,367.9300,357.3805
2026/07/02,359.9100,1.3000,-0.36,25999346,359.4800,364.2050,353.4200
2026/07/01,361.2100,3.8400,+1.07,26736445,358.3700,362.9700,356.4300
2026/06/30,357.3700,3.7200,+1.05,35237231,353.8650,358.6200,350.4000
2026/06/29,353.6500,16.2600,+4.82,34213932,341.8250,354.3500,340.6700
2026/06/26,337.3900,6.3200,-1.84,114706326,342.5500,346.3600,330.2000
