일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/08,118.0200,4.0900,-3.35,26069120,125.0700,125.2500,117.0800
2026/09/04,122.1100,2.6100,-2.09,23732645,120.4750,124.7000,119.8200
2026/09/03,124.7200,17.7300,+16.57,51637261,113.8000,124.8800,113.0400
2026/09/02,106.9900,3.4800,+3.36,16848770,103.7200,107.4600,101.8900
2026/09/01,103.5100,1.3000,-1.24,22636200,105.3400,106.9600,102.4500
2026/08/31,104.8100,0.5500,+0.53,16327114,103.4200,105.4700,100.6800
2026/08/28,104.2600,5.5000,-5.01,16287206,108.6550,110.5000,104.1500
2026/08/27,109.7600,1.2200,+1.12,13757874,110.7000,112.0700,107.5100
2026/08/26,108.5400,3.5500,-3.17,13453250,110.1050,111.5895,108.2500
2026/08/25,112.0900,8.4700,+8.17,24663547,103.2000,112.4500,102.8000
2026/08/24,103.6200,4.5100,-4.17,22147470,106.8550,109.1250,103.1400
2026/08/21,108.1300,13.0300,+13.70,50460153,101.1000,109.7100,98.7700
2026/08/20,95.1000,0.6700,-0.70,25193650,100.8500,101.6100,93.6500
2026/08/19,95.7700,4.2400,+4.63,25243821,92.9000,99.4299,92.1900
2026/08/18,91.5300,4.7200,-4.90,13990361,93.4400,94.5900,91.4400
2026/08/17,96.2500,0.6900,+0.72,11456834,94.9700,96.9250,93.8000
2026/08/14,95.5600,3.8100,-3.83,14044568,98.0000,98.4185,95.4400
2026/08/13,99.3700,4.4600,+4.70,16201708,96.5100,100.3499,96.4100
2026/08/12,94.9100,0.5300,+0.56,13871377,96.9900,97.1700,93.4100
2026/08/11,94.3800,0.1400,-0.15,11712743,94.9650,95.1300,92.7500
2026/08/10,94.5200,1.2300,+1.32,11971607,93.2400,95.9500,92.4000
2026/08/07,93.2900,2.5800,+2.84,14860541,92.9100,95.7500,92.5200
2026/08/06,90.7100,2.0900,-2.25,12443575,90.7100,92.6000,90.2100
2026/08/05,92.8000,0.7100,-0.76,15234455,93.9600,95.5500,92.3151
2026/08/04,93.5100,3.1700,+3.51,22639539,92.6150,95.6000,90.0717
2026/08/03,90.3400,3.7800,+4.37,19740541,86.6850,92.3500,85.3000
2026/07/31,86.5600,0.0400,-0.05,22953459,86.1310,89.5000,83.6800
2026/07/30,86.6000,3.2400,-3.61,29692521,90.9120,92.5700,86.2100
2026/07/29,89.8400,2.9200,-3.15,23046581,92.2100,93.3199,88.6001
2026/07/28,92.7600,2.8900,-3.02,21666181,92.6650,93.8700,88.2100
2026/07/27,95.6500,0.7400,+0.78,16616634,96.9800,99.4499,93.2000
2026/07/24,94.9100,6.6700,-6.57,24405037,100.0700,100.0800,93.0300
2026/07/23,101.5800,2.9000,-2.78,16539905,101.8800,104.1200,99.3200
2026/07/22,104.4800,1.8800,-1.77,11151678,104.7200,106.8850,104.3300
2026/07/21,106.3600,7.0800,+7.13,19670331,102.8150,108.2100,102.8150
2026/07/20,99.2800,0.6800,-0.68,18740065,102.4900,102.6000,98.6100
2026/07/17,99.9600,6.0600,-5.72,27608551,100.3700,104.1100,96.5900
2026/07/16,106.0200,9.5200,-8.24,28465764,114.1300,114.5200,105.4800
2026/07/15,115.5400,2.0900,+1.84,21078641,114.9700,116.6000,112.1200
2026/07/14,113.4500,3.5900,+3.27,17916688,111.0300,113.6900,109.0950
2026/07/13,109.8600,2.1100,-1.88,18222372,111.2700,113.7000,108.8400
2026/07/10,111.9700,3.1400,-2.73,25930164,119.1600,119.4300,108.8100
2026/07/09,115.1100,1.5800,+1.39,18718828,112.2300,117.6500,111.6300
2026/07/08,113.5300,0.6300,+0.56,18287225,110.8650,114.1300,108.8900
2026/07/07,112.9000,4.6500,-3.96,21833475,115.7750,117.8500,112.5300
2026/07/06,117.5500,4.8200,+4.28,25587299,111.4100,118.6500,111.4100
2026/07/02,112.7300,4.0800,+3.76,41233309,112.7600,120.0500,110.9300
2026/07/01,108.6500,8.3700,+8.35,28100638,100.6700,109.5300,100.3900
2026/06/30,100.2800,1.5500,-1.52,17220699,101.8700,103.0600,99.6610
2026/06/29,101.8300,3.1400,+3.18,20681628,100.6600,102.8500,98.0500
2026/06/26,98.6900,5.2200,+5.58,44936800,93.2150,99.4400,93.0800
2026/06/25,93.4700,3.7200,-3.83,23404351,98.7900,99.1900,92.8000
2026/06/24,97.1900,6.0600,-5.87,30220048,102.3460,104.2700,96.2950
2026/06/23,103.2500,2.4600,-2.33,40632287,101.6450,105.9900,101.0300
2026/06/22,105.7100,2.4400,-2.26,31731229,108.0000,112.5000,105.2750
2026/06/18,108.1500,2.9500,+2.80,39509947,107.8250,109.0800,103.4600
2026/06/17,105.2000,8.4900,+8.78,70804679,95.9350,110.7279,95.7600
2026/06/16,96.7100,1.4100,-1.44,31540762,100.1700,101.8800,94.5700
2026/06/15,98.1200,4.9300,+5.29,36576850,98.7200,100.8700,97.4500
2026/06/12,93.1900,0.9600,+1.04,33082303,92.7350,96.1000,90.2201
