일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,233.9000,1.6900,-0.72,6102830,232.7300,235.9379,232.1800
2026/08/28,235.5900,3.2000,-1.34,3945403,238.3000,239.0800,235.0900
2026/08/27,238.7900,8.9200,+3.88,5505922,232.8000,240.8065,231.4500
2026/08/26,229.8700,4.3200,-1.84,4631964,230.7000,234.2300,228.9600
2026/08/25,234.1900,3.1500,+1.36,3023636,230.0000,234.4350,229.5100
2026/08/24,231.0400,4.6400,-1.97,4085030,234.3700,234.4900,230.4700
2026/08/21,235.6800,1.9900,+0.85,3888743,233.7100,238.7200,233.1200
2026/08/20,233.6900,3.4700,-1.46,4986890,236.0000,237.5000,233.0300
2026/08/19,237.1600,4.4900,+1.93,5342567,232.2600,238.6150,230.5100
2026/08/18,232.6700,3.8200,+1.67,4650116,229.7300,234.4499,229.4150
2026/08/17,228.8500,5.4700,-2.33,7564317,231.5900,233.6500,227.4000
2026/08/14,234.3200,2.8200,-1.19,4523467,238.3700,239.1500,233.7300
2026/08/13,237.1400,1.1600,+0.49,5395192,238.9200,239.7100,233.6100
2026/08/12,235.9800,2.4400,-1.02,5696182,236.9500,237.4600,231.6800
2026/08/11,238.4200,2.1100,+0.89,4468987,236.3100,241.8000,235.4400
2026/08/10,236.3100,0.7200,+0.31,7348858,235.0000,240.7350,234.1300
2026/08/07,237.2800,3.8500,+1.65,4763304,235.3800,237.3150,232.7200
2026/08/06,233.4300,2.4900,-1.06,4250062,229.6100,234.4700,228.4400
2026/08/05,235.9200,0.7700,+0.33,5726854,236.1000,238.9627,233.4600
2026/08/04,235.1500,8.8400,+3.91,7537896,224.7600,235.3100,223.3000
2026/08/03,226.3100,2.6600,+1.19,7974681,228.3300,228.5500,224.8700
2026/07/31,223.6500,1.9100,+0.86,9093613,221.1500,224.7600,216.5850
2026/07/30,221.7400,4.7000,-2.08,9675157,222.0000,224.8600,220.2000
2026/07/29,226.4400,1.1100,-0.49,8806699,227.7000,230.9700,223.9500
2026/07/28,227.5500,11.2700,+5.21,13262958,219.7300,228.9800,215.1101
