일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,313.1300,5.0000,-1.57,3033732,319.1700,323.8600,312.5800
2026/09/16,318.1300,11.1400,-3.38,2496472,322.2070,323.9500,316.7500
2026/09/15,329.2700,9.8800,-2.91,2907429,334.4500,338.9700,328.6647
2026/09/14,339.1500,17.5800,+5.47,3633230,332.0200,342.3100,329.8750
2026/09/11,321.5700,8.8000,+2.81,2305922,313.0200,323.0900,312.7700
2026/09/10,312.7700,1.1700,-0.37,2716165,314.0300,317.3900,309.8000
2026/09/09,313.9400,4.9900,-1.56,2417982,319.0700,321.3050,312.8000
2026/09/08,318.9300,13.7700,-4.14,4472998,326.0850,327.0000,313.0500
2026/09/04,332.7000,11.6000,-3.37,3540238,341.3600,346.0000,330.1200
2026/09/03,344.3000,1.3600,+0.40,3697127,351.9300,363.7000,340.8200
2026/09/02,342.9400,1.9900,-0.58,3135304,346.3050,348.4000,339.3200
2026/09/01,344.9300,14.3700,-4.00,2673411,353.1000,357.2050,343.0000
2026/08/31,359.3000,1.2400,+0.35,3083258,356.0500,365.7733,355.0700
2026/08/28,358.0600,10.0600,+2.89,4121260,347.8150,358.4250,345.2500
2026/08/27,348.0000,2.1200,+0.61,4750599,353.5350,355.5000,335.0000
2026/08/26,345.8800,11.5800,-3.24,11449466,323.4650,351.3900,322.5700
2026/08/25,357.4600,12.4600,-3.37,7200880,364.3500,367.8499,356.0200
2026/08/24,369.9200,2.9200,+0.80,3140947,366.4700,372.9800,365.0100
2026/08/21,367.0000,5.1300,+1.42,3450555,364.9400,371.7000,360.0700
2026/08/20,361.8700,0.6000,-0.17,3288867,363.0900,366.6300,358.3850
2026/08/19,362.4700,12.0600,+3.44,4018274,349.3200,365.3800,349.3200
2026/08/18,350.4100,14.8100,+4.41,3894052,348.0100,355.8600,343.0000
2026/08/17,335.6000,10.0600,-2.91,3531557,339.0800,344.5800,332.1000
2026/08/14,345.6600,12.6300,-3.53,3226900,362.0000,362.0000,344.9500
2026/08/13,358.2900,23.5800,+7.04,4610688,336.9500,361.0950,336.7750
2026/08/12,334.7100,1.7300,-0.51,2547182,331.7900,336.9800,328.6000
2026/08/11,336.4400,2.0100,+0.60,2889548,332.2700,338.0900,330.1800
2026/08/10,334.4300,9.1800,+2.82,2701190,322.8150,334.5000,321.6559
2026/08/07,325.2500,3.3400,+1.04,2977656,327.0000,336.3000,324.6400
2026/08/06,321.9100,6.0300,-1.84,2956520,319.7000,322.6500,316.0500
2026/08/05,327.9400,4.3400,+1.34,3650746,327.3100,328.7900,320.4400
2026/08/04,323.6000,5.2100,+1.64,3491440,311.1900,324.3700,309.0470
2026/08/03,318.3900,2.3200,+0.73,4036209,324.3450,331.1500,317.7700
2026/07/31,316.0700,0.5700,+0.18,3118109,310.4250,317.5300,306.8100
2026/07/30,315.5000,17.6300,-5.29,4686578,317.0000,318.9900,303.8000
2026/07/29,333.1300,20.1400,+6.43,5986099,313.4600,336.9400,313.4600
2026/07/28,312.9900,9.0800,+2.99,5767049,305.7300,319.9900,305.7300
2026/07/27,303.9100,7.5800,+2.56,3830977,304.9600,310.1200,299.6286
2026/07/24,296.3300,14.8000,+5.26,3457367,286.6400,296.7000,286.3000
2026/07/23,281.5300,2.9400,-1.03,2494777,289.1000,289.8900,278.9400
2026/07/22,284.4700,5.4500,-1.88,3005252,294.5500,296.4400,284.0000
2026/07/21,289.9200,3.9000,-1.33,3176585,280.0600,295.3800,278.9600
2026/07/20,293.8200,2.7300,+0.94,4583814,284.5100,295.4100,279.4400
2026/07/17,291.0900,3.7000,-1.26,3629445,295.1000,302.0700,290.0100
2026/07/16,294.7900,15.0900,+5.40,5043002,286.0000,298.4500,277.5650
2026/07/15,279.7000,2.7300,-0.97,3390980,287.6000,289.5000,278.7300
2026/07/14,282.4300,7.3300,-2.53,5302564,273.4800,287.6200,271.7000
2026/07/13,289.7600,14.8000,+5.38,6564707,278.7000,296.0000,278.7000
2026/07/10,274.9600,1.5800,+0.58,2574780,278.1700,280.3500,272.3500
2026/07/09,273.3800,2.4800,+0.92,4013327,260.6300,273.8600,259.3700
2026/07/08,270.9000,9.0300,-3.23,4309369,277.9388,277.9388,267.8734
2026/07/07,279.9300,8.9902,+3.32,4840387,279.2928,282.5384,273.1500
2026/07/06,270.9398,3.1959,-1.17,5564441,270.7208,273.7474,262.4972
2026/07/02,274.1357,8.2336,+3.10,5072130,268.0626,276.0870,267.7639
2026/07/01,265.9021,6.0531,+2.33,4828656,268.9486,274.9321,265.2650
2026/06/30,259.8490,5.3761,-2.03,5283874,262.3031,264.9363,257.9673
2026/06/29,265.2251,1.3142,-0.49,5426036,272.8414,276.3459,264.0603
2026/06/26,266.5393,12.5942,+4.96,10826980,259.1720,269.9193,258.2361
2026/06/25,253.9451,7.1334,-2.73,4335356,255.1398,261.2029,252.0933
2026/06/24,261.0785,4.1665,+1.62,5272712,256.9817,269.2671,254.9307
2026/06/23,256.9120,0.2788,+0.11,5807335,261.1830,262.5072,254.5225
2026/06/22,256.6332,9.1893,-3.46,6386356,258.2709,266.2506,251.7249
2026/06/18,265.8225,2.0708,-0.77,10103679,259.8490,268.6798,258.0868
2026/06/17,267.8933,11.8575,-4.24,4730795,278.6158,284.6302,267.2960
2026/06/16,279.7508,0.7766,-0.28,4835220,280.9555,283.5440,274.1655
2026/06/15,280.5274,5.0178,+1.82,5121162,276.5350,286.4212,274.9919
2026/06/12,275.5096,0.1792,-0.07,5181179,274.8027,275.6390,266.8280
2026/06/11,275.6888,7.2777,-2.57,6147471,278.6258,281.7519,272.0648
2026/06/10,282.9665,9.5179,-3.25,6185545,285.4157,291.0926,280.6866
2026/06/09,292.4844,11.6783,-3.84,4944742,297.7809,307.3784,289.8959
2026/06/08,304.1627,8.7115,+2.95,5612130,293.8981,304.6903,289.9556
2026/06/05,295.4512,5.1970,-1.73,6334198,302.4801,305.6411,292.3749
2026/06/04,300.6482,9.4183,-3.04,7061189,318.3946,319.6939,299.7223
2026/06/03,310.0665,10.6528,-3.32,5747966,318.1109,318.1109,308.9216
2026/06/02,320.7193,31.4806,-8.94,7415458,328.4252,330.9639,314.1086
2026/06/01,352.1999,22.1320,+6.71,6594284,337.2063,361.5733,336.0912
2026/05/29,330.0679,18.4483,+5.92,8962095,315.6319,331.0535,313.6108
2026/05/28,311.6196,5.2467,+1.71,7533267,306.6019,317.5932,301.7732
2026/05/27,306.3729,3.3651,+1.11,7956576,300.2599,313.3121,299.1748
2026/05/26,303.0078,15.5212,-4.87,9813363,313.0831,315.6617,301.0465
2026/05/22,318.5290,12.8132,+4.19,12536076,306.3629,319.6242,305.1582
2026/05/21,305.7158,76.5210,-20.02,22452568,310.9078,314.1186,301.0304
2026/05/20,382.2368,15.7104,-3.95,7023541,382.7545,388.7778,373.2566
2026/05/19,397.9472,3.4348,-0.86,3206875,417.2069,422.1201,396.1552
2026/05/18,401.3820,10.1152,+2.59,2648868,390.1020,405.9617,385.8110
2026/05/15,391.2668,14.6451,+3.89,3539810,382.9686,397.6286,382.9686
2026/05/14,376.6217,6.5510,+1.77,2472831,370.0209,384.1284,364.6893
2026/05/13,370.0707,15.9593,-4.13,3509752,381.5100,383.1727,367.9302
2026/05/12,386.0300,5.5255,-1.41,2586629,393.3128,394.4129,383.8895
2026/05/11,391.5555,3.0067,-0.76,1629654,390.7889,398.3156,387.2846
2026/05/08,394.5622,10.4238,-2.57,2358875,393.7956,397.9472,383.5012
2026/05/07,404.9860,18.1496,+4.69,2210183,393.6363,409.9839,393.2580
2026/05/06,386.8364,9.7270,-2.45,2257637,388.2800,396.5200,379.8275
2026/05/05,396.5634,8.6317,-2.13,2087626,402.8405,402.8405,388.6185
2026/05/04,405.1951,7.9149,+1.99,2390273,398.4898,416.3059,397.6386
