일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,377.0200,4.4200,+1.19,1923792,369.0000,377.7900,365.3215
2026/08/28,372.6000,5.5300,+1.51,1802434,368.0000,373.3950,366.7350
2026/08/27,367.0700,3.3500,-0.90,1788898,369.6100,372.3050,366.9000
2026/08/26,370.4200,1.4200,-0.38,1665851,368.4900,372.3720,366.7300
2026/08/25,371.8400,1.7300,-0.46,1768567,375.2500,378.2300,367.0701
2026/08/24,373.5700,5.2400,-1.38,1519418,379.2500,384.0600,373.4800
2026/08/21,378.8100,4.3300,+1.16,2010937,375.1250,382.0400,367.2400
2026/08/20,374.4800,23.2400,-5.84,3970870,397.2250,398.9900,372.6000
2026/08/19,397.7200,6.5400,+1.67,2125169,394.5500,405.3400,394.0000
2026/08/18,391.1800,0.8500,+0.22,2384987,394.0000,399.8745,390.8400
2026/08/17,390.3300,4.1800,-1.06,2157790,392.1000,396.9900,389.6700
2026/08/14,394.5100,6.7600,-1.68,1986189,401.0200,402.4600,394.0600
2026/08/13,401.2700,0.0000,0,2355574,403.7200,404.6900,398.0000
2026/08/12,401.2700,0.0400,+0.01,3142556,403.8100,404.9800,397.1700
2026/08/11,401.2300,7.8500,+2.00,4123941,392.2200,402.1400,392.2200
2026/08/10,393.3800,14.5700,+3.85,3221560,379.2400,393.6300,378.0000
2026/08/07,378.8100,5.1000,+1.36,2466037,374.5500,379.9000,372.6325
2026/08/06,373.7100,1.4900,-0.40,2594560,374.3900,378.6399,371.6800
2026/08/05,375.2000,6.9350,+1.88,3286390,372.8000,376.6250,369.4801
2026/08/04,368.2650,7.1450,-1.90,3938805,376.3100,376.3100,364.2600
2026/08/03,375.4100,22.0800,+6.25,3502071,361.7550,375.8500,360.9800
2026/07/31,353.3300,0.3600,+0.10,2461906,350.7700,355.0930,348.8800
2026/07/30,352.9700,0.1300,-0.04,2773454,346.8300,355.0600,346.4500
2026/07/29,353.1000,8.7000,-2.40,2738061,361.4550,361.8000,351.9400
2026/07/28,361.8000,4.9700,+1.39,4088169,365.5000,374.7000,360.4800
2026/07/27,356.8300,19.3300,+5.73,5121010,344.0000,359.2599,343.3900
2026/07/24,337.5000,5.4800,+1.65,3438605,334.6000,341.8300,332.1500
2026/07/23,332.0200,8.6700,-2.54,4892560,338.5000,340.5500,328.5700
2026/07/22,340.6900,9.3700,-2.68,4563757,351.8600,355.0000,340.6100
2026/07/21,350.0600,3.1100,-0.88,5161004,347.0100,362.8500,347.0000
2026/07/20,353.1700,7.7500,+2.24,5717882,347.0100,355.0800,342.1000
2026/07/17,345.4200,56.9100,-14.15,11563751,365.0250,367.7400,344.5500
2026/07/16,402.3300,13.3600,+3.43,5664638,394.0000,405.5000,393.6750
2026/07/15,388.9700,9.4700,+2.50,4141561,378.5500,393.9600,378.5000
2026/07/14,379.5000,27.6200,-6.78,5748074,396.1000,397.3800,378.5000
2026/07/13,407.1200,0.3400,+0.08,1801595,407.2600,414.5800,406.8200
2026/07/10,406.7800,4.7700,-1.16,1859949,412.9000,415.9100,403.2501
2026/07/09,411.5500,3.5500,-0.86,1953540,415.1000,416.2500,409.0000
2026/07/08,415.1000,12.2000,-2.86,1614810,427.3000,428.4700,414.5900
2026/07/07,427.3000,5.5300,-1.28,2492148,439.5000,443.8400,424.8600
2026/07/06,432.8300,6.8200,+1.60,3412891,428.9300,440.1700,420.5100
2026/07/02,426.0100,23.6300,+5.87,3141747,409.8100,426.0200,406.4700
2026/07/01,402.3800,4.7000,+1.18,1939311,403.0000,408.6200,399.9850
2026/06/30,397.6800,8.2900,-2.04,2585415,405.4100,406.5599,397.5200
2026/06/29,405.9700,1.2700,+0.31,2328653,409.6800,415.9900,405.1410
2026/06/26,404.7000,5.0100,+1.25,3413593,399.4800,409.7800,399.2900
2026/06/25,399.6900,2.1400,-0.53,2821276,403.2100,412.4700,398.8900
