일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,51.0000,1.0000,-1.92,2153766,51.6950,52.0250,50.5800
2026/08/28,52.0000,1.6900,-3.15,1974825,53.5100,53.7718,51.3700
2026/08/27,53.6900,0.7600,+1.44,2137260,53.0000,54.0900,52.3800
2026/08/26,52.9300,0.2900,+0.55,1990897,52.4000,54.2850,52.2734
2026/08/25,52.6400,0.4300,-0.81,2337313,53.4800,53.8500,52.0300
2026/08/24,53.0700,4.1000,-7.17,3441619,56.1600,56.7000,52.8300
2026/08/21,57.1700,0.9900,+1.76,3148339,56.6200,58.6000,56.5001
2026/08/20,56.1800,4.3800,-7.23,4560704,59.8700,60.0900,55.2500
2026/08/19,60.5600,1.4300,-2.31,2844716,61.9900,62.0000,58.7500
2026/08/18,61.9900,1.3000,-2.05,2775650,61.2300,64.1500,61.0000
2026/08/17,63.2900,1.2900,-2.00,3453100,64.5000,65.0900,62.8800
2026/08/14,64.5800,1.7900,+2.85,5452300,66.0000,67.1000,62.6500
2026/08/13,62.7900,1.0300,-1.61,2580178,63.5000,64.7500,61.8400
2026/08/12,63.8200,0.0900,+0.14,3397037,63.8500,64.2200,62.1000
2026/08/11,63.7300,1.3100,+2.10,3033289,62.0850,63.8300,61.3422
2026/08/10,62.4200,1.6500,+2.72,4569918,60.9000,63.1700,58.9000
2026/08/07,60.7700,3.3600,+5.85,4791017,57.9700,61.0900,56.2500
2026/08/06,57.4100,2.0700,+3.74,5267534,54.4100,59.0950,54.0400
2026/08/05,55.3400,3.4700,+6.69,9212109,58.8700,62.3400,54.5100
2026/08/04,51.8700,2.6600,+5.41,6481826,50.7250,52.2700,50.3400
2026/08/03,49.2100,2.6100,+5.60,3215502,46.6000,49.4200,45.9000
2026/07/31,46.6000,0.4300,+0.93,2334898,46.1800,46.9200,44.5000
2026/07/30,46.1700,2.2900,+5.22,3223358,44.2550,46.4100,43.0900
2026/07/29,43.8800,4.7600,-9.79,3993930,48.6700,48.8726,43.7501
2026/07/28,48.6400,0.8100,-1.64,2494744,48.9300,49.0000,46.4400
2026/07/27,49.4500,2.1000,+4.44,2765105,47.8500,49.7200,46.7800
2026/07/24,47.3500,2.0900,-4.23,2840113,49.3500,49.7099,47.2151
2026/07/23,49.4400,1.5500,+3.24,4799214,48.0000,51.4900,47.9650
2026/07/22,47.8900,0.3200,-0.66,2059206,48.0400,49.3950,47.7800
2026/07/21,48.2100,2.2700,+4.94,3357946,46.0900,48.9199,45.6000
2026/07/20,45.9400,0.0900,-0.20,2739929,46.2400,47.4000,45.7246
2026/07/17,46.0300,0.9300,-1.98,5611683,46.0700,47.2529,45.5800
2026/07/16,46.9600,2.7200,-5.48,3162603,49.0200,49.1300,46.3100
2026/07/15,49.6800,0.6800,-1.35,4931150,51.7900,54.2200,49.1600
2026/07/14,50.3600,3.4000,+7.24,5195157,48.9100,50.4800,48.2600
2026/07/13,46.9600,1.2300,-2.55,3532185,48.4800,49.0800,46.3400
