일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,266.9800,4.1600,+1.58,2587620,263.0500,267.8450,261.3500
2026/08/28,262.8200,0.8400,+0.32,1615146,264.3300,265.1400,261.4500
2026/08/27,261.9800,0.9800,-0.37,1685210,262.1500,263.4600,259.5994
2026/08/26,262.9600,0.7900,+0.30,1395682,259.9800,264.8500,258.5364
2026/08/25,262.1700,0.6600,-0.25,1748983,263.2400,263.8150,260.9500
2026/08/24,262.8300,3.9000,-1.46,1576409,265.6900,265.7750,261.5500
2026/08/21,266.7300,3.7100,-1.37,1970436,271.1700,271.7500,266.4300
2026/08/20,270.4400,6.6700,-2.41,1729297,275.6900,276.6200,269.5900
2026/08/19,277.1100,2.4300,-0.87,1077178,281.0000,281.0000,276.3500
2026/08/18,279.5400,1.1600,+0.42,1811949,280.0000,284.0000,279.3400
2026/08/17,278.3800,13.4400,-4.61,2981352,283.0000,285.9493,277.7700
2026/08/14,291.8200,3.3600,+1.16,1012294,291.5600,293.0000,288.7900
2026/08/13,288.4600,2.2800,-0.78,1101939,291.0700,291.7950,286.2900
2026/08/12,290.7400,4.7200,+1.65,1841102,284.7300,290.7800,282.0000
2026/08/11,286.0200,3.7000,-1.28,1072172,289.0000,290.8200,285.6700
2026/08/10,289.7200,3.0500,+1.06,1120663,288.8600,294.1400,288.2200
2026/08/07,286.6700,2.8600,-0.99,1094237,288.6100,289.1672,284.1300
2026/08/06,289.5300,3.4100,+1.19,1018122,289.4500,291.3800,286.8657
2026/08/05,286.1200,0.8200,+0.29,1281606,286.8000,290.4900,284.3900
2026/08/04,285.3000,7.4400,+2.68,1634410,279.6900,286.3700,276.7700
2026/08/03,277.8600,0.8000,+0.29,3416971,277.0000,281.4999,274.7100
2026/07/31,277.0600,5.1600,+1.90,2283062,272.9900,279.5300,270.1700
2026/07/30,271.9000,25.6300,-8.61,4211888,278.0200,282.0000,262.6800
2026/07/29,297.5300,7.6700,-2.51,1281497,307.1200,308.3336,295.0000
2026/07/28,305.2000,1.7200,+0.57,1628433,306.7200,308.8900,302.5273
2026/07/27,303.4800,3.2700,+1.09,1196823,301.0000,306.3100,301.0000
2026/07/24,300.2100,0.5400,+0.18,1018002,300.8300,306.4200,299.2500
2026/07/23,299.6700,14.5100,+5.09,2029291,289.5000,303.9400,289.5000
2026/07/22,285.1600,7.4500,+2.68,1167065,282.0000,285.8800,279.5100
2026/07/21,277.7100,2.8400,-1.01,1742171,275.1600,281.2100,270.3200
2026/07/20,280.5500,1.4600,-0.52,1399157,283.7100,284.7300,280.4400
2026/07/17,282.0100,2.4200,-0.85,1138613,287.1000,290.2000,281.5100
2026/07/16,284.4300,2.3900,-0.83,1035775,286.9400,288.0000,282.4600
2026/07/15,286.8200,3.1900,-1.10,983384,291.6800,292.9750,286.0250
2026/07/14,290.0100,1.3200,+0.46,1034225,289.9000,294.7300,289.0001
2026/07/13,288.6900,2.0800,-0.72,722042,292.0800,293.4450,288.3300
2026/07/10,290.7700,0.9000,+0.31,626524,290.6500,291.3700,288.1150
2026/07/09,289.8700,3.5700,-1.22,910430,292.2700,294.9290,288.1800
2026/07/08,293.4400,1.9600,-0.66,1246907,293.3700,294.5300,290.7200
2026/07/07,295.4000,5.8700,-1.95,1245541,303.6000,304.5000,294.3800
2026/07/06,301.2700,0.8000,-0.26,900923,301.8100,302.8200,297.7700
2026/07/02,302.0700,9.8400,+3.37,1424393,297.2300,303.1000,296.4270
2026/07/01,292.2300,1.6400,+0.56,1911278,293.9900,296.3500,291.9300
2026/06/30,290.5900,1.2100,+0.42,2210301,290.5900,291.7600,288.0000
2026/06/29,289.3800,1.8700,-0.64,1316416,290.8700,293.1250,287.2400
2026/06/26,291.2500,2.7300,+0.95,2156407,290.1600,296.6200,288.7000
2026/06/25,288.5200,1.2500,+0.44,1431670,288.6600,294.1150,286.5000
2026/06/24,287.2700,6.5000,-2.21,2442944,294.9000,296.0850,287.1100
2026/06/23,293.7700,7.9400,+2.78,2396278,288.5800,294.2800,286.6600
2026/06/22,285.8300,8.9900,-3.05,2554485,292.0000,292.5400,282.4100
2026/06/18,294.8200,18.3500,-5.86,2711392,315.1200,317.5716,291.6600
2026/06/17,313.1700,2.7200,+0.88,1515072,308.6600,318.5200,308.5378
2026/06/16,310.4500,6.2800,+2.06,1372488,304.1000,311.1000,302.7050
2026/06/15,304.1700,3.6200,-1.18,1405473,307.5000,308.5700,300.3600
2026/06/12,307.7900,4.3800,-1.40,878339,312.9300,313.3000,306.0000
2026/06/11,312.1700,9.1700,+3.03,1148901,304.1600,315.7150,303.8100
2026/06/10,303.0000,5.1700,-1.68,794513,309.4000,310.0000,302.8800
2026/06/09,308.1700,6.0700,+2.01,957045,303.3600,308.2000,302.2400
2026/06/08,302.1000,5.7300,-1.86,1006021,306.5200,308.7068,299.3850
2026/06/05,307.8300,0.7000,-0.23,793353,309.9800,311.4600,306.4450
2026/06/04,309.7800,6.3300,+2.09,887404,308.2800,309.9650,306.3100
2026/06/03,303.4500,4.6700,-1.52,934648,305.5300,309.0320,301.4900
2026/06/02,308.1200,1.4700,-0.47,804427,308.1200,310.4900,307.1700
2026/06/01,309.5900,5.5900,-1.77,1060519,312.3750,313.0269,307.5347
2026/05/29,315.1800,0.4000,+0.13,1759863,314.6000,315.2900,308.7400
2026/05/28,314.7800,5.7300,+1.85,1680289,310.3850,315.3900,310.3850
2026/05/27,309.0500,4.4200,-1.41,966208,311.0300,312.7400,308.1500
2026/05/26,313.4700,1.4900,+0.48,912699,313.8400,314.4900,309.2015
2026/05/22,311.9800,5.6500,+1.84,945024,309.0250,312.2550,306.3300
2026/05/21,306.3300,2.8200,-0.91,883468,308.8500,309.2550,305.0000
2026/05/20,309.1500,1.0000,+0.32,1583556,309.0000,311.1000,303.5850
2026/05/19,308.1500,3.0100,-0.97,1202749,311.7900,311.8800,304.9500
2026/05/18,311.1600,7.7700,+2.56,1135660,303.9900,311.3100,303.1150
2026/05/15,303.3900,4.2300,-1.38,1273080,306.9900,309.8600,303.1800
2026/05/14,307.6200,2.6900,+0.88,980004,305.7800,310.5100,304.3850
2026/05/13,304.9300,4.5400,-1.47,842924,306.5700,307.5850,298.0400
2026/05/12,309.4700,7.1200,+2.35,1367066,302.3500,310.2620,302.0200
2026/05/11,302.3500,2.7100,+0.90,1298644,298.0000,303.9100,296.6709
2026/05/08,299.6400,1.5400,-0.51,1189816,300.8400,302.9651,297.6600
2026/05/07,301.1800,1.0200,-0.34,1674154,303.0500,304.9900,299.1000
2026/05/06,302.2000,0.4500,-0.15,2282429,301.7000,304.3800,299.0150
2026/05/05,302.6500,5.9700,-1.93,2079530,310.4500,311.2350,300.0700
2026/05/04,308.6200,4.7500,-1.52,1442504,312.0500,315.6300,308.2200
2026/05/01,313.3700,7.1800,-2.24,1419836,322.0000,322.6500,312.5100
2026/04/30,320.5500,0.8500,-0.26,2660012,321.5900,325.4805,313.0100
2026/04/29,321.4000,3.4800,-1.07,1591211,325.4800,326.7600,319.6100
2026/04/28,324.8800,4.4200,+1.38,1561401,323.7500,326.1300,321.8550
2026/04/27,320.4600,2.9500,+0.93,1256647,318.4300,324.6700,318.2700
2026/04/24,317.5100,12.7100,-3.85,2350885,328.8200,328.8200,314.7500
2026/04/23,330.2200,1.4400,-0.43,2172374,333.1100,334.7500,325.8500
2026/04/22,331.6600,8.6400,-2.54,2156947,343.3300,344.2000,329.8800
2026/04/21,340.3000,8.2700,-2.37,1581994,346.6000,347.3500,336.4700
2026/04/20,348.5700,1.7800,-0.51,838771,351.1700,353.6000,347.4600
2026/04/17,350.3500,3.0600,-0.87,1268000,351.0600,356.4700,349.1500
2026/04/16,353.4100,2.5100,-0.71,1029427,357.5900,358.9257,351.7100
2026/04/15,355.9200,0.3600,+0.10,1036529,355.0000,358.3950,353.7000
2026/04/14,355.5600,2.3900,-0.67,948048,358.3300,359.6500,352.0700
2026/04/13,357.9500,4.3600,+1.23,1082342,355.2400,360.1399,354.5000
2026/04/10,353.5900,4.3800,-1.22,1250641,356.0800,357.6552,344.9000
2026/04/09,357.9700,4.0000,-1.11,1136803,361.3600,364.2700,357.8800
2026/04/08,361.9700,7.9700,+2.25,1384413,352.1700,362.4600,351.9200
2026/04/07,354.0000,4.7300,-1.32,748217,355.0000,357.3950,352.4000
2026/04/06,358.7300,2.7300,+0.77,1014116,356.5300,360.0000,353.5200
2026/04/02,356.0000,2.0900,+0.59,1009490,352.5400,360.8000,351.0000
2026/04/01,353.9100,8.7600,+2.54,1305324,348.8400,355.5400,347.1100
2026/03/31,345.1500,5.2200,+1.54,1279292,343.8600,349.7300,340.0001
2026/03/30,339.9300,3.0700,-0.90,1418843,348.1400,350.4600,337.0200
2026/03/27,343.0000,6.3400,-1.81,1097472,347.9200,349.7850,342.7600
2026/03/26,349.3400,2.6800,-0.76,916705,348.9900,353.9400,347.6401
2026/03/25,352.0200,0.6000,+0.17,1468759,352.9100,356.7200,350.1950
2026/03/24,351.4200,5.9400,+1.72,1303587,342.4200,351.7100,341.0580
2026/03/23,345.4800,7.3700,-2.09,2244988,355.4000,357.3500,345.0000
2026/03/20,352.8500,10.8500,-2.98,2473818,363.1700,366.3000,350.9400
2026/03/19,363.7000,4.6800,-1.27,1114674,364.3300,366.7900,356.4100
2026/03/18,368.3800,0.4800,-0.13,1250210,369.5000,374.3700,367.8000
2026/03/17,368.8600,2.6500,+0.72,1353363,366.2200,369.5600,362.4001
