일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,917.4500,22.4500,+2.51,3217427,894.5800,918.8400,886.8350
2026/08/28,895.0000,61.1400,-6.39,3447630,941.7100,942.9100,893.6500
2026/08/27,956.1400,17.1100,+1.82,4127821,958.7300,970.3200,918.0101
2026/08/26,939.0300,53.4650,+6.04,4511432,880.0000,947.5299,876.0900
2026/08/25,885.5650,55.3950,+6.67,3240575,858.1000,887.3600,841.1000
2026/08/24,830.1700,36.5400,-4.22,3919030,823.6000,844.0000,784.4700
2026/08/21,866.7100,12.5700,-1.43,3669087,898.6200,922.9900,855.0101
2026/08/20,879.2800,51.6800,+6.24,4260063,830.0000,881.8800,815.0300
2026/08/19,827.6000,45.7100,-5.23,4409388,892.2000,893.8466,821.0301
2026/08/18,873.3100,95.5900,-9.87,6012753,909.2800,943.7599,863.1101
2026/08/17,968.9000,42.7600,+4.62,5388244,948.4100,999.6750,927.0000
2026/08/14,926.1400,45.7300,+5.19,4251856,892.6850,957.8950,885.2701
2026/08/13,880.4100,52.0600,-5.58,4646030,927.5850,946.9200,875.5900
2026/08/12,932.4700,111.8800,+13.63,11774560,899.0000,966.5999,836.3100
2026/08/11,820.5900,7.0800,+0.87,5985719,815.6700,823.7000,787.0100
2026/08/10,813.5100,76.6600,-8.61,6155026,931.0500,937.0000,810.8850
2026/08/07,890.1700,52.1100,+6.22,5818819,870.0000,928.4800,861.9000
2026/08/06,838.0600,11.8000,+1.43,4140181,808.5300,881.7900,793.0001
2026/08/05,826.2600,23.2100,-2.73,3421867,824.7900,883.6500,824.0000
2026/08/04,849.4700,69.5800,+8.92,6642865,852.3550,868.3199,813.2600
2026/08/03,779.8900,65.9500,+9.24,4198394,685.6400,785.3399,671.0000
2026/07/31,713.9400,20.7000,+2.99,4550421,748.0000,772.6044,691.1000
2026/07/30,693.2400,90.8900,+15.09,5621172,661.9100,698.2800,650.0000
2026/07/29,602.3500,49.5800,-7.61,6388594,655.2100,655.2100,594.8400
2026/07/28,651.9300,60.0300,-8.43,5642335,677.5500,678.9900,602.2800
2026/07/27,711.9600,51.0300,-6.69,3744225,767.8500,770.3000,697.8800
2026/07/24,762.9900,70.6500,-8.47,3651157,810.5000,831.2099,755.0300
2026/07/23,833.6400,3.9400,+0.47,4547401,841.0000,897.0000,824.0101
2026/07/22,829.7000,7.8600,-0.94,3876236,810.2200,859.8800,809.0056
2026/07/21,837.5600,72.0100,+9.41,4043609,811.5000,843.0000,799.8100
2026/07/20,765.5500,32.7300,+4.47,4428660,764.1300,801.8000,763.0000
2026/07/17,732.8200,26.5900,+3.77,4940226,678.4700,747.0000,650.8200
2026/07/16,706.2300,45.7700,-6.09,3984943,731.3900,738.0000,693.0000
2026/07/15,752.0000,62.8000,-7.71,4205383,813.9500,821.9499,716.4000
2026/07/14,814.8000,46.6500,+6.07,3768910,816.2600,839.8800,796.0101
2026/07/13,768.1500,33.8600,-4.22,3694414,778.3800,809.2300,761.5300
2026/07/10,802.0100,16.2400,+2.07,3675849,769.5450,806.5631,761.6200
2026/07/09,785.7700,78.6700,+11.13,5519991,755.1550,804.9000,751.9000
2026/07/08,707.1000,8.1900,+1.17,2586224,688.9000,719.1200,683.3950
2026/07/07,698.9100,32.3400,-4.42,3750796,699.4200,732.5700,680.4300
2026/07/06,731.2500,2.9300,+0.40,3805531,729.0000,747.0000,716.1250
2026/07/02,728.3200,72.8400,-9.09,5229140,777.5750,803.9000,710.0100
2026/07/01,801.1600,56.9000,-6.63,4202789,818.4050,841.2600,784.0000
2026/06/30,858.0600,6.6600,+0.78,4246554,844.0300,874.8599,838.1100
2026/06/29,851.4000,34.4200,+4.21,5604162,806.0100,852.7800,754.0000
2026/06/26,816.9800,44.9900,-5.22,9121981,822.5500,824.8550,774.3001
2026/06/25,861.9700,19.4400,+2.31,4529350,887.2500,899.5300,810.2400
2026/06/24,842.5300,14.6100,+1.76,4452726,825.0000,866.4300,803.2400
2026/06/23,827.9200,66.0100,-7.38,4817064,832.1500,856.6000,812.8000
2026/06/22,893.9300,43.9300,+5.17,6909893,852.5200,906.1800,829.0000
2026/06/18,850.0000,19.9800,-2.30,8360832,881.9750,888.5400,831.1700
2026/06/17,869.9800,5.3800,-0.61,5148177,879.0800,891.5450,853.7800
2026/06/16,875.3600,81.8800,-8.55,6070807,958.4750,961.6800,863.4100
2026/06/15,957.2400,35.6800,+3.87,5266081,965.9800,998.5000,923.9500
2026/06/12,921.5600,31.9700,+3.59,4563159,889.4250,934.2600,863.0000
2026/06/11,889.5900,36.3300,+4.26,4672235,863.0000,890.8000,840.5200
2026/06/10,853.2600,31.5000,+3.83,5839496,833.6950,884.1800,825.6600
2026/06/09,821.7600,73.6400,-8.22,7966067,908.1200,913.9999,776.0100
2026/06/08,895.4000,31.7400,+3.68,5097078,899.7900,914.0000,841.9300
2026/06/05,863.6600,81.4200,-8.62,7543933,912.6200,974.0000,853.1000
2026/06/04,945.0800,7.0800,+0.75,6060883,900.1000,955.4768,864.2001
2026/06/03,938.0000,91.1500,-8.86,6202151,1029.0750,1049.5300,932.5000
