일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,1152.4400,14.6200,+1.28,781855,1150.2700,1159.7500,1138.2600
2026/09/16,1137.8200,1.7100,+0.15,1476270,1137.3100,1151.2300,1132.6300
2026/09/15,1136.1100,2.1700,-0.19,1887653,1156.6300,1161.0000,1131.5900
2026/09/14,1138.2800,22.5800,+2.02,2131112,1142.2000,1153.9500,1130.5001
2026/09/11,1115.7000,7.3000,-0.65,1838397,1129.4050,1131.4400,1113.2919
2026/09/10,1123.0000,1.2100,-0.11,1996501,1126.0800,1133.7900,1120.5200
2026/09/09,1124.2100,0.3000,+0.03,2045995,1127.6100,1138.7900,1119.0000
2026/09/08,1123.9100,25.4500,-2.21,2403019,1133.0000,1134.5300,1113.5500
2026/09/04,1149.3600,10.2400,-0.88,2220270,1150.6100,1158.4400,1138.3060
2026/09/03,1159.6000,0.4800,-0.04,2553292,1170.0000,1171.6600,1137.5000
2026/09/02,1160.0800,0.0800,+0.01,2446970,1164.1500,1187.8300,1158.0000
2026/09/01,1160.0000,3.2700,+0.28,2522522,1188.0000,1188.3250,1156.8501
2026/08/31,1156.7300,17.8800,-1.52,3057885,1168.4700,1171.4479,1147.0000
2026/08/28,1174.6100,1.4900,-0.13,2451810,1172.6600,1180.0000,1162.9300
2026/08/27,1176.1000,13.3100,-1.12,2735051,1182.2500,1190.1100,1171.7100
2026/08/26,1189.4100,44.2500,-3.59,3006472,1234.0000,1235.7750,1180.0100
2026/08/25,1233.6600,13.2700,-1.06,2143184,1249.0000,1264.7300,1229.7900
2026/08/24,1246.9300,8.4700,-0.67,1665577,1262.1400,1262.1400,1230.9500
2026/08/21,1255.4000,11.0000,+0.88,2503262,1232.0000,1271.2200,1230.0000
2026/08/20,1244.4000,35.9400,-2.81,2621394,1274.1300,1280.2800,1243.2301
2026/08/19,1280.3400,54.6100,+4.46,4541762,1245.8100,1292.6500,1240.5400
2026/08/18,1225.7300,42.5700,+3.60,2509057,1200.0000,1228.4700,1194.0100
2026/08/17,1183.1600,3.0000,+0.25,1807037,1175.2000,1198.5200,1163.5000
2026/08/14,1180.1600,27.1100,-2.25,2274505,1194.0100,1199.0000,1171.1956
2026/08/13,1207.2700,11.2639,-0.92,1930034,1236.5281,1238.3255,1204.2743
2026/08/12,1218.5339,5.2525,+0.43,1944358,1200.0104,1224.7450,1189.3756
2026/08/11,1213.2814,16.8958,-1.37,2116269,1228.8890,1236.2284,1207.7992
2026/08/10,1230.1772,46.1639,+3.90,3016198,1183.3143,1230.1772,1182.7102
2026/08/07,1184.0133,6.2211,-0.52,2902682,1186.3000,1195.0875,1159.5385
2026/08/06,1190.2344,22.0484,+1.89,3427283,1194.8378,1229.1187,1171.8208
2026/08/05,1168.1860,54.1025,+4.86,6454926,1172.3201,1215.1986,1136.8011
2026/08/04,1114.0835,5.6719,-0.51,4103057,1115.7811,1134.2047,1107.5729
2026/08/03,1119.7554,27.4407,-2.39,2938225,1150.3516,1160.2776,1107.5629
2026/07/31,1147.1961,6.1212,-0.53,2888747,1146.8666,1148.9835,1117.3988
2026/07/30,1153.3173,54.9712,-4.55,3035053,1172.3500,1184.9520,1151.4899
2026/07/29,1208.2885,10.6248,-0.87,2176598,1213.4412,1227.4311,1203.0760
2026/07/28,1218.9133,23.0969,+1.93,2383391,1215.8577,1230.2371,1203.2857
2026/07/27,1195.8164,1.4978,+0.13,1595936,1199.2814,1203.3207,1181.7520
2026/07/24,1194.3186,10.1455,+0.86,1986130,1192.6410,1205.2129,1185.7991
2026/07/23,1184.1731,22.8273,+1.97,1912681,1144.9743,1187.8878,1140.1462
2026/07/22,1161.3458,12.3823,-1.05,1557997,1172.2252,1173.3187,1151.8494
2026/07/21,1173.7281,28.4692,+2.49,2094998,1141.3644,1175.8950,1137.3702
2026/07/20,1145.2589,32.1639,-2.73,2648031,1177.9620,1185.4213,1142.7924
2026/07/17,1177.4228,9.9258,+0.85,2761493,1157.7859,1186.2501,1149.3630
2026/07/16,1167.4970,12.5221,+1.08,2795060,1160.6069,1187.3684,1139.5670
2026/07/15,1154.9749,4.0841,+0.35,2555887,1143.8609,1159.1589,1132.7767
2026/07/14,1150.8908,29.2880,-2.48,2646727,1164.3415,1164.3415,1139.1077
2026/07/13,1180.1788,6.7004,-0.56,2075636,1178.4213,1194.5782,1164.3415
2026/07/10,1186.8792,28.3294,-2.33,2013071,1208.5781,1211.2243,1176.6339
2026/07/09,1215.2086,1.1184,+0.09,2091063,1209.9062,1228.2400,1198.6523
2026/07/08,1214.0902,19.7018,-1.60,2612294,1219.3477,1240.1129,1202.4369
2026/07/07,1233.7920,35.4492,+2.96,2937974,1231.1158,1247.6621,1221.0203
2026/07/06,1198.3428,13.8302,-1.14,2352164,1206.2714,1212.0531,1181.6467
2026/07/02,1212.1730,22.1383,+1.86,3302166,1191.3029,1230.2371,1178.6111
2026/07/01,1190.0347,7.6790,-0.64,2724347,1215.7628,1215.7628,1172.2502
2026/06/30,1197.7137,30.4564,-2.48,3728919,1227.1216,1228.2899,1188.4969
2026/06/29,1228.1701,21.7788,+1.81,3690003,1221.0303,1236.2285,1201.4215
2026/06/26,1206.3913,80.3150,+7.13,7736918,1127.1848,1214.0203,1126.3859
2026/06/25,1126.0763,10.4150,+0.93,2764119,1125.3774,1143.7910,1112.4059
2026/06/24,1115.6613,10.1655,+0.92,2912415,1127.7939,1133.5157,1099.4046
2026/06/23,1105.4958,4.9928,+0.45,3321030,1115.4016,1120.4145,1077.6757
2026/06/22,1100.5030,3.5050,+0.32,3019361,1110.6485,1117.8481,1091.5858
2026/06/18,1096.9980,13.4108,-1.21,4476941,1118.8867,1120.7240,1087.0972
2026/06/17,1110.4088,10.4850,-0.94,2386669,1115.1021,1119.8852,1103.3215
2026/06/16,1120.8938,6.8402,-0.61,2263987,1137.1904,1145.0442,1113.9038
2026/06/15,1127.7340,3.6448,-0.32,3171695,1132.3773,1135.8646,1110.4188
2026/06/12,1131.3788,27.9100,-2.41,2441884,1163.3330,1168.3158,1131.1890
2026/06/11,1159.2888,24.5449,+2.16,2768896,1138.0791,1168.4456,1124.0293
2026/06/10,1134.7439,8.2981,-0.73,2704505,1150.8508,1164.7459,1131.9080
2026/06/09,1143.0420,4.4636,-0.39,3827504,1163.3330,1172.9142,1136.1250
2026/06/08,1147.5056,17.7046,+1.57,4510892,1157.3415,1181.0376,1141.9586
2026/06/05,1129.8010,6.1412,+0.55,4132073,1141.3345,1164.6211,1129.4116
2026/06/04,1123.6598,46.4235,+4.31,4052532,1107.0137,1138.8281,1100.0437
2026/06/03,1077.2363,14.6090,+1.37,2659449,1057.9839,1091.7131,1052.0025
2026/06/02,1062.6273,18.0241,-1.67,2411988,1065.8427,1076.6771,1050.6444
2026/06/01,1080.6514,22.7674,-2.06,2697307,1093.4331,1104.5871,1070.0666
2026/05/29,1103.4188,21.7688,-1.93,4609624,1125.3873,1131.0392,1087.4467
2026/05/28,1125.1876,43.8172,+4.05,4612422,1095.0708,1147.4557,1090.4474
2026/05/27,1081.3704,18.1540,+1.71,2591189,1070.7257,1091.4360,1068.3690
2026/05/26,1063.2164,0.2597,-0.02,2987689,1073.4617,1080.4517,1058.8427
2026/05/22,1063.4761,23.3166,+2.24,3477901,1048.3078,1068.8083,1045.5717
2026/05/21,1040.1595,22.7474,+2.24,2709081,1022.8343,1045.7964,1020.5376
2026/05/20,1017.4121,2.5363,-0.25,3003107,1023.5233,1036.3949,1002.2538
2026/05/19,1019.9484,33.2723,+3.37,3801455,988.0941,1020.3379,983.1911
2026/05/18,986.6761,16.8059,-1.67,2018860,999.1782,1001.5648,977.4693
2026/05/15,1003.4820,0.0500,-0,2824768,1005.5391,1012.9285,995.9828
2026/05/14,1003.5320,9.0215,-0.89,1757212,1014.2880,1014.9659,992.8756
2026/05/13,1012.5535,25.7986,+2.61,3497431,991.6196,1019.6022,988.8782
2026/05/12,986.7549,22.8080,+2.37,3047056,971.3735,994.3808,968.1187
2026/05/11,963.9469,18.4816,+1.95,3528558,946.0135,991.8688,940.2916
2026/05/08,945.4653,26.4265,-2.72,3570397,971.0046,976.9160,944.5282
2026/05/07,971.8918,12.0520,-1.22,3505889,982.2691,985.8877,964.0566
2026/05/06,983.9438,1.8143,-0.18,3933600,988.2303,993.3491,980.4050
2026/05/05,985.7581,20.8741,+2.16,2964858,968.8265,989.6757,961.3750
2026/05/04,964.8840,4.5856,+0.48,3708616,956.9789,971.1492,948.7648
2026/05/01,960.2984,28.6396,+3.07,4366181,945.9637,981.3520,940.8299
2026/04/30,931.6588,83.1275,+9.80,8262720,895.9516,942.5244,893.9778
2026/04/29,848.5313,22.7183,-2.61,3916910,863.3146,866.2884,847.8335
2026/04/28,871.2496,5.7120,+0.66,2569366,869.1562,875.3865,860.6331
2026/04/27,865.5376,15.6406,-1.77,2708811,875.3666,888.3983,865.3083
2026/04/24,881.1782,33.5840,-3.67,4477769,897.1777,897.5864,868.9877
2026/04/23,914.7622,3.8179,-0.42,2156017,926.5649,927.0733,909.0203
2026/04/22,918.5801,18.4019,+2.04,2632058,903.5476,919.6368,899.3908
2026/04/21,900.1782,16.8269,-1.83,4075618,907.3356,910.1767,878.3372
2026/04/20,917.0051,7.1076,-0.77,1932340,923.9831,926.7145,909.6284
2026/04/17,924.1127,22.9675,+2.55,3276405,914.9117,927.0634,914.9117
2026/04/16,901.1452,1.0367,-0.11,2845529,908.7960,917.1048,895.3236
2026/04/15,902.1819,17.4150,-1.89,4246782,920.5938,927.0733,885.2354
2026/04/14,919.5969,7.0278,-0.76,2367687,922.0891,936.9721,912.1604
2026/04/13,926.6247,9.8888,-1.06,2096164,937.0120,942.9233,924.2522
2026/04/10,936.5135,15.6706,-1.65,1965109,960.6573,960.9065,932.5959
2026/04/09,952.1841,1.8841,+0.20,1677829,945.4852,960.7221,936.3341
2026/04/08,950.3000,22.1401,+2.39,2576105,938.5571,958.1105,930.1935
