일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,302.3300,0.4300,+0.14,6956679,303.1900,303.4000,298.7700
2026/08/28,301.9000,16.6800,-5.24,8059615,318.0300,318.2900,301.0501
2026/08/27,318.5800,5.7000,+1.82,6561235,318.8800,321.4100,310.4402
2026/08/26,312.8800,1.7800,-0.57,4113545,314.6100,315.7200,308.0500
2026/08/25,314.6600,4.4900,+1.45,5023289,316.2000,318.6100,307.8600
2026/08/24,310.1700,3.8300,-1.22,8614313,307.9400,311.4400,297.7800
2026/08/21,314.0000,3.4700,+1.12,5946979,317.8600,319.1000,303.8500
2026/08/20,310.5300,3.3600,+1.09,6802559,305.2250,312.5400,302.9500
2026/08/19,307.1700,20.7500,-6.33,10861470,328.5200,328.5700,305.0801
2026/08/18,327.9200,15.9200,-4.63,10209998,324.1800,329.0734,317.4110
2026/08/17,343.8400,11.4800,+3.45,8505606,337.8700,345.2800,333.4000
2026/08/14,332.3600,4.6500,-1.38,7422941,332.3600,342.0000,326.5550
2026/08/13,337.0100,10.9000,+3.34,8900984,327.6200,345.1200,324.0100
2026/08/12,326.1100,14.7000,+4.72,8075626,326.8350,329.4899,323.5000
2026/08/11,311.4100,5.0100,+1.64,7669436,315.0300,316.8600,309.3500
2026/08/10,306.4000,4.9500,-1.59,7022760,319.5000,319.9900,305.5000
2026/08/07,311.3500,5.5800,+1.82,6714117,311.8700,315.5900,303.8300
2026/08/06,305.7700,1.6500,-0.54,7430396,300.0000,314.1600,293.6500
2026/08/05,307.4200,10.3200,-3.25,9302038,318.5400,323.6400,305.3600
2026/08/04,317.7400,23.1300,+7.85,15796629,308.8300,320.2500,306.1600
2026/08/03,294.6100,1.5900,+0.54,10010904,283.3400,295.9300,276.8447
2026/07/31,293.0200,4.7000,-1.58,12561150,315.3700,318.4000,292.9300
2026/07/30,297.7200,45.3700,+17.98,22085849,318.2900,319.5000,294.2500
2026/07/29,252.3500,17.2600,-6.40,16103109,264.5100,273.4600,250.5000
2026/07/28,269.6100,22.0000,-7.54,16097703,275.1650,277.3000,258.5300
2026/07/27,291.6100,13.6000,-4.46,14117637,306.3050,309.5000,278.4500
2026/07/24,305.2100,14.5700,-4.56,9278352,312.6200,319.7000,301.6750
2026/07/23,319.7800,0.4900,+0.15,8106898,315.4950,325.8800,314.3500
2026/07/22,319.2900,2.7100,-0.84,6344664,310.5500,322.2500,310.5500
2026/07/21,322.0000,15.2400,+4.97,11936455,328.1300,328.1350,313.2900
2026/07/20,306.7600,6.5400,-2.09,8074372,321.1500,324.4499,305.2600
2026/07/17,313.3000,7.6600,-2.39,12805720,303.8300,322.0699,298.6500
2026/07/16,320.9600,14.4700,-4.31,10641270,324.9850,336.6800,315.1600
2026/07/15,335.4300,10.6700,-3.08,10257338,357.2500,357.2500,319.7900
2026/07/14,346.1000,16.1800,+4.90,10699071,354.6600,354.6600,338.8750
2026/07/13,329.9200,20.4100,-5.83,9770512,335.0000,337.9800,326.9000
2026/07/10,350.3300,2.8400,-0.80,6890932,341.3600,354.7300,338.1319
2026/07/09,353.1700,20.0200,+6.01,12119689,365.1300,369.9500,350.0600
2026/07/08,333.1500,7.0200,+2.15,8029421,325.4700,337.5000,322.7200
2026/07/07,326.1300,24.0700,-6.87,15530626,322.4050,330.7500,313.1000
2026/07/06,350.2000,1.2100,-0.34,13581653,365.3400,366.0800,348.2700
2026/07/02,351.4100,39.8500,-10.19,18973407,391.0600,392.5000,342.4750
2026/07/01,391.2600,42.0700,-9.71,18699329,404.9700,415.4900,381.0000
2026/06/30,433.3300,22.4200,+5.46,16885085,416.2900,438.5000,414.0100
2026/06/29,410.9100,31.8200,+8.39,14049627,383.0100,414.9800,379.1000
2026/06/26,379.0900,22.7300,-5.66,19733700,385.5000,389.8800,374.3110
2026/06/25,401.8200,27.0200,+7.21,16845288,407.9900,407.9900,372.3000
2026/06/24,374.8000,3.4700,+0.93,12016719,366.8650,376.9800,361.4100
2026/06/23,371.3300,38.2100,-9.33,16065245,369.7050,377.1000,365.2600
2026/06/22,409.5400,20.5000,+5.27,14638623,398.3900,409.7500,392.0750
2026/06/18,389.0400,14.8600,+3.97,22686620,397.2200,401.0000,386.9000
2026/06/17,374.1800,5.1000,+1.38,10900843,382.0000,397.6290,373.2400
2026/06/16,369.3400,19.5800,-5.03,12054938,385.1350,393.0000,368.7700
2026/06/15,388.9200,22.1100,+6.03,13459830,385.9900,393.0700,382.3901
2026/06/12,366.8100,4.2900,+1.18,9256632,359.3900,373.8200,354.8900
2026/06/11,362.5200,40.7200,+12.65,14983969,336.6400,364.8070,336.2000
2026/06/10,321.8000,5.3600,-1.64,14088451,323.2900,348.1611,318.9450
2026/06/09,327.1600,2.7100,+0.84,14466754,335.5000,349.0900,306.0100
2026/06/08,324.4500,21.1700,+6.98,11465093,318.5450,330.6800,315.0000
2026/06/05,303.2800,33.1300,-9.85,13308959,320.3700,323.4200,302.7400
2026/06/04,336.4100,7.3000,-2.12,8277041,329.7500,342.3690,324.7100
2026/06/03,343.7100,9.3000,+2.78,8630883,335.0500,346.1900,332.1300
2026/06/02,334.4100,17.2900,+5.45,8632370,324.4200,335.5500,320.8600
2026/06/01,317.1200,1.0600,-0.33,8052836,309.2700,320.8300,307.0350
2026/05/29,318.1800,0.1800,+0.06,10872171,322.0000,324.2500,316.8110
2026/05/28,318.0000,0.9300,-0.29,8402842,317.4500,322.6399,308.7400
2026/05/27,318.9300,3.7500,-1.16,8824610,331.6650,333.3300,314.2800
2026/05/26,322.6800,17.3300,+5.68,9770815,314.7650,323.9800,309.6500
2026/05/22,305.3500,3.1100,+1.03,7859187,305.7250,309.9800,303.1800
2026/05/21,302.2400,10.1500,+3.47,9162399,292.6650,303.1800,291.8000
2026/05/20,292.0900,18.7100,+6.84,8574213,279.5800,293.6300,277.5200
2026/05/19,273.3800,4.5800,-1.65,8308623,267.9500,278.7300,263.7100
2026/05/18,277.9600,6.7600,-2.37,8562157,292.7400,294.5600,273.0800
2026/05/15,284.7200,14.4300,-4.82,9643209,289.4400,289.4400,276.4800
2026/05/14,299.1500,3.7100,+1.26,6404921,296.3250,302.0000,293.0100
2026/05/13,295.4400,6.2000,+2.14,8633086,295.2700,298.9800,287.1800
2026/05/12,289.2400,6.8100,-2.30,9341845,287.2150,290.3500,277.7700
2026/05/11,296.0500,2.0000,+0.68,9149989,292.5100,300.0000,292.5100
2026/05/08,294.0500,7.5300,+2.63,8996650,295.7150,297.4200,287.5200
2026/05/07,286.5200,10.6500,-3.58,9704518,297.0300,297.9950,283.1400
2026/05/06,297.1700,21.3700,+7.75,14788646,287.0000,297.8700,285.8500
2026/05/05,275.8000,17.2300,+6.66,11883969,266.6350,280.0000,266.6350
2026/05/04,258.5700,1.8500,+0.72,6497388,256.6850,263.0800,254.9500
2026/05/01,256.7200,1.1400,-0.44,8094464,255.1400,260.4400,250.1200
2026/04/30,257.8600,9.1100,+3.66,10381132,252.3900,258.5800,248.6600
2026/04/29,248.7500,2.4800,-0.99,9585252,253.1700,253.9550,241.6000
2026/04/28,251.2300,8.2400,-3.18,11499534,251.9750,253.7000,243.0400
