일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,572.9000,5.1200,-0.89,13398074,577.6300,578.6750,569.1386
2026/08/28,578.0200,6.9200,+1.21,16042352,571.5500,589.1900,571.0000
2026/08/27,571.1000,5.0400,-0.87,15221385,576.4800,588.3900,567.6200
2026/08/26,576.1400,6.0900,+1.07,31416337,590.3100,593.3400,561.8800
2026/08/25,570.0500,11.0300,+1.97,9769094,563.8800,570.8000,561.4001
2026/08/24,559.0200,9.1200,+1.66,12990583,550.2000,561.4200,546.3000
2026/08/21,549.9000,4.0700,+0.75,13848015,546.8850,553.8733,543.2300
2026/08/20,545.8300,0.2000,-0.04,13872173,546.9500,549.9880,539.3100
2026/08/19,546.0300,2.3600,+0.43,16971739,541.3400,554.0700,537.2700
2026/08/18,543.6700,25.3000,-4.45,27094871,557.4800,560.6600,543.2100
2026/08/17,568.9700,20.8800,-3.54,17225609,589.7500,590.2400,564.7500
2026/08/14,589.8500,5.1200,-0.86,8757974,596.9800,601.8600,589.2900
2026/08/13,594.9700,16.1200,+2.78,11164157,580.7100,595.8500,579.3900
2026/08/12,578.8500,20.2700,-3.38,16186915,601.0650,604.4990,578.2100
2026/08/11,599.1200,4.2000,+0.71,13146894,598.0000,612.4300,593.4000
2026/08/10,594.9200,2.8200,+0.48,14967328,599.1300,608.2100,592.0301
2026/08/07,592.1000,2.2000,+0.37,11250258,585.6400,598.7399,585.6200
2026/08/06,589.9000,1.1300,+0.19,11811461,586.9500,595.3100,585.9950
2026/08/05,588.7700,0.8300,+0.14,14897162,600.4550,601.0000,580.1200
2026/08/04,587.9400,2.3000,-0.39,17959238,581.5000,592.7870,578.2500
2026/08/03,590.2400,33.5300,+6.02,25938067,562.2400,597.5200,559.3600
2026/07/31,556.7100,17.6800,+3.28,24261457,543.6000,558.3300,540.2200
2026/07/30,539.0300,46.5800,-7.95,42271465,526.0000,539.8800,524.4900
2026/07/29,585.6100,7.8000,-1.31,22371067,593.2500,599.9700,582.2200
2026/07/28,593.4100,0.4600,-0.08,12009255,596.8200,601.0000,587.0000
2026/07/27,593.8700,1.3200,-0.22,11195251,607.2200,611.2600,593.1300
2026/07/24,595.1900,10.9100,-1.80,11503473,605.3000,609.9800,594.4500
2026/07/23,606.1000,21.0700,-3.36,15494842,608.4100,614.6500,597.2200
2026/07/22,627.1700,16.6400,-2.58,11019559,647.7000,648.9980,624.0000
2026/07/21,643.8100,2.0400,-0.32,9140455,654.1800,655.8800,643.2000
2026/07/20,645.8500,0.1600,-0.02,10225186,646.7000,653.3000,636.0105
2026/07/17,646.0100,18.5300,-2.79,22267862,647.7000,652.2000,626.0000
2026/07/16,664.5400,16.7700,-2.46,15815978,677.2750,681.9000,660.1600
2026/07/15,681.3100,20.2700,+3.07,19003379,663.6000,686.0800,656.6601
2026/07/14,661.0400,4.3100,+0.66,16748239,652.0000,666.5000,649.0500
2026/07/13,656.7300,12.4800,-1.86,19840702,661.3800,676.6200,654.2000
2026/07/10,669.2100,37.7300,+5.97,40608860,660.3350,677.8600,658.0100
2026/07/09,631.4800,28.3600,+4.70,26579689,583.9900,633.2700,577.0700
2026/07/08,603.1200,12.4600,-2.02,13606507,614.3850,616.0000,598.0105
2026/07/07,615.5800,15.2900,+2.55,18560849,607.5900,625.3700,603.6600
2026/07/06,600.2900,17.3900,+2.98,17674068,594.8400,603.5800,581.7600
2026/07/02,582.9000,30.0100,-4.90,21750522,607.8950,610.0000,580.4200
2026/07/01,612.9100,49.6200,+8.81,45536306,607.9100,628.2800,595.1000
2026/06/30,563.2900,0.6900,+0.12,18111082,560.9400,565.5350,551.4300
2026/06/29,562.6000,12.3500,+2.24,15011399,560.0000,570.9000,558.0000
2026/06/26,550.2500,7.3800,+1.36,18867706,543.3400,556.8500,540.4000
2026/06/25,542.8700,14.8000,-2.65,16968639,555.5530,556.3400,540.1800
2026/06/24,557.6700,4.5300,-0.81,13963570,561.8900,569.0400,555.5500
2026/06/23,562.2000,1.6500,-0.29,13103316,562.2450,572.2000,561.0200
2026/06/22,563.8500,13.3700,-2.32,15405511,572.0200,575.8100,559.8100
2026/06/18,577.2200,9.6400,+1.70,28824630,572.8200,580.2150,563.1000
2026/06/17,567.5800,32.6300,-5.44,20478308,592.0020,593.8100,566.1900
2026/06/16,600.2100,6.7300,+1.13,11344421,593.6500,605.8100,592.0000
2026/06/15,593.4800,27.0250,+4.77,17653258,579.9000,601.2700,579.2975
