일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,164.7100,2.0600,+1.27,954133,164.8400,165.4600,162.8700
2026/09/16,162.6500,2.0200,-1.23,2887190,165.5700,166.2900,161.3700
2026/09/15,164.6700,2.6500,+1.64,4175028,162.3200,166.2500,160.6800
2026/09/14,162.0200,2.9500,-1.79,3001061,162.4800,163.3800,160.2700
2026/09/11,164.9700,2.1100,+1.30,3286005,164.3600,165.3700,162.5510
2026/09/10,162.8600,1.5400,-0.94,2909289,164.4500,164.4500,161.2950
2026/09/09,164.4000,3.1200,-1.86,3288826,166.0000,166.8100,164.0300
2026/09/08,167.5200,1.0400,-0.62,2179681,168.1700,168.5600,165.7100
2026/09/04,168.5600,0.2500,+0.15,2175370,167.8700,169.5900,167.5504
2026/09/03,168.3100,0.4400,-0.26,3005866,169.7400,169.7500,165.8000
2026/09/02,168.7500,1.4900,-0.88,2175226,171.0000,171.2600,168.0800
2026/09/01,170.2400,1.5900,-0.93,3340373,171.9600,172.4250,169.5200
2026/08/31,171.8300,2.5100,-1.44,2362637,173.5000,173.6500,171.6600
2026/08/28,174.3400,4.4900,-2.51,2336679,179.6600,179.8350,173.5701
2026/08/27,178.8300,1.1700,-0.65,2395416,177.7700,180.0000,176.9100
2026/08/26,180.0000,0.6300,+0.35,2673770,180.5000,180.6700,178.5350
2026/08/25,179.3700,0.3600,+0.20,2316966,180.3300,180.7950,178.6100
2026/08/24,179.0100,0.8300,+0.47,2088187,178.8800,180.3500,178.2300
2026/08/21,178.1800,0.8662,+0.49,2599769,177.2441,180.2410,177.2441
2026/08/20,177.3138,2.5588,-1.42,3515280,178.4687,181.1769,177.1246
2026/08/19,179.8726,0.2788,-0.15,2777639,181.2167,182.6305,179.1159
2026/08/18,180.1514,0.7268,+0.41,2328615,179.8129,180.8682,178.2298
2026/08/17,179.4246,2.4293,-1.34,3890928,180.9081,182.4330,178.8769
2026/08/14,181.8539,0.0000,0,2656407,181.1470,183.4420,180.5646
2026/08/13,181.8539,1.1251,-0.61,2865551,183.3772,183.8850,179.7033
2026/08/12,182.9790,0.6472,+0.35,2659139,182.9690,183.5963,180.5994
2026/08/11,182.3318,1.0852,+0.60,2346130,181.1470,183.5764,180.9628
2026/08/10,181.2466,0.8562,-0.47,1951125,182.5608,182.7002,180.2211
2026/08/07,182.1028,2.1804,+1.21,2441077,179.4345,182.7400,178.3891
2026/08/06,179.9224,1.3640,-0.75,2558375,181.2366,182.7002,178.6778
2026/08/05,181.2864,0.6273,+0.35,2740537,180.3007,182.5807,180.3007
2026/08/04,180.6591,4.2016,+2.38,2993448,178.3891,180.8782,175.8303
2026/08/03,176.4575,0.9458,+0.54,2761563,177.2242,178.6579,175.3623
2026/07/31,175.5117,0.2091,+0.12,2688542,175.7307,176.3679,174.1676
2026/07/30,175.3026,1.8718,-1.06,2824490,176.8359,177.6424,173.2018
2026/07/29,177.1744,4.5103,-2.48,4844612,180.3306,181.4059,176.7761
2026/07/28,181.6847,4.2315,+2.38,5527895,178.8172,184.0891,178.1949
2026/07/27,177.4532,5.5856,+3.25,4850561,174.3966,178.5086,172.7637
2026/07/24,171.8676,3.0168,+1.79,4119409,169.5677,172.5945,168.7214
2026/07/23,168.8508,1.1649,-0.69,4757821,170.2447,171.2404,167.5814
2026/07/22,170.0157,0.0000,0,4613927,171.3001,173.8888,168.9902
2026/07/21,170.0157,11.5992,+7.32,11051686,168.3530,175.3922,168.2634
2026/07/20,158.4165,0.7268,-0.46,4081646,159.7208,160.9753,158.3170
2026/07/17,159.1433,1.9216,-1.19,2935783,162.9566,163.5142,159.0338
2026/07/16,161.0649,1.2346,+0.77,3497692,159.1832,162.6380,158.4265
2026/07/15,159.8303,3.9328,+2.52,3301474,156.9629,162.3095,156.3157
2026/07/14,155.8975,1.1152,-0.71,3594938,158.0780,159.0736,155.2404
2026/07/13,157.0127,0.1793,+0.11,1733975,156.5348,158.7053,156.0768
