일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,1169.5800,21.9700,+1.91,694205,1183.1500,1184.1500,1146.4000
2026/09/16,1147.6100,5.1500,+0.45,625211,1157.4200,1176.0500,1133.8300
2026/09/15,1142.4600,0.7800,-0.07,557090,1164.9700,1171.1800,1136.6500
2026/09/14,1143.2400,91.2200,-7.39,984700,1184.4300,1185.8850,1141.3800
2026/09/11,1234.4600,48.3800,+4.08,555184,1200.8000,1241.0350,1194.4735
2026/09/10,1186.0800,17.6700,-1.47,625369,1184.8500,1205.1950,1175.9500
2026/09/09,1203.7500,14.7500,-1.21,508493,1206.7000,1228.8200,1198.1700
2026/09/08,1218.5000,5.3600,-0.44,763467,1230.6400,1243.0900,1211.2200
2026/09/04,1223.8600,10.2100,+0.84,625898,1239.1300,1239.1300,1206.5500
2026/09/03,1213.6500,5.7100,-0.47,413703,1200.7000,1225.0000,1189.4900
2026/09/02,1219.3600,6.6000,-0.54,405205,1224.9200,1245.2300,1211.7350
2026/09/01,1225.9600,41.8100,-3.30,758060,1245.1100,1250.0000,1211.8635
2026/08/31,1267.7700,11.5100,+0.92,689203,1261.9000,1279.0000,1253.0000
2026/08/28,1256.2600,54.8200,-4.18,709349,1306.0300,1306.0300,1254.0100
2026/08/27,1311.0800,7.2000,+0.55,459325,1319.7500,1332.0000,1290.8550
2026/08/26,1303.8800,0.2700,-0.02,255715,1301.0400,1311.0150,1284.5600
2026/08/25,1304.1500,19.1200,+1.49,359622,1310.0550,1322.9900,1291.5400
2026/08/24,1285.0300,31.2500,-2.37,897888,1298.3800,1305.6400,1255.5600
2026/08/21,1316.2800,5.6800,+0.43,529769,1321.1300,1337.7000,1297.3000
2026/08/20,1310.6000,10.4600,+0.80,437133,1311.3400,1327.0000,1295.0200
2026/08/19,1300.1400,33.0400,-2.48,710871,1321.1200,1335.1900,1267.7700
2026/08/18,1333.1800,82.8100,-5.85,1144286,1365.4450,1376.5250,1303.2200
2026/08/17,1415.9900,13.9800,+1.00,542867,1418.0100,1448.7600,1411.6000
2026/08/14,1402.0100,39.4600,+2.90,440360,1360.0000,1404.1400,1355.1100
2026/08/13,1362.5500,62.4600,-4.38,506489,1421.4400,1438.3800,1358.0000
2026/08/12,1425.0100,22.9000,+1.63,623143,1451.1800,1464.9900,1423.1000
2026/08/11,1402.1100,21.0100,+1.52,413747,1413.7750,1431.6300,1383.6300
2026/08/10,1381.1000,20.4400,-1.46,493700,1428.2200,1430.0000,1379.1700
2026/08/07,1401.5400,42.4600,+3.12,605861,1385.9700,1417.0900,1370.9500
2026/08/06,1359.0800,13.6250,+1.01,629598,1313.2500,1415.3700,1305.1300
2026/08/05,1345.4550,10.4250,+0.78,705010,1320.0100,1358.6100,1308.4547
2026/08/04,1335.0300,9.3400,-0.69,1228391,1402.1000,1425.9900,1333.3200
2026/08/03,1344.3700,81.6600,-5.73,1215536,1417.7800,1421.6050,1305.0100
2026/07/31,1426.0300,109.8500,+8.35,1545868,1499.0000,1568.2100,1405.9600
2026/07/30,1316.1800,67.4200,+5.40,1722563,1290.9700,1339.9900,1290.6300
2026/07/29,1248.7600,33.2500,-2.59,1183857,1263.2700,1327.3050,1240.0200
2026/07/28,1282.0100,57.0700,-4.26,1008074,1283.7700,1313.7400,1253.7000
2026/07/27,1339.0800,5.2700,+0.40,848886,1340.0000,1364.8500,1284.8200
2026/07/24,1333.8100,63.3400,-4.53,805477,1373.8100,1385.7400,1318.7200
2026/07/23,1397.1500,1.3000,-0.09,702965,1359.8100,1409.9900,1359.5850
2026/07/22,1398.4500,15.1900,+1.10,607536,1353.9300,1419.9200,1350.4900
2026/07/21,1383.2600,54.4600,+4.10,986535,1385.8200,1396.0000,1364.6200
2026/07/20,1328.8000,16.8000,+1.28,784931,1332.9600,1371.1600,1323.7500
2026/07/17,1312.0000,6.3500,+0.49,1054963,1245.7900,1342.8100,1231.0000
2026/07/16,1305.6500,47.0100,-3.48,933528,1318.0300,1332.4400,1284.2100
2026/07/15,1352.6600,23.7500,-1.73,754052,1406.0400,1406.0400,1310.1200
2026/07/14,1376.4100,85.0300,+6.58,786153,1367.6750,1401.2900,1345.0100
2026/07/13,1291.3800,61.3600,-4.54,827268,1307.1700,1317.7900,1277.6400
2026/07/10,1352.7400,21.3900,-1.56,577563,1335.7600,1364.0280,1316.2080
2026/07/09,1374.1300,58.6200,+4.46,886483,1399.2000,1407.0900,1360.3300
2026/07/08,1315.5100,42.7000,+3.35,703381,1264.2300,1329.1600,1260.5700
2026/07/07,1272.8100,73.3200,-5.45,1210126,1274.5850,1299.3000,1232.0360
2026/07/06,1346.1300,57.9700,+4.50,857610,1325.7400,1371.3700,1305.0100
2026/07/02,1288.1600,43.5700,-3.27,1214807,1332.8500,1382.9200,1258.6600
2026/07/01,1331.7300,50.6300,-3.66,1515748,1344.8900,1386.6000,1328.6650
2026/06/30,1382.3600,71.5900,+5.46,1708917,1325.9050,1388.5300,1322.3950
2026/06/29,1310.7700,0.5492,-0.04,1052670,1326.3662,1340.0853,1274.2757
2026/06/26,1311.3192,124.7896,-8.69,3487037,1355.3819,1371.8169,1299.4573
2026/06/25,1436.1088,3.3449,+0.23,1006436,1492.8971,1508.4534,1371.7270
2026/06/24,1432.7639,11.1730,+0.79,866878,1420.8520,1444.7556,1390.3785
2026/06/23,1421.5909,113.9461,-7.42,1639064,1440.8415,1484.6547,1401.2220
2026/06/22,1535.5370,25.7807,-1.65,1110971,1590.2635,1592.3781,1504.0751
2026/06/18,1561.3177,115.3140,+7.97,1938515,1526.9102,1578.6313,1513.3110
2026/06/17,1446.0037,50.4829,-3.37,1113550,1543.2053,1545.6416,1433.6425
2026/06/16,1496.4866,153.2861,-9.29,1041323,1648.3649,1653.6968,1494.2401
2026/06/15,1649.7727,74.8557,+4.75,762505,1650.0373,1664.1009,1602.5648
2026/06/12,1574.9170,12.2113,-0.77,568576,1589.7843,1595.9848,1555.8161
