일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,211.9900,4.6300,-2.14,23764614,216.2950,218.2205,209.5250
2026/08/28,216.6200,24.8300,-10.28,48979929,225.2550,228.8800,215.5500
2026/08/27,241.4500,3.6600,-1.49,41014669,253.4400,254.6000,240.3800
2026/08/26,245.1100,4.7300,+1.97,17106953,240.0000,245.1700,236.7900
2026/08/25,240.3800,11.0900,+4.84,21347009,237.3750,246.7000,235.9300
2026/08/24,229.2900,7.7500,-3.27,18791433,229.2200,231.7000,220.4201
2026/08/21,237.0400,13.9700,-5.57,25526600,252.3900,252.5200,233.2800
2026/08/20,251.0100,13.7400,+5.79,29226490,237.5650,251.7300,234.5270
2026/08/19,237.2700,21.2700,+9.85,44011791,240.1300,245.4890,228.1001
2026/08/18,216.0000,18.3300,-7.82,25860730,220.5200,225.0100,211.1000
2026/08/17,234.3300,12.3100,+5.54,21113501,227.7500,240.1800,226.8900
2026/08/14,222.0200,0.1600,-0.07,14487843,221.3950,223.5179,217.1000
2026/08/13,222.1800,5.1000,+2.35,19255516,217.6800,231.3800,217.1800
2026/08/12,217.0800,4.7700,+2.25,25134290,225.9000,226.8900,216.8800
2026/08/11,212.3100,3.7500,+1.80,15429183,212.0000,212.6599,206.4300
2026/08/10,208.5600,10.1600,-4.65,20948501,227.7700,230.1000,208.5100
2026/08/07,218.7200,8.1800,+3.89,19663362,219.0450,221.8700,205.5200
2026/08/06,210.5400,0.4800,-0.23,16804167,205.5650,219.4625,201.7400
2026/08/05,211.0200,7.5700,-3.46,16884641,215.9800,222.3800,210.2900
2026/08/04,218.5900,24.8150,+12.81,33923423,210.0100,222.6700,208.0000
2026/08/03,193.7750,6.2150,+3.31,21015779,180.5200,194.4400,177.5700
2026/07/31,187.5600,4.2600,+2.32,26835492,199.3750,201.3500,187.1200
2026/07/30,183.3000,19.9000,+12.18,29861730,178.3750,184.3499,175.1500
2026/07/29,163.4000,11.0700,-6.34,25708856,174.0300,177.8000,162.9000
2026/07/28,174.4700,14.7000,-7.77,29188462,180.0000,181.4800,167.3200
2026/07/27,189.1700,5.0600,-2.61,21637715,198.7200,199.7900,181.7600
2026/07/24,194.2300,15.0900,-7.21,19837135,202.9100,206.0650,191.2900
2026/07/23,209.3200,1.6700,-0.79,16359857,207.8600,214.5600,205.0200
2026/07/22,210.9900,3.0300,+1.46,16890272,201.1500,214.9200,200.5800
2026/07/21,207.9600,13.0200,+6.68,22153558,205.5550,210.6000,202.8400
2026/07/20,194.9400,6.2600,+3.32,25070644,193.0050,202.0800,191.9900
2026/07/17,188.6800,0.3800,+0.20,29656336,182.2250,194.0500,177.9500
2026/07/16,188.3000,17.9600,-8.71,34892957,200.1200,201.9400,186.1500
2026/07/15,206.2600,16.1800,-7.27,26827561,222.1550,223.3000,201.2200
2026/07/14,222.4400,4.9100,+2.26,20705465,231.5650,232.0000,218.6301
2026/07/13,217.5300,18.2800,-7.75,25615304,228.7750,228.8000,215.2800
2026/07/10,235.8100,7.4000,-3.04,15105972,237.7900,240.9400,232.0200
2026/07/09,243.2700,11.5600,+4.99,21245321,246.1750,251.7000,241.1000
2026/07/08,231.7100,1.0100,+0.44,25541832,225.1600,236.7900,224.9800
2026/07/07,230.7000,18.5700,-7.45,36163816,234.9200,237.4400,222.9400
2026/07/06,249.2700,3.9800,+1.62,25703077,254.8200,260.4600,249.0400
2026/07/02,245.2900,26.7600,-9.84,38579896,269.5000,274.9500,237.2000
2026/07/01,272.0500,25.8400,-8.67,33822654,282.4700,292.5000,271.3450
2026/06/30,297.8900,20.1400,+7.25,37520129,278.7500,300.0000,275.5032
2026/06/29,277.7500,10.9800,+4.12,31749225,272.4100,278.2800,250.5200
2026/06/26,266.7700,14.4900,-5.15,41986195,268.3700,274.2000,262.0000
2026/06/25,281.2600,4.5600,+1.65,39264309,291.1750,292.5100,263.7200
2026/06/24,276.7000,2.3400,-0.84,35747374,281.9500,281.9500,263.6600
2026/06/23,279.0400,28.8200,-9.36,46361100,278.8200,290.9500,276.2500
