일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/04,973.6952,15.5352,+1.62,190784,972.4400,979.7900,958.1600
2026/09/03,958.1600,2.0800,+0.22,24175871,956.9100,959.7600,918.8801
2026/09/02,956.0800,22.6400,+2.43,21440498,930.8250,958.0000,927.1569
2026/09/01,933.4400,25.2900,-2.64,27762236,941.1250,969.4400,922.3900
2026/08/31,958.7300,25.8700,+2.77,22569478,931.3900,959.9699,930.7900
2026/08/28,932.8600,2.5300,-0.27,22890088,919.2900,946.7999,909.0900
2026/08/27,935.3900,3.0100,-0.32,28838465,967.0100,968.7100,906.8900
2026/08/26,938.4000,5.4300,+0.58,18721684,925.7400,945.7499,924.6000
2026/08/25,932.9700,22.5400,+2.48,19163180,928.9750,946.6700,916.3000
2026/08/24,910.4300,56.3500,-5.83,30012631,934.7800,936.4500,887.6050
2026/08/21,966.7800,7.5500,-0.77,21823443,989.6750,989.9600,958.2600
2026/08/20,974.3300,37.2250,+3.97,25212225,935.0100,977.2800,929.0700
2026/08/19,937.1050,3.6550,-0.39,26901876,959.3550,960.0000,915.1800
2026/08/18,940.7600,70.9900,-7.02,37305990,957.1000,978.6700,926.6400
2026/08/17,1011.7500,40.0900,+4.13,33430506,999.5500,1036.1300,995.2600
2026/08/14,971.6600,21.8300,+2.30,27881135,979.3200,984.0000,956.2000
2026/08/13,949.8300,38.5400,+4.23,36704680,912.8900,978.0000,906.5000
2026/08/12,911.2900,42.7700,+4.92,36804916,912.9400,935.8000,899.5400
2026/08/11,868.5200,7.5200,+0.87,29438280,871.8000,879.0000,844.6200
2026/08/10,861.0000,16.5700,-1.89,27818627,863.6650,894.9890,854.4000
2026/08/07,877.5700,3.9000,-0.44,34568477,903.6000,904.8000,847.0200
2026/08/06,881.4700,11.7200,-1.31,35784117,843.1100,913.3300,827.0000
2026/08/05,893.1900,0.5200,+0.06,34720297,885.3000,928.9800,881.2000
2026/08/04,892.6700,63.1700,+7.62,37478559,866.8200,902.4299,858.5000
2026/08/03,829.5000,6.4700,+0.79,42607140,786.3550,836.6200,770.1000
2026/07/31,823.0300,51.6300,-5.90,54538600,919.6500,930.8800,818.0000
2026/07/30,874.6600,135.6600,+18.36,63075299,793.1350,882.5000,789.0000
2026/07/29,739.0000,81.5300,-9.94,69845966,833.0000,841.8000,737.8800
2026/07/28,820.5300,79.6700,-8.85,61039321,839.6100,848.3600,789.0900
2026/07/27,900.2000,20.7500,-2.25,47591161,932.4450,935.0000,854.7900
2026/07/24,920.9500,69.2600,-6.99,40803073,959.0300,967.1400,904.0000
2026/07/23,990.2100,30.7300,+3.20,40196319,975.1300,1011.7700,964.4000
2026/07/22,959.4800,11.3400,-1.17,31588637,938.2500,982.6200,936.0600
2026/07/21,970.8200,105.3600,+12.17,49369020,925.3500,982.8800,916.5701
2026/07/20,865.4600,16.5100,+1.94,37705237,885.5700,900.9999,858.9000
2026/07/17,848.9500,4.2500,-0.50,63346278,822.5250,903.9600,804.0000
2026/07/16,853.2000,51.0800,-5.65,46718034,866.7650,887.7100,840.5100
2026/07/15,904.2800,78.8400,-8.02,54779242,975.8050,978.4000,873.6301
2026/07/14,983.1200,46.1200,+4.92,30835225,988.3800,994.8000,950.0700
2026/07/13,937.0000,42.3000,-4.32,35536239,929.0000,943.5000,902.6000
2026/07/10,979.3000,12.3400,-1.24,31768093,964.9750,998.0000,954.1300
