일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,208.1600,1.0200,-0.49,10598928,205.7350,208.8800,201.5000
2026/08/28,209.1800,9.3000,-4.26,13122092,211.9600,214.2800,205.4800
2026/08/27,218.4800,4.5500,+2.13,16068171,223.3700,228.5000,215.4100
2026/08/26,213.9300,8.0400,-3.62,10562817,215.5000,221.4700,213.6001
2026/08/25,221.9700,11.0600,+5.24,13547943,217.9600,223.4400,213.5500
2026/08/24,210.9100,8.2200,-3.75,16882275,211.2020,213.7500,201.8906
2026/08/21,219.1300,0.9800,-0.45,20239738,226.3600,230.8100,217.8500
2026/08/20,220.1100,3.7900,-1.69,28477936,223.0000,223.0000,212.0400
2026/08/19,223.9000,24.5300,-9.87,50438575,232.3200,236.2000,213.7500
2026/08/18,248.4300,20.4200,-7.60,22824163,268.7000,274.8000,244.7800
2026/08/17,268.8500,8.8300,-3.18,19722322,276.7800,280.8300,263.8200
2026/08/14,277.6800,22.6400,+8.88,29024669,258.0900,278.6600,256.9050
2026/08/13,255.0400,4.1600,-1.60,36239147,255.4700,275.9600,247.3800
2026/08/12,259.2000,65.9700,+34.14,63538211,226.0000,259.4400,216.1100
2026/08/11,193.2300,9.1200,+4.95,22528729,187.5000,195.6000,187.3100
2026/08/10,184.1100,3.8600,-2.05,16165172,186.0800,196.1300,183.1100
2026/08/07,187.9700,1.9100,-1.01,22822852,197.3650,197.4200,180.6307
2026/08/06,189.8800,29.1100,-13.29,26723829,205.4200,215.5100,189.1700
2026/08/05,218.9900,6.7500,-2.99,15769045,219.9500,228.0200,214.7401
2026/08/04,225.7400,13.1600,+6.19,21356699,216.4100,229.4700,215.5000
2026/08/03,212.5800,22.1700,+11.64,28630305,184.0850,221.6700,176.2500
2026/07/31,190.4100,1.9800,+1.05,25703414,200.9350,204.5659,182.5000
2026/07/30,188.4300,40.2100,+27.13,42302388,172.1800,195.8882,169.0800
2026/07/29,148.2200,21.4700,-12.65,39775891,170.4500,172.0000,145.8000
2026/07/28,169.6900,18.1900,-9.68,28902445,178.8700,180.0700,161.4400
2026/07/27,187.8800,0.1100,+0.06,18169063,196.7250,199.8899,180.8300
2026/07/24,187.7700,33.2000,-15.02,24095349,218.0000,218.5388,186.4100
2026/07/23,220.9700,2.8100,+1.29,15309783,214.2850,230.3000,214.2200
2026/07/22,218.1600,1.2400,+0.57,16921115,211.0000,228.6650,209.5240
2026/07/21,216.9200,34.3000,+18.78,25632573,193.0500,217.6200,192.1200
2026/07/20,182.6200,4.9100,+2.76,16901619,186.9650,194.3400,179.0800
2026/07/17,177.7100,5.9400,+3.46,24912157,165.0750,186.7699,164.3100
2026/07/16,171.7700,27.7400,-13.90,28410877,190.4100,193.1000,169.2308
2026/07/15,199.5100,5.4200,+2.79,18844374,197.4200,203.2500,187.2401
2026/07/14,194.0900,16.4200,-7.80,17928458,217.0400,222.7500,193.0000
2026/07/13,210.5100,9.1400,-4.16,10842264,212.6900,219.0000,204.7000
2026/07/10,219.6500,3.4500,+1.60,11490535,213.0320,224.4799,207.4400
2026/07/09,216.2000,0.2800,-0.13,13994705,229.1840,229.4990,211.5100
2026/07/08,216.4800,21.2900,+10.91,17925705,192.6700,218.4900,192.6700
2026/07/07,195.1900,17.8300,-8.37,17160796,202.3200,207.5200,193.6800
2026/07/06,213.0200,2.6000,-1.21,14918917,216.2500,224.9700,206.2101
2026/07/02,215.6200,13.5600,-5.92,24901806,233.0000,237.2600,207.2990
2026/07/01,229.1800,46.9900,-17.01,30684793,240.2740,246.4900,228.1700
2026/06/30,276.1700,15.0200,+5.75,12870305,258.2600,290.6000,255.8000
2026/06/29,261.1500,20.8500,+8.68,14299222,249.3750,263.8000,234.5000
2026/06/26,240.3000,16.3300,-6.36,13154996,244.8500,248.8000,234.4000
2026/06/25,256.6300,3.0300,-1.17,14495461,272.5700,275.5200,252.5600
2026/06/24,259.6600,15.5900,-5.66,15286341,275.1000,276.1516,249.2100
2026/06/23,275.2500,8.3600,-2.95,18767696,257.7500,295.2300,251.0000
2026/06/22,283.6100,3.0800,-1.07,14697609,289.9600,299.8600,278.0000
2026/06/18,286.6900,5.7800,+2.06,36625522,298.2000,298.8000,275.5750
2026/06/17,280.9100,15.8100,+5.96,24392311,265.6500,297.9300,264.2900
2026/06/16,265.1000,5.0300,+1.93,14643720,255.4700,277.3452,253.4000
2026/06/15,260.0700,27.7100,+11.93,16699229,251.9600,262.8950,245.2400
2026/06/12,232.3600,10.1200,+4.55,17185291,234.6500,243.5900,223.5000
2026/06/11,222.2400,10.5500,+4.98,14297114,205.3900,228.4900,205.0000
2026/06/10,211.6900,8.4300,-3.83,15356559,215.4930,230.9900,211.3700
2026/06/09,220.1200,2.1200,+0.97,22699177,230.0000,237.6550,200.3000
2026/06/08,218.0000,9.8100,-4.31,14008410,240.4000,240.4000,217.7000
2026/06/05,227.8100,31.8600,-12.27,20874022,246.8600,250.7500,216.6900
2026/06/04,259.6700,7.9900,+3.17,12304806,239.7400,264.4700,234.6901
2026/06/03,251.6800,8.9000,-3.42,11532619,260.2150,267.4600,247.5100
2026/06/02,260.5800,3.9300,-1.49,14040435,272.1000,278.8399,259.7500
2026/06/01,264.5100,33.4200,+14.46,24248887,244.0900,274.7978,238.0000
2026/05/29,231.0900,4.7500,+2.10,23748666,227.8600,233.6000,210.4000
2026/05/28,226.3400,17.9700,+8.62,26016701,230.3800,232.8900,219.0100
2026/05/27,208.3700,0.3100,+0.15,13981092,207.7850,209.6400,198.3100
2026/05/26,208.0600,6.7100,-3.12,11286980,220.6750,221.0100,205.6600
2026/05/22,214.7700,5.1600,-2.35,10606677,219.2600,221.9199,210.7301
2026/05/21,219.9300,28.1100,+14.65,23027655,211.7400,226.8100,208.8000
2026/05/20,191.8200,5.9100,-2.99,13063993,203.9700,204.2500,190.6400
2026/05/19,197.7300,2.1300,-1.07,16832930,191.0000,202.8099,183.0000
2026/05/18,199.8600,20.0800,-9.13,21056546,217.4700,218.0700,190.0801
2026/05/15,219.9400,1.2100,-0.55,22919762,217.6100,228.7900,211.8000
2026/05/14,221.1500,13.8800,+6.70,29737783,213.3750,233.7299,207.7500
2026/05/13,207.2700,28.1600,+15.72,38769974,203.8450,217.3400,195.0000
2026/05/12,179.1100,6.9900,-3.76,11723224,180.4200,185.6100,172.2500
2026/05/11,186.1000,9.0500,+5.11,14061617,179.9000,196.4560,178.5500
2026/05/08,177.0500,7.7200,-4.18,12929585,183.7000,188.2499,176.5000
2026/05/07,184.7700,10.3200,-5.29,19203361,190.0100,197.8900,177.0000
2026/05/06,195.0900,19.1700,+10.90,19331135,179.5950,195.9900,175.1100
2026/05/05,175.9200,0.5000,-0.28,11763239,171.6500,179.9600,168.7100
2026/05/04,176.4200,21.9300,+14.20,24793296,160.3850,179.4000,159.7000
