일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/04,82.6700,0.0000,0,0,,,
2026/09/03,82.6700,0.0600,-0.07,24006372,83.1800,83.6000,81.6300
2026/09/02,82.7300,1.9200,+2.38,22077832,80.5500,83.1200,80.3000
2026/09/01,80.8100,0.2400,-0.30,21164924,80.1650,82.1255,79.6000
2026/08/31,81.0500,0.6700,-0.82,30740806,81.0000,81.7300,80.6500
2026/08/28,81.7200,1.8800,+2.35,29092685,80.3550,82.3535,79.9500
2026/08/27,79.8400,1.6200,-1.99,27174438,81.0700,81.1500,79.2801
2026/08/26,81.4600,0.7700,-0.94,22874878,82.0500,82.4200,81.2950
2026/08/25,82.2300,2.2200,+2.77,29461960,79.6500,82.4550,79.4000
2026/08/24,80.0100,0.4200,+0.53,21085296,79.9400,80.6200,79.0201
2026/08/21,79.5900,0.5500,-0.69,23773822,80.2900,80.4900,79.1700
2026/08/20,80.1400,0.0800,-0.10,27118417,80.1400,81.0800,79.5850
2026/08/19,80.2200,2.4500,+3.15,31461785,78.2450,81.1600,78.1000
2026/08/18,77.7700,1.7500,+2.30,36151266,77.4250,79.0972,76.3400
2026/08/17,76.0200,2.1400,-2.74,30752977,77.8000,78.5300,75.4650
2026/08/14,78.1600,0.0800,-0.10,26750961,78.4800,78.7300,77.7601
2026/08/13,78.2400,4.0300,+5.43,41452856,76.0100,78.4000,75.4400
2026/08/12,74.2100,0.5800,-0.78,20773131,74.3500,74.6700,73.5702
2026/08/11,74.7900,1.5000,-1.97,27840513,76.2000,76.8950,74.4800
2026/08/10,76.2900,2.1500,+2.90,26959937,73.7950,76.3200,73.5700
2026/08/07,74.1400,0.4500,+0.61,24818997,73.1200,74.5000,73.0750
2026/08/06,73.6900,0.5100,-0.69,28892688,75.1400,75.2100,73.1002
2026/08/05,74.2000,0.6300,+0.86,28969444,75.1100,75.3000,73.1550
2026/08/04,73.5700,0.2400,+0.33,42877877,72.5100,73.7450,72.3000
2026/08/03,73.3300,1.6200,+2.26,33922299,72.7700,73.9500,72.1800
2026/07/31,71.7100,1.4600,-2.00,35847452,71.9650,72.7500,71.1050
2026/07/30,73.1700,0.4600,-0.62,54261028,71.4800,73.3200,70.5500
2026/07/29,73.6300,1.2400,+1.71,43737592,72.1900,73.7350,71.7500
2026/07/28,72.3900,1.9900,+2.83,47160167,72.0700,73.7550,71.2300
2026/07/27,70.4000,0.3100,+0.44,39090756,70.5900,71.6500,69.8600
2026/07/24,70.0900,1.2000,+1.74,37593514,69.2900,70.6800,67.9704
