일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,148.0600,3.3500,+2.31,26034647,142.0800,149.6000,141.6900
2026/08/28,144.7100,6.2800,+4.54,29034354,138.4800,145.7200,137.8000
2026/08/27,138.4300,12.6300,+10.04,27815534,130.4800,139.3200,130.2500
2026/08/26,125.8000,1.2000,-0.94,13384897,122.3300,126.5600,121.8800
2026/08/25,127.0000,1.0500,-0.82,12317489,125.9550,129.8050,125.2500
2026/08/24,128.0500,0.4300,-0.33,8949329,128.0550,130.1500,127.5900
2026/08/21,128.4800,1.2700,-0.98,12504630,130.2900,131.1800,127.4700
2026/08/20,129.7500,2.5500,+2.00,16952258,128.1450,131.1500,127.1000
2026/08/19,127.2000,7.7100,+6.45,22503782,118.6400,129.6000,118.5113
2026/08/18,119.4900,1.7900,+1.52,17341506,119.4800,121.8380,117.8400
2026/08/17,117.7000,6.3000,-5.08,20204166,122.4300,123.3600,117.5850
2026/08/14,124.0000,3.2500,-2.55,15030799,127.7000,128.6500,122.1700
2026/08/13,127.2500,2.3100,+1.85,23124880,125.5950,129.7500,121.6500
2026/08/12,124.9400,2.6000,-2.04,12654575,123.6400,125.6400,121.8500
2026/08/11,127.5400,0.1000,+0.08,13460978,126.2600,128.9699,125.1600
2026/08/10,127.4400,2.5600,+2.05,17216070,124.7200,127.8900,123.2800
2026/08/07,124.8800,7.5300,+6.42,26705943,121.6650,126.1500,120.9600
2026/08/06,117.3500,0.1300,+0.11,16281461,113.0000,117.4200,111.8000
2026/08/05,117.2200,0.9200,-0.78,15596907,119.9000,120.0000,115.7100
2026/08/04,118.1400,3.9500,+3.46,19398635,112.5900,118.3300,112.0000
2026/08/03,114.1900,2.9600,+2.66,24517547,114.5100,119.6400,113.7000
2026/07/31,111.2300,1.1600,+1.05,20525330,108.5000,112.3900,106.0500
2026/07/30,110.0700,5.6900,-4.92,29757945,110.5000,113.1150,106.3800
2026/07/29,115.7600,5.1400,+4.65,40448128,110.4200,118.3600,109.5000
2026/07/28,110.6200,5.0600,+4.79,33681078,106.8800,112.2800,106.5000
2026/07/27,105.5600,6.7800,+6.86,32533721,101.8700,108.1488,100.3500
2026/07/24,98.7800,6.8400,+7.44,29625392,94.9200,98.9250,94.8700
2026/07/23,91.9400,3.5200,-3.69,48998238,100.0050,100.2500,91.5311
2026/07/22,95.4600,6.6000,-6.47,43600908,100.8700,101.1600,94.7400
2026/07/21,102.0600,2.6400,-2.52,19158503,101.6500,104.5799,101.0500
2026/07/20,104.7000,1.4600,+1.41,20547059,100.5210,105.3300,98.4300
2026/07/17,103.2400,0.7700,-0.74,16207257,102.8800,105.8300,102.6400
2026/07/16,104.0100,0.7200,-0.69,20318249,104.9400,105.8600,99.3100
2026/07/15,104.7300,0.1200,-0.11,13784215,106.5000,108.7500,104.3300
2026/07/14,104.8500,6.4100,-5.76,23213068,103.7400,107.9600,102.6100
2026/07/13,111.2600,3.5500,+3.30,16607255,109.5000,113.0300,107.6523
2026/07/10,107.7100,1.1300,-1.04,11096949,111.2700,111.5000,105.7100
2026/07/09,108.8400,1.0600,+0.98,14241364,102.0250,109.2500,101.5100
2026/07/08,107.7800,2.9500,-2.66,15069394,106.2100,108.4400,105.4000
2026/07/07,110.7300,2.8000,+2.59,22339364,111.5450,113.7900,109.0400
2026/07/06,107.9300,1.6100,+1.51,16524507,104.1000,110.6350,103.3359
2026/07/02,106.3200,0.5200,+0.49,20276620,106.2200,107.6799,103.8400
2026/07/01,105.8000,6.5200,+6.57,26458594,103.6000,106.6900,101.7650
2026/06/30,99.2800,0.6900,-0.69,19433321,97.3100,99.6350,96.9500
2026/06/29,99.9700,1.6300,+1.66,25023060,100.4800,103.2100,99.4700
2026/06/26,98.3400,8.8200,+9.85,27314851,90.4400,98.9200,90.0000
2026/06/25,89.5200,4.2800,-4.56,23735598,91.7000,92.0600,89.3900
2026/06/24,93.8000,2.1400,-2.23,17246445,94.0000,96.9900,93.4200
2026/06/23,95.9400,2.9300,+3.15,32559715,95.1400,97.5000,94.6100
2026/06/22,93.0100,2.0300,-2.14,24940905,93.3000,97.4400,91.4800
2026/06/18,95.0400,0.4400,-0.46,36337231,95.3100,96.2413,92.4500
2026/06/17,95.4800,5.8500,-5.77,32165614,100.6800,102.8900,95.0900
2026/06/16,101.3300,2.8200,-2.71,17198406,102.9000,105.6644,101.2000
2026/06/15,104.1500,2.0000,+1.96,23017970,104.8000,107.1800,103.3500
2026/06/12,102.1500,0.9300,-0.90,26049350,103.3800,103.4500,98.4200
2026/06/11,103.0800,2.9800,-2.81,28321516,103.0250,105.1200,101.3300
2026/06/10,106.0600,0.9100,-0.85,20052679,105.2800,109.7950,104.7300
2026/06/09,106.9700,7.2200,-6.32,35824771,110.3100,112.3900,103.0800
2026/06/08,114.1900,1.7400,+1.55,19737744,111.6850,115.3600,111.2000
2026/06/05,112.4500,6.9100,-5.79,31452022,119.1900,121.2000,111.5620
2026/06/04,119.3600,1.4600,+1.24,28143982,121.9400,124.8000,119.3600
2026/06/03,117.9000,9.7500,-7.64,34316415,127.9900,128.0786,117.3400
2026/06/02,127.6500,8.2100,-6.04,41371643,129.9000,132.7399,124.1200
2026/06/01,135.8600,11.4900,+9.24,68788965,135.7700,139.2000,131.6100
2026/05/29,124.3700,15.6400,+14.38,68243445,118.4800,124.7400,116.2900
2026/05/28,108.7300,6.6100,+6.47,39117684,107.0000,110.1600,104.6000
2026/05/27,102.1200,2.2000,+2.20,28633258,99.2100,105.4000,98.5500
2026/05/26,99.9200,2.2100,-2.16,23589915,100.5550,102.5400,98.7200
2026/05/22,102.1300,2.4400,+2.45,23646295,102.1800,104.5900,99.4328
2026/05/21,99.6900,3.6100,-3.49,26474043,100.9900,101.5900,98.1100
2026/05/20,103.3000,1.4700,+1.44,30037715,100.7500,103.3500,97.5000
2026/05/19,101.8300,1.5900,-1.54,55624414,110.1400,110.8300,100.7723
2026/05/18,103.4200,8.3500,+8.78,51220734,98.8600,104.6800,97.8500
2026/05/15,95.0700,4.5700,+5.05,34569746,92.0900,96.6700,91.9700
2026/05/14,90.5000,3.4500,+3.96,25571514,87.3200,92.0000,85.4400
2026/05/13,87.0500,1.9500,-2.19,22107022,88.5800,88.5800,86.0104
2026/05/12,89.0000,2.4900,-2.72,22354585,92.4650,92.7700,88.6850
2026/05/11,91.4900,0.3100,+0.34,21402857,91.0400,94.7500,90.4700
2026/05/08,91.1800,2.4100,-2.58,24699020,91.1300,91.8500,88.9900
2026/05/07,93.5900,4.5400,+5.10,27960738,92.1700,95.5600,91.8900
2026/05/06,89.0500,2.9600,-3.22,23117901,91.6000,91.6800,88.2100
2026/05/05,92.0100,0.0400,+0.04,22756773,92.2500,92.8877,89.1400
2026/05/04,91.9700,0.8100,+0.89,21863487,91.2700,95.6200,91.1000
2026/05/01,91.1600,2.8500,+3.23,22911831,90.9300,92.6049,87.8700
2026/04/30,88.3100,0.5800,-0.65,22152196,87.9500,88.7100,85.8800
2026/04/29,88.8900,1.6000,-1.77,18646580,89.0600,89.3000,87.1000
2026/04/28,90.4900,0.0400,+0.04,20990419,91.1000,93.0000,90.1335
2026/04/27,90.4500,0.2800,+0.31,32789128,89.0600,94.0300,87.8100
2026/04/24,90.1700,5.3900,+6.36,39011787,85.7800,90.3900,84.9300
2026/04/23,84.7800,18.2900,-17.75,84103053,87.2500,90.0200,83.5800
2026/04/22,103.0700,2.9300,+2.93,35714825,101.5000,104.3100,101.0300
2026/04/21,100.1400,0.4200,+0.42,24147878,100.3500,104.5000,99.0600
2026/04/20,99.7200,3.0600,+3.17,20306567,97.4400,100.6697,96.8100
2026/04/17,96.6600,0.2200,+0.23,17754618,97.9500,98.8248,96.1300
2026/04/16,96.4400,2.2500,+2.39,21971842,97.6100,99.3889,95.3720
2026/04/15,94.1900,6.4000,+7.29,25835933,90.1950,94.8300,89.2000
2026/04/14,87.7900,1.2700,-1.43,25132668,90.7400,92.4000,87.1150
2026/04/13,89.0600,6.0600,+7.30,31675449,84.7700,89.2400,84.1806
2026/04/10,83.0000,6.8100,-7.58,58715602,88.9100,88.9100,81.2400
2026/04/09,89.8100,7.6600,-7.86,42131524,96.5000,97.1600,88.6611
2026/04/08,97.4700,3.0800,-3.06,19796897,104.7600,105.5800,96.9600
