일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,219.3400,5.4400,+2.54,67872898,218.3750,219.9050,217.1450
2026/09/16,213.9000,1.7300,+0.82,96563590,214.1400,216.7600,212.5000
2026/09/15,212.1700,1.2100,+0.57,88059658,213.3750,213.9400,211.1600
2026/09/14,210.9600,7.3300,-3.36,132267244,211.2400,212.7700,208.9300
2026/09/11,218.2900,0.0700,-0.03,89060140,221.2350,222.0000,218.1500
2026/09/10,218.3600,5.0600,-2.26,105768001,220.5250,220.9900,217.2000
2026/09/09,223.4200,2.0577,-0.91,83048303,225.0232,225.9272,223.2102
2026/09/08,225.4777,4.6248,-2.01,123103150,232.8494,233.4488,224.5987
2026/09/04,230.1025,1.9078,+0.84,135503875,230.8317,234.4976,229.3733
2026/09/03,228.1947,4.0355,+1.80,134832315,225.7674,230.1425,224.4988
2026/09/02,224.1592,6.9622,+3.21,157280478,218.5405,227.6952,218.2358
2026/09/01,217.1970,3.3362,-1.51,109878998,216.5077,220.1636,214.8596
2026/08/31,220.5332,3.2264,+1.48,124842198,218.6254,221.0526,215.9683
2026/08/28,217.3068,10.4184,-4.57,195334746,227.1059,229.0038,216.5677
2026/08/27,227.7252,18.2995,+8.74,299244293,222.6109,230.2124,220.6531
2026/08/26,209.4257,3.3862,-1.59,180101305,212.4023,213.3613,208.9961
2026/08/25,212.8119,4.5649,+2.19,122445879,210.7891,214.4900,209.8752
2026/08/24,208.2470,6.2330,-2.91,135338558,215.2891,215.3490,207.0184
2026/08/21,214.4800,2.1276,-0.98,98979932,218.1759,218.4955,214.2602
2026/08/20,216.6076,0.7092,-0.33,92560494,218.1159,219.6143,215.4190
2026/08/19,217.3168,2.1776,-0.99,96905627,221.4222,222.6209,216.5177
2026/08/18,219.4944,5.2641,-2.34,103243644,220.2036,221.3923,218.4458
2026/08/17,224.7585,0.1498,-0.07,93783509,225.7274,227.6652,224.6087
2026/08/14,224.9083,0.1399,-0.06,75765555,226.5115,227.2357,224.2491
2026/08/13,225.0482,1.2087,+0.54,98977855,224.8035,226.9760,223.4600
2026/08/12,223.8395,6.5826,+3.03,108905361,220.7929,224.8484,219.9539
2026/08/11,217.2569,0.0499,-0.02,101386469,221.9217,221.9516,215.9583
2026/08/10,217.3068,6.4029,-2.86,115976225,223.1503,223.8874,216.5277
2026/08/07,223.7097,4.9645,+2.27,105787681,221.2924,224.5088,220.4134
2026/08/06,218.7452,0.2298,-0.10,114068140,221.2824,223.3800,216.7575
2026/08/05,218.9750,7.2719,+3.43,158364410,216.6176,221.9716,216.1581
2026/08/04,211.7031,5.2941,+2.56,135072970,211.0638,212.8219,208.8163
2026/08/03,206.4090,5.8834,+2.93,128550566,197.4690,208.5067,196.6300
2026/07/31,200.5256,5.7036,+2.93,140117764,198.2187,201.7742,194.7321
2026/07/30,194.8220,5.0244,+2.65,129154509,193.2338,197.0295,191.3059
2026/07/29,189.7976,6.9922,-3.55,147846059,195.6261,196.8537,189.7976
2026/07/28,196.7898,0.4994,+0.25,134261561,194.7820,198.4779,192.5246
2026/07/27,196.2904,10.3184,-4.99,154526415,207.9673,208.5167,195.2216
2026/07/24,206.6088,1.9179,-0.92,114965304,207.2181,211.6730,204.5811
2026/07/23,208.5267,3.2963,-1.56,110628980,209.2209,210.6330,205.7298
2026/07/22,211.8230,4.7647,+2.30,137799617,205.5750,214.1504,204.7209
2026/07/21,207.0583,4.0055,+1.97,108807179,207.3080,208.4168,203.7820
2026/07/20,203.0528,0.4695,+0.23,88800794,205.6399,207.5078,202.0539
2026/07/17,202.5833,4.5849,-2.21,144443357,202.4135,206.4140,197.7487
2026/07/16,207.1682,5.0943,-2.40,123123692,209.9351,210.8441,205.6149
2026/07/15,212.2625,0.6992,+0.33,124936795,211.7231,213.5710,205.8097
2026/07/14,211.5633,8.2608,+4.06,124518823,207.9673,212.3124,203.5722
2026/07/13,203.3025,7.4217,-3.52,121546873,208.3069,210.3346,202.7731
2026/07/10,210.7242,8.1709,+4.03,148587079,201.7742,210.7642,201.6943
2026/07/09,202.5533,1.3386,-0.66,132185105,204.2315,204.3563,198.7376
2026/07/08,203.8919,7.1820,+3.65,147584090,194.9618,204.9307,194.8420
2026/07/07,196.7099,1.3785,+0.71,124293499,192.1550,198.1882,190.9264
2026/07/06,195.3314,0.7192,+0.37,109120981,194.2027,197.3292,193.7732
2026/07/02,194.6122,2.7470,-1.39,142544873,196.9197,199.8314,192.1350
2026/07/01,197.3592,2.5072,-1.25,146311132,195.9807,199.6266,193.2338
2026/06/30,199.8664,5.1143,+2.63,166662947,197.0195,200.4058,194.8919
2026/06/29,194.7521,2.4373,+1.27,149002267,193.6333,195.9607,189.5879
2026/06/26,192.3148,3.2064,-1.64,179504783,192.9041,195.3314,191.0063
2026/06/25,195.5212,3.2564,-1.64,150373722,199.8564,200.5756,191.9153
2026/06/24,198.7776,1.0388,-0.52,151980575,199.8963,201.4446,196.3603
2026/06/23,199.8164,8.6004,-4.13,153667953,201.9440,203.5422,199.7765
2026/06/22,208.4168,2.0377,-0.97,122177980,211.2037,213.7508,207.4878
2026/06/18,210.4545,6.0332,+2.95,241541989,207.0983,211.1537,206.2692
2026/06/17,204.4213,2.7569,-1.33,128507108,208.2969,208.9762,202.8530
2026/06/16,207.1782,5.0343,-2.37,125834748,210.9440,211.2536,207.0583
2026/06/15,212.2125,7.2518,+3.54,150104462,208.6865,212.4729,208.1071
2026/06/12,204.9607,0.3197,+0.16,112471025,204.6310,206.8386,203.2111
2026/06/11,204.6410,4.4450,+2.22,158820721,201.2648,205.4301,199.3170
2026/06/10,200.1960,7.7613,-3.73,161927576,204.2015,206.9884,199.6965
2026/06/09,207.9573,0.4495,-0.22,181164941,210.3796,211.1637,199.1172
2026/06/08,208.4068,3.5360,+1.73,138527672,209.9451,210.2348,205.7698
2026/06/05,204.8708,13.5448,-6.20,219901319,214.2902,214.6298,204.1016
2026/06/04,218.4156,4.1554,+1.94,169211283,213.6659,221.3523,210.7342
2026/06/03,214.2602,8.0516,-3.62,161274798,221.2144,222.3118,214.0208
2026/06/02,222.3118,1.5365,-0.69,193804887,226.6619,231.7503,220.8452
2026/06/01,223.8483,13.1898,+6.26,213337214,215.2380,224.3572,215.2081
2026/05/29,210.6585,3.1029,-1.45,290072150,214.0856,217.3631,210.6485
2026/05/28,213.7614,1.6462,+0.78,144325190,210.7932,215.0276,210.7383
2026/05/27,212.1152,2.2548,-1.05,167984270,213.6317,213.6616,208.3039
2026/05/26,214.3700,0.4689,-0.22,187630479,216.0462,217.6824,211.5165
2026/05/22,214.8389,4.1705,-1.90,169662636,220.4002,220.5060,214.3101
