일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,43.1900,1.4800,+3.55,6928858,41.9800,43.4400,41.9600
2026/09/16,41.7100,0.8200,-1.93,11669847,42.4700,42.7200,41.4700
2026/09/15,42.5300,0.9200,-2.12,8862135,42.7250,43.0000,42.4000
2026/09/14,43.4500,0.3800,+0.88,6564589,43.6600,43.7100,43.0701
2026/09/11,43.0700,0.9400,-2.14,11029063,43.1950,43.4951,42.7216
2026/09/10,44.0100,0.5500,-1.23,6580888,44.6000,44.8200,44.0100
2026/09/09,44.5600,0.6000,-1.33,8833554,45.0000,45.3950,44.5200
2026/09/08,45.1600,1.4400,-3.09,10353971,45.5800,45.9100,45.1450
2026/09/04,46.6000,0.9100,-1.92,6219243,46.3500,46.7400,46.0417
2026/09/03,47.5100,0.7400,+1.58,8769639,47.9900,48.0000,46.5650
2026/09/02,46.7700,1.6500,+3.66,13602634,46.0500,47.0050,45.9100
2026/09/01,45.1200,0.2100,-0.46,9355998,45.8000,46.1600,45.0650
2026/08/31,45.3300,0.2800,-0.61,7607222,45.2800,45.6100,44.9500
2026/08/28,45.6100,0.6500,-1.41,8504974,46.1700,46.2100,45.4050
2026/08/27,46.2600,0.9300,-1.97,13024424,45.9700,46.3300,45.7000
2026/08/26,47.1900,1.4700,-3.02,8877891,47.8000,48.0400,46.8700
2026/08/25,48.6600,1.7400,+3.71,15526741,47.8400,48.6600,47.5600
2026/08/24,46.9200,0.1800,+0.39,9674151,47.0900,47.3000,46.5650
2026/08/21,46.7400,0.6000,+1.30,10912622,46.3500,47.1650,46.3400
2026/08/20,46.1400,0.3400,-0.73,9669896,46.8900,46.9000,46.1100
2026/08/19,46.4800,0.7700,+1.68,19511352,46.0100,47.1950,45.8410
2026/08/18,45.7100,0.8300,+1.85,12089921,44.9100,46.0650,44.7600
2026/08/17,44.8800,0.4314,-0.95,14626376,45.1800,45.4500,44.6800
2026/08/14,45.3114,0.8195,-1.78,10992336,46.3037,46.4518,45.1732
2026/08/13,46.1309,0.3258,+0.71,10316998,45.3805,46.1951,45.1534
2026/08/12,45.8051,0.7702,-1.65,9685891,45.2917,45.9631,44.9856
2026/08/11,46.5753,0.5529,-1.17,7934715,46.8517,47.0690,46.3383
2026/08/10,47.1282,0.4641,+0.99,10315267,46.4074,47.1331,46.0717
2026/08/07,46.6641,1.2737,+2.81,12233671,46.5506,46.9011,46.1408
2026/08/06,45.3904,1.4219,+3.23,13288571,45.0349,45.4003,44.3635
2026/08/05,43.9685,0.2468,+0.56,22560187,44.2450,45.1435,43.8204
2026/08/04,43.7217,2.7746,-5.97,48085089,46.9850,48.5303,43.1293
2026/08/03,46.4963,0.0099,+0.02,12011159,46.4074,46.5999,45.6027
2026/07/31,46.4864,4.4729,-8.78,27140236,46.8024,46.9900,45.8545
2026/07/30,50.9593,0.0296,+0.06,10737086,50.0706,50.9692,49.8731
2026/07/29,50.9297,0.6122,+1.22,8824226,50.3570,51.4579,50.2780
2026/07/28,50.3175,1.2738,+2.60,9643259,49.3202,50.5841,49.3202
2026/07/27,49.0437,0.8886,+1.85,6892991,48.5550,49.3301,48.2045
