일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,40.6700,0.5300,+1.32,6244088,39.6000,40.9500,39.5000
2026/08/28,40.1400,2.3900,-5.62,11362449,42.0000,42.6700,39.5100
2026/08/27,42.5300,0.9300,+2.24,9621427,42.0000,43.8900,41.1000
2026/08/26,41.6000,2.6700,-6.03,18430445,44.9900,46.2000,41.0800
2026/08/25,44.2700,4.5800,+11.54,14125193,40.7600,44.8500,40.0600
2026/08/24,39.6900,2.4000,-5.70,7617028,41.1350,41.3000,39.4200
2026/08/21,42.0900,0.4300,+1.03,6545244,42.0400,43.6800,41.3900
2026/08/20,41.6600,1.2800,-2.98,6367798,42.3000,42.8300,40.7700
2026/08/19,42.9400,1.5800,+3.82,7707778,41.1500,43.0200,40.3000
2026/08/18,41.3600,2.5200,-5.74,7743764,42.0700,42.9900,41.1700
2026/08/17,43.8800,0.5000,-1.13,6159437,44.1000,44.6580,43.5000
2026/08/14,44.3800,2.0700,-4.46,8008228,46.5100,47.2600,44.3150
2026/08/13,46.4500,1.3200,+2.92,9169084,44.9200,47.7200,44.3800
2026/08/12,45.1300,1.8800,-4.00,8916254,47.9200,48.1900,44.5100
2026/08/11,47.0100,2.5200,+5.66,10907601,45.0000,47.4100,44.2700
2026/08/10,44.4900,3.9300,-8.12,14239371,47.2300,47.4500,44.1300
2026/08/07,48.4200,6.2300,+14.77,22102724,44.2900,49.4800,43.8500
2026/08/06,42.1900,0.8000,-1.86,10883498,43.3400,44.0300,41.6002
2026/08/05,42.9900,0.3400,-0.78,5182834,43.0300,44.1600,42.4200
2026/08/04,43.3300,2.1100,+5.12,8748129,42.1100,44.2400,41.7000
2026/08/03,41.2200,2.3900,+6.16,8476740,38.8000,42.0500,38.0100
2026/07/31,38.8300,2.2600,-5.50,8814178,42.0400,42.4800,38.8300
2026/07/30,41.0900,4.2500,+11.54,10050479,38.1500,41.5700,37.6000
2026/07/29,36.8400,2.7400,-6.92,8546049,38.9900,39.4500,36.6102
2026/07/28,39.5800,2.2300,-5.33,8701117,40.3900,40.6537,37.8000
2026/07/27,41.8100,1.5600,+3.88,7973402,40.8000,42.6350,40.1000
2026/07/24,40.2500,3.7500,-8.52,10207341,43.5900,43.6100,40.1500
2026/07/23,44.0000,0.5000,-1.12,8369818,43.0800,44.5900,42.2400
2026/07/22,44.5000,0.3700,+0.84,10547472,45.2000,47.5100,44.0810
2026/07/21,44.1300,2.6200,+6.31,9729730,42.4000,44.1900,42.2650
2026/07/20,41.5100,0.4000,+0.97,6688228,41.2500,42.8100,40.7500
2026/07/17,41.1100,0.5900,-1.41,9200961,40.4800,42.5900,39.5300
2026/07/16,41.7000,3.9900,-8.73,11488140,44.3000,44.3596,40.9800
2026/07/15,45.6900,0.5500,-1.19,6894968,46.7900,47.5200,44.1600
2026/07/14,46.2400,0.4300,+0.94,6568276,46.9600,47.4172,45.4400
2026/07/13,45.8100,3.0400,-6.22,10094470,47.7200,48.1200,45.0708
2026/07/10,48.8500,0.4200,-0.85,6619400,49.4350,50.6500,47.6300
2026/07/09,49.2700,1.9900,+4.21,7277223,47.8500,50.2300,47.2900
2026/07/08,47.2800,0.6200,-1.29,7136721,47.5350,48.6100,45.8300
2026/07/07,47.9000,3.9400,-7.60,11251498,50.8500,51.3840,46.9500
2026/07/06,51.8400,0.5200,-0.99,8369724,51.4000,53.0800,50.2500
2026/07/02,52.3600,0.0900,-0.17,9675586,52.8000,56.3400,50.6900
2026/07/01,52.4500,0.1200,+0.23,9716938,53.6300,54.3150,51.5101
2026/06/30,52.3300,0.4300,-0.82,7265483,53.0850,53.2300,50.7600
2026/06/29,52.7600,2.7600,+5.52,9071059,51.4000,53.5800,50.5100
2026/06/26,50.0000,1.0100,-1.98,22895968,50.0000,51.3500,49.5640
2026/06/25,51.0100,3.0500,-5.64,9721837,55.5600,55.7999,50.4300
2026/06/24,54.0600,3.1300,-5.47,9428992,56.6900,56.6900,52.8700
2026/06/23,57.1900,1.2100,-2.07,9311751,55.8800,61.3000,55.3900
2026/06/22,58.4000,2.7700,-4.53,8305080,59.1700,59.8799,57.2500
2026/06/18,61.1700,2.3500,+4.00,14443988,59.8300,63.0000,58.5600
2026/06/17,58.8200,1.3700,+2.38,10794565,57.0200,61.6900,56.8329
2026/06/16,57.4500,3.2900,-5.42,8810862,59.9400,61.9500,57.3250
2026/06/15,60.7400,3.2500,+5.65,9642949,60.4800,61.9800,59.8100
2026/06/12,57.4900,0.3700,-0.64,8173141,58.0500,58.5800,55.8800
2026/06/11,57.8600,3.8400,+7.11,10687843,54.1500,58.2400,53.4200
2026/06/10,54.0200,2.4600,-4.36,8300423,55.4300,57.8800,53.8300
2026/06/09,56.4800,2.4600,-4.17,12403289,59.0100,59.8800,53.0101
2026/06/08,58.9400,0.8500,+1.46,8918034,60.1000,60.3505,58.0000
2026/06/05,58.0900,7.3000,-11.16,18896461,64.8000,64.8100,56.6250
2026/06/04,65.3900,0.1800,+0.28,11973862,64.5100,66.5697,63.3300
2026/06/03,65.2100,8.2600,-11.24,22785221,70.7200,70.8500,64.0500
2026/06/02,73.4700,6.5800,+9.84,24065061,67.1000,73.8600,65.6600
2026/06/01,66.8900,0.0100,+0.01,18846349,65.9000,70.5999,64.5700
2026/05/29,66.8800,1.2100,-1.78,27669420,68.0900,70.0100,64.2842
2026/05/28,68.0900,0.2700,+0.40,12231102,66.4800,70.9780,65.6200
2026/05/27,67.8200,0.8800,-1.28,10469933,69.3400,69.5200,65.3700
2026/05/26,68.7000,2.8200,+4.28,18505654,71.8700,73.2900,68.0800
2026/05/22,65.8800,0.7900,+1.21,11410669,66.8200,69.7167,65.1300
2026/05/21,65.0900,2.5100,+4.01,10385904,61.9200,65.2900,61.1000
2026/05/20,62.5800,6.7000,+11.99,13890218,57.5600,62.9000,56.6400
2026/05/19,55.8800,2.6800,-4.58,11768833,56.7300,57.7700,53.9550
2026/05/18,58.5600,3.6900,-5.93,14527876,62.4500,63.0000,56.8000
2026/05/15,62.2500,4.9600,-7.38,11851941,64.8000,65.0000,61.7300
2026/05/14,67.2100,2.4500,-3.52,14828076,67.3900,67.6999,64.6600
2026/05/13,69.6600,3.9700,-5.39,14287262,73.3700,73.4000,68.1001
2026/05/12,73.6300,4.5000,-5.76,15654932,75.7300,76.6800,70.3001
2026/05/11,78.1300,5.6200,+7.75,17333297,71.4100,79.6500,69.2200
2026/05/08,72.5100,0.6800,+0.95,10013595,73.7000,74.0000,70.0000
2026/05/07,71.8300,7.7900,-9.78,14637248,78.0000,79.5000,70.8700
2026/05/06,79.6200,11.2400,+16.44,23036776,71.2100,80.0800,69.2500
2026/05/05,68.3800,0.2200,-0.32,8280364,69.0100,69.2400,66.0800
2026/05/04,68.6000,1.8000,-2.56,8854527,70.4540,72.3000,68.5000
2026/05/01,70.4000,2.1000,-2.90,10510636,71.6800,71.6800,68.4700
2026/04/30,72.5000,7.5200,+11.57,14651903,65.5400,72.8400,65.2610
2026/04/29,64.9800,4.1100,-5.95,16156521,70.5400,70.6000,63.2000
2026/04/28,69.0900,6.8400,-9.01,14842375,71.5100,72.8700,68.7900
2026/04/27,75.9300,4.9300,+6.94,18897069,71.0000,76.2000,70.3000
2026/04/24,71.0000,5.4600,-7.14,23265286,81.2900,81.5000,70.8800
2026/04/23,76.4600,4.0500,+5.59,31945458,77.7300,80.6400,73.6600
2026/04/22,72.4100,9.8000,+15.65,18164376,65.1900,72.6300,64.7500
2026/04/21,62.6100,5.5200,-8.10,15258402,68.4100,69.0000,62.2200
2026/04/20,68.1300,1.3200,+1.98,12882957,65.5300,68.3000,63.7500
2026/04/17,66.8100,2.6000,+4.05,24357202,66.0600,74.2100,64.9500
2026/04/16,64.2100,0.8600,+1.36,18340953,67.6100,68.7600,60.8100
2026/04/15,63.3500,4.7700,+8.14,21905536,62.5300,66.6200,61.1100
2026/04/14,58.5800,4.6400,+8.60,18440867,59.0900,61.6100,56.2200
2026/04/13,53.9400,3.6900,+7.34,8487341,49.0000,53.9600,48.1000
2026/04/10,50.2500,2.5000,+5.24,7166936,48.8600,52.1500,48.5500
2026/04/09,47.7500,2.4600,-4.90,5966079,49.5300,50.3600,47.3950
2026/04/08,50.2100,3.6200,+7.77,8582363,50.5200,51.3800,48.0000
2026/04/07,46.5900,2.1700,-4.45,6855147,47.4000,47.9400,44.9100
2026/04/06,48.7600,0.6300,+1.31,4911162,48.1000,49.8500,47.9800
2026/04/02,48.1300,0.0600,+0.12,5533365,45.9500,49.0500,45.3600
2026/04/01,48.0700,1.5200,-3.07,8033125,51.0800,51.8450,47.9200
2026/03/31,49.5900,4.0100,+8.80,9401210,46.0200,50.0000,45.6001
2026/03/30,45.5800,4.6500,-9.26,10856104,50.9400,51.9700,44.8800
2026/03/27,50.2300,1.5800,-3.05,6419401,51.5200,52.6351,50.1500
2026/03/26,51.8100,3.4600,-6.26,7246325,53.6100,54.8750,51.1000
2026/03/25,55.2700,0.3100,+0.56,6012039,56.4600,57.6500,54.4300
2026/03/24,54.9600,1.3000,-2.31,7418550,55.4600,56.0800,53.3300
2026/03/23,56.2600,2.2900,+4.24,9233206,54.6000,57.2100,54.0200
2026/03/20,53.9700,0.7200,-1.32,12577716,54.5700,57.3200,52.7500
2026/03/19,54.6900,2.0100,-3.54,9444902,55.6400,56.6861,53.5000
2026/03/18,56.7000,3.8300,-6.33,11984813,60.1900,61.7500,56.6800
2026/03/17,60.5300,0.8400,+1.41,19128898,64.9600,65.9700,59.2400
2026/03/16,59.6900,1.3200,+2.26,6306437,59.8400,60.3600,57.8270
2026/03/13,58.3700,1.2200,-2.05,5841009,61.0600,61.7300,57.9500
2026/03/12,59.5900,3.1700,-5.05,7154187,61.7400,63.2000,59.5100
2026/03/11,62.7600,1.3800,+2.25,6280488,61.8000,64.1000,61.1060
2026/03/10,61.3800,0.4000,-0.65,6064594,61.9100,63.4500,61.2600
2026/03/09,61.7800,3.5300,+6.06,8297548,57.1100,62.0600,56.4700
2026/03/06,58.2500,3.7800,-6.09,8836851,60.3100,62.8000,58.1850
2026/03/05,62.0300,3.6200,-5.51,9806842,64.4000,64.6207,59.0700
2026/03/04,65.6500,2.3500,+3.71,6168960,63.8000,66.1800,63.3000
2026/03/03,63.3000,1.3800,-2.13,5983547,61.9300,64.5150,60.0401
2026/03/02,64.6800,1.7300,+2.75,7190571,60.1200,64.8988,60.0000
2026/02/27,62.9500,6.1200,-8.86,8187084,65.7200,66.0800,62.0700
2026/02/26,69.0700,2.7500,+4.15,8025947,65.8400,69.9500,64.6000
2026/02/25,66.3200,1.2600,+1.94,6044277,66.4100,67.6700,64.7600
2026/02/24,65.0600,1.9700,+3.12,6697997,61.7050,65.3000,60.1200
2026/02/23,63.0900,0.7400,-1.16,6173606,61.6000,63.3400,60.8900
2026/02/20,63.8300,3.8100,-5.63,7083082,66.6600,67.7700,62.6800
2026/02/19,67.6400,0.2500,+0.37,5446632,66.2250,68.3600,64.3400
2026/02/18,67.3900,0.2500,-0.37,5217014,67.3800,70.1500,65.8000
2026/02/17,67.6400,1.9500,+2.97,6074399,64.6000,69.5850,62.8400
2026/02/13,65.6900,1.7700,+2.77,6085807,64.4200,68.1883,62.5600
2026/02/12,63.9200,2.3100,-3.49,7938479,67.1700,67.7100,63.6200
2026/02/11,66.2300,3.2400,-4.66,8984475,71.4400,71.5000,64.8900
2026/02/10,69.4700,5.5800,-7.44,8060263,74.4800,76.3650,69.1300
2026/02/09,75.0500,3.9500,+5.56,8376071,69.3100,75.5000,68.6400
2026/02/06,71.1000,8.9600,+14.42,12709741,64.9800,72.1800,64.3100
2026/02/05,62.1400,6.0900,-8.93,11726124,66.5000,67.3799,61.6750
2026/02/04,68.2300,9.7700,-12.53,19015112,77.2000,77.2600,64.0000
2026/02/03,78.0000,4.3800,+5.95,10640108,75.4800,79.1799,74.0301
2026/02/02,73.6200,6.0000,-7.54,11421895,78.2500,78.3800,73.2900
2026/01/30,79.6200,6.4200,-7.46,10751843,85.1500,88.6800,78.9100
2026/01/29,86.0400,8.3500,-8.85,14347339,93.9500,93.9500,83.5000
2026/01/28,94.3900,9.1200,+10.70,16371951,86.7300,95.1000,85.6000
2026/01/27,85.2700,2.9600,+3.60,10548991,82.8100,86.8500,81.2100
2026/01/26,82.3100,5.3200,-6.07,8698057,86.1800,86.8100,81.1300
2026/01/23,87.6300,3.3000,-3.63,9368050,91.3900,91.3900,86.1700
2026/01/22,90.9300,0.1500,+0.17,10120768,92.4600,93.6000,89.8800
2026/01/21,90.7800,0.8500,+0.95,24269698,96.3900,100.2000,86.0200
2026/01/20,89.9300,5.0200,-5.29,12557748,90.8350,97.0000,88.9300
2026/01/16,94.9500,3.5000,+3.83,15411294,92.1000,96.7000,89.3039
2026/01/15,91.4500,4.5200,-4.71,11272213,97.8000,99.2899,91.3800
2026/01/14,95.9700,1.1200,-1.15,11511182,94.7700,97.0800,91.5000
2026/01/13,97.0900,5.4100,-5.28,11145227,105.7500,107.6000,96.6000
2026/01/12,102.5000,2.8100,-2.67,12074885,103.3300,105.9000,100.3700
