일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,149.1300,1.7200,-1.14,16163033,149.3100,151.2600,147.7500
2026/08/28,150.8500,1.0900,-0.72,17799963,153.6000,153.9900,149.7100
2026/08/27,151.9400,3.0700,+2.06,30251433,152.1060,153.8300,147.5200
2026/08/26,148.8700,4.1100,+2.84,18426066,147.0000,151.6300,146.8250
2026/08/25,144.7600,2.3100,+1.62,13329370,143.3000,146.3350,142.5100
2026/08/24,142.4500,4.0200,-2.74,14158571,145.1200,145.1200,141.2500
2026/08/21,146.4700,4.4000,+3.10,19635031,143.7150,148.3500,142.6000
2026/08/20,142.0700,1.7400,-1.21,15184406,144.3000,145.9200,141.0200
2026/08/19,143.8100,1.0200,+0.71,26552896,142.6950,146.0800,137.4300
2026/08/18,142.7900,3.8600,-2.63,19152301,143.2500,146.0000,142.3500
2026/08/17,146.6500,3.8700,-2.57,20667953,148.4500,150.4000,145.5000
2026/08/14,150.5200,5.7000,-3.65,21905468,155.8400,156.3900,148.8001
2026/08/13,156.2200,2.9400,+1.92,25739974,151.9800,159.2600,151.9100
2026/08/12,153.2800,7.8000,+5.36,43559358,152.8100,154.8900,147.8900
2026/08/11,145.4800,5.5700,-3.69,28761753,151.2000,151.9900,144.2400
2026/08/10,151.0500,4.0300,+2.74,24265023,148.2600,151.9900,146.6200
2026/08/07,147.0200,3.5500,+2.47,22874018,145.3200,147.1600,142.3400
2026/08/06,143.4700,0.9200,-0.64,23073334,139.2500,146.5800,138.7200
2026/08/05,144.3900,1.3500,-0.93,23524074,145.0000,146.3899,142.5000
2026/08/04,145.7400,3.8900,+2.74,43723491,141.0100,148.7000,141.0100
2026/08/03,141.8500,11.9800,+9.22,49696896,131.9200,143.0700,130.2100
2026/07/31,129.8700,2.3100,+1.81,34438662,130.0700,132.4000,125.7000
2026/07/30,127.5600,9.8200,+8.34,41338393,122.8700,128.3400,121.5800
2026/07/29,117.7400,2.2200,-1.85,28081771,119.4200,121.9200,116.2000
2026/07/28,119.9600,0.0600,+0.05,32665418,118.1800,122.3300,114.5000
2026/07/27,119.9000,4.9100,+4.27,36916623,118.0000,121.9900,116.8000
2026/07/24,114.9900,5.0500,-4.21,46405702,122.4700,123.0800,114.7500
2026/07/23,120.0400,5.8000,-4.61,30900642,123.9600,124.7000,119.4400
2026/07/22,125.8400,1.2100,-0.95,21096693,126.1800,128.8400,124.7000
2026/07/21,127.0500,5.6700,+4.67,27748087,122.8100,127.4200,122.2100
2026/07/20,121.3800,5.0300,-3.98,36793230,124.2700,125.4897,120.0300
2026/07/17,126.4100,2.2000,+1.77,39917140,121.7000,128.4350,121.5000
2026/07/16,124.2100,8.2800,-6.25,54780940,131.4750,131.7800,123.6600
2026/07/15,132.4900,4.5500,+3.56,48520434,130.5600,133.9000,128.8400
2026/07/14,127.9400,3.6000,-2.74,52670410,132.0000,132.7600,127.6000
2026/07/13,131.5400,9.1000,-6.47,56690274,139.0300,139.6500,131.3500
2026/07/10,140.6400,3.0800,-2.14,29843309,145.6500,145.6800,139.2600
2026/07/09,144.2200,3.7300,+2.65,35221882,141.4200,149.0700,140.9400
2026/07/08,140.4900,1.1100,-0.78,34607304,139.0550,141.8400,137.5450
2026/07/07,141.6000,2.1600,-1.50,47199976,143.7200,145.5600,137.5500
