일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,382.6000,11.0100,+2.96,8807528,370.0000,383.7300,370.0000
2026/08/28,371.5900,11.2600,-2.94,5845766,377.2600,378.5200,355.5000
2026/08/27,382.8500,43.5400,+12.83,7308818,358.5600,387.3325,356.6600
2026/08/26,339.3100,0.5900,-0.17,4588323,330.4550,342.2500,328.0000
2026/08/25,339.9000,11.0000,-3.13,4732159,353.7700,353.7700,335.5100
2026/08/24,350.9000,6.9700,-1.95,5465846,356.0600,357.8700,347.0466
2026/08/21,357.8700,8.3100,+2.38,5137358,352.4000,360.4900,343.0100
2026/08/20,349.5600,10.2000,-2.84,4736223,354.1200,360.7000,347.6800
2026/08/19,359.7600,14.3800,-3.84,5286090,375.2550,376.4300,351.4600
2026/08/18,374.1400,1.6200,-0.43,4946045,370.3400,378.0400,368.0000
2026/08/17,375.7600,8.5100,-2.21,5088770,383.2500,386.0000,372.3000
2026/08/14,384.2700,11.7300,-2.96,4353468,396.7600,397.3061,380.8455
2026/08/13,396.0000,8.9900,+2.32,4593415,394.1150,398.8800,387.3500
2026/08/12,387.0100,3.2100,+0.84,5492061,380.9000,389.2500,376.2200
2026/08/11,383.8000,1.2400,-0.32,6039681,384.2000,387.2000,375.9300
2026/08/10,385.0400,21.1800,+5.82,5828043,365.3800,385.1699,362.9500
2026/08/07,363.8600,4.3700,+1.22,4811281,365.5000,370.5000,359.1500
2026/08/06,359.4900,3.1700,-0.87,5684184,350.1300,361.4700,349.0000
2026/08/05,362.6600,3.6800,-1.00,5607463,373.8700,376.9800,362.2200
2026/08/04,366.3400,19.2100,+5.53,8186943,351.6000,367.5000,349.0700
2026/08/03,347.1300,15.3000,+4.61,7306691,336.4900,347.7000,330.0000
2026/07/31,331.8300,6.1500,+1.89,5027744,332.3350,333.9799,319.4800
2026/07/30,325.6800,11.5300,+3.67,6861986,316.0300,326.2950,313.0450
2026/07/29,314.1500,4.8500,-1.52,6343662,319.3800,322.1100,310.4600
2026/07/28,319.0000,1.6800,+0.53,6511297,317.5100,323.3950,308.5400
2026/07/27,317.3200,6.4700,-2.00,5224825,331.5100,331.8100,316.7000
2026/07/24,323.7900,1.8400,-0.57,5134255,328.0900,330.0000,321.6900
2026/07/23,325.6300,9.6500,-2.88,5938234,335.5800,336.5700,321.8700
2026/07/22,335.2800,6.8700,-2.01,6338052,342.9750,344.1900,328.6400
2026/07/21,342.1500,6.5100,-1.87,6738061,349.4350,352.0000,334.0300
2026/07/20,348.6600,10.0200,-2.79,5567174,354.7200,366.3050,348.3600
2026/07/17,358.6800,4.6900,+1.32,7802725,347.0000,368.8000,345.0410
2026/07/16,353.9900,0.0300,-0.01,5883952,357.0600,360.4400,347.0400
2026/07/15,354.0200,1.1300,+0.32,6703793,356.8050,362.7100,353.1116
2026/07/14,352.8900,22.5900,+6.84,6013223,330.8000,353.6799,330.2900
2026/07/13,330.3000,4.3900,+1.35,5374836,325.1050,331.0800,316.2500
2026/07/10,325.9100,12.4000,-3.67,4679165,338.4800,340.1300,323.8500
2026/07/09,338.3100,17.7200,+5.53,8537359,318.3400,338.3700,318.3400
2026/07/08,320.5900,16.4500,-4.88,9443667,336.7980,336.7980,314.9500
2026/07/07,337.0400,20.4900,-5.73,8775683,359.8700,363.0100,336.0000
2026/07/06,357.5300,9.4700,+2.72,8752651,338.9600,368.1700,337.6920
2026/07/02,348.0600,3.9800,-1.13,7699628,351.4900,357.3795,346.9000
2026/07/01,352.0400,11.0200,+3.23,7265469,345.5450,358.1000,341.0000
2026/06/30,341.0200,9.0200,+2.72,9634233,327.5500,342.4800,327.3500
2026/06/29,332.0000,27.8000,+9.14,10334725,309.8300,332.8800,305.3300
2026/06/26,304.2000,11.1100,+3.79,8269777,295.1500,306.2400,290.0000
2026/06/25,293.0900,7.8300,+2.74,8963636,289.0100,295.5400,285.2700
2026/06/24,285.2600,5.6550,-1.94,4895677,289.6200,291.0000,284.2800
2026/06/23,290.9150,4.5150,+1.58,5430451,285.7200,292.1403,282.5200
2026/06/22,286.4000,1.3800,-0.48,5855397,287.9900,295.7500,284.2600
2026/06/18,287.7800,5.6500,+2.00,12194739,285.6000,288.8800,276.4600
2026/06/17,282.1300,2.2300,+0.80,5713782,279.4600,284.3200,276.7050
2026/06/16,279.9000,4.6400,-1.63,5017093,283.2000,283.6400,275.0600
2026/06/15,284.5400,4.9200,+1.76,7394061,280.5500,285.1200,274.3300
2026/06/12,279.6200,0.0900,+0.03,6774241,276.9350,281.9800,271.4900
2026/06/11,279.5300,16.3100,+6.20,9672353,260.9950,279.9500,258.1000
2026/06/10,263.2200,2.7000,+1.04,6495469,258.8100,266.7200,254.4300
2026/06/09,260.5200,5.8100,-2.18,7662884,265.3000,266.4400,251.1500
2026/06/08,266.3300,5.7200,-2.10,7009759,269.6300,273.0500,264.4200
2026/06/05,272.0500,7.2000,-2.58,7795476,278.9900,280.6400,269.4000
2026/06/04,279.2500,1.1800,-0.42,9832316,269.8550,280.7200,269.0000
2026/06/03,280.4300,16.7500,-5.64,14716915,285.0000,288.0000,275.8500
2026/06/02,297.1800,3.3000,-1.10,20783728,287.4600,299.3300,287.2700
2026/06/01,300.4800,18.7900,+6.67,13714483,285.4250,302.9500,283.8000
2026/05/29,281.6900,23.9200,+9.28,14998907,256.3150,283.7100,256.0100
2026/05/28,257.7700,9.3000,+3.74,5668909,249.2300,259.0000,248.4100
2026/05/27,248.4700,8.2800,-3.22,8320886,245.6180,251.6400,243.0401
2026/05/26,256.7500,3.8300,-1.47,7172823,258.1700,259.8400,250.7700
2026/05/22,260.5800,7.6600,+3.03,6629104,251.1200,261.4120,249.5000
2026/05/21,252.9200,6.2600,+2.54,6323606,241.3350,253.1000,241.0000
2026/05/20,246.6600,6.5300,+2.72,8698919,236.2050,250.0000,235.2620
2026/05/19,240.1300,7.4200,-3.00,11030247,246.9600,248.6000,239.6900
2026/05/18,247.5500,4.7200,+1.94,8734865,238.9050,248.8499,235.8101
2026/05/15,242.8300,4.6200,+1.94,11551015,237.8250,245.8000,230.2600
2026/05/14,238.2100,10.4200,+4.57,10346650,227.5450,239.1500,225.3750
2026/05/13,227.7900,12.1900,+5.65,9337732,213.0400,228.8500,210.7700
2026/05/12,215.6000,1.9400,+0.91,8295243,213.6400,216.1600,210.7700
2026/05/11,213.6600,5.7800,+2.78,9404301,207.7900,214.3000,205.6500
2026/05/08,207.8800,11.3500,+5.78,11641798,194.8500,208.0900,193.4250
2026/05/07,196.5300,12.8500,+7.00,10556602,190.7700,199.0900,190.7700
2026/05/06,183.6800,0.3000,-0.16,5595572,180.4400,184.9800,179.1900
2026/05/05,183.9800,0.5800,-0.31,5150740,186.0000,186.2400,180.5200
2026/05/04,184.5600,3.4800,+1.92,4891118,181.6400,187.2700,180.9450
2026/05/01,181.0800,1.7600,+0.98,4972074,182.0000,183.0400,177.4100
2026/04/30,179.3200,2.2200,-1.22,5771507,180.8500,180.8500,173.1100
2026/04/29,181.5400,0.5500,+0.30,4157408,179.6000,182.2500,177.8000
2026/04/28,180.9900,1.9100,-1.04,6451941,184.1100,186.0000,180.7400
2026/04/27,182.9000,4.3600,+2.44,7893753,176.8600,184.0200,176.5000
2026/04/24,178.5400,5.3300,+3.08,5887572,174.0000,179.1000,173.2200
2026/04/23,173.2100,7.9900,-4.41,6965193,173.3700,175.4900,169.6000
2026/04/22,181.2000,6.2400,+3.57,5903222,175.5000,181.5200,175.1500
2026/04/21,174.9600,5.4000,+3.18,5856290,170.4000,177.6300,169.5900
2026/04/20,169.5600,1.7100,+1.02,4859707,167.0050,170.5400,165.2000
2026/04/17,167.8500,0.8800,+0.53,7037338,170.4800,170.6200,166.7000
2026/04/16,166.9700,2.8600,+1.74,7222371,168.6000,170.2500,165.0000
2026/04/15,164.1100,2.5200,+1.56,7416216,164.4900,165.2299,161.6900
2026/04/14,161.5900,0.9200,-0.57,7415632,163.3700,165.6372,158.8300
2026/04/13,162.5100,6.7800,+4.35,8545573,155.5750,162.8000,154.8400
2026/04/10,155.7300,11.2600,-6.74,15592662,167.5950,167.5950,151.2800
2026/04/09,166.9900,6.7900,-3.91,10583735,174.1400,174.9800,164.3000
2026/04/08,173.7800,3.9100,+2.30,12257373,173.8950,179.2700,171.6300
2026/04/07,169.8700,7.9200,+4.89,8671274,161.5800,170.9800,160.2500
2026/04/06,161.9500,1.2600,-0.77,4814834,163.3700,164.0800,159.6650
2026/04/02,163.2100,2.5400,+1.58,4354267,159.9000,163.3100,157.5100
2026/04/01,160.6700,0.3500,+0.22,7643219,161.4450,161.7950,157.3000
2026/03/31,160.3200,5.9700,+3.87,7751550,155.0300,161.1200,155.0300
2026/03/30,154.3500,7.3300,+4.99,12198800,151.9450,159.1600,151.4650
2026/03/27,147.0200,9.3400,-5.97,11431350,147.5500,149.3700,143.5000
2026/03/26,156.3600,3.1400,+2.05,6081967,152.2400,159.3900,152.2001
2026/03/25,153.2200,3.9900,-2.54,6349987,159.7000,160.3100,152.7900
2026/03/24,157.2100,6.8400,-4.17,7143081,162.0900,162.8000,156.1400
2026/03/23,164.0500,1.1000,+0.68,7218791,164.4300,166.3500,162.4550
2026/03/20,162.9500,6.7900,-4.00,16455409,169.1900,169.1900,161.8900
2026/03/19,169.7400,0.8300,+0.49,6558167,168.8600,171.7000,168.0000
2026/03/18,168.9100,0.2800,-0.17,5789554,168.0500,171.8050,167.5000
2026/03/17,169.1900,1.7400,+1.04,5520394,167.9000,172.0250,167.5500
2026/03/16,167.4500,0.4350,+0.26,5985123,167.7400,168.2800,166.1500
2026/03/13,167.0150,1.1050,-0.66,6258637,168.9000,171.1700,165.8028
2026/03/12,168.1200,3.1900,+1.93,7961542,166.2800,168.7400,165.4300
2026/03/11,164.9300,0.6500,-0.39,5487235,166.6500,169.0800,163.3800
2026/03/10,165.5800,0.4800,+0.29,6846981,165.5000,167.0000,160.8316
2026/03/09,165.1000,0.0500,+0.03,9194273,164.0800,167.7600,163.4900
2026/03/06,165.0500,1.8900,+1.16,7202500,162.3200,165.3599,161.3100
2026/03/05,163.1600,4.6000,+2.90,9220461,159.1300,164.7000,158.4800
2026/03/04,158.5600,2.4700,+1.58,9541859,156.0600,160.2950,154.7500
2026/03/03,156.0900,5.9400,+3.96,10319535,149.0700,156.8300,147.8600
2026/03/02,150.1500,1.2300,+0.83,8281324,147.9000,151.8600,146.0100
2026/02/27,148.9200,0.4800,-0.32,9430627,147.1650,148.9900,143.6701
2026/02/26,149.4000,4.5600,+3.15,12124941,146.9100,151.2900,144.8100
2026/02/25,144.8400,3.1700,+2.24,11157854,142.7250,145.3600,140.3000
2026/02/24,141.6700,2.4700,-1.71,23692183,142.9300,147.5200,139.5706
2026/02/23,144.1400,4.5600,-3.07,20861538,147.7200,148.6300,143.3000
2026/02/20,148.7000,2.2900,-1.52,25857844,150.3550,158.1700,148.4000
2026/02/19,150.9900,1.3600,-0.89,13545796,152.4800,152.6797,148.1501
