일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,185.9000,0.3900,-0.21,25967100,184.4950,187.9400,183.7900
2026/08/28,186.2900,0.3600,+0.19,25060205,184.9500,188.3700,184.3800
2026/08/27,185.9300,8.4300,+4.75,40739283,178.7500,186.8600,178.0100
2026/08/26,177.5000,4.7700,+2.76,27924165,170.6000,178.4900,168.9000
2026/08/25,172.7300,3.1600,-1.80,24558542,176.6300,179.8700,172.2004
2026/08/24,175.8900,4.0500,-2.25,35115471,177.3900,178.7500,171.3100
2026/08/21,179.9400,5.9800,+3.44,41076203,173.9800,182.4400,172.5500
2026/08/20,173.9600,1.2300,-0.70,27018414,175.8800,176.4600,172.0300
2026/08/19,175.1900,3.6500,+2.13,36132642,172.6100,176.8200,169.7705
2026/08/18,171.5400,1.0100,-0.59,28082067,171.9700,174.9800,170.6100
2026/08/17,172.5500,1.4900,-0.86,24590889,174.0600,176.2750,172.3013
2026/08/14,174.0400,4.9700,-2.78,24065839,179.4800,180.1800,173.8000
2026/08/13,179.0100,7.9700,+4.66,36511162,173.4000,179.9100,172.3301
2026/08/12,171.0400,3.9000,-2.23,35220299,174.0700,175.0900,168.3400
2026/08/11,174.9400,0.2900,-0.17,43162454,174.1800,177.9400,172.7200
2026/08/10,175.2300,3.2200,+1.87,57402657,171.0100,179.6000,170.8700
2026/08/07,172.0100,16.0900,+10.32,77579878,160.0700,172.4100,159.9600
2026/08/06,155.9200,2.5100,-1.58,41751358,155.8700,158.0000,152.7000
2026/08/05,158.4300,4.2300,-2.60,63515884,162.0000,166.0800,158.2500
2026/08/04,162.6600,37.0100,+29.45,175034726,145.1450,164.5200,143.2800
2026/08/03,125.6500,2.5900,+2.10,77282940,126.7000,126.9650,123.6567
2026/07/31,123.0600,0.8000,+0.65,29085068,122.2900,123.3900,119.6200
2026/07/30,122.2600,0.7400,-0.60,27801632,121.1400,123.6699,120.2700
2026/07/29,123.0000,0.5300,-0.43,27207863,124.0000,127.2800,122.4500
