일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,170.8500,6.6600,+4.06,12750267,164.7900,171.3800,164.1900
2026/08/28,164.1900,0.5900,-0.36,7754515,164.5900,165.4900,161.9000
2026/08/27,164.7800,1.0600,+0.65,15074244,165.1550,166.9500,161.9234
2026/08/26,163.7200,3.1600,+1.97,10480308,160.1000,163.8700,159.8890
2026/08/25,160.5600,2.0300,+1.28,11424247,160.3400,161.7900,159.0800
2026/08/24,158.5300,2.2200,-1.38,10517619,159.3950,160.2400,156.2250
2026/08/21,160.7500,0.0100,+0.01,8523097,162.9200,163.3300,159.1700
2026/08/20,160.7400,1.1700,-0.72,8509930,163.1500,165.1100,159.4100
2026/08/19,161.9100,1.7200,+1.07,8099520,163.0250,166.4999,160.1900
2026/08/18,160.1900,1.9900,-1.23,11069527,157.8900,161.8100,156.7250
2026/08/17,162.1800,3.6100,-2.18,8967659,166.2500,166.3400,161.4500
2026/08/14,165.7900,1.0000,+0.61,5807737,165.6300,166.9650,163.1800
2026/08/13,164.7900,1.7200,+1.05,7716553,163.3400,166.7700,162.5100
2026/08/12,163.0700,0.3900,+0.24,7731711,166.8890,166.9400,161.0700
2026/08/11,162.6800,0.5100,+0.31,6326722,163.7500,164.6050,161.4300
2026/08/10,162.1700,5.6900,-3.39,9259983,168.1550,168.8700,162.0800
2026/08/07,167.8600,7.4700,+4.66,9723292,163.0700,167.9900,162.3000
2026/08/06,160.3900,2.8600,+1.82,7232783,155.4200,162.6000,155.2200
2026/08/05,157.5300,5.1400,-3.16,9725677,161.3000,162.8000,157.1000
2026/08/04,162.6700,11.1000,+7.32,16351486,156.9750,163.4800,155.3123
2026/08/03,151.5700,3.9600,+2.68,13700731,146.2000,151.6800,142.8900
2026/07/31,147.6100,3.9900,-2.63,13811248,152.9600,153.7300,146.1500
2026/07/30,151.6000,4.0800,-2.62,24336846,146.5500,154.1595,146.0000
2026/07/29,155.6800,7.2000,-4.42,19240744,162.5750,164.5600,155.0000
2026/07/28,162.8800,7.1600,-4.21,16147497,164.8960,167.9200,162.1600
2026/07/27,170.0400,3.0700,+1.84,12487074,169.7700,171.1900,165.2900
2026/07/24,166.9700,4.1400,-2.42,9997963,169.6900,171.1000,165.7700
2026/07/23,171.1100,4.5200,-2.57,10827502,171.1800,173.9495,168.3100
2026/07/22,175.6300,2.1300,+1.23,7777610,170.7100,178.6500,170.5950
2026/07/21,173.5000,3.1800,+1.87,13243154,175.4900,175.4900,170.1400
2026/07/20,170.3200,1.4600,-0.85,9649579,175.5500,176.2500,169.9000
2026/07/17,171.7800,1.1700,+0.69,16291099,166.6400,172.3900,164.7740
2026/07/16,170.6100,7.3700,-4.14,15951600,173.0800,173.9600,168.9900
2026/07/15,177.9800,0.1200,-0.07,9440875,180.0000,180.7100,174.7600
2026/07/14,178.1000,5.8800,-3.20,13090378,189.3300,189.9900,177.4500
2026/07/13,183.9800,5.1800,-2.74,13007255,185.0600,188.1600,181.8100
2026/07/10,189.1600,1.9500,-1.02,7063957,187.5080,190.1900,185.7200
2026/07/09,191.1100,4.5500,+2.44,12895171,192.4650,196.0900,187.4400
2026/07/08,186.5600,3.5900,+1.96,10306835,180.5200,187.1200,180.5050
2026/07/07,182.9700,3.5100,-1.88,16253634,179.0000,185.8800,179.0000
2026/07/06,186.4800,10.2300,+5.80,15510547,178.1300,188.6700,177.1000
2026/07/02,176.2500,5.6700,-3.12,18682459,182.1700,185.7990,172.1200
2026/07/01,181.9200,2.8700,-1.55,23313178,183.5850,190.9900,181.6000
2026/06/30,184.7900,3.9300,-2.08,22056133,188.9900,193.5000,183.5000
2026/06/29,188.7200,0.6700,-0.35,21599518,193.0300,194.5900,183.5800
