일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/01,709.2700,7.4900,-1.04,468457,715.1100,718.3800,709.0000
2026/08/31,716.7600,0.3300,+0.05,32237181,715.1700,717.5800,713.1600
2026/08/28,716.4300,4.6800,-0.65,34105374,719.7400,724.1250,715.0850
2026/08/27,721.1100,9.7400,+1.37,28723451,716.9300,721.3500,714.5250
2026/08/26,711.3700,0.6500,+0.09,20392390,708.4100,713.0200,707.9700
2026/08/25,710.7200,4.4000,+0.62,23869646,711.2200,714.0400,707.4500
2026/08/24,706.3200,7.1200,-1.00,37443142,709.6600,709.7900,702.7000
2026/08/21,713.4400,2.5100,+0.35,33399407,715.2300,715.6738,709.2000
2026/08/20,710.9300,5.1500,-0.72,33396416,712.0900,714.9400,708.5200
2026/08/19,716.0800,1.4300,-0.20,35801712,720.3900,721.4999,712.6100
2026/08/18,717.5100,12.3600,-1.69,48997172,720.2100,722.1300,715.9200
2026/08/17,729.8700,1.2000,-0.16,26452580,732.9500,734.5800,729.2700
2026/08/14,731.0700,1.0000,-0.14,23790607,733.4100,734.3900,728.3200
2026/08/13,732.0700,8.3700,+1.16,31599737,725.1500,733.9600,724.0300
2026/08/12,723.7000,5.2500,+0.73,29065976,727.0800,727.2500,722.9200
2026/08/11,718.4500,2.4200,-0.34,29286144,723.2900,723.3500,715.5000
2026/08/10,720.8700,2.1600,-0.30,26243183,722.3900,724.6700,720.3300
2026/08/07,723.0300,8.3800,+1.17,31070371,720.1500,723.6300,716.5100
2026/08/06,714.6500,2.6500,-0.37,33035860,710.8200,719.3200,708.5000
2026/08/05,717.3000,6.5500,-0.90,33540176,726.2500,728.5400,716.9200
2026/08/04,723.8500,23.7800,+3.40,59778624,708.1600,725.6600,707.5300
2026/08/03,700.0700,12.0800,+1.76,44965071,688.3000,701.5900,685.8200
2026/07/31,687.9900,4.4400,+0.65,50540483,692.1100,695.7700,680.0512
2026/07/30,683.5500,21.8200,+3.30,66753681,674.7600,685.1200,673.3000
2026/07/29,661.7300,13.7600,-2.04,57233269,675.5050,680.0500,661.1400
2026/07/28,675.4900,6.6300,-0.97,51398741,676.2300,679.4000,667.8800
2026/07/27,682.1200,2.1100,-0.31,42681473,691.6800,692.3000,675.9450
2026/07/24,684.2300,7.7300,-1.12,42876658,690.4100,692.6300,682.4800
2026/07/23,691.9600,13.3900,-1.90,44028575,694.6700,698.6600,687.7900
2026/07/22,705.3500,3.6200,-0.51,23692181,703.6200,709.6500,703.6200
2026/07/21,708.9700,12.9100,+1.85,33728341,706.5700,710.0500,702.8000
2026/07/20,696.0600,0.7300,+0.10,29687558,702.1600,705.8000,695.5100
2026/07/17,695.3300,10.6100,-1.50,54109267,691.6500,702.3000,686.7600
2026/07/16,705.9400,11.8000,-1.64,39402024,712.0100,713.5990,702.6100
2026/07/15,717.7400,1.9500,-0.27,32627583,723.8500,724.3600,710.2300
2026/07/14,719.6900,7.9500,+1.12,29448117,720.2200,722.2900,714.3400
2026/07/13,711.7400,13.7700,-1.90,36552362,717.7200,718.7400,710.0800
2026/07/10,725.5100,2.2300,+0.31,26415898,720.7000,726.3900,717.0000
2026/07/09,723.2800,11.8400,+1.66,33654712,718.3300,724.2300,715.1250
2026/07/08,711.4400,2.0100,+0.28,35603179,704.9500,712.2599,700.9100
2026/07/07,709.4300,13.3900,-1.85,42483079,714.1700,716.3500,704.9000
2026/07/06,722.8200,10.2200,+1.43,30220428,719.9300,726.0800,718.4500
2026/07/02,712.6000,12.5700,-1.73,51086080,725.5800,730.8300,707.5600
2026/07/01,725.1700,11.2300,-1.52,40803791,729.1900,731.9200,724.6000
2026/06/30,736.4000,12.3200,+1.70,42121829,724.1800,737.6200,723.9100
2026/06/29,724.0800,17.5600,+2.49,44939090,713.9900,724.5800,705.1720
2026/06/26,706.5200,9.8600,-1.38,47081821,707.1300,715.5550,702.8100
2026/06/25,716.3800,5.7600,+0.81,50144089,725.9000,726.8300,705.3000
2026/06/24,710.6200,3.0300,-0.42,52480437,715.3700,719.9300,704.4500
2026/06/23,713.6500,24.3000,-3.29,53354151,715.7400,723.6100,712.1101
2026/06/22,737.9500,1.8565,-0.25,43518595,742.0200,745.4500,734.3900
2026/06/18,740.6200,18.1100,+2.51,50154595,737.2000,741.8200,732.5100
2026/06/17,722.5100,7.3500,-1.01,51669322,735.1900,735.6800,720.8500
2026/06/16,729.8600,14.1400,-1.90,45348675,742.2500,744.2200,729.6400
2026/06/15,744.0000,22.6600,+3.14,46710216,738.1000,744.7599,737.3800
2026/06/12,721.3400,4.2200,+0.59,51236021,717.6100,724.0100,711.2800
2026/06/11,717.1200,23.4300,+3.38,71798857,699.2900,718.3721,695.0000
2026/06/10,693.6900,14.1400,-2.00,65334283,701.6600,711.2800,692.9300
2026/06/09,707.8300,8.2400,-1.15,91932171,722.9800,725.6600,686.3700
2026/06/08,716.0700,11.0100,+1.56,47401451,717.8100,723.0300,713.0700
2026/06/05,705.0600,35.5500,-4.80,99606571,730.0600,731.6900,704.3200
2026/06/04,740.6100,3.6000,-0.48,40782580,735.4800,743.4988,732.6200
2026/06/03,744.2100,1.9500,-0.26,40270198,747.3100,748.6500,741.0100
2026/06/02,746.1600,3.4200,+0.46,30085237,742.4000,746.4400,739.2300
2026/06/01,742.7400,4.4300,+0.60,33890559,737.0400,745.6500,735.9900
2026/05/29,738.3100,2.7100,+0.37,37541668,737.8400,741.6300,735.2500
2026/05/28,735.6000,6.1500,+0.84,32839952,729.7300,736.6000,726.4100
2026/05/27,729.4500,0.8300,-0.11,35148674,732.9600,733.3200,725.4400
2026/05/26,730.2800,12.7400,+1.78,34254692,725.9600,731.1700,724.1600
2026/05/22,717.5400,3.0300,+0.42,33118575,718.0700,722.1200,715.9500
2026/05/21,714.5100,1.3600,+0.19,36415360,708.9900,717.1200,706.7700
2026/05/20,713.1500,11.6200,+1.66,36779222,705.2900,713.1500,703.7900
2026/05/19,701.5300,4.3500,-0.62,46827529,699.8100,706.4900,695.2500
2026/05/18,705.8800,3.0500,-0.43,49834549,711.5400,712.0700,698.8500
