일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,152.8300,4.7700,-3.03,3241569,154.7100,156.5299,149.2100
2026/09/16,157.6000,2.0300,-1.27,2907225,160.6200,162.0400,156.1601
2026/09/15,159.6300,2.7500,-1.69,5093147,157.9000,164.1600,157.3053
2026/09/14,162.3800,4.6100,+2.92,4553745,160.0000,166.1800,157.1100
2026/09/11,157.7700,2.4300,+1.56,3196541,157.5500,159.4999,154.6100
2026/09/10,155.3400,8.9000,+6.08,5813363,146.3400,156.9499,144.8000
2026/09/09,146.4400,2.9400,-1.97,4820395,148.6400,149.2150,145.1663
2026/09/08,149.3800,5.0800,-3.29,5017908,155.0100,156.6000,148.4600
2026/09/04,154.4600,1.5300,-0.98,2834665,155.7400,156.4900,152.3500
2026/09/03,155.9900,2.1100,-1.33,4036001,159.2600,162.5000,154.6305
2026/09/02,158.1000,13.4600,+9.31,6237700,144.0200,158.2700,143.4700
2026/09/01,144.6400,3.1700,-2.14,3799133,144.7900,147.8625,143.8000
2026/08/31,147.8100,5.1900,-3.39,3864821,151.3200,151.9418,146.6200
2026/08/28,153.0000,0.9500,-0.62,2756736,152.2500,158.8600,152.0565
2026/08/27,153.9500,1.4100,-0.91,2716403,155.7600,158.9900,153.5000
2026/08/26,155.3600,7.0900,-4.36,3687227,161.0000,165.9100,155.2700
2026/08/25,162.4500,9.7500,+6.39,4386581,153.4900,162.6250,152.7700
2026/08/24,152.7000,0.5900,-0.38,3530314,150.0100,154.4000,149.2000
2026/08/21,153.2900,2.9800,+1.98,4554891,151.7900,155.3000,150.0381
2026/08/20,150.3100,1.4000,-0.92,7672007,149.6100,150.7700,144.0500
2026/08/19,151.7100,6.5400,-4.13,8157153,156.6600,158.2500,151.3670
2026/08/18,158.2500,6.2500,-3.80,7447327,166.1000,167.5400,157.4500
2026/08/17,164.5000,13.5900,-7.63,37846236,177.5100,178.3400,164.1800
2026/08/14,178.0900,19.9700,+12.63,21500412,175.7800,184.2840,174.0000
2026/08/13,158.1200,4.6700,+3.04,4658023,154.5100,159.2900,152.6700
2026/08/12,153.4500,2.7400,-1.75,3318575,157.6400,158.0000,152.0101
2026/08/11,156.1900,2.5300,-1.59,2735440,158.0000,161.9800,155.6200
2026/08/10,158.7200,2.9800,-1.84,3101668,161.4900,163.2400,157.6500
2026/08/07,161.7000,10.8300,+7.18,4509577,153.3000,163.9000,153.2200
2026/08/06,150.8700,4.3900,-2.83,3466403,150.9400,155.2700,149.5100
2026/08/05,155.2600,4.7100,-2.94,4169310,159.2800,160.7900,153.5000
2026/08/04,159.9700,5.2600,+3.40,6155487,153.6200,162.8200,152.7800
2026/08/03,154.7100,14.0400,+9.98,10648269,141.9000,157.7195,140.0501
2026/07/31,140.6700,37.3700,-20.99,29916722,147.7000,151.3800,135.2223
2026/07/30,178.0400,0.0500,+0.03,11864896,180.0000,182.4200,175.0000
2026/07/29,177.9900,0.4500,-0.25,4231276,181.9400,185.9099,176.3251
2026/07/28,178.4400,0.7900,-0.44,2898108,179.2500,180.8000,173.6100
2026/07/27,179.2300,10.5000,+6.22,4263859,173.3350,183.8823,172.7300
2026/07/24,168.7300,0.0500,-0.03,3539598,169.5000,173.1999,165.5500
2026/07/23,168.7800,1.6000,-0.94,3842575,174.4200,179.2830,168.2850
2026/07/22,170.3800,15.4600,-8.32,8986993,172.9000,174.0000,166.0000
2026/07/21,185.8400,4.2000,+2.31,2602790,181.5000,186.9900,178.0000
2026/07/20,181.6400,0.4600,+0.25,4055443,179.0000,187.4300,174.4600
2026/07/17,181.1800,4.0800,-2.20,3327326,181.5400,184.9500,173.7100
2026/07/16,185.2600,12.7700,-6.45,3758329,199.6900,200.3200,184.6200
2026/07/15,198.0300,5.2400,-2.58,4070498,204.6100,207.0000,189.7500
2026/07/14,203.2700,2.3400,+1.16,2433304,197.1800,204.8900,197.1800
2026/07/13,200.9300,5.5900,+2.86,4372093,199.0000,204.0650,193.8800
2026/07/10,195.3400,4.9700,-2.48,3756482,205.8000,208.0500,192.6100
2026/07/09,200.3100,5.0000,+2.56,2248683,193.0100,200.8500,189.6400
2026/07/08,195.3100,4.1300,-2.07,2823751,195.6300,199.1900,189.3300
2026/07/07,199.4400,1.4200,-0.71,4133928,200.8300,206.4899,198.8118
2026/07/06,200.8600,6.1900,+3.18,5568881,197.9600,207.5400,196.4400
2026/07/02,194.6700,3.0900,-1.56,4469802,194.0100,198.7199,184.3800
2026/07/01,197.7600,24.1800,+13.93,8763460,175.0100,201.1600,175.0100
2026/06/30,173.5800,0.8100,-0.46,2477773,172.6000,175.3800,169.7500
2026/06/29,174.3900,7.4500,+4.46,3132761,168.2900,176.3500,166.6000
2026/06/26,166.9400,8.9200,+5.64,6325811,156.6200,169.0200,155.7000
2026/06/25,158.0200,2.7000,-1.68,2783047,160.3500,160.3500,152.6500
2026/06/24,160.7200,4.9100,-2.96,4166337,164.7000,167.7000,157.2700
2026/06/23,165.6300,4.8100,-2.82,3364922,167.0000,174.0000,164.6700
2026/06/22,170.4400,4.5200,-2.58,4386396,171.8600,182.3000,167.0100
2026/06/18,174.9600,9.0100,+5.43,5337416,169.0000,176.2200,165.8800
2026/06/17,165.9500,9.4400,-5.38,4405012,174.4100,175.4094,165.9500
2026/06/16,175.3900,6.4900,-3.57,3562101,181.9500,182.4100,174.7210
2026/06/15,181.8800,19.7800,+12.20,4843966,168.8100,182.0000,167.9050
2026/06/12,162.1000,11.1600,-6.44,5767960,172.4900,173.0000,158.3600
2026/06/11,173.2600,1.0500,+0.61,3207924,168.7000,174.0000,163.7700
2026/06/10,172.2100,5.9000,-3.31,3235173,174.4500,179.8000,170.8000
2026/06/09,178.1100,6.9800,+4.08,5237658,178.5500,183.1200,166.9000
2026/06/08,171.1300,2.3200,-1.34,3031435,171.5100,173.4500,166.1600
2026/06/05,173.4500,10.4600,-5.69,5965647,182.1800,186.4499,167.0400
2026/06/04,183.9100,14.4200,+8.51,7380981,170.3999,187.3400,169.8100
